акъыл	ʔaːqəl
антыр	aːntər
армэугъ	aːrmawʁ
арти	aːrti
ахъ	aːχ
ахъчэмыкӏу	aːχt͡ʃaməkʷʼ
ахъщапс	aːχʃaːps
ашъоку	aːʂʷakʷ
ашъыу	aːʃʷʼəw
багьэ	baːɡʲa
бае	baːja
батыргъэгъ	baːtərʁaʁ
бганэ	bɣaːna
бгъакъэ	bʁaːqa
бгъашхъо	bʁaːʃχʷa
бгъо	bʁʷa
бгъуагъэ	bʁʷaːʁa
бгъузагъ	bʁʷəzaːʁ
бгъузэ	bʁʷəza
бгъурышӏ	bʁʷərəʃʼ
бгъэгъакӏ	bʁaʁaːt͡ʃ
бгъэузы	bʁawəzə
бгъэӏас	bʁaʔaːs
бжым	bʒəm
бжыхьас	bʒəħaːs
бжьаӏо	bʑaːʔʷa
бзашӏу	bzaːʃʷʼ
бзудэгу	bzəwdaɡʷ
бзын	bzən
бзыуубыт	bzəwwəbət
бзэгу	bzaɡʷ
бзэгужъый	bzaɡʷʐəj
бзэджапӏэ	bzad͡ʒaːpˤʼa
бзэныб	bzanəb
бзэхын	bzaxən
бланэ	blanɜ
блапцӏэ	blaːpt͡sʼa
блегъэкӏын	blajʁakʲʼən
блэун	blawən
блэуц	blawt͡s
быбын	bəbən
быбыпӏ	bəbəpʼ
быгъу	bəʁʷ
былымылы	bələmələ
быяупӏ	bəjaːwpʼ
бэджэбы	bad͡ʒabə
бэдзэогъумаз	bad͡zawaʁʷəmaːz
бэжъу	baʐʷ
бэлэрыгъ	balarəʁ
бэнакӏо	banaːkʷʼa
бэнжъый	banʐəj
бэрэ	bara
бэрэскэжъый	baraskaʐəj
гомыхь	ɡʷaməħ
гощын	ɡʷaɕən
губгъэ	ɡʷəbʁa
гугъуемылӏ	ɡʷəʁʷeməlʼ
гузэгу	ɡʷəzaɡʷ
гукъэкӏьыжьын	ɡʷəqakʲʼəʑən
гулъытэн	ɡʷəɬətan
гупсэфыпӏ	ɡʷəpsafəpʼ
гушӏон	ɡʷəʃʷʼan
гушӏуагъо	ɡʷəʃʷʼaːʁʷa
гущаӏэ	ɡʷəɕaːʔa
гуӏэн	ɡʷəʔan
гъогъон	ʁʷaʁʷan
гъожьышэплъ	ʁʷaʑəʃapɬ
гъойщэен	ʁʷajɕajan
гъонлагъэ	ʁʷanɮaːʁa
гъошэгь	ʁʷaʃaɡʲ
гъуапэ	ʁʷaːpa
гъунэгъу	ʁʷənaʁʷ
гъы	ʁə
гъын	ʁən
гъэджэн	ʁad͡ʒan
гъэлъэпӏэн	ʁaɬapʼan
гъэмысэн	ɮaːʑa
гъэсэн	ʁasan
гъэсэныгъэ	ʁasanəʁa
гъэсэфытхыдэ	ʁasafətxəda
гъэтэрэзын	ʁatarazən
гъэтӏысын	ʁatʼəɬən
гъэуэн	ʁawan
гъэхъужьын	ʁaχʷəʑən
гъэхъун	ʁaχʷən
гъэӏулэн	ʁaʔʷəlan
гыкӏалъэ	ɣət͡ʃʼaːɬa
гьары	ɡʲaːrə
дагъо	daːʁʷa
дампӏ	daːmpʼ
дао	daːwa
дебзыкӏэн	debzət͡ʃan
дегъэбылъхьэн	deʁabəɬħan
дежъыон	dajʐəwan
десэгъу	dajsaʁʷ
дефыен	dajfəjan
джау	d͡ʒaːw
джашъо	d͡ʒaːʃʷa
джын	d͡ʒən
джынэузэщ	d͡ʒənawzaɕ
джэдыгу	d͡ʒadəɡʷ
джэмышх	d͡ʒaməʃx
джэрыуакӏо	d͡ʒarəwaːkʷʼa
дзакӏо	d͡zaːkʷʼa
дзэкӏолӏы	d͡zakʷʼaɬʼə
дзэпщ	d͡zapɕə
дыин	dəjən
дын	dən
дырын	dərən
дыухьэ	dəwħa
дэж	daʒ
дэжь	daʑ
дэкӏогъу	dakʷʼaʁʷ
дэхьагъо	daħaːʁʷa
дэщэн	daɕan
егупсэн	jaɡʷəpsan
егъашӏи	jaʁaːʃʼəj
екӏун	jakʷʼən
енэкӏьэон	janakʲawan
енэпэон	napawan
еплъын	japɬən
епщэн	jpɕan
естылӏэн	jastəɬʼan
етӏапсӏэ	jatʼaːpt͡sʼa
еубэн	jawban
еун	jawən
еутэкӏын	jawtat͡ʃʼən
ешъутырын	maʃʷtərəh
еӏункӏын	jaʔʷənt͡ʃʼən
жабз	ʒabz
жакъэ	ʒaːqa
жакӏэ	ʒaːtʃʼa
жъогъозекӏу	ʐʷaʁʷazekʷ
жъы	ʐə
жъын	ʐən
жъыу	ʐəw
жъэгъуай	ʐaʁʷaj
жьыдзакӏо	ʑəd͡zaːkʷʼa
жьэн	ʑan
жэдэкон	ʒadakʷan
жэдэлъхьажьын	ʒadaɬħaːʑən
жэлый	ʒaləj
жэхэлъэдэн	ʒaxaɬadan
закъу	zaːqʷ
зао	zaːwa
зегъэунэжъыен	zeʁawnaʐəjan
зегъэхьын	zajʁaħən
зифэпэжьыгъ	zəjfapaʑəʁ
зыпэгъутхьажьын	zəpaʁʷatħaʑən
зытегъэкӏэн	zətajʁat͡ʃʼan
зышӏоу	zəʃʷʼəw
зэгу	zaɡʷə
зэдзэкӏакӏу	zad͡zat͡ʃaːkʷʼ
зэкъошныгъ	zaqʷaʃnəʁ
зэкӏон	zakʷʼan
зэкӏэкӏон	zat͡ʃʼakʷʼan
зэпыдагъэу	zapədaːʁaw
зэпыутын	zapəwtən
зэтэлъхьэн	zataɬħan
зэтӏэхъун	zatʼaχʷən
зэуалӏ	zawaːɬʼ
зэшӏожьын	zaʃʷʼəʑən
ибэдалэу	jəbadaːlaw
игъоин	jəʁʷajən
игъуадж	jəʁʷaːd͡ʒ
изэу	jəzaw
инахэкӏэ	jənaːxat͡ʃʼa
ины	jənə
иусыф	jəwsəf
ичэ	jət͡ʃa
ишъун	jəʃʷən
копкъ	kʷapq
кушъхьэ	kʷəʂħa
къазмэ	qaːzma
къамыщ	qaːməɕ
къелэлэхын	qajɬaɬaxən
къизын	qizən
къолэнсэлэн	qʷalansalan
къопс	qʷaps
къошъофы	qʷaʂʷafə
къуамэ	qʷaːma
къуапэ	qʷaːpa
къузмэзадэ	qʷəzmazaːda
къухьэ	qʷəħa
къухьэтӏысыпӏ	qʷəħatʼəsəpʼ
къычӏэгъэкӏьын	qət͡ʃʼaʁakʲʼən
къэбкӏэ	qabkʲʼa
къэгупшысын	qaɡʷəpʃəsən
къэгъэлъэгъоны	qaʁaɬaʁʷanə
къэгъэущын	qaʁawɕən
къэплъан	qapɬaːn
къэпшӏэжын	qapʃʼaʑən
къэпшӏэн	qapʃʼan
къэпы	qapə
къэсын	qasən
къэхъун	qaχʷən
къэц	qat͡s
къэцӏын	t͡sʼən
кӏосэн	kʷʼasan
кӏын	t͡ʃʼən
кӏыхьэ	t͡ʃʼəħa
кӏьасэ	kʲʼaːsa
кӏьэлъыун	kʲʼaɬəwən
кӏэлъыкӏон	t͡ʃaɬəkʷʼan
кӏэлэегьакӏо	t͡ʃʼalajaɡʲaːkʷʼa
кӏэнэкӏэн	t͡ʃʼanat͡ʃʼan
кӏэп	t͡ʃʼap
кӏэпщ	t͡ʃʼapɕ
кӏэтхъун	t͡ʃʼatχʷən
кӏэшъун	t͡ʃʼaʃʷən
кӏэӏэжьын	t͡ʃʼaʔaʑən
кӏэӏэн	t͡ʃʼaʔan
лъапӏэ	ɬaːpʼa
лъащэ	ɬaːɕa
лъежьэн	ɬajʑan
лъышӏэжь	ɬəʃʼaʑ
лъышӏэжьын	ɬəʃʼaʑən
лъыӏэбэн	ɬəʔaban
лъэ	ɬa
лъэбыӏу	ɬabəʔʷ
лъэгъун	pɬaʁʷən
лъэецуакъо	ɬajat͡sʷaːqʷa
лъэкъорыгъачъэ	ɬaqʷarəʁaːt͡ʂa
лъэн	ɬan
лъэпкъ	ɬapq
лъэпкъгъэкӏод	ɬapqʁakʷʼad
лъэпс	ɬaps
лъэужьэу	ɬawʑəməj
лъэш	ɬaʃ
лые	ɮəja
лыкъумэ	ləqʷma
лӏакъо	ɬʼaːqʷa
лӏы	ɬʼə
лӏыжъыгъу	ɬʼəʐəʁʷ
лӏыукӏ	maχaːd͡ʒa
лӏэн	ɬʼan
мазэ	maːza
макъэ	maːqa
мышкӏу	məʃkʷ
мыӏэрысэпсы	məʔarəsapsə
мэгущыӏэн	maɡʷɕəʔan
мэгъолъын	maʁʷaɬən
мэдрэр	madra
мэжъутхэн	maʒʷətxan
мэкъамэ	maqaːma
мэкӏодын	makʷʼadən
мэкӏьыин	makʲʼəjən
мэкӏэтхъэн	mat͡ʃatχan
мэл	mal
мэпӏэстхъэн	pʼasχan
мэсӏын	sʼən
мэтӏыгъо	matəʁʷa
мэуцӏэлэн	mawt͡sʼalan
мэхэр	maxar
мэцӏэшъутэн	mat͡sʼaʃʷtan
мэшӏуач	maʃʷʼaːt͡ʃ
мэщынэн	maɕənan
набгъу	naːbʁʷə
насыпынчъэ	naːsəpənt͡ʂ
нафэ	naːfa
нахэ	naːxa
ныбгъу	nəbʁʷə
ныожъ	nəwaʐ
нысэ	nəsa
нэбзый	nabzəj
нэбзыц	nabzət͡s
нэгушъоутын	naɡʷəʃʷawtən
нэгушӏу	naɡʷəʃʷʼ
нэгъуцу	naʁʷət͡ʃʷ
нэмыкӏыр	namət͡ʃʼər
нэмыӏэкӏэ	naməʔat͡ʃʼa
нэплъэгъу	napɬaʁʷ
нэпх	napx
нэриплъ	narəjpɬ
нэсын	nasən
нэшан	naʃaːn
нэшъу	naʂʷə
нэшэбэгу	naʃabaɡʷ
нэӏу	naʔʷ
он	wan
онджэкъ	wand͡ʒaq
опсэу	wapsaw
оры	warə
пагэ	paːɣa
пкъышъолы	pqəʃʷalə
пкӏышъхьэмышъхьэ	pt͡ʃəʂħaməʂħa
пкӏэшъэхъу	pt͡ʃaʂaχʷ
плӏы	pɬʼə
псыкъу	psəqʷ
псынкӏагъэ	psət͡ʃʼaːʁa
псыхьэн	psəħan
псэлъыхъон	psaɬəχʷən
псэолъэшӏ	psawaɬaʃʼ
псӏашъухъо	psˤʼaːʃʷχʷa
пхъацӏэ	pχaːt͡sa
пхъу	pχʷə
пхъэкӏэн	pχat͡ʃan
пхъэныӏу	pχanəʔʷ
пхэ	pxa
пхэндж	pxand͡ʒ
пцэкъэнтф	pt͡saqantf
пчъэпсы	pt͡ʃapsə
пчэдыжьы	pt͡ʃadəʑə
пшысэ	pʃəsa
пщагъу	pɕaːʁʷ
пщэры	pɕarə
пщэрыхь	pɕarəħ
пщэрыхьан	pɕarəħaːn
пыдж	pəd͡ʒ
пыжъы	pəʐə
пыскӏьэн	pəskʲan
пытэ	pəta
пытӏэрын	pətʼarən
пэкӏо	pakʷʼa
пэщэн	paɕam
пэӏухъо	paʔʷəχʷa
пэӏухъон	paʔʷəχʷan
пӏалъэ	pʼaːɬa
пӏэсхъэн	pʼasχan
ригъэчъэхын	jaʁat͡ʂaxən
рилъэшъон	rəjɬaʃʷan
ришъун	rjəʃʷən
сахъэ	saːχa
стаф	staːf
стын	stən
сыунэхъугъ	səwnaχʷəʁ
сэкъат	saqaːt
сэраджэ	saraːd͡ʒa
тегъэбылъхьэн	teʁabəɬħan
теупӏэпӏэн	tajwpʼapʼan
теуцӏэлэн	tawt͡sʼalan
тикӏэн	tikʲan
тфый	tfəj
тхьапэ	tħaːpa
тхьауегъэпсэу	tħaːwajʁapsaw
тхьэгъэлэдж	tħaʁalad͡ʒ
тхьэкӏумэ	tħakʷʼma
тыдэ	təda
тэгъзакӏэ	taʁzaːkʲʼa
тэгъэфэн	taʁafan
тэдэгьи	tadaɡʲi
тэжъутхэн	taʒʷətxan
тэрэз	taraz
тэцӏэшъутыкӏын	tat͡sʼaʃʷtət͡ʃʼən
тӏурытӏу	tʷʼərətʷʼ
удж	wəd͡ʒ
ужы	wʒə
узын	wəzən
укӏытэн	wət͡ʃʼətan
укӏьытапх	wkʲʼətaːpx
унагъобзэ	wənaːʁʷabza
урам	wraːm
утӏэтӏэн	wətʼatʼan
ухъумэн	wχʷəman
уцупӏэ	wət͡sʷəpʼam
уцы	wət͡sə
уцышъо	wət͡səʂʷa
ушхъухьан	wəʃχʷħaːn
фегъэпэн	fajʁapan
фэдиз	fadiz
фэжъыуф	fˤaʐəwfˤ
фэпсӏын	fapsʼən
фэрэхьатын	faraħaːtən
фэусын	fawsən
фэӏофытэн	ʔʷafətan
хигъэгъощэн	xiʁaʁʷaɕan
хъонэн	χʷanan
хъохъ	χʷaχʷ
хъохъу	ɡʷəʃʷʼaːʁʷa
хъушъу	χʷəʃʷ
хы	xə
хыгъунэ	xəʁʷəna
хыхьэ	xəħa
хьаку	ħaːkʷ
хьэбзу	ħabzəw
хьэдрыхэ	ħadrəxa
хьэдэкъаз	ħadaqaːz
хьэкуку	ħakʷəkʷ
хьэлъэбэкъищ	ħaɬabaqiɕ
хьэпӏацӏэ	ħapʼaːt͡sʼa
хэгъэкӏын	xaʁat͡ʃən
хэгъэон	xaʁawan
хэкӏодыкӏын	xakʷʼadət͡ʃʼəm
хэнэн	xanan
хэутын	xawtən
хэхын	xaxən
хэщыжьын	xaɕəʑən
цуакъэ	t͡sʷaːqa
цыгьан	t͡səɡʲaːn
цые	t͡səja
цыпэ	t͡səpa
цыхьэмышӏ	t͡sʼəħaməʃʼ
цӏыун	t͡sʼəwən
чъыяпӏэ	t͡ʂəjaːpʼa
чъыӏыхэн	t͡ʂəʔəxan
чылэдэс	t͡ʃəɮadas
чыӏу	t͡ʃʼəʔʷ
чэмахъо	t͡ʃamaːχʷa
чэрэгъун	t͡ʃaraʁʷən
чэщ	t͡ʃaɕ
чэщтао	t͡ʃaɕtaːwa
чӏыбгъэ	ħaːsatx
шхончау	ʃxʷant͡ʃaːw
шхоӏу	ʃxʷaʔʷ
шхъуантӏэ	ʃχʷaːntʼa
шхын	ʃxəːn
шъуашэ	ʃʷaːʃa
шъутыжъ	ʃʷətəʐ
шъхьакӏун	ʂħaːkʷʼən
шъхьакӏэ	ʂħaːt͡ʃʼa
шъхьалы	ʂħaːlə
шъхьантэ	ʂħaːnta
шъхьатепӏэ	ʂħaːtepʼa
шъхьэнгъупчъэ	ʂħanʁʷəptʂa
шъхьэфитынгъэ	ʂħafitnəʁa
шъыкӏэ	ʂəkʲa
шъыпкъэ	ʂəpqa
шъэджашъ	ʂad͡ʒaːʂ
шъэджэшъэжъ	ʂad͡ʒaːʂəʐ
шыбзы	ʃəbzə
шыгугъон	ʃəɡʷʁʷan
шыдкъолэн	ʃədqʷalan
шыфэн	ʃəfan
шӏокӏьын	ʃʷʼakʲʼən
шӏыхьагъэ	ʃʼəħaːʁa
шӏэнгъэ	ʃʼanʁa
щагуикӏыпӏэ	ɕaːɡʷit͡ʃəpʼa
щамсый	ɕaːmsəj
щанэ	ɕaːna
щхын	ɕxən
щыгушӏукӏын	ʃəɡʷəʃʷʼt͡ʃʼən
щыгушӏукӏьын	ʃəɡʷəʃʷʼkʲʼən
щыгъэтын	ɕəʁatən
щыхьан	ɕəħaːn
щыщэн	ɕəɕan
щэчын	ɕat͡ʃən
янэш	jaːnaʃ
ӏапӏэ	ʔaːpʼa
ӏорышӏэджэн	ʔʷarʃʼad͡ʒan
ӏофы	ʔʷafə
ӏофытхьабз	ʔʷafətħaːbz
ӏукӏьыбзэ	ʔʷəkʲʼəbza
ӏукӏэхьан	ʔʷət͡ʃʼaħaːn
ӏэбжъанэ	ʔabʐaːna
ӏэгьы	ʔaɡʲə
ӏэгьэ	ʔaɡʲa
ӏэджэбыжэ	ʔad͡ʒabəʒa
ӏэнтэгъу	ʔantaʁʷ
ӏэтын	ʔaːtən
