aandelenemissie	aːndeːləneːmɪsi
aankooien	aːnkoːi̯ən
aansmeden	aːnsmeːdən
aantal	aːntɑl
aantocht	aːntɔxt
aard	aːrt
aardhoop	aːrtɦoːp
aardslang	aːrtslɑŋ
aarswis	aːrsʋɪs
achterbuurt	ɑxtərbyːrt
achterhuis	ɑxtərɦœy̯s
achternicht	ɑxtərnɪxt
achtertocht	ɑxtərtɔxt
acrostichon	aːkrɔstixɔn
addergebroed	ɑdərɣəbrut
adeldom	aːdəldɔm
ademnood	aːdəmnoːt
adenoom	aːdənoːm
adrenocorticaal	aːdreːnoːkɔrtikaːl
adrie	aːdri
afbedelen	ɑfbeːdələn
afbreken	ɑvbreːkən
afgaan	ɑfxaːn
afgodisch	ɑfxoːdis
afstraffing	ɑfstrɑfɪŋ
aftroeven	ɑftruvən
afwerking	ɑfʋɛrkɪŋ
aldaar	ɑldaːr
aldehyde	ɑldəɦidə
alledaagsheid	ɑlədaːxsɦɛi̯t
alruin	ɑlrœy̯n
ambras	ɑmbrɑs
ambt	ɑmpt
amfibisch	ɑmfibis
analyse	aːnaːliːzə
anatomie	aːnaːtoːmi
angola	ɑŋɣoːlaː
angstgegner	ɑŋstɡeːɡnər
anneke	ɑnəkə
arbeidsman	ɑrbɛi̯tsmɑn
arbeidspool	ɑrbɛi̯tspuːl
archivarius	ɑrxivaːriʏs
archont	ɑrxɔnt
armeens	ɑrmeːns
artsenijkunde	ɑrtsənɛi̯kʏndə
baarmoederhals	baːrmudərɦɑls
baboes	baːbus
bakkerij	bɑkərɛi̯
bakt	bɑkt
bami	baːmi
bandsperfilter	bɑntspɛrfɪltər
bangerik	bɑŋərɪk
barones	baːrɔnɛs
bastaardklaproos	bɑstaːrtklɑproːs
beboeting	bəbutɪŋ
bedek	bədɛk
bedekken	bədɛkən
bedekte	bədɛktə
bedlamp	bɛtlɑmp
bedremmelen	bədrɛmələn
bedvriendin	bɛtfrindɪn
begeerd	bəɣeːrt
begeren	bəɣeːrən
behandelaar	bəɦɑndəlaːr
behandelen	bəɦɑndələn
behartenswaardig	bəɦɑrtənsʋaːrdəx
bei	bɛi̯
beklijven	bəklɛi̯vən
bekroning	bəkroːnɪŋ
belastingdruk	bəlɑstɪŋdrʏk
beletsel	bəlɛtsəl
benaaien	bənaːi̯ən
bengaals	bɛŋɣaːls
bereider	bərɛi̯dər
bermlamp	bɛrmlɑmp
berokken	bərɔkən
besparen	bəspaːrən
beter	beːtər
betuttelen	bətʏtələn
bewettigen	bəʋɛtəɣən
bewijsmiddel	bəʋɛi̯smɪdəl
bewolking	bəʋɔlkɪŋ
bewoording	bəʋoːrdɪŋ
bezabberen	bəzɑbərən
bidon	bidɔn
bierazijn	biːraːzɛi̯n
bierbrouwer	biːrbrɑu̯ər
bijwerking	bɛiʋɛrkɪŋ
bijwoord	bɛi̯ʋoːrt
binden	bɪndən
binnentrekken	bɪnəntrɛkən
biosfeer	bioːsfeːr
bisdom	bɪsdɔm
bivakkeren	bivɑkeːrən
bladgroente	blɑtxruntə
blaren	blaːrən
bloedschande	blutsxɑndə
boenen	bunən
boevengilde	buvənɣɪldə
bom	bɔm
bondgenoot	bɔntxənoːt
botergeil	boːtərɣɛi̯l
bovenbuur	boːvənbyːr
bovenwinds	boːvənʋɪnts
branden	brɑndən
brandweervrouw	brɑntʋeːrvrɑu̯
breinaald	brɛi̯naːlt
breinvlies	brɛi̯nvlis
broeden	brudən
broer	bruːr
brokken	brɔkən
brombeer	brɔmbeːr
brooche	broːxə
buikworm	bœy̯kʋɔrm
buis	bœy̯s
bunker	bʏŋkər
canapé	kaːnaːpeː
cassette	kɑsɛtə
chemicaliëntanker	xeːmikaːliəntɛŋkər
circumfix	sɪrkʏmfɪks
citroenappel	sitrunɑpəl
corrie	kɔri
curiosum	kyːrioːzʏm
cytoskelet	sitoːskəlɛt
dagvaarden	dɑxfaːrdən
dam	dɑm
dapper	dɑpər
debiteur	deːbitøːr
delen	deːlən
demoduleren	deːmoːdyleːrən
dempen	dɛmpən
dichtkundig	dɪxtkʏndəx
dierenrechtenactivisme	diːrənrɛxtənɑktivɪsmə
dierenwelzijn	diːrənʋɛlzɛi̯n
dierhalve	diːrɦɑlvə
dierperk	diːrpɛrk
dobber	dɔbər
doodgegaan	doːtxəɣaːn
dooiaanval	doːi̯aːnvɑl
doordrijven	doːrdrɛi̯vən
dopers	doːpərs
drekpoëet	drɛkpoːeːt
duffels	dʏfəls
duivenhuis	dœy̯vənɦœy̯s
dukaat	dykaːt
ecoduct	eːkoːdʏkt
eiken	ɛi̯kən
elk	ɛlk
endocarp	ɛndoːkɑrp
epigrafisch	eːpiɣraːfis
epoche	eːpɔxə
ernstvuurwerk	ɛrnstfyːrʋɛrk
factie	fɑksi
factureren	fɑktyreːrən
faunist	fɑu̯nɪst
filtervoeder	fɪltərvudər
flipperspel	flɪpərspɛl
fonkelen	fɔŋkələn
fonologie	fonɔlɔɣi
fosfaat	fɔsfaːt
galliër	ɣɑliə
gedaagde	ɣədaːxdə
gedachtig	ɣədɑxtəx
geduldig	ɣədʏldəx
gegrepen	ɣəɣreːpən
geldigheid	ɣɛldəxɦɛi̯t
gemoeder	ɣəmudər
genitiefobject	ɣeːnitifɔpjɛkt
genua	ɣeːnyʋaː
gevaar	ɣəvaːr
gezinsmoord	ɣəzɪnsmoːrt
geïnterviewde	ɣəɪntərvjudə
gleuf	ɣløːf
gloed	ɣlut
godheid	ɣɔtɦɛi̯t
goeie	ɣujə
golfpapier	ɣɔlfpaːpiːr
groeneveld	ɣrunəvɛlt
gruwel	ɣryəl
haai	ɦaːi̯
hammam	ɦɑmɑm
hang	ɦɑŋ
heggenmus	ɦɛɣənmʏs
heidendom	ɦɛi̯dəndɔm
helena	ɦeːleːnaː
hem	ɦɛm
hersenkind	ɦɛrsənkɪnt
heterogeniteit	ɦeːtəroːɣeːnitɛi̯t
heur	ɦøːr
hongaars	ɦɔŋɣaːrs
hoorzitting	ɦoːrzɪtɪŋ
hospitaalkerkschip	ɦɔspitaːlkɛrksxɪp
houtprent	ɦɑu̯tprɛnt
hugenoot	ɦyɣənoːt
icoon	ikoːn
ijsbeer	ɛi̯sbeːr
ijshoen	ɛi̯sɦun
ijsplateau	ɛi̯splaːtoː
inchoatief	ɪŋxoːaːtif
ingewanden	ɪnɣəʋɑndən
instrument	ɪnstrymɛnt
interviews	ɪntərvjus
jenevervrienden	jəneːvərvrindən
jurk	jʏrk
kaas	kaːs
kalefateren	kaːləfaːtərən
kan	kɑn
kapmes	kɑpmɛs
karbouw	kɑrbɑu̯
katoen	kaːtun
kattenkruid	kɑtənkrœy̯t
keek	keːk
kernfysica	kɛrnfizikaː
kerosine	keːroːzinə
kerriepoeder	kɛripudər
kiesstelsel	kistɛlsəl
kijkoperatie	kɛi̯koːpəraːtsi
kikker	kɪkər
klapper	klɑpər
klappernoot	klɑpərnoːt
klauwen	klɑu̯ən
kleden	kleːdən
kleinodiën	klɛi̯noːdiən
klimaat	klimaːt
kling	klɪŋ
klootzak	kloːtzɑk
knap	knɑp
knappen	knɑpən
knekelstad	kneːkəlstɑt
knil	knɪl
koemelk	kumɛlk
kokerjuffer	koːkərjʏfər
kombuis	kɔmbœy̯s
