এই	ˈei
চনত	t͡ʃˈɔnɔtˌo
এক	ˈek
চনৰ	t͡ʃˈɔnɔɾ
লগত	lˈɔɡɔtˌo
এখন	ˈekʰɔn
আন	ˈan
এজন	ˈeɟɔn
ৰ	ɾˈɔ
ই	hɾˌɔʃʃoˈi
ওপৰত	ˈoːpɔɾˌɔto
অসমৰ	ˈɔχəmˌɔɾ
বছৰ	bˈɔt͡ʃʰɔɾ
অসম	ˈɔχəm
ফলত	fˈɔlɔtˌo
গঠন	ɡˈɔʈʰɔn
কম	kˈɔm
সকলৰ	χˈəkɔlˌɔɾ
ধৰণৰ	dʰˈɔɾɔnˌɔɾ
ত	tˈɔ
লগ	lˈɔɡ
আই	ˈai
জন	ɟˈɔn
অসমত	ˈɔχəmˌɔto
আইন	ˈain
দলৰ	dˈɔlɔɾ
উৎসৱ	ˈutχəwˌaɔ
বছৰৰ	bˈɔt͡ʃʰɔɾˌɔɾ
এ	ˈe
দখল	dˈɔkʰɔl
এম	ˈem
মই	mˈoi
দল	dˈɔl
তলত	tˈɔlɔtˌo
অৱ	ˈɔwaˌɔ
ঘৰৰ	ɡʰˈɔɾɔɾ
পদত	pˈɔdɔtˌo
of	(͡e͡n)ɒv(͡a͡s)
ওচৰত	ˈoːt͡ʃɔɾˌɔto
অফ	ˈɔf
মন	mˈɔn
সফল	χˈəfɔl
এইখন	ˈeikʰˌɔn
ঘৰত	ɡʰˈɔɾɔtˌo
একক	ˈekɔk
গছৰ	ɡˈɔt͡ʃʰɔɾ
পথ	pˈɔtʰ
বৰ	bˈɔɾ
আগত	ˈaɡɔtˌo
পদক	pˈɔdɔk
পদ	pˈɔd
দশকত	dˈɔʃɔkˌɔto
গছ	ɡˈɔt͡ʃʰ
ঘৰ	ɡʰˈɔɾ
জগতত	ɟˈɔɡɔtˌɔto
অলপ	ˈɔlɔp
সকলক	χˈəkɔlˌɔk
উৎসৱৰ	ˈutχəwˌaɔɾ
এছ	ˈet͡ʃʰ
মনত	mˈɔnɔtˌo
ফল	fˈɔl
হব	hˈɔb
হল	hˈɔl
চহৰৰ	t͡ʃˈɔhɔɾˌɔɾ
ৰঙৰ	ɾˈoŋɔɾ
আহৰণ	ˈahɔɾˌɔn
মত	mˈɔto
আগৰ	ˈaɡɔɾ
খন	kʰˈɔn
অৱসৰ	ˈɔwaˌɔχəɾ
ক	kˈɔ
দশকৰ	dˈɔʃɔkˌɔɾ
সকল	χˈəkɔl
আইনৰ	ˈainˌɔɾ
এন	ˈen
নগৰ	nˈɔɡɔɾ
বহন	bˈɔhɔn
আৰ	ˈaɾ
ওখ	ˈoːkʰ
চহৰ	t͡ʃˈɔhɔɾ
বহল	bˈɔhɔl
ঔষধ	ˈowʃɔdʰ
আসন	ˈaχən
গম	ɡˈɔm
তলৰ	tˈɔlɔɾ
The	(͡e͡n)ðə(͡a͡s)
ধন	dʰˈɔn
চন	t͡ʃˈɔn
নগৰৰ	nˈɔɡɔɾˌɔɾ
ওপৰৰ	ˈoːpɔɾˌɔɾ
খনৰ	kʰˈɔnɔɾ
ওচৰৰ	ˈoːt͡ʃɔɾˌɔɾ
সহ	χˈəho
চহৰত	t͡ʃˈɔhɔɾˌɔto
উৎস	ˈutχə
জগতৰ	ɟˈɔɡɔtˌɔɾ
এল	ˈel
বছৰত	bˈɔt͡ʃʰɔɾˌɔto
দহ	dˈɔho
কটন	kˈɔʈɔn
মনৰ	mˈɔnɔɾ
সহজ	χˈəhɔɟ
and	(͡e͡n)and(͡a͡s)
দলত	dˈɔlɔtˌo
গৰম	ɡˈɔɾɔm
পথত	pˈɔtʰɔtˌo
সৰল	χˈəɾɔl
বন	bˈɔn
গঠনৰ	ɡˈɔʈʰɔnˌɔɾ
পদৰ	pˈɔdɔɾ
ও	ˈo
বধ	bˈɔdʰ
এইচ	ˈeit͡ʃ
ওজন	ˈoːɟɔn
বল	bˈɔl
the	(͡e͡n)ðə(͡a͡s)
আচৰণ	ˈat͡ʃɔɾˌɔn
জনক	ɟˈɔnɔk
উৎসৱত	ˈutχəwˌaɔtˌo
বৰণ	bˈɔɾɔn
দমন	dˈɔmɔn
কৰ	kˈɔɾ
সমল	χˈəmɔl
অইন	ˈoin
এজনৰ	ˈeɟɔnˌɔɾ
ৰস	ɾˈoχə
খবৰ	kʰˈɔbɔɾ
আঠ	ˈaʈʰ
গণ	ɡˈɔn
ন	dˌontennˈɔ
ঘন	ɡʰˈɔn
খৰচ	kʰˈɔɾɔt͡ʃ
পথৰ	pˈɔtʰɔɾ
আগ	ˈaɡ
ইউ	ˈiu
এখনৰ	ˈekʰɔnˌɔɾ
খনত	kʰˈɔnɔtˌo
দশম	dˈɔʃɔm
এখনত	ˈekʰɔnˌɔto
বৰণৰ	bˈɔɾɔnˌɔɾ
ইন	ˈin
অকল	ˈɔkɔl
এশ	ˈeʃ
পৰম	pˈɔɾɔm
হওক	hˈɔoːk
সদৰ	χˈədɔɾ
এফ	ˈef
এবছৰ	ˈebɔt͡ʃʰˌɔɾ
জনৰ	ɟˈɔnɔɾ
লব	lˈɔb
ভৱন	bʰˈɔwaˌɔn
শপত	ʃˈɔpɔtˌo
আসনৰ	ˈaχənˌɔɾ
A	(͡e͡n)ˈe͡ɪ(͡a͡s)
অল	ˈɔl
কমল	kˈɔmɔl
কল	kˈɔl
গছত	ɡˈɔt͡ʃʰɔtˌo
দলক	dˈɔlɔk
ফৰ	fˈɔɾ
