આ	ˈaː
પણ	pˈʌɳ
જ	ɟˈə
એક	ˈeːk
પર	pˈʌɾ
એ	ˈeː
થઈ	tʰˈʌi
ન	nˈə
થઇ	tʰˈʌɪ
ઉપર	ˈʊpəɾ
એમ	ˈeːm
સમય	səmˈʌɛj
ગઈ	ɡˈʌi
આમ	ˈaːm
તરફ	təɾˈʌpʰ
લઈ	lˈʌi
ઓફ	ˈoːpʰ
અસર	ˈʌsəɾ
આગળ	aːɡˈʌr.
અલગ	ʌlˈʌɡ
વખત	wəkʰˈʌt
લઇ	lˈʌɪ
pm	(͡e͡n)pˌiːˈɛm(͡g͡u)
સતત	sətˈʌt
દર	dˈʌɾ
આવક	aːʋˈʌk
ગઇ	ɡˈʌɪ
રકમ	ɾəkˈʌm
લગભગ	lˌəɡəbʰˈʌɡ
છ	chˈə
એસ	ˈeːs
મદદ	mədˈʌd
બસ	bˈʌs
ગત	ɡˈʌt
Update	(͡e͡n)ˈʌpde͡ɪt(͡g͡u)
Daily	(͡e͡n)dˈe͡ɪli(͡g͡u)
Aajkaal	(͡e͡n)ˈɑːd͡ʒkɑːl(͡g͡u)
Last	(͡e͡n)lˈast(͡g͡u)
ધરપકડ	dʰˌəɾəpəkˈʌɖ
વગર	wˈʌɡəɾ
at	(͡e͡n)at(͡g͡u)
રદ	ɾˈʌd
પરત	pəɾˈʌt
ફરજ	pʰəɾˈʌɟ
સફળ	səpʰˈʌr.
નજર	nˈʌɟəɾ
જઈ	ɟˈʌi
આર	ˈaːɾ
ઓફર	ˈoːpʰəɾ
ખબર	kʰˈʌbəɾ
ઘર	ɡʰˈʌɾ
આઠ	ˈaːʈʰ
અબજ	ʌbˈʌɟ
વળતર	wər.ˈʌtəɾ
તક	tˈʌk
જનરલ	ɟˌənəɾˈʌl
શ	ʃˈə
બદલ	bədˈʌl
ઉ	ˈʊ
રન	ɾˈʌn
કડક	kəɖˈʌk
વન	wˈʌn
મત	mˈʌt
દસ	dˈʌs
જઇ	ɟˈʌɪ
સરળ	səɾˈʌr.
નવ	nˈʌʋ
રસ	ɾˈʌs
આગ	ˈaːɡ
ટન	ʈˈʌn
અમલ	ʌmˈʌl
કઈ	kˈʌi
તરત	təɾˈʌt
ગરમ	ɡəɾˈʌm
મન	mˈʌn
ધ	dhˈə
વલણ	wəlˈʌɳ
એન	ˈeːn
આજ	ˈaːɟ
ઓળખ	oːr.ˈʌkʰ
am	(͡e͡n)am(͡g͡u)
એકદમ	ˌeːkədˈʌm
એર	ˈeːɾ
આઉટ	aːˈʊʈ
એલ	ˈeːl
કર	kˈʌɾ
ઓઇલ	oːˈɪl
વજન	wəɟˈʌn
એપ	ˈeːp
કલમ	kəlˈʌm
નગર	nˈʌɡəɾ
પદ	pˈʌd
ભય	bʰˈʌɛj
કપ	kˈʌp
બચત	bəcˈʌt
કઇ	kˈʌɪ
એચ	ˈeːc
સર	sˈʌɾ
પગ	pˈʌɡ
આઇ	ˈaːɪ
સહન	səhˈʌn
જય	ɟˈʌɛj
સમયસર	sˌəməjˈəsəɾ
અપહરણ	ˌʌpəhəɾˈʌɳ
સરહદ	sˌəɾəhˈʌd
રમત	ɾəmˈʌt
