व	vˈə
तर	tˈʌɾ
पण	pˈʌɳ
एक	ˈeːk
करत	kˈʌɾət
न	nˈə
आपण	ˈaːpəɳ
आज	ˈaːz
इतर	ˈɪtəɾ
गरज	ɡˈʌɾəz
मदत	mˈʌdət
मग	mˈʌɡ
अटक	ˈʌʈək
यश	jˈʌʃ
सदर	sˈʌdəɾ
दर	dˈʌɾ
जर	zˈʌɾ
मत	mˈʌt
बदल	bˈʌdəl
ऑफ	ˈɔpʰ
news	(͡e͡n)njˈuːz(͡m͡r)
लवकरच	lˈʌvəkˌəɾəc
भर	bʰˈʌɾ
शहर	ʃˈʌhəɾ
वय	vˈʌɛj
आठ	ˈaːʈʰ
परत	pˈʌɾət
कदम	kˈʌdəm
एस	ˈeːs
कर	kˈʌɾ
शकत	ʃˈʌkət
जण	zˈʌɳ
ऍड	ˈɛɖ
दखल	dˈʌkʰəl
लढत	lˈʌɖʰət
वर	vˈʌɾ
सतत	sˈʌtət
घर	ɡʰˈʌɾ
आर	ˈaːɾ
आग	ˈaːɡ
एकच	ˈeːkəc
घसरण	ɡʰˈʌsəɾˌəɳ
ओळख	ˈoːɭəkʰ
शरद	ʃˈʌɾəd
लवकर	lˈʌvəkˌəɾ
Marathi	(͡e͡n)maɹˈaθɪ(͡m͡r)
Maharashtra	(͡e͡n)mˌahɐɹˈaʃtɹə(͡m͡r)
latest	(͡e͡n)lˈe͡ɪtɪst(͡m͡r)
national	(͡e͡n)nˈaʃənə͡l(͡m͡r)
आई	ˈaːi
सलग	sˈʌləɡ
नगर	nˈʌɡəɾ
एम	ˈeːm
ऊस	ˈus
पडत	pˈʌɖət
सहन	sˈʌhən
बस	bˈʌs
हजर	hˈʌzəɾ
उघड	ˈʊɡʰəɖ
जवळ	zˈʌvəɭ
आत	ˈaːt
गट	ɡˈʌʈ
कडक	kˈʌɖək
सहज	sˈʌhəz
धडक	dʰˈʌɖək
टन	ʈˈʌn
परब	pˈʌɾəb
तरच	tˈʌɾəc
उलट	ˈʊləʈ
मन	mˈʌn
नऊ	nˈʌu
अवघड	ˈʌvəɡʰˌəɖ
फरक	pʰˈʌɾək
घटक	ɡʰˈʌʈək
ठरत	ʈʰˈʌɾət
