kan	kˈan
fi	fˈi
hin	hˈin
akka	ˈakːa
isaa	ɪsˈaː
ture	tˈure
kana	kˈana
yoo	?ˈoː
tokko	tˈokːo
waan	wˈaːn
yeroo	ˌ?erˈoː
keessa	kˈeːssa
keessatti	keːssˈatːɪ
itti	ˈitːɪ
gara	ɡˈara
koo	kˈoː
irratti	ɪrrˈatːɪ
dha	ðˈa
kun	kˈun
jiru	d͡ʒˈiru
keessaa	kˈeːssaː
bara	bˈara
nama	nˈama
booda	bˈoːda
na	nˈa
isa	ˈisa
ni	nˈi
irraa	ɪrrˈaː
mana	mˈana
qabu	k`ˈabu
garuu	ɡarˈuː
qaba	k`ˈaba
irra	ˈirra
osoo	osˈoː
ishee	ɪʃˈeː
hanga	hˈanɡa
malee	malˈeː
immoo	ɪmmˈoː
natti	nˈatːɪ
jira	d͡ʒˈira
inni	ˈinnɪ
bakka	bˈakːa
of	ˈof
isaanii	ɪsˈaːnɪː
Yeroo	ˌ?erˈoː
keenya	kˈeːɲa
wal	wˈal
Oromoo	ˌoromˈoː
kunis	kˈunɪs
adda	ˈadːa
sana	sˈana
baayyee	baːˈ??eː
walitti	walˈitːɪ
jedhu	d͡ʒˈeðu
guddaa	ɡudːˈaː
ykn	ˈ?kn
isaan	ɪsˈaːn
wajjin	wˈad͡ʒd͡ʒɪn
jedhamu	d͡ʒeðˈamu
Piiter	pˈiːter
hunda	hˈunda
karaa	karˈaː
Bara	bˈara
biraa	bɪrˈaː
hojii	hod͡ʒˈiː
kutaa	kutˈaː
kanaa	kanˈaː
afaan	afˈaːn
erga	ˈerɡa
ol	ˈol
guyyaa	ɡuˈ??aː
waliin	walˈiːn
ani	ˈanɪ
jedhee	d͡ʒeðˈeː
qofa	k`ˈofa
haa	hˈaː
naa	nˈaː
amma	ˈamma
biyya	bɪˈ??a
Garuu	ɡarˈuː
naannoo	nˈaːnnoː
turan	tˈuran
akkan	ˈakːan
immo	ˈimmo
sitti	sˈitːɪ
kanaan	kanˈaːn
waggaa	waɡːˈaː
lafa	lˈafa
Aanaa	ˈaːnaː
kessatti	kessˈatːɪ
