ਇਸ	ˈɪs
ਲਈ	lˈʌi
ਇਹ	ɪh
ਉਸ	ˈʊs
ਉਹ	ʊh
ਹਨ	hən
ਕਰਨ	kˈʌɾən
ਕਰ	kˈʌɾ
ਸਭ	sˈʌbʰ
ਪਰ	pˈʌɾ
ਗਈ	ɡˈʌi
ਕਈ	kˈʌi
ਜਨਮ	ɟˈʌnəm
ਸਨ	sən
ਆਮ	ˈam
ਗਏ	ɡˈʌe
ਇਕ	ˈɪk
ਚ	cˈʌ
ਬਣ	bˈʌɳ
ਘਰ	kˈʌ+ɾ
ਹਰ	hˈʌɾ
ਉਮਰ	ˈʊməɾ
ਆਪ	ap
ਆ	ˈa
ਧਰਮ	tˈʌ+ɾəm
ਅਰਥ	ˈʌɾətʰ
ਲਗਭਗ	lˈʌɡəbʰˌəɡ
ਤਕ	tˈʌk
ਅਕਸਰ	ˈʌkəsˌəɾ
ਆਫ	ˈapʰ
ਆਈ	ˈai
ਔਰਤ	ˈɔɾət
ਦ	dˈʌ
ਏ	ˈe
ਭਰ	pˈʌ+ɾ
ਆਉਣ	ˈaʊɳ
ਅਸਲ	ˈʌsəl
ਆਇਆ	ˈaɪˌa
ਵਰਗ	vˈʌɾəɡ
ਅਗਸਤ	ˈʌɡəsˌət
ਮਈ	mˈʌi
ਬਦਲ	bˈʌdəl
ਰਸ	ɾˈʌs
ਐਮ	ˈɛm
ਮਦਦ	mˈʌdəd
ਮਨ	mˈʌn
ਆਏ	ˈae
ਬਣਨ	bˈʌɳən
ਬਚਪਨ	bˈʌcəpˌən
ਵਰਣਨ	vˈʌɾəɳˌən
ਮਤਲਬ	mˈʌtəlˌəb
ਵਧ	vˈʌdʰ
ਨਗਰ	nˈʌɡəɾ
ਜਦ	ɟˈʌd
ਦਰ	dˈʌɾ
ਜਨਰਲ	ɟˈʌnəɾˌəl
ਦਰਜ	dˈʌɾəɟ
ਐਨ	ˈɛn
ਜਨਤਕ	ɟˈʌnətˌək
ਐਸ	ˈɛs
ਉਲਟ	ˈʊləʈ
ਜਰਮਨ	ɟˈʌɾəmˌən
ਸਮਰਥਨ	sˈʌməɾˌətʰən
ਖਤਮ	kʰˈʌtəm
ਵਰਲਡ	vˈʌɾəlˌəɖ
ਸਮਝ	sˈʌməɟʰ
ਦਸ	dˈʌs
ਸਰਗਰਮ	sˈʌɾəɡˌəɾəm
