සහ	sˈɐhə
අතර	ˈɐtəɹə
වන	wˈɐnə
ඇත	ˈætə
ද	dˈə
කරන	kˈɐɹənə
එය	ˈejə
කර	kˈɐɹə
කළ	kˈɐɭə
බව	bˈɐw
යන	jˈɐnə
එම	ˈemə
ඒ	ˈeː
ලද	lˈɐdə
වල	wˈɐlə
බවට	bˈɐwəʈə
මත	mˈɐtə
සමග	sˈɐməɡə
කල	kˈɐlə
පමණ	pˈɐməɳə
තම	tˈɐmə
වලට	wˈɐləʈə
ඇය	ˈæjə
ගත	ɡˈɐtə
සමඟ	sˈɐməᵑɡə
නව	nˈɐw
වසර	wˈɐsəɹə
ම	mˈə
ය	jˈə
සමහර	sˈɐməhˌəɹə
ලබන	lˈɐbənə
ඉහළ	ˈihəɭə
ඊට	ˈiːʈə
හට	hˈɐʈə
බලය	bˈɐləjə
එයට	ˈejəʈə
එකම	ˈekəmə
අමතරව	ˈɐmətˌəɹəw
ව	wˈə
ජලය	d͡ʒˈɐləjə
තවද	tˈɐwədə
ට	ʈˈə
පහත	pˈɐhətə
ක	kˈə
කට	kˈɐʈə
එක	ˈekə
එන	ˈenə
අය	ˈɐjə
නගරය	nˈɐɡəɹˌəjə
රටවල	ɹˈɐʈəwˌələ
බල	bˈɐlə
ඉඩ	ˈiɖə
අවම	ˈɐwəmə
රජ	ɹˈɐd͡ʒə
උපත	ˈupətə
අද	ˈɐdə
ඇයට	ˈæjəʈə
රට	ɹˈɐʈə
කළහ	kˈɐɭəhə
අප	ˈɐpə
ජල	d͡ʒˈɐlə
ඉහත	ˈihətə
ඉහල	ˈihələ
පහළ	pˈɐhəɭə
රජය	ɹˈɐd͡ʒəjə
මහ	mˈɐhə
නගර	nˈɐɡəɹə
නම	nˈɐmə
of	(͡e͡n)ɒv(͡s͡i)
ආයතන	ˈaːjətˌənə
මම	mˈɐmə
ජන	d͡ʒˈɐnə
ආයතනය	ˈaːjətˌənəjə
එකල	ˈekələ
අගය	ˈɐɡəjə
මස	mˈɐsə
උප	ˈupə
තව	tˈɐw
වයස	wˈɐjəsə
පහර	pˈɐhəɹə
සරල	sˈɐɹələ
මතය	mˈɐtəjə
මව	mˈɐw
ආවරණය	ˈaːwəɹˌəɳəjə
අසල	ˈɐsələ
ජනපද	d͡ʒˈɐnəpˌədə
අවට	ˈɐwəʈə
අදහස	ˈɐdəhˌəsə
අපට	ˈɐpəʈə
වරට	wˈɐɹəʈə
වචන	wˈɐt͡ʃənə
උපකරණ	ˈupəkˌəɹəɳə
මහජන	mˈɐhəd͡ʒˌənə
ඇයව	ˈæjəw
බවය	bˈɐwəjə
උස	ˈusə
ආගම	ˈaːɡəmə
ඒකක	ˈeːkəkə
ඔබ	ˈobə
The	(͡e͡n)ðə(͡s͡i)
දළ	dˈɐɭə
මට	mˈɐʈə
අතට	ˈɐtəʈə
ගණනය	ɡˈɐɳənˌəjə
තරග	tˈɐɹəɡə
ජනපදය	d͡ʒˈɐnəpˌədəjə
සමය	sˈɐməjə
මරණයට	mˈɐɹəɳˌəjəʈə
මග	mˈɐɡə
බලන	bˈɐlənə
ආ	ˈaː
සපයන	sˈɐpəjˌənə
එකට	ˈekəʈə
මරණ	mˈɐɹəɳə
පදනම	pˈɐdənˌəmə
සහය	sˈɐhəjə
සම	sˈɐmə
සමගම	sˈɐməɡˌəmə
ඖෂධ	ˈa͡ʊʃədʰə
තරඟ	tˈɐɹəᵑɡə
පද	pˈɐdə
බර	bˈɐɹə
ඒක	ˈeːkə
පළ	pˈɐɭə
මරණය	mˈɐɹəɳˌəjə
පවසන	pˈɐwəsˌənə
වචනය	wˈɐt͡ʃənˌəjə
පදය	pˈɐdəjə
අතරට	ˈɐtəɹˌəʈə
කරගත	kˈɐɹəɡˌətə
චලනය	t͡ʃˈɐlənˌəjə
එවකට	ˈewəkˌəʈə
ගණන	ɡˈɐɳənə
ජනගහනය	d͡ʒˈɐnəɡˌəhənˌəjə
ඝන	ɡʰˈɐnə
පල	pˈɐlə
පස	pˈɐsə
අත	ˈɐtə
අග	ˈɐɡə
අවසර	ˈɐwəsˌəɹə
ඈත	ˈæːtə
දහම	dˈɐhəmə
සහගත	sˈɐhəɡˌətə
කරවන	kˈɐɹəwˌənə
කහ	kˈɐhə
බවද	bˈɐwədə
රථ	ɹˈɐtʰə
and	(͡e͡n)and(͡s͡i)
ජය	d͡ʒˈɐjə
එකඟ	ˈekəᵑɡə
දමන	dˈɐmənə
පනත	pˈɐnətə
අමතර	ˈɐmətˌəɹə
උඩරට	ˈuɖəɹˌəʈə
දරන	dˈɐɹənə
