பல	pˈʌlʌ
என	ʲˈenʌ
உலக	ˈulʌɡʌ
ஆக	ˈaːɡʌ
வட	vˈʌɖʌ
of	(͡e͡n)ɒv(͡t͡a)
அரச	ˈaɹʌsʌ
த	tˈʌ
ஐ	ˈa͡ɪ
நகர	nˈʌɡʌɹʌ
சமய	sˈʌmʌjʌ
இன	ˈinʌ
நடன	nˈʌɖʌnʌ
ஏ	jˈeː
மத	mˈʌdʌ
and	(͡e͡n)and(͡t͡a)
தர	tˈʌɹʌ
இதர	ˈidʌɹʌ
ஆன	ˈaːnʌ
மன	mˈʌnʌ
வர	vˈʌɹʌ
The	(͡e͡n)ðə(͡t͡a)
A	ˈeːj
the	(͡e͡n)ðə(͡t͡a)
எ	ʲˈe
II	(͡e͡n)ɹˌə͡ʊmən tˈuː(͡t͡a)
சக	sˈʌɡʌ
சம	sˈʌmʌ
இதய	ˈidʌjʌ
C	sˈiː
அ	ˈa
III	(͡e͡n)ɹˌə͡ʊmən θɹˈiː(͡t͡a)
in	(͡e͡n)ˈɪn(͡t͡a)
இலவச	ˈilʌvˌʌsʌ
I	ˈaːj
கன	ɡˈʌnʌ
x	ˈɛks
B	bˈiː
மர	mˈʌɹʌ
பயண	pˈʌjʌɳʌ
பட	pˈʌɖʌ
n	ˈɛn
மரண	mˈʌɹʌɳʌ
கழக	kˈʌɻʌɡʌ
ஊடக	ˈuːɖʌɡʌ
பண	pˈʌɳʌ
இ	ˈi
இட	ˈiɖʌ
ஓ	ˈoː
வன	vˈʌnʌ
a	ˈeːj
சமண	sˈʌmʌɳʌ
O	ˈoː
அவசர	ˈavʌsˌʌɹʌ
நல	nˈʌlʌ
வளர	vˈʌɭʌɹʌ
X	ˈɛks
உதவ	ˈudʌvʌ
V	vˈiː
உயர	ˈujʌɹʌ
வள	vˈʌɭʌ
H	ˈeːt͡ʃ
IV	(͡e͡n)ɹˌə͡ʊmən fˈɔː(͡t͡a)
ஆலய	ˈaːlʌjʌ
S	ˈɛs
de	(͡e͡n)də(͡t͡a)
N	ˈɛn
India	(͡e͡n)ˈɪndiə(͡t͡a)
F	ˈɛf
R	ˈaːr
or	(͡e͡n)ɔː(͡t͡a)
T	tʰˈiː
P	pˈiː
தடகள	tˈʌɖʌɡˌʌɭʌ
ஈ	ˈiː
தள	tˈʌɭʌ
K	kˈeːj
உணர	ˈuɳʌɹʌ
தல	tˈʌlʌ
அக	ˈaɡʌ
