ఈ	ˈiː
ఒక	ˌoka
ఆ	ˈaː
తన	tˈana
ఆయన	ˈaːjana
ఇతర	ˈitara
ఉప	ˈupa
తమ	tˈama
వలన	ʋˈalana
వ	ʋˈa
ఏ	ˈeː
గల	ɡˈala
న	nˈa
ఓ	ˈoː
ఈయన	ˈiːjana
మన	mˈana
కథ	kˈatʰa
ల	lˈa
ఆలయ	ˈaːlaja
జనగణన	ɟˈanaɡˌaɳana
ఇక	ˈika
రచన	rˈacana
వలస	ʋˈalasa
నగర	nˈaɡara
మత	mˈata
సహజ	sˈahaɟa
నవల	nˈaʋala
ఔషధ	ˈa͡ʊʂadʰa
గత	ɡˈata
of	(͡e͡n)ɒv(͡t͡e)
ఎ	ʲˈe
తల	tˈala
శ	ɕˈa
బయట	bˈajaʈa
దశ	dˈaɕa
కల	kˈala
సభ	sˈabʰa
ఘన	ɡʰˈana
చలన	cˈalana
జనన	ɟˈanana
ఆట	ˈaːʈa
మగ	mˈaɡa
కళ	kˈaɭa
and	(͡e͡n)and(͡t͡e)
ఐ	ˈa͡ɪ
ఎడమ	ʲˈeɖama
మరల	mˈarala
సకల	sˈakala
ఘనత	ɡʰˈanata
ద	da
ఋణ	rˈuɳa
ఆదరణ	ˈaːdarˌaɳa
ఆటల	ˈaːʈala
ఆడ	ˈaːɖa
ఐదవ	ˈa͡ɪdaʋa
II	(͡e͡n)ɹˌə͡ʊmən tˈuː(͡t͡e)
ఆరవ	ˈaːraʋa
పరమ	pˈarama
ఏట	ˈeːʈa
I	ˈaːj
The	(͡e͡n)ðə(͡t͡e)
ఏడవ	ˈeːɖaʋa
నటన	nˈaʈana
Amritsar	(͡e͡n)ɐmɹˈɪtsə(͡t͡e)
జల	ɟˈala
ధర	dʰˈara
భవన	bʰˈaʋana
అ	ˈa
జన	ɟˈana
కడప	kˈaɖapa
the	(͡e͡n)ðə(͡t͡e)
కథల	kˈatʰala
కలప	kˈalapa
in	(͡e͡n)ˈɪn(͡t͡e)
పడమర	pˈaɖamˌara
A	ˈeːj
సరసన	sˈarasˌana
ఏక	ˈeːka
వరద	ʋˈarada
రచనల	rˈacanˌala
పదవ	pˈadaʋa
సహ	sˈaha
C	sˈiː
మరణ	mˈaraɳa
వచన	ʋˈacana
సరళ	sˈaraɭa
ధన	dʰˈana
III	(͡e͡n)ɹˌə͡ʊmən θɹˈiː(͡t͡e)
ఇ	ˈi
ఓడ	ˈoːɖa
దహన	dˈahana
నవ	nˈaʋa
భజన	bʰˈaɟana
ఆశ	ˈaːɕa
దయ	dˈaja
పలక	pˈalaka
మగధ	mˈaɡadʰa
అయన	ˈajana
ఐన	ˈa͡ɪna
పడవ	pˈaɖaʋa
పగ	pˈaɡa
ఈత	ˈiːta
జయ	ɟˈaja
పద	pˈada
B	bˈiː
ఉభయ	ˈubʰaja
బస	bˈasa
రమణ	rˈamaɳa
HPV	(͡e͡n)ˌe͡ɪt͡ʃpˌiːvˈiː(͡t͡e)
కణ	kˈaɳa
India	(͡e͡n)ˈɪndiə(͡t͡e)
O	ˈoː
a	ˈeːj
నడక	nˈaɖaka
సవరణ	sˈaʋarˌaɳa
నట	nˈaʈa
ఇచట	ˈicaʈa
to	(͡e͡n)tuː(͡t͡e)
అర	ˈara
లత	lˈata
Indian	(͡e͡n)ˈɪndi͡ən(͡t͡e)
జత	ɟˈata
భరత	bʰˈarata
అచట	ˈacaʈa
History	(͡e͡n)hˈɪstəɹi(͡t͡e)
or	(͡e͡n)ɔː(͡t͡e)
పలకల	pˈalakˌala
US	(͡e͡n)jˌuːˈɛs(͡t͡e)
by	(͡e͡n)bˈa͡ɪ(͡t͡e)
కమల	kˈamala
జ	ɟˈa
వధ	ʋˈadʰa
E	ˈiː
H	ˈeːt͡ʃ
X	ˈɛks
కళల	kˈaɭala
గణన	ɡˈaɳana
DNA	(͡e͡n)dˌiːˌɛnˈe͡ɪ(͡t͡e)
V	vˈiː
ఊహ	ˈuːha
జమ	ɟˈama
సమయ	sˈamaja
Ajnala	(͡e͡n)ad͡ʒnˈɑːlə(͡t͡e)
ఆపద	ˈaːpada
కలత	kˈalata
ధరల	dʰˈarala
మడ	mˈaɖa
రజత	rˈaɟata
వలసల	ʋˈalasˌala
x	ˈɛks
ఘటన	ɡʰˈaʈana
లయ	lˈaja
D	dˈiː
తమతమ	tˈamatˌama
N	ˈɛn
అవతల	ˈaʋatˌala
ఎడల	ʲˈeɖala
ఒ	ˈo
S	ˈɛs
సమర	sˈamara
అలసట	ˈalasˌaʈa
ఆవరణ	ˈaːʋarˌaɳa
తపన	tˈapana
మకర	mˈakara
సజల	sˈaɟala
నవలల	nˈaʋalˌala
పర	pˈara
