dreq	dɾɛcɕ
dardhëz	daɾðəz
hoxhë	hodʒə
njëzetegjashtë	ɲəzɛtɛɟʑaʃtə
xh	d͡ʒ
shëllij	ʃəɫij
quaj	cuːj
shqip	ʃkʲip
mëdhenj	təməðɛɲ
gjumë	ɟumə
man	man
sorkadh	sorkað
jargavan	jaɾɡavan
skllav	skɫav
shokët	ʃɔkət
skipetar	ʃciptaɾ
skipetar	ʃkʲiptaɾ
krifshë	kɾiːfʃ
kurorë	kuɾɔɾ
shfrej	ʃfɾɛj
tridhjetepesë	tɾiðjɛtɛpesə
bardhyll	baːɾðiːɫ
prëhën	pɾəhən
gojë	ɡɔjə
viç	vit͡ɕ
zh	ʒ
njëzeteshtatë	ɲəzɛtɛʃtatə
klumështi	kluməʃti
faltore	faltɔɾɛ
thyej	θyɛj
livadh	livað
përafrohem	pəɹafɹɔhɛm
zemër	zɛməɾ
përmby	pərmbyː
xixëllonjë	dzidzəɫɔɲə
po	pɔ
sajoj	sajɔj
juaj	juaj
peshqit	pɛʃt͡ɕit
bakërt	bakəɾt
sorrë	sɔrə
bilur	biluɾ
kalamend	kalamɛnd
gështenjë	ɡəʃtɛːɲə
miqësi	micɕəsi
macë	mõːt͡s
bashkim	baʃkim
punë	punə
shpat	ʃpat
lëndinë	ləndiːn
që	cə
tridhjetetre	tɾiðjɛtɛtɾɛ
kaçërotë	käcəɹɔːtə
fyt	fyt
dukshëm	dukʃəm
punoj	punɔj
lis	lis
thashethemëxhi	θaʃɛθɛmdʒi
që	t͡ʃə
përafroj	pəɹafɹɔj
ëngjëll	əndʑəɫ
jermësinë	jɛɾməsiːn
ora	ɔɾa
fëmijë	fəmijə
veri	vɛɾiː
quaj	kʎuːɲ
lexim	lɛdzim
motiv	motiv
kikirrikë	kikirikə
shqipëria	ʃcɕipənia
mikologji	mikɔlɔɟʑi
thi	θiː
tamël	tɑ̃məl
zabel	zabɛl
shokut	ʃɔkut
quaj	c͡ɕuːj
bujar	bujaɾ
kafkë	kafkə
fatos	fatɔs
lindje	lindjɛ
maraq	maɾacç
njëzetepesë	ɲəzɛtɛpɛsə
shqiptoj	ʃt͡ʃiptɔj
shqiptoj	ʃciptɔj
atje	atjɛ
zjarr	zjar
pesëdhjetetetë	pɛsəðjɛtɛtɛtə
shitoj	ʃitɔj
byrek	byɾɛk
buj	buj
bli	bli
balkrocë	balːkɾɔt͡s
përkeq	pəɾkɛc
