gadu	ɡə̀dúː
shirka	ʃɪ́rkàː
makama	mə́káːmáː
r̃	r
kurwa	kʷʊ̀ɽwáː
alaramma	ʔálə̀rámmə̀
kasu	kə̀sɪ́
biyar	bɪ̀jɛ́r
addini	ʔàddíːnìː
maiso	méisóː
humushi	hʊ́mùːʃíː
rama	ɽàːmə́
kanumfari	kə̀nɪ́mɸə̀ríː
safi	sáːɸíː
shu'umi	ʃɪ́ʔʊ̀míː
arba'in	ʔàrbə̀ʔɪ́ŋ
katibi	káːtɪ̀bíː
raka'a	rə́kə́ʔàː
biya	bɪ́jɛ̀
randa	ɽàndáː
ƙasida	kʼə̀síːdàː
tiƙis	tɪ́cʼɪ́s
auduga	ʔáudɪ̀ɡáː
po	pôː
taure	táuɽèː
suya	súːjàː
jumma'a	d͡ʒɪ́mmə́ʔàː
soba	sòːbə́
makama	mə́kàːmáː
bishiya	bɪ́ʃɪ́jàː
tanaka	tàːnáːkàː
nono	nóːnòː
sujjada	sɪ̀dd͡ʒə́dàː
wali	wáːlíː
sharaɗi	ʃə́rə̀ɗíː
haɓɓoje	háɓɓóːd͡ʒè
kurkuku	kʷʊ̂rkʷʊ́kʷùː
jafa'i	d͡ʒə̀ɸáːʔìː
yarima	jɛ̀ríːmə̀
tukuf	tɪ́kʷʊ́p
mayu	máːjùː
ice	ʔɪ́t͡ʃèː
ita	ʔɪ́tə́
aƙalla	ʔàkʼállə̀
fatanya	ɸə́tɛ́ɲjàː
alkadari	ʔàlkə́də̀ríː
haraji	hàráːd͡ʒìː
kwamfyuta	kʷàmɸʲúːtàː
baƙi	bə́cʼíː
arewa	ʔáɽèːwə́
jamus	d͡ʒáːmʊ̀s
agola	ʔáɡʷòːlə̀
kunne	kʷʊ́nné
ushira	ʔʊ́ʃɪ̀ráː
fahari	ɸə́hàríː
huɗuba	hʊ́ɗɪ́bàː
kanta	kántáː
zuriya	zɪ̀rɪ́jàː
giwa	ɟíːwáː
diflomasiyya	dɪ̀ɸlòːmə̀sɪ́jjàː
ca	t͡ʃáː
murjani	mʊ̀rd͡ʒáːnìː
marke	máɽcéː
kanne	kánnèː
isƙandariya	ʔɪ̀skʼándə̀rɪ́jɛ̀
marhabin	màrhábɪ̀ŋ
gajere	ɡə̀d͡ʒéːɽé
zikiri	zɪ́cɪ̀ríː
hatimi	háːtɪ̀míː
umra	ʔʊ́mráː
hadizatu	hàdíːzə́tɪ̀
zare	zə̀ɽéː
wakili	wə̀cíːlìː
abubakar	ʔàbúːbə́kàr
muddin	mʊ́ddɪ̀ŋ
lam	láŋ
nahiya	náːhɪ́jàː
sau	sáu
nasaba	nə́sə́bàː
maɗaba'a	mə́ɗáːbə́ʔáː
fat	ɸát
ri	rìː
uwa	ʔʊ́wə́
bararo	bə̀rə̀róː
caka	t͡ʃə́kə́
ali	ʔàlɪ́
wa'azi	wə́ʔàzíː
saniya	sáːnɪ̀jáː
allah	ʔállàː
sharifi	ʃə̀ríːɸìː
kanti	kàntíː
zundum	zɪ̀ndɪ́m
tsaka	sʼə́kə̀
tsigi	sʼíːɟíː
dogara	dòːɡə́ɽə̀
safar	sə́ɸàr
ijara	ʔɪ̀d͡ʒáːràː
tsoho	sʼóːhóː
jidali	d͡ʒɪ̀dáːlìː
masoro	mə̀sóːɽó
ɗawisu	ɗáːwíːsɪ̀
isma'ilu	ʔɪ̀smáːʔíːlɪ̀
sitira	sɪ̀tɪ́ràː
acca	ʔátt͡ʃàː
magini	mə́ɟìːníː
hoda	hóːdàː
tsundum	sʼɪ̀ndɪ̀m
zara	zə̀ɽáː
muzuru	mʊ̀zúːɽúː
sahani	sə̀háːnìː
ciki	t͡ʃɪ́cìː
gomiya	ɡʷòːmɪ́jáː
rula	rúːlàː
baba	bàːbáː
mustapha	mʊ́stə̀ɸáː
su	sùː
tabarau	tə̀bàːɽáu
saja	sáːd͡ʒàː
gurasa	ɡʷʊ̀ráːsàː
hakimi	háːcɪ̀míː
tilas	tíːlàs
daimon	déimɔ̀ŋ
gadara	ɡə̀dáːràː
tik	tɪ̂k
baibai	bèibêi
tim	tɪ̂ŋ
ungozoma	ʔʊ̀ŋɡʷóːzòːmə̀
ƙumba	kʷʼʊ̀mbáː
bif	bɪ̂p
