гъогурыгъуазэ	ʁʷaɡʷrəʁʷaːza
кӏьыин	kʲʼəjən
мэгоӏэн	maɡʷaʔan
мэтхъэжьын	matχaʑən
гъоплъышъо	ʁʷapɬəʂʷa
псэхалӏэ	psaxaɬʼz
гъуркӏ	ʁʷərt͡ʃʼ
гъэсэкъатын	ʁasaqaːtən
мыкӏэ	mət͡ʃʼa
иджэгъун	d͡ʒaʁʷən
ухын	wxən
пщылӏын	pɕəɬʼən
шапсыгъэбзэ	ʃapsəʁabza
екъудыин	qʷədəjən
къэкъыин	qaqəjən
хьилэ	ħəjla
фэлъэкӏьын	ɬakʲʼən
гъэпкӏын	ʁapt͡ʃʼən
къэутхын	qawətxən
пхъон	pχʷan
шӏоӏун	ʃʷʼaʔʷən
езбырэу	jazbəraw
быргусыргу	bərɡʷəsərɡʷ
чыӏун	t͡ʃəʔʷən
къэхьыпэрылъф	qaħəparəɬf
джарэу	d͡ʒaːraw
чӏыбгъэ	ħaːsatx
джамбырыу	d͡ʒaːmbərəw
кьэрхъон	kʲarχʷan
етӏупщыхьахын	jatʷʼpɕəħaːxən
зетын	zajtən
мэпкӏэн	mapt͡ʃʼan
хэупцӏэн	xawpt͡sʼan
аужым	aːwʒəm
къо	qʷa
ебгын	jabɣən
напэ	naːpa
мэушӏоин	mawʂʷajən
зэпэчъэн	zapat͡ʂan
енэпэшъоон	janapaʃʷawan
шъэжъыяц	ʂaʐəjaːt͡s
ӏофы	ʔʷafə
пэгъон	paʁʷaːna
дегъэбзыхыкӏэн	ʁapsən
хэкӏодыкӏын	xakʷʼadət͡ʃʼəm
къэхьпэ	qaħpa
хъо	χʷa
сӏынэ	sʼəna
пщэрыхьапӏэ	pɕarəħaːpʼa
бзыукӏалъэ	bzəwt͡ʃʼaːɬa
сэнсэй	sansaj
гьэгу	ɡʲaɡʷ
хъумэн	χʷəman
пэцуй	pat͡ʃʷəj
хьэлэгъу	ħaɮaw
ахъщапс	aːχʃaːps
ошъогу	waʂʷaɡʷ
дэгъолъхьан	taʁʷaɬħaːn
мэчъыен	mat͡ʃəjan
пысӏэн	pəsʼan
бэгыгъэ	baɣəʁa
чырбыщ	t͡ʃərbəɕ
бэгъашӏэ	baʁaːʃʼa
езэон	jazawan
кӏьэрахъо	kʲʼaraːχʷa
ехъырхъышэн	jaχərχəʃan
фызын	fəzən
цумпэ	t͡sʷəmpa
цӏэнлъэн	t͡sʼaɬan
гъэфэбапӏэ	ʁafabaːpʼa
къэи	qajə
бзэгурацу	bzaɡʷəraːt͡ʃʷ
къутэн	qʷətan
дэнэн	danan
бэйкол	baːkʷal
делэ	dajɮa
еплъын	japɬən
тӏыргъон	tʼərʁʷan
насыпынчъэ	naːsəpənt͡ʂ
ӏэпытӏэрын	ʔapətʼarən
ыгузэгу	əɡʷəzaɡʷ
шӏыкӏэен	ʃʼət͡ʃʼajan
щыгъупшын	ɕəʁʷəpʃən
уащхъуэ	waːɕχʷa
дэхьыен	daħəjan
къотэгъу	qʷataʁʷ
кӏэнлъэ	t͡ʃʼanɬa
шы	ʃə
кӏымафэ	t͡ʃʼəmaːfa
дэкӏоен	dakʷʼajan
гъолъын	ʁʷaɬən
гущыӏэухыгъэ	ɡʷəɕəʔawxəʁa
ӏэхъу	ʔaχʷ
стыгъэ	stəʁa
