vitamiene	vitɐminə
paal	pɑːl
gediversifiseerde	xədiværsifisiərdə
Bouwer	bəʊər
has	hɐs
suur	syr
Advokate	ɐtfukɑːtə
fondasies	fɔndɑːsis
ars	ɐrs
terdee	tærdiə
voorbeeldige	fʊərbiəldəxə
skattings	skɐtəŋs
aaneenlopende	ɑːnʔiənlʊəpəndə
opperste	ɔpərstə
rubrieke	rœbrikə
terugverlang	trœxfərlɐŋ
Havana	hɐvɐnɐ
Damaraland	dɑːmɑːrɑːlɐnt
handig	hɐndəx
Houtbaai	həʊtbɑɪ
kort	kɔrt
program	pruxrɐm
Trees	triəs
Stryd	strɛɪt
rustigheid	rœstəxɛɪt
kinders	kəndərs
update	œpdɑːtə
begrafnisondernemer	bəxrɐfnəsɔnərniəmər
sandput	sɐntpœt
Gertze	xærtsə
kruik	krøyk
poffertjies	pɔfərcis
haters	hɑːtərs
Mure	myrə
aspekte	ɐspɛktə
fratsongeluk	frɐtsɔnxəlœk
wenpad	vɛnpɐt
Mannetjie	mɐnici
rugbaar	rœxbɑːr
Cupido	kypidu
Brut	brœt
EP	ɛp
Eienaars	ɛɪənɑːrs
knie	kni
drein	drɛɪn
kleuterskole	kløətərskʊələ
volskaalse	fɔlskɑːlsə
regstegniese	ræxstæxnisə
Mnr	məniər
gunsteling	xœnstələŋ
bloekombome	blukɔmbʊəmə
verwyder	fərvɛɪdər
jaggeweer	jɐxəviər
blou	bləʊ
turbodiesel	tœrbʊədisəl
uitgegee	øytxəxiə
Anel	ɐnæl
Harmonie	hɐrmuni
Debbo	dɛbu
waarná	vɑːrnɑː
botsings	bɔtsəŋs
Christologie	xrəstuluxi
Noem	num
SAOG	sɑːɔx
tromspeler	trɔmspiələr
Tess	tɛs
interaktief	əntərɐktif
selfversekerdheid	sælffərsiəkərthɛɪt
neutmuskaat	nøətmœskɑːt
loof	lʊəf
Pepper	pɛpər
gevloek	xəfluk
onderspeel	ɔnərspiəl
volmaaktheid	fɔlmɑːkthɛɪt
gedip	xədəp
Studiegids	stydixəts
J	jiə
behoudendes	bəhəʊdəndəs
Omstreeks	ɔmstriəks
titseltjie	tətsəlci
liefderik	lifdərək
hij	həj
League	liəɐxyə
naamlik	nɑːmlək
owerspelige	ʊəvərspiələxə
honderdtalle	hɔnərtɐlə
entoesiasties	ɛntusiɐstis
Welstand	vælstɐnt
reliëf	riəliɛf
knippie	knəpi
Swiegers	swixərs
aangeleenthede	ɑːnxəliənthiədə
Winterhoop	vəntərhʊəp
eNuus	iənys
Angs	ɐŋs
Haal	hɑːl
geweef	xəviəf
barstens	bɐrstəns
omnibus	ɔmnibœs
redakteurs	rədɐktøərs
Greig	xrɛɪx
taak	tɑːk
wêreldwyd	væːrəltvɛɪt
roosblare	rʊəsblɑːrə
verjaardagpartytjies	fərjɑːrdɐxpɐrtɛɪcis
Os	ɔs
altesaam	ɐltəsɑːm
verguis	fərxøys
klaer	klɑːr
prof	prufɛsər
spreker	spriəkər
geprofeteerde	xəprufiətiərdə
denkbeeldige	dɛŋkbiəldəxə
statig	stɑːtəx
Sandrivier	sɐntrəfiːr
betaalpunt	bətɑːlpœnt
Arandis	ɑːrɐndəs
waarmee	vɑːrmiə
afskaf	ɐfskɐf
Efes	iəfəs
Lapa	lɑːpɐ
Wingerde	vəŋərdə
silo	silu
Iere	irə
kommunikatiewe	kɔmynikɐtivə
kolonisasie	kulʊənisɑːsi
deurgegaan	døərxəxɑːn
kruispad	krøyspɐt
Touch	təʊx
mikrofone	mikrufʊənə
skreeu	skriuː
dogmas	dɔxmɐs
chaoties	xɑːʊətis
milde	məldə
tydvakke	tɛɪtfɐkə
tuisonderrig	tøysɔnərrəx
Sentraal	sɛntrɑːl
Dankbaar	dɐŋkbɑːr
situasies	sətʃuɑːsis
au	əʊ
Kerskaartjies	kærskɑːrcis
digbevolkte	dəxbəfɔlktə
ingelui	ənxəløy
Geboue	xəbəʊə
Moedertaaldag	mudərtɑːldɐx
Arina	ɑːrinɐ
kultuurskat	kœltyrskɐt
volksvreemde	fɔlksfriəmdə
sonnette	sunɛtə
Wonder	vɔnər
weldra	vældrɑː
Blum	blum
Leidsman	lɛɪtsmɐn
flank	flɐŋk
Soweto	suwɛːtu
Gim	xəm
dinamika	dinɑːmikɐ
roof	rʊəf
Kultuurvryheid	kœltyrfrɛɪhɛɪt
MOET	mut
hardwerkend	hɐrtværkənt
Suzaan	syzɑːn
verstel	fərstæl
hulpvaardig	hœlpfɑːrdəx
Staal	stɑːl
Innes	ənɛs
Klara	klɑːrɐ
Marné	mɐrnə
gemanifesteer	xəmɐnifɛstiər
biobrandstof	biɔbrɐntstɔf
observasie	ɔpsærfɑːsi
teologiese	tiulʊəxisə
bulletjie	bœlici
Brahman	brɑːmɐn
onderhandelde	ɔnərhɐndəldə
ouditeure	əʊditøərə
sekuriteitsmaatskappye	səkyritɛɪtsmɑːtskɐpɛɪə
Eleasar	iəliəɑːsɐr
rugbyondersteuners	rœɡbiɔnərstøənərs
Rekenaarwetenskap	riəkənɑːrviətənskɐp
skepper	skɛpər
polisiestasie	pulisistɑːsi
Ngobeni	ŋʊəbəni
Jeugsentrum	jøəxsɛntrœm
Dick	dək
vrymoedigheid	frɛɪmudəxɛɪt
geleide	xəlɛɪdə
gehandel	xəhɐndəl
onvang	ɔnfɐŋ
Mbalula	mbɑːlylɐ
doodgemaak	dʊətxəmɑːk
Halleluja	hɐləlyjɐ
Westerlinge	vɛstərləŋə
oopgegaan	ʊəpxəxɑːn
Skryfkuns	skrɛɪfkœns
gedikteer	xədəktiər
Garmin	xɐrmən
ooreenstemmende	ʊəriənstɛməndə
belanghebbendes	bəlɐŋhɛbəndəs
antieke	ɐntikə
gemeentetjie	xəmiəntici
Ranger	rɐŋər
regeringstelsel	rəxiərəŋstælsəl
wagwoord	vɐxvʊərt
Donker	dɔŋkər
aflandige	ɐflɐndəxə
sportspanne	spɔrtspɐnə
terroriste	tɛrurəstə
plaak	plɑːk
gereelde	xəriəldə
entrepreneurs	ɑ̃ntrəprənøərs
Lani	lɑːni
prehistoriese	priəhistʊərisə
koorfees	kʊərfiəs
vastrek	fɐstræk
Jolene	jʊəliənə
opsionele	ɔpʃiuniələ
dwelmmiddel	dwæləmmədəl
boontjies	bʊɪŋkis
kinderteater	kəndərtiɑːtər
standaarde	stɐndɑːrdə
pragstuk	prɐxstœk
Zirk	zərk
Jordaanrivier	jɔrdɑːnrəfiːr
Industrial	əndœstriɐl
Namibiese	nɐməbisə
namiddag	nɑːmədɐx
senter	sɛntər
lyfband	lɛɪfbɐnt
steriel	stɛril
smous	sməʊs
Durbies	dœrbis
beskikking	bəskəkəŋ
eindresultaat	ɛɪndrəsœltɑːt
Japanners	jɐpɐnərs
Windhoek	vənthuk
briljantheid	brəljɐnthɛɪt
gangsters	xɐŋstərs
vereiste	fərɛɪstə
steek	stiək
Petru	piətry
Ellisras	æləsrɐs
prefekte	prifɛktə
tugverhoor	tœxfərhʊər
hardwerkendheid	hɐrtværkənthɛɪt
stadions	stɑːdiɔns
Heerser	hiərsər
voorspelers	fʊərspiələrs
onbepaald	ɔnbəpɑːlt
fisioterapie	fiʃiutɛrɐpi
Pellissier	pæləsiːr
vredesverdrag	friədəsfərdrɐx
nippels	nəpəls
versnapering	fərsnɑːpərəŋ
offensief	ɔfɛnsif
Rykdom	rɛɪkdɔm
rigting	rəxtəŋ
tenks	tɛŋks
Trusts	trœsts
administratiewe	ɐtmənəstrɐtivə
neusgat	nøəsxɐt
Jakob	jɑːkɔp
Jordanië	jɔrdɑːniəiəə
immoraliteit	əmʊərɐlitɛɪt
slukke	slœkə
vastigheid	fɐstəxɛɪt
Carter	kɐrtər
Fariseers	fɑːrisiərs
kastige	kɐstəxə
Demografie	dɛmuxrɐfi
wapenrusting	vɑːpənrœstəŋ
slinkse	sləŋksə
paaslam	pɑːslɐm
IRB	ərp
Kimberley	kimbərli
keldermeester	kældərmiəstər
Pule	pylə
Tolkien	tɔlkin
verfkwas	færfkwɐs
Mboweni	mbʊəvəni
absurd	ɐbsœrt
bande	bɐndə
FOR	fɔr
opstoot	ɔpstʊət
ligapunte	lixɑːpœntə
tóg	tɔx
Helgaard	hælxɑːrt
Husab	hysɐp
Uranus	yrɑːnœs
stokstyf	stɔkstɛɪf
Hoskins	hɔskəns
onsuiwer	ɔnsøyvər
groente	xruntə
Podsending	pɔtsɛndəŋ
Elande	iəlɐndə
ingebruikneming	ənxəbrøykniəməŋ
Zahn	zɑːn
opklink	ɔpkləŋk
Hartbeesfontein	hɐrtbiəsfɔntɛɪn
Lydenburg	lɛɪdənbœrx
Ratte	rɐtə
Lieflike	lifləkə
print	prənt
bootjies	bʊɪcis
Nico	niku
snoet	snut
Vraag	frɑːx
onvervulde	ɔnfərfœldə
onafskeidbaar	ɔnɐfskɛɪtbɑːr
diè	di
Suidoosterfees	søytʊəstərfiəs
GemeenteOndersteuningsdienste	xəmiəntəɔnərstøənəŋsdinstə
voordragte	fʊərdrɐxtə
motte	mɔtə
uitvoerproduk	øytfuːrprudœk
onwrikbare	ɔnvrəkbɑːrə
tentatiewe	tɛntɐtivə
Answers	ɐnswərs
dansers	dɑ̃nsərs
vrome	frʊəmə
Kerkkantoor	kærkɐntʊər
stem	stɛm
verdruk	fərdrœk
taalkundig	tɑːlkœndəx
vervolgings	fərfɔlxəŋs
ewigdurende	iəvəxdyrəndə
tans	tɐns
skoolgeweld	skʊəlxəvælt
Poog	pʊəx
kolwer	kɔlvər
Laurika	ləʊrikɐ
waartydens	vɑːrtɛɪdəns
Verbruikerskommissie	fərbrøykərskumisi
liederlike	lidərləkə
lewensterrein	liəvənstərɛɪn
steekproef	stiəkpruf
betroubaarheid	bətrəʊbɑːrhɛɪt
Wolmaransstad	vɔlmɑːrɐnstɐt
pragtige	prɐxtəxə
Kultuursentrum	kœltyrsɛntrœm
Elst	ælst
Sterkstroom	stærkstrʊəm
Medupi	mədypi
padjie	pɑɪci
Aanhalings	ɑːnhɑːləŋs
ATR	ɐtr
sittend	sətənt
Us	œs
gebaar	xəbɑːr
Wêreldwye	væːrəltvɛɪə
Josia	jusiɐ
Afskeid	ɐfskɛɪt
organisatoriese	ɔrxɐnisɐtʊərisə
waarskynlikheid	vɑːrskɛɪnləkhɛɪt
ontvang	ɔntfɐŋ
uitdrukkings	øytdrœkəŋs
Verslag	fərslɐx
gekneusde	xəknøəsdə
USDA	œsdɐ
MT	ɛmtiə
verwerking	fərværkəŋ
Hauptfleisch	həʊptflɛɪʃ
kommentators	kɔməntɑːtɔrs
posisie	puzisi
Germanicus	xærmɑːnikœs
wederkerige	viədərkiərəxə
afgesaagde	ɐfxəsɑːxdə
brokkie	brɔki
viere	fiːrə
Demas	diəmɐs
genotvolle	xənɔtfɔlə
agtsteman	ɐxtstəmɐn
shopping	ʃɔpəŋ
Deense	diənsə
priesterlike	pristərləkə
toegerus	tuxərœs
slaapklere	slɑːpkliərə
challenge	xɐləŋə
wyfies	vɛɪfis
wanindruk	vɐnəndrœk
Sugar	syxɐr
