የሌሎች	jˈəlelot͡ʃ
አለባበስ	ʔˈaləβaβəs
መልካም	mˈəlɨkam
በገጠር	bˈəɡət`ər
የቴዎድሮስ	jˈətewodɨros
ወንዝ	wˈənɨz
መልእክተኛ	mˈəlɨʔɨkɨtəɲa
የሚሰሩ	jˈəmisəru
እንግሊዝ	ʔˈɨnɨɡɨliz
ከሥልጣን	kˈəsɨlɨt`an
ታደሰ	tˈadəsə
ናምሩድ	nˈamɨrud
በራሳቸው	bˈərasat͡ʃəw
ጊዜያት	ɡˈizejat
ሊታይ	lˈitaj
በቻይና	bˈət͡ʃajɨna
የተጠቀሰው	jˈətət`ək`əsəw
የሚገኝ	jˈəmiɡəɲ
ግራኝ	ɡˈɨraɲ
ወንጀል	wˈənɨd͡ʒəl
ገብ	ɡˈəb
በጊዜው	bˈəɡizew
ሲሞቱ	sˈimotu
አያሌ	ʔˈajale
ካልሆነ	kˈalɨhonə
ሞተ	mˈotə
ነበረች	nˈəβərət͡ʃ
ተሰብስበው	tˈəsəβɨsɨβəw
እነ	ʔˈɨnə
የተነሣ	jˈətənəsa
የቴሌቪዥን	jˈəteleviʒɨn
የተፈለፈ	jˈətəfələfə
ሆን	hˈon
የኖቤል	jˈənoβel
ሸንጎ	ʃˈənɨɡo
ያሕል	jˈahɨl
ፕሮግራሞች	pˈɨroɡɨramot͡ʃ
ሚዲያ	mˈidija
በዚህ	bˈəziç
ቢጫ	bˈit͡ʃ`a
መሰል	mˈəsəl
አገዛዝ	ʔˈaɡəzaz
ልጆቹ	lˈɨd͡ʒot͡ʃu
የሚለየው	jˈəmiləjəw
ቁጥሩ	k`ˈut`ɨru
ቁና	k`ˈuna
ሀገር	hˈaɡər
እንዳለው	ʔˈɨnɨdaləw
አቀማመጥ	ʔˈak`əmamət`
አገው	ʔˈaɡəw
መሆን	mˈəhon
ስራዎች	sˈɨrawot͡ʃ
ሰባ	sˈəβa
አዒሻ	ʔˈaʔiʃa
ከአምስት	kˈəʔamɨsɨt
አንተ	ʔˈanɨtə
ከተማዋ	kˈətəmawa
ልዩነቶች	lˈɨjunətot͡ʃ
የለውም	jˈələwɨm
ይሄው	jˈɨhew
ኒው	nˈiw
በአመጽ	bˈəʔaməts
ሠርቶ	sˈərɨto
ቤተክርስቲያን	bˈetəkɨrɨsɨtijan
ልጅ	lˈɨd͡ʒ
ይኖሩ	jˈɨnoru
የትምህርት	jˈətɨmɨhɨrɨt
የአንድነት	jˈəʔanɨdɨnət
የታዘዘ	jˈətazəzə
ሄዶ	hˈedo
ጫፍ	t͡ʃ`ˈaf
ትምህርታቸውን	tˈɨmɨhɨrɨtat͡ʃəwɨn
ክሮሞሶም	kˈɨromosom
ዙርያ	zˈurɨja
የለሽ	jˈələʃ
የራዲዮ	jˈəradijo
ገዳማ	ɡˈədama
በተጨማሪም	bˈətət͡ʃ`əmarim
ለመሥራት	lˈəməsɨrat
ወገብ	wˈəɡəb
ቅሬታ	k`ˈɨreta
የተሸፈነ	jˈətəʃəfənə
እራስን	ʔˈɨrasɨn
በቤተ	bˈəβetə
ባንክ	bˈanɨk
በሁለት	bˈəhulət
ቀውስ	k`ˈəwɨs
ፍጥነት	fˈɨt`ɨnət
ተንቀሳቃሽ	tˈənɨk`əsak`aʃ
በአጼ	bˈəʔatse
ራይሆልት	rˈajɨholɨt
በታሪክ	bˈətarik
በዓፄ	bˈəʔatse
በመጨረሻ	bˈəmət͡ʃ`ərəʃa
መምህራን	mˈəmɨhɨran
ተጨማሪ	tˈət͡ʃ`əmari
በፍጥነት	bˈəfɨt`ɨnət
ዲ	dˈi
ሕግ	hˈɨɡ
አይነተኛ	ʔˈajɨnətəɲa
ዓለቃ	ʔˈalək`a
አብረው	ʔˈaβɨrəw
ሰብዓዊ	sˈəβɨʔawi
ዘውዱን	zˈəwɨdun
ጋዜጠኞች	ɡˈazet`əɲot͡ʃ
ይገኝ	jˈɨɡəɲ
በዘመኑ	bˈəzəmənu
ውጤቱ	wˈɨt`etu
ድንገት	dˈɨnɨɡət
ለመወሰን	lˈəməwəsən
ከውጭ	kˈəwɨt͡ʃ`
ጎሳዎች	ɡˈosawot͡ʃ
ግንባር	ɡˈɨnɨβar
ተከታዩ	tˈəkətaju
በሰው	bˈəsəw
በባዶ	bˈəβado
በጥንታዊ	bˈət`ɨnɨtawi
ትቶ	tˈɨto
ትንቢት	tˈɨnɨβit
የተነሳው	jˈətənəsaw
ጎሳ	ɡˈosa
ከገባ	kˈəɡəβa
እየሆነ	ʔˈɨjəhonə
ነቢያት	nˈəβijat
ኃላፊነት	hˈalafinət
ሀይል	hˈajɨl
ነገዶች	nˈəɡədot͡ʃ
ነጥቦች	nˈət`ɨβot͡ʃ
ነፃ	nˈətsa
የተለያዩ	jˈətələjaju
አዘጋጅ	ʔˈazəɡad͡ʒ
ዕጅግ	ʔˈɨd͡ʒɨɡ
ልጅና	lˈɨd͡ʒɨna
ድግግሞሽ	dˈɨɡɨɡɨmoʃ
ስልጣኔ	sˈɨlɨt`ane
በፍቅር	bˈəfɨk`ɨr
የተገነባ	jˈətəɡənəβa
ሐሙስ	hˈamus
አልፋቤት	ʔˈalɨfaβet
ሜዳሊያ	mˈedalija
ውቤ	wˈɨβe
ነገርን	nˈəɡərɨn
እራሳቸው	ʔˈɨrasat͡ʃəw
ያለባቸው	jˈaləβat͡ʃəw
የተላከ	jˈətəlakə
አምስተኛው	ʔˈamɨsɨtəɲaw
አመቱ	ʔˈamətu
ዳይሬክተር	dˈajɨrekɨtər
እንዳለ	ʔˈɨnɨdalə
ትልልቅ	tˈɨlɨlɨk`
የብርሃን	jˈəβɨrɨhan
ስልጣን	sˈɨlɨt`an
ጠባቂ	t`ˈəβak`i
የልጆች	jˈəlɨd͡ʒot͡ʃ
እያንዳንዱ	ʔˈɨjanɨdanɨdu
የአንድ	jˈəʔanɨd
በተለይም	bˈətələjɨm
ደግሞ	dˈəɡɨmo
ጣኦታት	t`ˈaʔotat
ሲጀምር	sˈid͡ʒəmɨr
በተለያየ	bˈətələjajə
ሄኖክ	hˈenok
ቤከር	bˈekər
ቢቂላ	bˈik`ila
፩ኛ	ɲˈa
የዱር	jˈədur
አስፈላጊ	ʔˈasɨfəlaɡi
ጄኔራል	d͡ʒˈeneral
በዚያች	bˈəzijat͡ʃ
እነርሱ	ʔˈɨnərɨsu
ፊት	fˈit
አጻጻፍ	ʔˈatsatsaf
ሆነና	hˈonəna
ለማውጣት	lˈəmawɨt`at
ለመፍጠር	lˈəməfɨt`ər
አባቶች	ʔˈaβatot͡ʃ
ጥቅምት	t`ˈɨk`ɨmɨt
ቀኖች	k`ˈənot͡ʃ
መድረስ	mˈədɨrəs
የመላው	jˈəməlaw
ለማስወገድ	lˈəmasɨwəɡəd
ሙስሊም	mˈusɨlim
የእርሻ	jˈəʔɨrɨʃa
በሀገሪቱ	bˈəhaɡəritu
ጋዜጣ	ɡˈazet`a
ሕገ	hˈɨɡə
ምክንያቱም	mˈɨkɨnɨjatum
ሉቃስ	lˈuk`as
ሙከራዎች	mˈukərawot͡ʃ
ሥጋ	sˈɨɡa
ቅርስ	k`ˈɨrɨs
በመጀመሪያው	bˈəməd͡ʒəmərijaw
እኛ	ʔˈɨɲa
ከሌሎቹ	kˈəlelot͡ʃu
ደጃዝማች	dˈəd͡ʒazɨmat͡ʃ
ሁሉንም	hˈulunɨm
በአሁኑ	bˈəʔahunu
ተብሎ	tˈəβɨlo
በመሆኑ	bˈəməhonu
በጊዜ	bˈəɡize
አውሮጳውያን	ʔˈawɨrop`awɨjan
ሳዑዲ	sˈaʔudi
አባይ	ʔˈaβaj
መንኮራኩር	mˈənɨkorakur
ተጽዕኖ	tˈətsɨʔɨno
ዋሻ	wˈaʃa
ደጋፊዎች	dˈəɡafiwot͡ʃ
በምዕራብ	bˈəmɨʔɨrab
ከቤተ	kˈəβetə
ገጹ	ɡˈətsu
ገመድ	ɡˈəməd
ገብስ	ɡˈəβɨs
አጠገብ	ʔˈat`əɡəb
የስፖርት	jˈəsɨporɨt
ቅርጽ	k`ˈɨrɨts
በሽታዎች	bˈəʃɨtawot͡ʃ
ሃይሎች	hˈajɨlot͡ʃ
ስእል	sˈɨʔɨl
ዝና	zˈɨna
ክርክር	kˈɨrɨkɨr
የዕብራይስጥና	jˈəʔɨβɨrajɨsɨt`ɨna
የደም	jˈədəm
የካቲት	jˈəkatit
በየቦታው	bˈəjəβotaw
የስታትስቲክስ	jˈəsɨtatɨsɨtikɨs
ጎበዝ	ɡˈoβəz
ድርድር	dˈɨrɨdɨr
ባሕላዊ	bˈahɨlawi
እነኚህ	ʔˈɨnəɲiç
የሚሰራ	jˈəmisəra
ሊቅ	lˈik`
ዋንጫ	wˈanɨt͡ʃ`a
ግንቡ	ɡˈɨnɨβu
ፊልሞች	fˈilɨmot͡ʃ
አደገኛ	ʔˈadəɡəɲa
ህዝቦች	hˈɨzɨβot͡ʃ
የእንስሳት	jˈəʔɨnɨsɨsat
በሰሜን	bˈəsəmen
የሳይንስና	jˈəsajɨnɨsɨna
ውህደት	wˈɨhɨdət
ወፍጮ	wˈəfɨt͡ʃ`o
ተፈራ	tˈəfəra
እንደነበሩ	ʔˈɨnɨdənəβəru
ጀርመን	d͡ʒˈərɨmən
ለመናገር	lˈəmənaɡər
ትርጓሜውም	tˈɨrɨɡwamewɨm
የመጣው	jˈəmət`aw
ሲጻፍ	sˈitsaf
ቋንቋቸው	k`wˈanɨk`wat͡ʃəw
የምርምር	jˈəmɨrɨmɨr
በንጉሱ	bˈənɨɡusu
ጉባኤ	ɡˈuβaʔe
ምኒልክ	mˈɨnilɨk
ሕመም	hˈɨməm
ጥላቻ	t`ˈɨlat͡ʃa
ኦሮምኛ	ʔˈoromɨɲa
የተባሉ	jˈətəβalu
ወለድ	wˈələd
