bestridan	bestriːdɑn
andfang	ɑndfɑnɡ
heorte	xe͜orte
circuladl	kirkulɑːdl
spiwan	spiːwɑn
belifan	beliːfɑn
æthabban	ætxɑbbɑn
ticcen	titt͡ʃen
gegangan	jeɡɑnɡɑn
deorc	de͜ork
leohtlice	le͜oːxtliːt͡ʃe
æf	æf
blodwite	bloːdwiːte
forbugennys	forbuːɡennys
longe	lonɡe
feorr	fe͜orr
underwritan	underwriːtɑn
ymblicgan	ymblijjɑn
toberstan	toːberstɑn
þrysman	θrysmɑn
tæce	tæːt͡ʃe
spornan	spornɑn
hamfæreld	xɑːmfæreld
wuldordream	wuldordræ͜ɑːm
georn	je͜orn
eastream	æ͜ɑːstræ͜ɑːm
gesceadlic	jeʃɑdliːt͡ʃ
adælan	ɑːdæːlɑn
geþingian	ɡeθinɡiɑn
bæddon	bæːddon
firensynnig	firensynnij
hyldo	xyldo
pinungtol	piːnunɡtoːl
getregian	jetreɡiɑn
stedefæst	stedefæst
neo	ne͜oː
oferfeallan	oferfæ͜ɑllɑn
byre	byre
roþor	roːθor
andgit	ɑndjit
hreran	xreːrɑn
beowyrt	be͜oːwyrt
beodclaþ	be͜oːdklɑːθ
deman	deːmɑn
gewyrcan	jewyrt͡ʃɑn
wice	wike
þurhwlitan	θurxwliːtɑn
winter	winter
hloþian	xloːθiɑn
godhad	ɡodxɑːd
dwolmann	dwolmɑnn
synleas	synlæ͜ɑːs
we	weː
has	xɑːs
horu	xoru
stregdan	strejdɑn
teorian	te͜oːriɑn
reþe	reːθe
feogean	fe͜oːjɑn
westseaxe	westsæ͜ɑkse
tucian	tuːkiɑn
ungyrdan	unɡyrdɑn
wlætian	wlæːtiɑn
morþbealo	morθbæ͜ɑlo
hlowan	xloːwɑn
scolere	skoːlere
siþian	siːθiɑn
bærne	bærne
tom	toːm
syngian	synɣiɑn
forliden	forliden
eaþmodlic	æ͜ɑːθmoːdliːt͡ʃ
gecneordlæcan	jekne͜ordlæːt͡ʃɑn
styccemælum	stytt͡ʃemæːlum
ingefeallan	injefæ͜ɑllɑn
gripe	ɡripe
neodful	ne͜oːdful
selden	selden
gomen	ɡomen
bod	bod
toweorpan	toːwe͜orpɑn
stræl	stræːl
creopan	kre͜oːpɑn
sawelsceatt	sɑːwelʃæ͜ɑtt
ruhha	ruxxɑ
ceowaþ	t͡ʃe͜oːwɑθ
bletsung	bleːtsunɡ
petersilige	petersilije
feorweg	fe͜orwej
swogan	swoːɡɑn
beor	be͜oːr
feorhweard	fe͜orxwæ͜ɑrd
erschenn	erʃxenn
niwung	niːwunɡ
wyrgan	wyrjɑn
mænigo	mænijo
bædling	bædlinɡ
gerædan	jeræːdɑn
gedwolcræft	jedwolkræft
hyrstan	xyrstɑn
firenfull	firenfull
yþian	yːθiɑn
stig	stiːj
graf	ɡrɑːf
carig	kɑrij
horsc	xorʃ
geslean	jeslæ͜ɑːn
neahbuend	næ͜ɑːxbuːend
cearseld	kæ͜ɑrseld
frægning	fræjninɡ
earclænsend	æ͜ɑːrklæːnsend
giestliþe	ji͜ystliːθe
scoldon	ʃoldon
fullfyllan	fullfyllɑn
anwig	ɑːnwiːj
eaþmedan	æ͜ɑːθmeːdɑn
græs	ɡræs
nyten	nyːten
inciegan	int͡ʃi͜yːjɑn
betweox	betwe͜oːks
gecocsian	jekoːksiɑn
wroht	wroːxt
geþycfyldan	jeθykfyldɑn
tahtest	tɑːxtest
cweþaþ	kweθɑθ
acnyssan	ɑːknyssɑn
sunnanmorgen	sunnɑnmorɡen
neodlaþu	ne͜oːdlɑθu
cyrtel	kyrtel
bræþ	bræːθ
sceonca	ʃonkɑ
gecor	jekor
gastgedal	ɡɑːstjedɑːl
ened	ened
hwæþre	xwæθre
betweonan	betwe͜oːnɑn
wifmenn	wiːfmenn
minum	miːnum
staþoliend	stɑθoliend
eþelþrym	eːθelθrym
firenhycge	firenxyjje
nu	nuː
bridd	bridd
bec	beːt͡ʃ
underburg	underburɡ
underniman	undernimɑn
þegnian	θejniɑn
ealdmoder	æ͜ɑldmoːder
burg	burɡ
ælfhelm	ælfxelm
anfealdnes	ɑːnfæ͜ɑldnes
togeotan	toːje͜oːtɑn
fetian	fetiɑn
gecyndelic	jekyndeliːt͡ʃ
gor	ɡor
mære	mæːre
plegian	pleɡiɑn
utan	uːtɑn
ægres	æːjres
gestigan	jestiːɡɑn
blæced	blæːt͡ʃed
eþelleas	eːθellæ͜ɑːs
wintertid	wintertiːd
ænlæcan	æːnlæːt͡ʃɑn
bleoread	ble͜oːræ͜ɑːd
broga	broːɡɑ
wiodu	wi͜udu
frysa	frysɑ
en	ən
gemærsian	jemæːrsiɑn
larwita	lɑːrwitɑ
twiferlæcan	twifeːrlæːt͡ʃɑn
habban	xɑbbɑn
sunsunu	sunsunu
bisceop	biske͜op
lician	liːkiɑn
syþþan	syθθɑn
ac	ɑːk
spirian	spirjɑn
seaw	sæ͜ɑːw
ne	ne
wedertacen	wedertɑːken
mealmiht	mæ͜ɑlmixt
nære	næːre
þanecan	θɑneːkɑn
unwittig	unwittij
þrote	θrote
efenmetan	efenmetɑn
ecnes	eːknes
swuster	swuster
geliffæstan	jeliːffæstɑn
godwrecnes	ɡodwreknes
crecas	kreːkɑs
racenteag	rɑkentæ͜ɑːɡ
forgieman	forji͜yːmɑn
biwrecan	biwrekɑn
palent	pɑlent
maþelian	mɑθeliɑn
wuducoc	wudukok
lybesn	lybesn
geliesan	jeli͜yːsɑn
neom	ne͜om
ege	eje
unriht	unrixt
cederbeam	kederbæ͜ɑːm
feaw	fæ͜ɑːw
gewæpnian	jewæːpniɑn
hream	xræ͜ɑːm
onbutan	onbuːtɑn
wuldrung	wuldrunɡ
wætergelæt	wæterjelæːt
geeaþmedan	jeæ͜ɑːθmeːdɑn
anforlætan	ɑːnforlæːtɑn
forþgesceaft	forθjeʃæ͜ɑft
witena	witenɑ
mægþ	mæːɡθ
flod	floːd
belltacen	belltɑːken
deoplic	de͜oːpliːt͡ʃ
ofhabban	ofxɑbbɑn
hearma	xæ͜ɑrmɑ
feolo	fe͜olo
ansien	ɑnsi͜yːn
tomearcodnes	toːmæ͜ɑrkodnes
riman	riːmɑn
ymbceorfan	ymbt͡ʃe͜orfɑn
behon	bexoːn
wittig	wittij
leoþwyrhta	le͜oːθwyrxtɑ
bodan	bodɑn
beorma	be͜ormɑ
cyrran	t͡ʃyrrɑn
eorþhus	e͜orθxuːs
husc	xuʃ
gecanc	jekɑnk
ingang	inɡɑnɡ
burh	burx
tohopa	toːxopɑ
drencan	drent͡ʃɑn
mærsung	mæːrsunɡ
lox	loks
sceomfull	ʃe͜omfull
miere	mi͜yːre
clacu	klɑku
upbregdan	upbrejdɑn
gæten	ɡæːten
underþeodan	underθe͜oːdɑn
reordberend	re͜ordberend
fær	fæːr
calan	kɑlɑn
hleapan	xlæ͜ɑːpɑn
motung	moːtunɡ
sellan	sellɑn
read	ræ͜ɑːd
arcebiscoprice	ɑrt͡ʃebiʃʃopriːt͡ʃe
brec	breːt͡ʃ
unmennisclic	unmenniʃliːt͡ʃ
hired	xiːred
sciell	ʃell
wyrttun	wyrttuːn
ploh	ploːx
sceadan	ʃɑːdɑn
dwelian	dweliɑn
widmære	wiːdmæːre
ancleow	ɑnkle͜oːw
cranic	krɑnik
sunwliteg	sunwlitej
fleaxen	flæ͜ɑksen
til	til
siþþan	siθθɑn
strewian	streːwiɑn
ærendgewrit	æːrendjewrit
hildebord	xildebord
flet	flet
forgan	forɡɑːn
wiernan	wi͜yrnɑn
abecede	ɑːbeːkeːdeː
gierstandæg	ji͜yrstɑndæj
landbuend	lɑndbuːend
bearg	bæ͜ɑrɡ
geweald	jewæ͜ɑld
loca	lokɑ
sœcan	søːt͡ʃɑn
tænel	tæːnel
þurhsmeagan	θurxsmæ͜ɑːjɑn
ham	xɑːm
framcierran	frɑmt͡ʃi͜yrrɑn
nese	nese
freondlar	fre͜oːndlɑːr
secge	sejje
wealcol	wæ͜ɑlkol
besettan	besettɑn
fotadlig	foːtɑːdlij
gehælan	jexæːlɑn
ile	ile
fot	foːt
geagnian	jeɑːɡniɑn
rose	roːse
adrincan	ɑːdrinkɑn
fleam	flæ͜ɑːm
ascuniendlic	ɑːʃuːni͜yndliːt͡ʃ
frigedæg	friːjedæj
flaxe	flɑkse
ungewunelic	unjewuneliːt͡ʃ
scip	ʃip
gieman	ji͜yːmɑn
nabban	nɑbbɑn
stillan	stillɑn
foldbuend	foldbuːend
beladung	belɑːdunɡ
mangere	mɑnɡere
geþoftræden	jeθoftræːden
tocweþan	toːkweθɑn
ymbsnidennes	ymbsnidennes
feohtlac	fe͜oxtlɑːk
þrifeald	θrifæ͜ɑld
þæctigele	θæktijele
tellan	tellɑn
ilca	ilkɑ
gnornian	ɡnorniɑn
heofan	xe͜oːfɑn
generstede	jenerstede
hellrun	xellruːn
tan	tɑːn
langtwidig	lɑnɡtwiːdij
wæpnwifestre	wæːpnwiːfestre
swindan	swindɑn
yst	yːst
mislar	mislɑːr
geþrang	jeθrɑnɡ
sceolde	ʃolde
byrgan	byrjɑn
swellan	swellɑn
hasu	xɑsu
ætsamne	ætsɑmne
eades	æːɑ̯des
togesceadan	toːjeʃæ͜ɑːdɑn
reon	re͜oːn
foresceawian	foreʃæ͜ɑːwiɑn
forst	forst
gedigan	jediːjɑn
æcerceorl	ækert͡ʃe͜orl
wudian	wudiɑn
stod	stoːd
bewendan	bewendɑn
midniht	midnixt
ceaster	t͡ʃæ͜ɑster
genihtful	jenixtful
unsælig	unsæːlij
biþ	biθ
þeccean	θett͡ʃɑn
steort	ste͜ort
forþfaran	forθfɑrɑn
twæman	twæːmɑn
stepe	stepe
eastengle	æ͜ɑːstenɡle
mearc	mæ͜ɑrk
þeowian	θe͜oːwiɑn
ungelicnes	unjeliːknes
rædels	ræːdels
deagol	dæ͜ɑːɡol
bemurnan	bemurnɑn
bliþe	bliːθe
eoh	e͜oːx
morgen	morɡen
feht	fext
beæwnian	beæːwniɑn
seaxneating	sæ͜ɑksnæ͜ɑːtinɡ
smæccan	smætt͡ʃɑn
hramsa	xrɑmsɑ
wifgemana	wiːfjemɑːnɑ
