bomba	bˈomba
seis	sˈe͡ɪs
minoría	mˌinoɾˈia
grandaria	ɣɾandˈaɾja
dreita	ðɾˈe͡ɪta
ixe	ˈiʃe
baloncesto	bˌalonθˈesto
chugador	t͡ʃˌuɣaðˈoɾ
historias	istˈoɾjas
blanco	blˈanko
marinas	maɾˈinas
presentan	pɾesˈentan
cráter	kɾˈateɾ
Mas	mˈas
cheografico	t͡ʃˌeoɣɾafˈiko
familias	famˈiljas
habla	ˈaβla
Villa	bˈiʎa
octubre	oktˈuβɾe
Herzegovina	ˌeɾθeɣoβˈina
contina	kontˈina
primeras	pɾimˈeɾas
haiga	ˈa͡ɪɣa
politicos	pˌolitˈikos
lugar	luɣˈaɾ
banco	bˈanko
deixando	deʃˈando
Puent	pwˈɛntʰ
cantas	kˈantas
batería	bˌateɾˈia
án	ˈan
Todas	tˈoðas
complexa	komplˈeksa
creyato	kɾejˈato
traza	tɾˈaθa
gol	ɣˈol
exclusiva	ˌeksklusˈiβa
fondón	fondˈon
poders	poðˈes
ficacio	fikˈaθjɔ
ells	ˈels
unidat	ˌuniðˈatʰ
pasa	pˈasa
trozos	tɾˈoθos
freqüents	fɾekwˈentʰs
grafía	ɣɾafˈia
especials	ˌespeθjˈals
Finalment	fˌinalmˈentʰ
Belunas	belˈunas
curtas	kˈuɾtas
variedatz	bˌaɾjɛðˈaθ
sectors	sektˈos
grau	ɣɾˈa͡ʊ
particularment	pˌaɾtikˌulaɾmˈentʰ
castiellos	kastjˈɛʎos
director	dˌiɾektˈoɾ
cientos	θjˈɛntos
General	xˌeneɾˈal
quatre	kwˈatɾe
considerablement	kˌonsiðˌeɾaβlemˈentʰ
zaguero	θaɣˈɛɾo
ribera	riβˈeɾa
Ella	ˈeʎa
evidencia	ˌeβiðˈenθja
Henrique	enrˈikɛ
economicos	ˌekonomˈikos
Orichinalment	ˌoɾit͡ʃˌinalmˈentʰ
Chusticia	t͡ʃustˈiθja
administrativa	ˌadminˌistɾatˈiβa
America	ˌameɾˈika
lur	lˈuɾ
quedoron	kɛðˈoɾon
historia	istˈoɾja
manifestacions	mˌanifˌestaθjˈɔns
maquinas	makˈinas
seguro	seɣˈuɾo
debiu	deβˈiu
boiras	bˈo͡ɪɾas
popularment	pˌopulaɾmˈentʰ
Castellón	kˌasteʎˈon
exactament	ˌeksaktamˈentʰ
sufixos	sufˈiʃos
era	ˈeɾa
conoixidas	kˌonoʃˈiðas
Victoria	biktˈoɾja
libel	liβˈel
plantilla	plantˈiʎa
variables	baɾjˈaβles
durada	duɾˈaða
escribió	ˌeskɾiβjˈo
orden	ˈoɾðen
organismo	ˌoɾɣanˈismo
cultura	kultˈuɾa
sovieticos	sˌoβjɛtˈikos
belún	belˈun
fegura	feɣˈuɾa
Manimenos	mˌanimˈenos
militar	mˌilitˈaɾ
Radio	rˈaðjɔ
saber	saβˈeɾ
especialment	ˌespeθjalmˈentʰ
puertos	pwˈɛɾtos
tribals	tɾiβˈals
especifico	ˌespeθifˈiko
factor	faktˈoɾ
faina	fˈa͡ɪna
Nacional	nˌaθjɔnˈal
problemas	pɾoβlˈemas
moros	mˈoɾos
poder	poðˈeɾ
relacions	rˌelaθjˈɔns
cabo	kˈaβo
identidat	ˌiðentiðˈatʰ
colaboró	kˌolaβoɾˈo
puestos	pwˈɛstos
Zaragoza	θˌaɾaɣˈoθa
distinguir	dˌistinɡˈiɾ
basicament	bˌasikamˈentʰ
Veïnat	be͡ɪnˈatʰ
pueda	pwˈɛða
veyemos	bejˈɛmos
especial	ˌespeθjˈal
com	kˈom
Fat	fˈatʰ
distancia	distˈanθja
comercios	komˈeɾθjɔs
posteriors	pˌosteɾjˈɔs
français	fɾanθˈa͡ɪs
ingresos	inɡɾˈesos
romanicas	rˌomanˈikas
naixito	naʃˈito
alemanas	ˌalemˈanas
difuera	difwˈɛɾa
son	sˈon
establir	ˌestaβlˈiɾ
sobén	soβˈen
distinción	dˌistinθjˈon
ocasions	ˌokasjˈɔns
existents	ˌeksistˈentʰs
tunica	tunˈika
roya	rˈoja
actriz	aktɾˈiθ
bizantín	bˌiθantˈin
garchola	ɣaɾt͡ʃˈola
fuerzas	fwˈɛɾθas
tiene	tjˈɛne
armenia	aɾmˈenja
augua	ˈa͡ʊɣwa
James	xˈames
transición	tɾˌansiθjˈon
montanyas	montˈaɲas
mal	mˈal
ataques	atˈakɛs
mover	moβˈeɾ
futuro	futˈuɾo
Chaime	t͡ʃˈa͡ɪme
chovenil	t͡ʃˌoβenˈil
cheneración	t͡ʃˌeneɾaθjˈon
afers	afˈes
participan	pˌaɾtiθˈipan
pueblo	pwˈɛβlo
ciudatz	θjuðˈaθ
fer	fˈeɾ
diosa	djˈɔsa
formas	fˈoɾmas
estar	estˈaɾ
ruinas	ruˈinas
policía	pˌoliθˈia
Meyo	mˈejɔ
atras	ˈatɾas
prochectos	pɾot͡ʃˈektos
significaus	sˌiɡnifikˈa͡ʊs
lunas	lˈunas
estudiants	ˌestuðjˈantʰs
procedents	pɾˌoθeðˈentʰs
emplegau	ˌempleɣˈa͡ʊ
capeza	kapˈeθa
literarios	lˌiteɾˈaɾjɔs
oriental	ˌoɾjɛntˈal
Antes	ˈantes
etnonimo	ˌetnonˈimo
conseqüencias	kˌonsekwˈenθjas
invasión	ˌimbasjˈon
europeus	ˌe͡ʊɾopˈe͡ʊs
Francia	fɾˈanθja
sinonimo	sˌinonˈimo
placa	plˈaka
definición	dˌefiniθjˈon
riego	rjˈɛɣo
Royal	rojˈal
eficient	ˌefiθjˈɛntʰ
activo	aktˈiβo
benasqués	bˌenaskˈes
materna	matˈeɾna
microtoponimos	mˌikɾotˌoponˈimos
privar	pɾiβˈaɾ
economica	ˌekonomˈika
fa	fˈa
Reino	rˈe͡ɪno
Seguntes	seɣˈuntes
parcialment	pˌaɾθjalmˈentʰ
oficialment	ˌofiθjalmˈentʰ
electrico	ˌelektɾˈiko
Atras	ˈatɾas
paz	pˈaθ
referencias	rˌefeɾˈenθjas
interpretación	ˌinteɾpɾˌetaθjˈon
Blas	blˈas
tant	tˈantʰ
amaneixe	ˌamanˈeʃe
foranas	foɾˈanas
pasar	pasˈaɾ
suyos	sˈujɔs
especificas	ˌespeθifˈikas
Danubio	danˈuβjɔ
vlacos	blˈakos
redolada	rˌeðolˈaða
radical	rˌaðikˈal
entrenador	ˌentɾenaðˈoɾ
ixes	ˈiʃes
dando	dˈando
VIII	ɡwitˈeno
Carlos	kˈaɾlos
ofreix	ofɾˈeʃ
brancas	βɾˈankas
melitant	mˌelitˈantʰ
filla	fˈiʎa
asinas	asˈinas
prener	pɾenˈeɾ
cautivo	ka͡ʊtˈiβo
información	ˌimfoɾmaθjˈon
corrient	korjˈɛntʰ
cabos	kˈaβos
apareixer	ˌapaɾeʃˈeɾ
Salvador	sˌalβaðˈoɾ
localización	lˌokalˌiθaθjˈon
vivo	bˈiβo
sinonimos	sˌinonˈimos
Hu	u
modelo	moðˈelo
muit	muˈitʰ
coda	kˈoða
Federación	fˌeðeɾaθjˈon
britanicos	βɾˌitanˈikos
budismo	buðˈismo
manca	mˈanka
industria	indˈustɾja
el	el
coinciden	ko͡ɪnθˈiðen
clasicos	klasˈikos
reformas	refˈoɾmas
ríos	rˈios
Imperio	impˈeɾjɔ
esferencias	ˌesfeɾˈenθjas
activa	aktˈiβa
millons	miʎˈons
scientifica	esθjˌɛntifˈika
piso	pˈiso
composa	kompˈosa
Bohemia	boˈemja
Natural	nˌatuɾˈal
kilometros	kˌilomˈetɾos
peso	pˈeso
conoixida	kˌonoʃˈiða
Adintro	aðˈintɾo
baixas	bˈaʃas
Agustín	ˌaɣustˈin
envueltas	embwˈɛltas
lengua	lˈenɡwa
William	βiʎjˈam
restas	rˈestas
reservas	resˈeɾβas
rapedo	rapˈeðo
dentró	dentɾˈo
cinqueno	θinkˈɛno
només	nomˈes
cantar	kantˈaɾ
griegas	ɣɾjˈɛɣas
conoixitos	kˌonoʃˈitos
lisos	lˈisos
nacions	naθjˈɔns
ixo	ˈiʃo
cubren	kˈuβɾen
Santa	sˈanta
quan	kwan
orichens	ˌoɾit͡ʃˈens
O	ˈo
cubrir	kuβɾˈiɾ
Domingo	domˈinɡo
asociacions	ˌasoθjaθjˈɔns
amuestran	amwˈɛstɾan
ye	jɛ
aria	ˈaɾja
organización	ˌoɾɣanˌiθaθjˈon
documento	dˌokumˈento
dreitos	ðɾˈe͡ɪtos
fabricación	fˌaβɾikaθjˈon
caita	kˈa͡ɪta
Martín	maɾtˈin
cinta	θˈinta
meses	mˈeses
tensión	tensjˈon
creixen	kɾˈeʃen
estatua	estˈatwa
Espanyola	ˌespaɲˈɔla
IV	kwatɾˈeno
equivalents	ˌekiβalˈentʰs
deixar	deʃˈaɾ
formau	foɾmˈa͡ʊ
sociedat	sˌoθjɛðˈatʰ
representa	rˌepɾesˈenta
Can	kˈan
caras	kˈaɾas
variar	baɾjˈaɾ
esto	ˈesto
rechimen	ret͡ʃˈimen
diametro	djamˈetɾo
platos	plˈatos
Una	ˈuna
camins	kamˈins
León	leˈon
pronunciación	pɾˌonunθjaθjˈon
y	jˈe
romanica	rˌomanˈika
escudo	eskˈuðo
motors	motˈos
XX	bintˈeno
gana	ɣˈana
Totz	tˈoθ
conserva	konsˈeɾβa
discos	dˈiskos
godos	ɣˈoðos
menos	mˈenos
escrito	eskɾˈito
Montenegro	mˌontenˈeɣɾo
mecanica	mˌekanˈika
batalla	batˈaʎa
reconoixer	rˌekonoʃˈeɾ
diversas	diβˈeɾsas
mirandés	mˌiɾandˈes
Penya	pˈeɲa
este	ˈeste
cielo	θjˈɛlo
municipals	mˌuniθipˈals
refiere	refjˈɛɾe
Puerta	pwˈɛɾta
pro	pɾˈo
amostranza	ˌamostɾˈanθa
Kirk	kˈiɾk
plurals	pluɾˈals
pelos	pˈelos
Alfonso	alfˈonso
presienta	pɾesjˈɛnta
desepara	dˌesepˈaɾa
talment	talmˈentʰ
conchunción	kˌont͡ʃunθjˈon
sers	sˈes
Copa	kˈopa
cruz	kɾˈuθ
Belchica	belt͡ʃˈika
marchar	maɾt͡ʃˈaɾ
mantenió	mˌantenjˈo
quasi	kwˈasi
habitan	aβˈitan
enemigo	ˌenemˈiɣo
oración	ˌoɾaθjˈon
desembolique	dˌesembolˈikɛ
italián	ˌitaljˈan
Pirineo	pˌiɾinˈeo
simples	sˈimples
substantivos	sˌuβstantˈiβos
describir	dˌeskɾiβˈiɾ
duro	dˈuɾo
crovate	kɾoβˈate
Central	θentɾˈal
dunas	dˈunas
chens	t͡ʃˈens
belunas	belˈunas
XV	kinθˈeno
encomenzó	ˌenkomenθˈo
diz	dˈiθ
videos	biðˈeos
larga	lˈaɾɣa
proceso	pɾoθˈeso
conoiximiento	kˌonoʃimjˈɛnto
convertiu	kˌombeɾtˈiu
liders	liðˈes
mundo	mˈundo
moderno	moðˈeɾno
Internacional	ˌinteɾnˌaθjɔnˈal
ueste	ɡwˈɛste
setiembre	setjˈɛmbɾe
sendicatos	sˌendikˈatos
mantiene	mantjˈɛne
dicir	diθˈiɾ
Dende	dˈende
acabaus	ˌakaβˈa͡ʊs
novelas	noβˈelas
representar	rˌepɾesentˈaɾ
totalment	tˌotalmˈentʰ
porque	pˌoɾkɛ
Aeria	aˈeɾja
percepción	pˌeɾθepθjˈon
historiadors	ˌistoɾjaðˈos
les	les
bosniacos	bosnjˈakos
meten	mˈeten
decadencia	dˌekaðˈenθja
van	bˈan
ne	ne
software	sˈoftweɾ
prencipiando	pɾˌenθipjˈando
Las	las
seguir	seɣˈiɾ
castiello	kastjˈɛʎo
ueito	ɡwˈe͡ɪto
licherament	lˌit͡ʃeɾamˈentʰ
subordinadas	sˌuβoɾðinˈaðas
comarca	komˈaɾka
puyar	pujˈaɾ
succesión	sˌukθesjˈon
pachinas	pat͡ʃˈinas
Einstein	e͡ɪnstˈe͡ɪn
entalto	entˈalto
nacional	nˌaθjɔnˈal
presentación	pɾˌesentaθjˈon
suelos	swˈɛlos
siga	sˈiɣa
remata	remˈata
continents	kˌontinˈentʰs
dende	dˈende
exercito	ˌekseɾθˈito
incluyindo	ˌinklujˈindo
animal	ˌanimˈal
modernos	moðˈeɾnos
Galia	ɣˈalja
sinyals	siɲˈals
podió	poðjˈo
Paleolitico	pˌaleˌolitˈiko
funcionamiento	fˌunθjɔnamjˈɛnto
Aragonesa	ˌaɾaɣonˈesa
volumen	bolˈumen
paret	paɾˈetʰ
Guía	ɡˈia
