Əbüləsvar	æbylæsvˈar
düzü	dyzˈy
Ibn	ˈɯbn
poliqon	poliɡˈon
Ceksonu	d͡ʒeçsonˈu
apardı	apardˈɯ
tennislə	tennˈislæ
nəzəriyyəsi	næzæɾijjæsˈi
Eduardo	eduardˈo
bölünməklə	bœlynmˈæçlæ
sabitliyi	sabitlijˈi
energetik	enerɟet͡sˈiç
zəmanəmizə	zæmanæmˈizæ
düşsə	dˈyʃsæ
sərhədinin	særhædinˈin
Muradova	muɾadovˈa
Nəşrin	næʃrˈin
səfiri	sæfiɾˈi
Buz	bˈuz
mənsubluq	mænsubɫˈux
yerləşmə	jerlˈæʃmæ
səsləndirdiyi	sæslændirdijˈi
tədqiqat	tædɡiɡˈat
Vedibasar	vedibasˈar
yeniləşmə	jenilˈæʃmæ
renium	reniˈum
keçirilməmiş	cet͡ʃiɾilmæmˈiʃ
Azərbaycanla	azærbajd͡ʒanɫˈa
Dilçilik	dilt͡ʃilˈiç
mehmanxanasına	mehmanxanasɯnˈa
IQ	ˈɯx
altıda	aɫtɯdˈa
Times	timˈes
qatarına	ɡataɾɯnˈa
görünəcək	ɟœɾynæd͡ʒˈæç
çapından	t͡ʃapɯndˈan
yazılmaq	jazɯɫmˈax
oçerklər	ot͡ʃerçlˈær
nahiyələrində	nahijælæɾˈindæ
Rotşild	rotʃˈild
kodlar	codɫˈar
yardımçı	jardɯmt͡ʃˈɯ
paytaxtında	pajtaxtɯndˈa
agentliklər	aɟentliçlˈær
nələrin	nælæɾˈin
köhnədən	cœhnædˈæn
yaxalayır	jaxaɫajˈɯr
inikas	inicˈas
uzaqlaşdıran	uzaɡɫaʃdɯɾˈan
takt	tˈaçt
təqvalı	tæɡvaɫˈɯ
toxumadan	toxumadˈan
portlar	portɫˈar
Gündə	ɟˈyndæ
poeması	poemasˈɯ
filosof	fiɫosˈof
kəlməsi	cælmæsˈi
Great	ɟreˈat
öndərliyindəki	œndærlijindæcˈi
açıqlanıb	at͡ʃɯɡɫanˈɯb
silməyə	silmˈæjæ
Russia	russiˈa
Məktəbə	mæçtˈæbæ
Neftçala	neftt͡ʃaɫˈa
oyundur	ojundˈur
impressionizm	impressionˈizm
informasiyasının	informasijasɯnˈɯn
yaradıcılarındandır	jaɾadɯd͡ʒɯɫaɾɯndandˈɯr
toksik	toçsˈiç
Əmirlik	æmirlˈiç
istədi	istædˈi
batareyanın	bataɾejanˈɯn
lotereya	ɫoteɾejˈa
ölümünə	œlymˈynæ
cəhdin	d͡ʒæhdˈin
kollarda	coɫɫardˈa
qorillaları	ɡoɾilɫaɫaɾˈɯ
Silindr	silˈindər
əfsanələrdən	æfsanælærdˈæn
obyektlərini	objeçtlæɾinˈi
