берлегендәге	bˌerleɣendˈæɣe
Айгөл	ɒˈɪɣœl
Рамилә	rɒmˈilæ
эзләүне	ˌezlæˈyne
Барлык	bˈɒrɫɯq
чиктә	ɕˈiktæ
яңгыраячак	jˌɑŋʁɯrɑjˈɑɕɑq
Басклар	bˈɒsqɫɒr
яшереп	jæʃˈerep
Бишбүләк	biʃbˈylæk
зыянын	zɯjˈɑnɯn
сарай	sɒrˈɒɪ
ышанычым	ˌɯʃɑnˈɯɕɯm
очрагын	oɕrˈɑʁɯn
Литваның	litwˈɑnɯŋ
табылырга	tˌɒbɯɫˈɯrʁɑ
җәзалар	ʑæzˈɑɫɑr
ватанына	wˌɒtɒnˈɯnɑ
күтәрелү	kˌytærˈely
яшүсмерләр	jˌæʃysmˈerlær
алачагын	ˌɒɫɒɕˈɑʁɯn
сау	sˈɒu
табыны	tɒbˈɯnɯ
тууы	tuˈuɯ
Тәтешле	tætˈeʃle
итекләр	itˈeklær
хатыннар	xɒtˈɯnnɑr
бетми	bˈetmi
теркәлеп	terkˈælep
чамаларга	ɕˌɒmɒɫˈɑrʁɑ
Пикетка	pikˈetqɑ
хәбәрче	xæbˈærɕe
беренчесе	bˌerenɕˈese
делегаты	dˌeleʁˈɑtɯ
июньгә	ijˈynʔɣæ
чикләнеп	ɕiklˈænep
урамындагы	ˌurɑmɯndˈɑʁɯ
Сүзне	sˈyzne
шалтыратып	ʃˌɒɫtɯrˈɑtɯp
Гөлнур	ɣˈœɫnur
кә	kˈæ
хәлләрне	xællˈærne
җирләрдән	ʑirlˈærdæn
дошманы	doʃmˈɑnɯ
авыллардагы	ˌɑwɯɫɫɑrdˈɑʁɯ
Кырымтатарларның	qˌɯrɯmtˌɑtɑrɫˈɑrnɯŋ
намзәтләрне	nˌɒmzætlˈærne
тапкырга	tɒpqˈɯrʁɑ
Ратмил	rˈɒtmil
итмәве	itmˈæwe
эзәрлекләнүе	ˌezærlˌeklænˈye
Исхакыйның	ˌisxɑqˈɯjnɯŋ
Федератив	fˌederˈɑtiw
авылындагы	ˌɑwɯɫɯndˈɑʁɯ
җитәкләүче	ʑˌitæklæˈyɕe
Кораллы	qorˈɑɫɫɯ
Дүртенче	dyrtˈenɕe
Тапшыруда	tˌɒpʃɯrˈudɑ
өйрәтелә	ˌœɪrætˈelæ
Камалов	qɒmˈɒɫow
сәясәтчеләре	sˌæjæsˌætɕelˈære
агулы	ɒʁˈuɫɯ
киңәшмә	kiŋˈæʃmæ
Шаров	ʃˈɒrow
Сарбаев	sɒrbˈɒew
кылучылар	qˌɯɫuɕˈɯɫɑr
