Певень	pʲˈɛvʲɛn
Луцкевічам	ɭˌut̻͡͡skʲɛvˈiʈ͡͡ʂam
дысананс	dɨsˈɑnans
табе	tˈɑbʲɛ
чэмпіянат	ʈ͡͡ʂˌɛmpiˈj͡anat
Дамейку	damʲˈɛjku
Эльвіра	ɛɭvˈira
высаджваць	vɨsˈɑdʐvat̻͡͡s
Штэфан	ʂtˈɛfan
эканомік	ˌɛkanˈomik
заляцанні	zˌaɭʲɪt̻͡͡sˈɑnni
пешую	pʲɛʂˈuʲu
Часовы	ʈ͡͡ʂasˈovɨ
прымеркаваныя	prˌɨmʲɛrkˌavanˈɨa
суцяшае	sˌut̻͡͡sʲɪʂˈɑʲɛ
візітатар	vˌizitˈɑtar
ветурачоў	vʲˌɛturˈɑʈ͡͡ʂʌw
правапрымяняльнай	prˌavaprˌɨmʲɪnʲˈj͡aɭnaj
гарачыня	ɣˌaraʈ͡͡ʂˈɨnʲa
Офіс	ˈofis
пасмяротна	pˌasmʲɪrˈotna
нарысе	narˈɨsʲɛ
Камітэту	kˌamitˈɛtu
мэтанакіраваны	mˌɛtanˌakiravˈɑnɨ
прааналізаваны	prˌaanˌaɭizavˈɑnɨ
Юда	ʲˈuda
ядавітыя	ʲˌɪdavitˈɨa
сілавых	siɭˈɑvɨx
моцную	mʌt̻͡͡snˈuʲu
тэндэнцыях	tˌɛndɛnt̻͡͡sˈɨɪx
азначае	ˌaznaʈ͡͡ʂˈɑʲɛ
Самае	samˈɑʲɛ
распытваць	raspˈɨtvat̻͡͡s
кінуўшы	kinˈuwʂɨ
добрай	dˈobraj
секцый	sʲˈɛkt̻͡͡sɨj
пазабаўляцца	pˌazabawɭʲˈj͡at̻͡͡st̻͡͡sa
ветэран	vʲɛtˈɛran
загоны	zaɣˈonɨ
пустая	pustˈɑʲa
паклапаціўся	pˌakɭapat̻͡͡sˈiwsʲa
Купальская	kˌupaɭskˈɑʲa
канфліктныя	kˌanfɭiktnˈɨa
узвядзенні	ˌuzvʲɪdzʲˈɛnni
выправіць	vɨprˈɑvit̻͡͡s
акупіць	akˈupit̻͡͡s
Любаншчыны	ɭʲˌubanʂʈ͡͡ʂˈɨnɨ
сустаў	sˈustaw
томік	tˈomik
рэкі	rˈɛki
напаўнялася	nˌapawnʲɪɭˈɑsʲa
Чакайце	ʈ͡͡ʂakˈɑjt̻͡͡sʲɛ
трэшчыны	trɛʂʈ͡͡ʂˈɨnɨ
Вывучыўшы	vˌɨvuʈ͡͡ʂˈɨwʂɨ
выязджала	vˌɨɪzdʐˈɑɭa
Ганцавіцкім	ɣˌant̻͡͡savˈit̻͡͡skim
Рабочыя	rˌabʌʈ͡͡ʂˈɨa
электроннаму	ˌɛɭʲɛktrʌnnˈɑmu
горка	ɣˈorka
Тэрэзы	tɛrˈɛzɨ
рэкляма	rɛkɭʲˈj͡ama
Крытэрыі	krˌɨtɛrˈɨi
слушнымі	sɭuʂnˈɨmi
ліцьвінаў	ɭit̻͡͡svˈinaw
Ад	ˈɑd
заўважаў	zawvˈɑʐaw
розумаў	rʌzˈumaw
травамі	travˈɑmi
аддаецца	ˌaddaʲˈɛt̻͡͡st̻͡͡sa
Варашылава	vˌaraʂɨɭˈɑva
Матусевіча	mˌatusʲɛvˈiʈ͡͡ʂa
наканаваў	nˌakanˈɑvaw
Смаленшчыне	smˌaɭʲɛnʂʈ͡͡ʂˈɨnʲɛ
грахі	ɣrˈɑxi
Працуе	prat̻͡͡sˈuʲɛ
падазрае	pˌadazrˈɑʲɛ
шкодная	ʂkʌdnˈɑʲa
напр	nˈɑpr
Калекцыя	kˌaɭʲɛkt̻͡͡sˈɨa
падборка	padbˈorka
Грыцук	ɣrˈɨt̻͡͡suk
Генрыха	ɣʲɛnrˈɨxa
староста	starˈosta
Калыханка	kˌaɭɨxˈɑnka
падмогу	padmˈoɣu
салідную	sˌaɭidnˈuʲu
уратавацца	ˌuratavˈɑt̻͡͡st̻͡͡sa
кіравання	kˌiravˈɑnnʲa
