ометяхте	o̝mɛtʲaxt̪ɛ
подслушванията	pot̪sɫuʃvənijət̪ə
препичалата	prɛpitʃəɫət̪ə
съществуванията	səʃt̪ɛst̪vuvənijət̪ə
накажат	nɐkaʒət̪
изчезнели	istʃɛznɛli
унищожава	o̝niʃt̪oʒavə
преживееше	prɛʒivɛɛʃɛ
бягащия	bʲaɡəʃt̪ijə
повличаше	povlitʃəʃɛ
разбраха	rɐzbraxə
зашивалата	zɐʃivəɫət̪ə
слизалия	slizəlijə
отичаха	ot̪itʃəxə
погребвала	poɡrɛbvəɫə
съчетаело	sətʃɛt̪aɛɫo̝
захапи	zəxɐpi
даваш	d̪avəʃ
пиещо	piɛʃt̪o̝
попечаха	po̝pɛtʃaxə
обковавалия	o̝pkovavəlijə
забременяваща	zəbrɛmɛnʲavəʃt̪ə
допекла	d̪opɛkɫə
унищожел	o̝niʃt̪oʒɛɫ
лъженета	ɫɤʒɛnɛt̪ə
даващите	d̪avəʃt̪it̪ɛ
погледнете	po̝ɡlɛd̪nɛt̪ɛ
привнасянията	privnasʲənijət̪ə
разхождано	rɐsxɔʒd̪əno̝
заслужавайте	zəsɫoʒavəjt̪ɛ
понавлязох	po̝nɐvlʲazo̝x
вряла	vrʲaɫə
насекат	nəsɛkɤt̪
обясняващ	o̝bʲɐsnʲavəʃt̪
ходело	xɔd̪ɛɫo̝
прелъстиха	prɛɫɐst̪ixə
потушаванета	po̝t̪oʃavənɛt̪ə
припиралите	pripiɾəlit̪ɛ
вечерящ	vɛtʃɛrʲəʃt̪
навлечала	nəvlɛtʃaɫə
въвлечено	vəvlɛtʃɛno
бесят	bɛsʲət̪
възпреш	vɐsprɛʃ
възнасяте	vəznasʲət̪ɛ
изминаванета	izminavənɛt̪ə
убедила	o̝bɛd̪iɫə
изтичалият	ist̪itʃəlijət̪
подпирания	pot̪piɾənijə
отровела	ot̪rɔvɛɫə
навеждаше	nɐvɛʒd̪əʃɛ
понапеклите	po̝nɐpɛklit̪ɛ
прегръщаме	prɛɡrɤʃt̪əmɛ
рачехме	ratʃɛxmɛ
обещаващия	o̝bɛʃt̪avəʃt̪ijə
забравяхме	zɐbravʲəxmɛ
изкупени	iskupɛni
погледнехме	poɡlɛd̪nɛxmɛ
прозиралите	proziɾəlit̪ɛ
прощавани	proʃt̪avəni
напичаща	nɐpitʃəʃt̪ə
изпичахте	ispitʃəxt̪ɛ
почетат	po̝tʃɛt̪ɤt̪
желаехте	ʒɛɫaɛxt̪ɛ
възпрените	vɐsprɛnit̪ɛ
наврял	nɐvrʲaɫ
корено	korɛno̝
спасени	spɐsɛni
разпрострялата	rəsprost̪rʲaɫət̪ə
обричащи	obritʃəʃt̪i
обвиняванията	o̝bvinʲavənijət̪ə
изтървалите	ist̪ɐrvalit̪ɛ
изгубим	izɡubim
закусващата	zɐkusvəʃt̪ət̪ə
взели	vzɛli
подклажданите	pot̪kɫaʒd̪ənit̪ɛ
обосновавал	o̝bo̝snovavəɫ
подвеждат	pod̪vɛʒd̪ət̪
окрадваните	okrad̪vənit̪ɛ
