မြင်း	mjɪ́ɴ
ကျားလျှာ	t͡ɕáʃà
အိုလံပစ်	ʔòlàɴpɪʔ
ဓာတုဗေဒ	dàtṵbèda̰
ခြားနားချက်	t͡ɕʰánád͡ʑɛʔ
စာရွက်စာတမ်း	sàjwɛʔsàdáɴ
ညို	ɲò
ညီနောင်	ɲìnàʊɴ
ခေါက်ဆွဲသုပ်	kʰaʊʔsʰwɛ́θoʊʔ
တပ်မတော်	taʔmədɔ̀
ဖဦးထုပ်	pʰa̰ʔútʰoʊʔ
ပစ္စက္ခ	pɪʔsɛʔkʰa̰
သင်းဝင်	θɪ́ɴwɪ̀ɴ
ချဉ်	t͡ɕʰɪ̀ɴ
ဧက	ʔèka̰
ကွန်ပါ	kʊ̀ɴpà
ဟိတ်	heɪʔ
ဇွန်း	zʊ́ɴ
ထက်ဝယ်ဖွဲ့ခွေ	tʰɛʔwɛ̀pʰwɛ̰kʰwè
သဒ္ဓါကြေး	θədàt͡ɕé
ခြောက်လ	t͡ɕʰaʊʔla̰
နှော	n̥ɔ́
ဘေ့စ်ဘော	bḛsbɔ́
အုန်းနို့ခေါက်ဆွဲ	ʔóʊɴno̰kʰaʊʔsʰwɛ́
ဓာတ်ပြား	daʔpjà
ဧကာဒသမ	ʔèkàda̰θəma̰
ဟန်နီ	hàɴnì
မဇ္ဈဒေသ	mɪʔza̰dèθa̰
အဖုံဖုံ	ʔəpʰòʊɴbòʊɴ
မြေပုံသီး	mjèbòʊɴðí
တည်ဆောက်	tìsʰaʊʔ
အပူ	ʔəpù
ရေမိုင်	jèmàɪɴ
မုဒိမ်း	mṵdéɪɴ
ဘုရင်ခံ	bəjɪ̀ɴɡàɴ
ကတ်ကြေး	kaʔt͡ɕí
ဂိုဏ်းထောက်	ɡóndaʊʔ
နတ်သုဓာထမင်း	naʔθoʊʔdàtʰəmɪ́ɴ
ခေါက်ဆွဲ	kʰaʊʔsʰwɛ́
ချုပ်	t͡ɕʰoʊʔ
ကွန်ဒုံး	kʊ̀ɴdóʊɴ
ပွဲတော်	pwɛ́dɔ̀
သူရကန်	θùɹəkàɴ
မီးခွက်	míɡwɛʔ
သရက်ရွက်	θəjɛʔjwɛʔ
ထိုင်ခုံ	tʰàɪɴɡòʊɴ
သစ်	θɪʔ
ချို	t͡ɕʰò
စကားပြောကြေးနန်း	zəɡábjɔ́t͡ɕénáɴ
ပြာတာ	pjàtà
ဗမာ	bəmà
အကြမ်းဖက်သမား	ʔət͡ɕáɴpʰɛʔθəmá
ကတ္တီပါ	ɡədìbà
အာဇာနည်နေ့	ʔàzànìnḛ
ဂေါ်ရခါး	ɡɔ̀jəkʰá
ဆယ်	sʰɛ̀
ရနံ့	jəna̰ɴ
ဘကြီး	ba̰d͡ʑí
ပကောဋိ	pəkɔ́dḭ
အားလပ်ရက်	ʔálaʔjɛʔ
ပန်းချီ	bəd͡ʑì
နရန်း	nəjáɴ
နတ်	naʔ
ဗလ	bəla̰
လက်ကောက်	lɛʔkaʊʔ
မြင့်	mjɪ̰ɴ
မွှေး	m̥wé
စတေဒီယံ	sətèdìjàɴ
ဘား	pʰá
ကြိုးစား	t͡ɕózá
ဒီမှာ	dìm̥à
ပြည်သူပြည်သား	pjìðùpjìðá
လှလှ	l̥a̰l̥a̰
သန်လျင်းချိတ်	θàɴjɪ́ɴd͡ʑeɪʔ
မလိုင်	ma̰làɪɴ
သောဘိတ	θɔ́bḭta̰
စုံဖက်	sòʊɴpʰɛʔ
အပြာ	ʔəpjà
မိ	mḭ
ပိုးဟပ်ဖြူ	póhaʔpʰjù
မေမေ	mèmè
စအို	səʔò
ပန်းနာရင်ကျပ်	páɴnàjɪ̀ɴt͡ɕaʔ
ကို	kò
ဗလီ	bəlì
ဆေးဘဲဥ	sʰébɛ́ʔṵ
ဧည့်	ʔḛ
လမ်းဘေးဆိုင်	láɴbézàɪɴ
တည်း	tʰɛ́
ဒီမိုကရေစီ	dìmòkəɹèsì
မျိုးစု	mjózṵ
သမ္မတနိုင်ငံ	θəməda̰nàɪɴŋàɴ
ဈေးချို	zét͡ɕʰò
ဇင့်ခ်	zɪ̰ɴ
ရောင်း	jáʊɴ
ခရစ်	kʰəɹɪʔ
ဖာခေါင်း	pʰàɡáʊɴ
တံပူ	dəbù
စမူဆာ	səmùzà
ဖားပြုပ်	pʰəbjoʊʔ
မျက်နှာ	mjɛʔn̥à
တစ်ရာ	təjà
တပည့်တော်မ	dəbḭdɔ̀ma̰
အဘိုးကြီး	ʔəpʰód͡ʑí
သမိန်	θəmèɪɴ
စိတ်ဓာတ်	seɪʔdàt
ငရဲမင်း	ŋəjɛ́mɪ́ɴ
တည်တံ့	tìda̰ɴ
ကိုကာကိုလာ	kòkàkòlà
တန	ta̰na̰
လောလော	lɔ́lɔ́
သီးစုံချဉ်ရည်	θízòʊɴt͡ɕʰɪ̀ɴjì
ခွန်	kʰʊ̀ɴ
မယား	məjá
စိုထိုင်း	sòtʰáɪɴ
ပိုး	pó
ရေပိုက်	jèpaɪʔ
ဦးချို	ʔúd͡ʑò
သောင်းသောင်း	θáʊɴðáʊɴ
တော်ပြီ	tɔ̀bì
ပေါက်ဖော်	paʊʔpʰɔ̀
ချွေးမ	t͡ɕʰwéma̰
ပဲကြီး	pɛ́d͡ʑí
ဒံပေါက်	dàɴpaʊʔ
မီနူး	mìnú
ဂါထာ	ɡàtʰà
ဝါဏိဇ္ဇ	wàneɪʔza̰
လိုင်စင်	làɪɴsɪ̀ɴ
ပို	pò
သံဝါသ	θàɴwàθa̰
စကားလုံး	zəɡəlóʊɴ
ဒုက္ခိတ	doʊʔkʰḭta̰
သိ	θḭ
ဂရု	ɡəjṵ
ရတနာ	jɛ̀dənà
နှာခေါင်းပေါက်	n̥əkʰáʊɴbaʊʔ
ရာခိုင်နှုန်း	jàkʰàɪɴn̥óʊɴ
ဆားဘီးယား	sʰábíjá
မာတိကာ	màtḭkà
အဖျား	ʔəpʰjá
မဟာပိန္နဲ	məhàpèɪɴnɛ́
ဩဇာသီး	ʔɔ́zàθí
နှာမောင်း	n̥əmáʊɴ
ဖောင်	pʰàʊɴ
အိမ်ရှေ့မင်း	ʔèɪɴʃḛmɪ́ɴ
ဝ	wa̰
သုတေသန	θṵtèθəna̰
ဝါဂွမ်း	wàɡwáɴ
ပထမဘွဲ့	pa̰tʰəma̰bwɛ̰
တံဆိပ်	dəzeɪʔ
ဖွား	pʰwá
သုဓမ္မပူရ	θṵdəma̰pùɹa̰
စမတ်	səmaʔ
ရှူတင်	ʃùtɪ̀ɴ
ဥရုဂွေး	ʔṵɹṵʔṵɡwé
ထာဝရဥစ္စာ	tʰàwəja̰ʔoʊʔsà
အချင်း	ʔət͡ɕʰɪ́ɴ
ပုဒ်	poʊʔ
အမျိုးလေးပါး	ʔəmjólébá
မည်သည်	mìðì
ကျူးဘား	t͡ɕúbá
မကြာမတင်	mət͡ɕàmətɪ̀ɴ
နန်းပြားသုပ်	náɴbjáθoʊʔ
ပြဒါးချိန်	bədád͡ʑèɪɴ
ဘာ	bà
ဖာမ	pʰàma̰
မျိုးဥအိမ်	mjóʔṵʔèɪɴ
လေ	lè
အတိုင်း	ʔətáɪɴ
ဇီဝစက်	zìwa̰sɛʔ
ပညတ်	pjɪ̰ɴnaʔ
လျှပ်စီး	l̥jaʔsí
ဝလာဟကမြင်း	wəlàhəka̰mjɪ́ɴ
မီးခတ်	míɡaʔ
နှုတ်	n̥oʊʔ
အကြော်	ʔa̰t͡ɕɔ̀
ဘာလင်	bàlɪ̀ɴ
ဆွယ်တာ	sʰwɛ̀tà
ငါးမူး	ŋámú
တိုးတိုး	tódó
ကျို	t͡ɕò
ခနုံထုပ်	kʰənòʊɴdoʊʔ
စပါးလင်	zəbəlɪ̀ɴ
သစ်ပုပ်	θɪʔpoʊʔ
ဈာပန	zàpəna̰
စွင့်	swɪ̰ɴ
ပြဿဒါး	pjaʔðədá
လက်ဖက်	ləpʰɛʔ
ဟူးဟူး	húhú
တိုက်ပွဲ	taɪʔpwɛ́
တဆေး	təsʰé
သရဲ	θəjɛ́
နားကြပ်	nəd͡ʑaʔ
မိဘ	mḭba̰
ထုတ်လုပ်	tʰoʊʔloʊʔ
တန်ဆောင်မုန်း	dəzàʊɴmóʊɴ
ရေနံချောင်း	jènàɴt͡ɕʰáʊɴ
လင်းယဉ်	lɪ́ɴjɪ̀ɴ
နှင်းခဲ	n̥ɪ́ɴɡɛ́
ပုလဲ	pəlɛ́
ဆောင်း	sʰáʊɴ
စကြာ	sɛʔt͡ɕà
မာန်	màɴ
ပန်းပွတ်	bəbʊʔ
အင်္ဂလန်	ʔɪ̀ɴɡəlàɴ
ပြည်သူပိုင်	pjìðùbàɪɴ
အရီးကြီး	ʔəjíd͡ʑí
မျှစ်	m̥jɪʔ
မင်းသမီး	mɪ́ɴðəmí
ဖျောက်ဆိပ်	pʰjaʊʔsʰeɪʔ
စာမွဲ	səmwɛ́
လမ်းဆုံ	láɴzòʊɴ
ရပ်	jaʔ
ဖွဲ့စည်းပုံ	pʰwɛ̰zíbòʊɴ
တဲ	tɛ́
ရာဇ	jàza̰
ချစ်တီး	t͡ɕʰɪʔtí
ပြည်သူ့လွှတ်တော်	pjìðṵl̥ʊʔtɔ̀
လျှပ်စစ်ဓာတ်	l̥jaʔsɪʔdaʔ
အမြှုပ်	ʔəm̥joʊʔ
ငါးပိထောင်း	ŋápḭtʰáʊɴ
အငွေ့	ʔa̰ŋwḛ
တဏှင်္ကရာဘုရား	tən̥ɪ̀ɴkəɹàpʰəjá
ပရိက္ခရာ	pəɹeɪʔkʰəjà
ယဉ်ကျေးမှု	jɪ̀ɴt͡ɕém̥ṵ
အီးပေါက်	ʔípaʊʔ
ရက်ရာဇာ	jɛʔjàzà
ပဋိပက္ခဒေသ	pədḭpɛʔkʰa̰dèθa̰
ဂီတပညာ	ɡìta̰pa̰ɲà
စာစောင်	sàzàʊɴ
ရွှေတောင်	ʃwèdàʊɴ
ရော်ဘာ	ɹɔ̀bà
လေထု	lèdṵ
ဝေဿဘူ	wètθəbù
တနင်္လာ	tənɪ́ɴlà
မီးခိုး	míɡó
ရဝိန်	jəwèɪɴ
အဝင်	ʔəwɪ̀ɴ
ဆံ	sʰàɴ
တိတ်	teɪʔ
ကော်ပီ	kɔ̀pì
စစ်တုရင်	sɪʔbəjɪ̀ɴ
အော်	ʔɔ̀
စည်းပုံ	síbòʊɴ
ရှစ်	ʃɪʔ
အသုပ်	ʔəθoʊʔ
အားနာပါးနာ	ʔánàpánà
စွပ်ပြုတ်	sʊʔpjoʊʔ
ကွန်ကရစ်	kʊ̀ɴɡəɹɪʔ
ရာသီဥတု	jàðìʔṵdṵ
