tændt	tˢɛnˀd̥
eksamen	ɛɡ̊sæːmm̩
pat	pʰad̥
træl	tˢʁ̥ɑlˀ
trænet	tˢʁ̥æːnð̩
ligne	liːnə
utvivlsom	utˢviwˀlsʌmˀ
milliard	miliɑˀd̥
stødte	sd̥øːd̥ə
mægtig	mɛɡ̊d̥i
jade	jæːð̩
træffes	tˢʁ̥ɑfəs
kakkel	kʰɑɡ̊l̩
religiøs	ʁæliɡ̊jøːˀs
lejre	lɑjʁɐ
filigran	filiɡ̊ʁɑnˀ
køer	kʰøɐ̯ˀ
aftnen	ɑfd̥ənən
rest	ʁɑsd̥
svigerfar	sʋ̥iˀɐfɑː
lakonisk	lakʰoˀnisɡ̊
peber	pʰewɐ
ildflue	ilfluːə
jæger	jɛːjʌ
prædike	pʰʁ̥ɛðð̩ɡ̊ə
ås	ɔːˀs
tyfussen	tˢyfusn̩
dræbt	d̥ʁɑb̥d̥
evindelig	eʋenˀn̩li
vrøvlet	ʋʁɶwˀlð̩
skåne	sɡ̊ɔːnə
hug	huɡ̊
køretøjet	kʰøːɐtˢʌðˀð̩
fjord	fjoɐ̯ˀ
hinder	henɐ
ætten	ɛˀd̥ən
visken	ʋesɡ̊ən
petersen	pʰed̥ɐsn̩
der	d̥ɛˀɐ̯
ihukomme	ihukʰʌmˀə
længe	lɛŋə
stegt	sd̥ɛɡ̊d̥ə
målmand	mɔːlmanˀ
thor	tˢoɐ̯ˀ
vits	ʋid̥s
fordele	foɐ̯d̥eːˀlə
flagermus	flɑwɐmuːˀs
at	ad̥
kræmmer	kʁ̥ɑmɐ
irsk	iɐ̯ˀsɡ̊
producere	pʰʁ̥od̥useːˀɐ
like	lɑjɡ̊
meditation	med̥itˢaɕoːˀn
bager	b̥æːjɐ
bad	b̥að
støve	sd̥øːʊ
vorde	ʋɒːd̥ə
forrådt	fʌʁɔˀd̥
hæng	hɛŋˀ
røves	ʁɶwəs
sølvet	sølˀəð
slik	sleɡ̊
juvel	juveːˀl
hudfarve	hufɑːw̩
gø	ɡ̊øːˀ
ilt	ilˀd̥
kolerisk	kʰoleːˀɐ̯isɡ̊
viden	ʋiðð̩n
århus	ɒːhus
kløver	kʰløːvɐ
anæstesi	anɛsd̥əsiːˀ
måler	mɔːˀlɐ
trodse	tˢʁ̥ʌsə
mile	miːlə
fager	fæˀɐ
fagter	fɑɡ̊d̥ɐ
pokal	pʰokʰæːˀl
trå	tˢʁɔˀ
sjov	ɕɒwˀ
let	leˀd̥
mennesket	mɛnsɡ̊əð
pinlig	pʰiːnli
måne	mɔːnə
kvæler	kʰʋ̥ɛˀlɐ
søjle	sʌjlə
pege	pʰɑjə
a's	æːs
sloges	sl̥oːos
greje	ɡ̊ʁɑːɪ
forelske	fɒɛlsɡ̊ə
udeblev	uːðəb̥lewˀ
mødtes	mød̥əs
homofili	homofiliːˀ
zeus	sœwˀs
omgang	ʌmɡ̊ɑŋˀ
undr	ɔnˀd̥ɐ
landmand	lanmanˀ
muldvarpe	mulʋɑːb̥ə
faster	fasd̥ɐ
kroatisk	kʰʁoæːˀtˢisɡ̊
hylle	hylə
sigøjner	siɡ̊ʌjˀnɐ
frøken	fʁ̥œɡ̊ŋ̩
dumt	d̥ɔmˀd̥
svor	sʋ̥oɐ̯ˀ
mælkechokolade	mɛlɡ̊ɔɕoɡ̊olæːðə
punkt	pʰɔŋˀd̥
muskuløs	musɡ̊uløːˀs
såret	sɒːɒð
fryser	fʁ̥yˀsɐ
at	ʌ
folketinget	fʌlɡ̊ətˢeŋˀəð
østersøen	øsd̥ɐsøːˀən
spredte	sb̥ʁæːd̥ə
mundtlig	mɔnd̥li
fornemme	fɒːnɛmˀə
tunge	tˢɔŋə
rad	ʁɑˀð
nevada	nevɛːdæ
fransk	fʁɑnˀsɡ̊
vakuum	væːˀkʰuɔm
nulpunkt	nɔlpʰɔŋˀd̥
ledte	leːd̥ə
sig	siːˀ
koffein	kʰʌfəiːˀn
vandrestjerne	ʋɑnd̥ʁɐsd̥jaɐ̯nə
kork	kʰɒːɡ̊
ledte	leˀd̥ə
punktlig	pɔŋd̥li
hannen	hanˀn̩
ride	ʁiðð̩
ruiner	ʁuiːˀnɐ
vær	væˀɐ̯
gren	ɡ̊ʁæˀn
skilt	sɡ̊elˀd̥
seraf	seʁɑːˀf
overskuelig	ɒwɐsɡ̊uːˀəli
tight	tˢɑjd̥
gæst	ɡ̊ɛsd̥
frugt	fʁ̥ɔɡ̊d̥
morgenmand	mɒɒnmanˀ
ældre	ɛld̥ʁɐ
følger	følɐ
teint	tˢɛŋ
stedmor	sd̥emoɐ̯
neger	neːjɐ
næppe	nɛb̥ə
vordende	ʋɒːd̥n̩nə
kontor	kʰɔntˢoɐ̯ˀ
hamsteren	hɑmˀsd̥ɐɐn
rå	ʁɔˀ
ulden	ulən
skralde	sɡ̊ʁɑlə
vest	ʋɛsd̥
vædder	ʋɛðɐ
effen	ɛfən
sankthans	sɑŋd̥hans
atten	ad̥n̩
accenternes	ɑɡ̊sɛnˀd̥ɐnəs
tabte	tˢɑb̥d̥ə
udlændig	uðlɛnˀd̥i
konsensus	kʰʌnsɛnsus
kvækerfinke	kvɛˀɡʌfeŋɡə
forrådte	fʌʁɔˀd̥ə
skyllemiddel	sɡ̊øləmiðˀəl
adresse	ad̥ʁasə
passer	pʰaseɐ̯ˀ
bopæl	b̥opʰɛːˀl
embedsmand	ɛmb̥eðsmanˀ
serbisk	sæɐ̯ˀb̥isɡ̊
guddommelig	ɡ̊uðd̥ʌmˀəli
købstad	kʰøb̥sd̥að
candyfloss	kʰand̥iflʌs
bøvse	b̥œwsə
lærer	lɛːɐ
par	pʰɑˀ
kvæg	kʰʋ̥ɛˀ
risalamande	ʁisalamɑŋ
anse	anseˀ
albumin	alb̥umiːˀn
tryner	tˢʁyːnɐ
må	mɔˀ
vidst	ʋesd̥
tjekke	tçɛɡ̊ə
skræv	sɡ̊ʁaw
bil	b̥iːˀl
racer	ʁɛːsɐ
ridt	ʁid̥
gejstlig	ɡ̊ɑjsd̥li
lodde	lʌðə
ligestilling	liːɪsd̥elˀeŋ
adr	aðˀɐ
hyttet	hyd̥ð̩
hundred	hunɐð
bruxelles	b̥ʁysɛl
kryb	kʰʁ̥yːˀb̥
fotograf	fod̥oɡ̊ʁɒːˀf
gøgler	ɡ̊ʌjlɐ
sanger	saŋɐ
køretøjet	kʰøːɐtˢʌjˀəð
yver	ywˀɐ
oppebie	ʌb̥əb̥iːi
kakaosmør	kʰakʰæːosmɶɐ̯
rad	ʁɑð
pæn	pʰɛːˀn
borg	pɒˀw
forleden	fʌleðˀn̩
fundamentalisme	fɔnd̥aməntˢalismə
lægt	lɛˀjd̥
frist	fʁɛsd̥
føjning	fʌjneŋ
givne	ɡ̊iwnə
dukke	d̥ɔɡ̊ə
onani	ʌnaniːˀ
fastelavn	fasd̥əlɑwˀn
bumpes	b̥ɔmb̥əs
belortet	b̥eloɐ̯d̥əð
plask	pʰl̥asɡ̊
forsørge	fʌsɶɐ̯ˀwə
arbejder	ɑːb̥ɑjˀd̥ɐ
flaskepost	flasɡ̊əpʰʌsd̥
svag	svæˀj
lysning	lysneŋ
nuttet	nud̥əð
strategi	stˢʁad̥ɛɡ̊iː
anmode	anmoðˀð̩
afvise	ɑwʋiˀsə
slag	sl̥ɑw
spidde	sb̥iðð̩
flygtning	fløɡ̊neŋ
anders	ɑnɐs
kendt	kʰɛnˀd̥
noget	nɔðð̩
remonce	ʁæmʌŋsə
slem	slɛmˀ
hvilket	ʋelɡ̊əð
bedrøvede	b̥ed̥ʁœwˀð̩ð̩
slæt	slɛd̥
stuepige	sd̥uːupʰiːi
søvnig	sœwni
nederdrægtig	neðɐd̥ʁaɡ̊d̥i
stjæler	sd̥jɛˀlɐ
grise	ɡ̊ʁiːsə
dronning	d̥ʁʌneŋ
foragt	fʌɑɡ̊d̥
tyg	tˢyɡ̊
kreds	kʰʁ̥æːˀs
danerne	d̥æˀnɐnə
hamstrerne	hɑmsd̥ʁɐnə
vakt	ʋɑɡ̊d̥
grej	ɡ̊ʁɑjˀ
nyt	nyd̥
idyllisk	id̥ylˀisɡ̊
slås	sl̥ʌs
natklub	nad̥kʰlub̥
fundamental	fɔnd̥aməntˢæːˀl
gråd	ɡ̊ʁɔˀð
pokkers	pʰʌɡ̊ɐs
klokke	kʰl̥ʌɡ̊ə
længde	lɛŋˀd̥ə
køb	kʰøˀb̥
spøgelse	sb̥øːl̩sə
kolossal	kʰolosæːˀl
gang	ɡɑ̃
færge	faɐ̯ʊ
antage	antˢæːˀ
skueproces	sɡ̊uːəpʰʁ̥osɛs
rid	ʁiðˀ
hærger	haɐ̯wɐ
følte	føːld̥ə
spurgte	sb̥oɐ̯d̥ə
lod	lʌðˀ
enig	eːni
rensdyr	ʁanˀsd̥yɐ̯ˀ
vige	ʋiːi
søge	søːɪ
lasagne	lasanjə
jomfru	jʌmfʁ̥o
ødipal	ød̥ipʰæˀl
at	a
diminutiv	diminutˢiwˀ
kræve	kʰʁ̥æːʊ
mindre	mend̥ʁɐ
gigt	ɡiɡd
åbenbar	ɔːb̥m̩b̥ɑˀ
chips	tɕib̥s
liden	liðð̩n
grød	ɡ̊ʁœðˠˀ
ildsjæl	ilɕɛˀl
ar	ɑːˀ
flød	fløˀð
sødt	sød̥
irrationel	iʁɑɕonɛlˀ
hytter	hyd̥ɐ
led	leðˀ
bon	b̥ʌŋ
evne	ɛwnə
tilføje	tˢelfʌjˀə
tirsdag	tˢiɐ̯ˀsd̥a
starut	sd̥aʁud̥
papir	pʰapʰiɐ̯ˀ
stjal	sd̥jæˀl
køds	kʰøðs
gæld	ɡ̊ɛlˀ
kvæler	kʰʋ̥ɛːlɐ
gærdesmutte	ɡ̊ɛːɐsmud̥ə
ni	niːˀ
udrede	uðʁæðˀð̩
hale	hæːlə
legemlig	lɛːɪmli
