riksja	rɪkʃaː
strijdlustig	strɛi̯tlʏstəx
afgodsbeeld	ɑfxɔtsbeːlt
vloed	vlut
salontafel	saːlɔntaːfəl
convenant	kɔnvənɑnt
droom	droːm
schoolvriendin	sxoːlvrindɪn
filmzaal	fɪlmzaːl
hardtin	ɦɑrtɪn
lekkage	lɛkaːʒə
viroloog	viːroːloːx
commentaar	kɔmɛntaːr
peterselie	peːtərseːli
acceptabel	ɑksɛptaːbəl
cowboy	kɑu̯bɔi̯
ziekteverloop	ziktəvərloːp
zandpad	zɑntpɑt
toiletborstel	tʋaːlɛtbɔrstəl
asymptoot	aːsɪmptoːt
dekbedovertrek	dɛkbɛtoːvərtrɛk
cocaïne	koːkaːinə
maandblad	maːntblɑt
afgezonderd	ɑfxəzɔndərt
optie	ɔpsi
bakkerin	bɑkərɪn
arreslee	ɑrəsleː
verkijken	vərkɛi̯kən
barbaar	bɑrbaːr
doodrijder	doːtrɛi̯dər
flat	flɑt
opruiing	ɔprœy̯ɪŋ
rotsgebergte	rɔtsxəbɛrxtə
doorlatende	doːrlaːtəndə
tragische	traːɣisə
autogas	ɑu̯toːɣɑs
decagram	deːkaːɣrɑm
grondbloem	ɣrɔntblum
totaaltje	tɔtaːltjə
influencer	ɪnfluɛnsər
roeptoeteren	ruptutərən
onderzeebootdienst	ɔndərzeːboːtdinst
knisperen	knɪspərən
sneeuwhut	sneːu̯ɦʏt
westfront	ʋɛstfrɔnt
kinderleven	kɪndərleːvən
popeyes	pɔpɑis
bellen	bɛlən
takel	taːkəl
koningsdag	koːnɪŋsdɑx
dubbelspion	dʏbəlspiɔn
onthaasten	ɔntɦaːstən
geslachtsverkeer	ɣəslɑxtsfɛrkeːr
snoge	snoːɣə
breekbaarheid	breːkbaːrɦɛi̯t
draf	drɑf
wikke	ʋɪkə
bruidsbed	brœy̯tsbɛt
nepnieuws	nɛpniu̯s
uitslijpt	ʌy̯tslai̯pt
falsifieerbaarheid	fɑlsɪfjɛrbaːrɦɛi̯t
beteunie	bətøːni
bravoure	braːvuːr
deïsme	deːɪsmə
berlinerbol	bɛrlinərbɔl
boekhouden	bukɦɑu̯dən
zwemvest	zʋɛmvɛst
appelspijs	ɑpəlspɛi̯s
hanengevecht	ɦaːnənɣəvɛxt
feniks	feːnɪks
opnamestudio	ɔpnaːməstydioː
techniek	tɛxnik
avondjurk	aːvɔntjʏrk
desbetreffend	dɛsbətrɛfənt
zo'n	zoːn
aanloop	aːnloːp
cancelen	kɛnsələn
vetzakje	vɛtzɑkjə
eureka	œy̯reːkaː
hamsteren	ɦɑmstərən
zienswaardigheid	zinsʋaːrdəxɦɛi̯t
zooglam	zoːxlɑm
poortgebouw	poːrtxəbɑu̯
moeten	mutən
calciumoxide	kɑlsiʏmɔksidə
uitgeput	œy̯txəpʏt
miasma	miɑsmaː
viskraam	vɪskraːm
bedekten	bədɛktən
kromspraak	krɔmspraːk
zijpad	zɛi̯pɑt
dinges	dɪŋəs
purper	pʏrpər
uitlevert	œy̯tleːvərt
reiken	rɛi̯kən
focus	foːkʏs
donderen	dɔndərən
leefgebied	leːfxəbit
jou	jɑu̯
slechts	slɛxts
valsspelen	vɑlsspeːlən
koet	kut
ontleedkunde	ɔntleːtkʏndə
zevenmijlslaars	zeːvənmɛi̯lslaːrs
meid	mɛi̯t
g	xeː
reed	reːt
ezeltje	eːzəltjə
geloofsgenoot	ɣəloːfsxənoːt
dageraad	daːɣəraːt
plaat	plaːt
vergunnen	vərɣʏnən
smaadrede	smaːtreːdə
lijnbus	lɛi̯mbʏs
trofeejacht	troːfeːjɑxt
schelmenliteratuur	sxɛlmənlitəraːtyːr
steentijd	steːntɛi̯t
gewoonterecht	ɣəʋoːntərɛxt
duodecimo	dyoːdeːsimoː
boring	boːrɪŋ
garibaldi	ɣaːribɑldi
negeren	nəɣeːrən
verkeersongeval	vɛrkeːrsɔŋɣəvɑl
oprotten	ɔprɔtən
erfenis	ɛrfənɪs
sicilië	sisiliə
commerçant	kɔmɛrsɑnt
driekleur	drikløːr
flagrant	flaːɣrɑnt
woning	ʋoːnɪŋ
volksuniversiteit	vɔlksynivɛrzitɛi̯t
foor	foːr
toetssteen	tutssteːn
pagina	paːɣinaː
softijs	sɔftɛi̯s
bladerdak	blaːdərdɑk
postma	pɔstmaː
kamermeisje	kaːmərmɛi̯ʃə
sterftecijfer	stɛrftəsɛi̯fər
javaans	jaːvaːns
sjees	ʃeːs
imme	ɪmə
zoenen	zunən
bemoeial	bəmui̯ɑl
vangrail	vɑŋreːl
koudbloedig	kɑu̯tbludəx
veronderstelling	vərɔndərstɛlɪŋ
raat	raːt
gips	ɣɪps
vingerhoed	vɪŋərɦut
licent	lisɛnt
confucianisme	kɔnfysiaːnɪsmə
tapir	taːpir
kosmopolitisme	kɔsmoːpoːlitɪsmə
kunde	kʏndə
lelijkerd	leːləkərt
zuiveren	zœy̯vərən
oorlogsverklaring	oːrlɔxsfərklaːrɪŋ
irak	irɑk
ze	zə
bekwellen	bəkʋɛlən
afklemmen	ɑfklɛmən
breedbekkikker	breːtbɛkɪkər
miezerd	mizərt
benedenbuurman	bəneːdənbyːrmɑn
bosch	bɔs
barcelona	bɑrsəloːnaː
titelen	titələn
overspelig	oːvərspɛləx
aanhoudelijk	aːnɦɑu̯dələk
houzee	ɦɑu̯zeː
brandnetelsoep	brɑntneːtəlsup
satyrspel	saːtərspɛl
ontzwachtelen	ɔntzʋɑxtələn
mitrailleur	mitreːjøːr
introïtus	ɪntroːitʏs
miezerds	mizərts
freak	frik
plantage	plɑntaːʒə
leie	lɛi̯ə
roof	roːf
cognitiewetenschap	kɔxnitsiʋeːtənsxɑp
achtvoudig	ɑxtfɑu̯dəx
doodklok	doːtklɔk
beenmeel	beːnmeːl
kleingeestig	klɛi̯nɣeːstəx
diakritisch	diaːkritis
bevindingen	bəvɪndɪŋən
mausoleum	mɑu̯zoːleːʏm
slagbal	slɑxbɑl
casuïstiek	kaːzyɪstik
blauwogig	blɑu̯oːɣəx
bijzitster	bɛi̯zɪtstər
joint	dʒoːi̯nt
natuurwet	naːtyːrʋɛt
enzoötisch	ɛnzoːoːtis
water	ʋaːtər
rugzak	rʏxsɑk
tanken	tɛŋkən
baarn	baːrn
hoef	ɦuf
vierentwintig	viːrɛntʋɪntəx
zandvlakte	zɑntflɑktə
bergmeubel	bɛrxmøːbəl
geschift	ɣəsxɪft
overdrijven	oːvərdrɛi̯vən
pizza	pidzaː
benedenbuurvrouw	bəneːdənbyːrvrɑu̯
diergeneeskunde	diːrɣəneːskʏndə
baltsen	bɑltsən
flirten	flʏrtən
plankenkoorts	plɑŋkənkoːrts
eksterogen	ɛkstəroːɣən
wonder	ʋɔndər
zigeuner	ziɣøːnər
juxtapositie	jʏkstaːpoːzitsi
baculum	baːkylʏm
verblinken	vɛrblɪŋkən
cederolie	seːdəroːli
blokverkaveling	blɔkfərkaːvəlɪŋ
uitbundigheid	œy̯tbʏndəxɦɛi̯t
wieldop	ʋildɔp
naald	naːlt
tropenarts	troːpənɑrts
agent	aːɣɛnt
weerwolf	ʋeːrʋɔlf
bijbelwetenschap	bɛi̯bəlʋeːtənsxɑp
aangelegen	aːnɣəleːɣən
lelijk	leːlək
basterdsuiker	bɑstərtsœy̯kər
besnijden	bəsnɛi̯dən
coyote	koːjoːtə
antisepsis	ɑntisɛpsɪs
doks	dɔks
lutjebroek	lʏtjəbruk
dwarsader	dʋɑrsaːdər
kracht	krɑxt
hersenbreker	ɦɛrsənbreːkər
hendriks	ɦɛndrɪks
ontmoedigen	ɔntmudəɣən
aanrijding	aːnrɛi̯dɪŋ
geboreling	ɣəboːrəlɪŋ
sjacheren	ʃɑxərən
doerak	durɑk
stofzuigde	stɔfsœy̯ɣdə
ontknopen	ɔntknoːpən
falsifiëren	fɑlsifjeːrən
zeventig	seːvəntəx
vertaalwoordenboeken	vərtaːlʋoːrdənbukən
klapstuk	klɑpstʏk
nopens	noːpəns
lint	lɪnt
woeker	ʋukər
omelet	oːməlɛt
bezwaarlijk	bəzʋaːrlək
groet	ɣrut
woordje	ʋoːrtʃə
martelkamer	mɑrtəlkaːmər
potentie	poːtɛnsi
kroonluchter	kroːnlʏxtər
leefmilieu	leːfmɪljøː
loslaten	lɔslaːtən
beschermheer	bəsxɛrmɦeːr
uitend	œy̯tənt
stuurboord	styːrboːrt
dingo	dɪŋɡoː
kafkaësk	kɑfkaːɛsk
ontnuchteren	ɔntnʏxtərən
schaamheuvel	sxaːmɦøːvəl
wijting	ʋɛi̯tɪŋ
informatiebron	ɪnfɔrmaːtsibrɔn
busdokter	bʏsdɔktər
snot	snɔt
aangroeien	aːŋɣrui̯ən
ravelijn	raːvəlɛi̯n
nachttrein	nɑxtrɛi̯n
kassabon	kɑsaːbɔn
enkelspoor	ɛŋkəlspoːr
blaauw	blɑu̯
rijk	rɛi̯k
etsen	ɛtsən
strandpaviljoen	strɑntpaːvɪljun
weefgetouw	ʋeːfxətɑu̯
schaap	sxaːp
radenrepubliek	raːdənreːpyblik
reddingswerker	rɛdɪŋsʋɛrkər
pentyn	pɛntin
werkbaar	ʋɛrkbaːr
socialistenvreter	soːʃaːlɪstənvreːtər
conserveringsmiddel	kɔnzɛrveːrɪŋsmɪdəl
zadel	zaːdəl
achteruitgaan	ɑxtərœy̯txaːn
apk	aːpeːkaː
vooral	voːrɑl
vredeswerk	vreːdəsʋɛrk
ereloon	eːrəloːn
vaccinatiegraad	vɑksinaːtsiɣraːt
dodendraad	doːdəndraːt
motorrijder	moːtɔrrɛi̯dər
kurkdroog	kʏrkdroːx
paardenfokker	paːrdənfɔkər
estafette	ɛstaːfɛtə
recalcitrant	reːkɑlsitrɑnt
venezuela	veːnəzyeːlaː
kanonnenvoeder	kaːnɔnənvudər
zwik	zʋɪk
kakkineus	kɑkinøːs
uitgeverij	œy̯txeːvərɛi̯
busdrager	bʏsdraːɣər
barbierster	bɑrbiːrstər
stinkmarter	stɪŋkmɑrtər
alkmaar	ɑlkmaːr
elpenbenen	ɛlpənbeːnən
antoniem	ɑntoːnim
stins	stɪns
zweinstein	zʋɛi̯nsteːn
vulslurf	vʏlslʏrf
controller	kɔntrɔlər
mannenvoetbal	mɑnənvutbɑl
figureren	fiɣyreːrən
verkeerde	vərkeːrdə
koelbloedig	kulbludəx
biecht	bixt
crapuul	kraːpyl
word	ʋɔrt
daglicht	dɑxlɪxt
engelsman	ɛŋəlsmɑn
schikken	sxɪkən
duren	dyrən
index	ɪndɛks
hoender	ɦundər
gentiaan	ɣɛntsiaːn
militarisme	militaːrɪsmə
nektapijt	nɛktaːpɛi̯t
overtuiger	oːvərtœy̯ɣər
contractie	kɔntrɑksi
remedie	reːmeːdi
snelheid	snɛlɦɛi̯t
discreet	dɪskreːt
tuimelkruid	tœy̯məlkrœy̯t
mezelf	məzɛlf
boerenkool	buːrənkoːl
uitdrukt	œːdrʏkt
eruptief	eːrʏptif
normaalkracht	nɔrmaːlkrɑxt
dierkunde	diːrkʏndə
etnologe	ɛtnoːloːɣə
douane	duaːnə
goulash	ɡulɑʃ
paalwerk	paːlʋɛrk
abraham	aːbraːɦɑm
waar	ʋaːr
brummen	brʏmən
beltoon	bɛltoːn
boetseren	butseːrən
verkrachter	vərkrɑxtər
puntgevel	pʏntxeːvəl
boden	boːdən
bedriegelijk	bədriɣələk
corroderen	kɔroːdeːrən
erna	ərnaː
wisselslag	ʋɪsəlslɑx
dromedaris	drɔmədaːrɪs
bakkeljauw	bɑkəljɑu̯
mediageilheid	meːdiaːɣɛi̯lɦɛi̯t
bridge	r
verkavelen	vɛrkaːvələn
concurrentie	kɔŋkyrɛntsi
nijmegen	nɛi̯meːɣən
voeteren	vuteːrən
morgen	mɔrɣən
draaierig	draːi̯ərəx
poepluier	puplœy̯ər
engte	ɛŋtə
toekruid	tukrœy̯t
aankondigen	aːŋkɔndəɣən
leus	løːs
promenade	proːmənaːdə
gijzelsoftware	ɣɛi̯zəlsɔftʋɛːr
stamper	stɑmpər
ertussendoor	ərtʏsəndoːr
kustwater	kʏstʋaːtər
gezogen	ɣəzoːɣən
babyboom	beːbibuːm
staartveer	staːrtfeːr
vakwerkhuis	vɑkʋɛrkɦœy̯s
bemetselen	bəmɛtsələn
lapmiddel	lɑpmɪdəl
accumulator	ɑkymylaːtɔr
bonze	bɔnzə
palladium	pɑlaːdiʏm
thema	teːmaː
autopsie	ɑu̯tɔpsi
adviseren	ɑtfizeːrən
onbuigzaam	ɔnbœy̯xsaːm
vergiettest	vərɣittɛst
zijkant	zɛi̯kɑnt
hasselt	ɦɑsəlt
skypen	skɑi̯pən
verkeersfuik	vɛrkeːrsfœy̯k
telwoord	tɛlʋoːrt
koffieboon	kɔfiboːn
nuanceren	nyɑnseːrən
venkel	vɛŋkəl
bleken	bleːkən
