nbt	niːbat
jdt	jaːtʼat
nmtj	nɛmti
bꜣk	bɑk
jwd	iuːd
mḏꜣt	mɛd͡ʒɑt
snwḫ	sɛnuːx
ḥrrt	ħəɾeːɾə
skm	sɛkɛm
tp	tɛp
wnt	wɛnɛt
nn	nɛn
zẖꜣ	ziçiʀ
ḥmt	ħijamwaʔ
smḥ	sɛmɛħ
rnpwt	rɛnpuːt
pnw	piːn
nsrt	nasɾə
jtrt	itrɛt
ꜥẖm	ɑːçɛm
jsry	isriː
zp	zɛp
ẖkr	çɛkɛr
rnpj	ɾenpaʔ
ntf	ɛntɛf
št	ʃiʔ
nḥḥ	nɛħɛħ
znb	zɛnɛb
tf	tef
jwf	ʔafoːj
nṯrw	nacuːɾaw[1]
bꜣkt	baʀkat
mm	mɛm
wrrt	wVɾiʔjVʔ
sjꜣ	saːʔəʔ
mr	maʔ
snḏ	sinitʼ
wšb	woːʃəβ
ḫpr	χaːpaʔ
wḏt	wɛd͡ʒɛt
tr	tɛr
spdt	saptʼat
yꜣ	iːɑ
ꜣḫtj	ɑxti
hkr	hɛkɛr
ḏs.k	d͡ʒɛsʔɛk
nṯrt	nɛt͡ʃɛrɛt
ḏs.j	d͡ʒɛsʔi
bjt	bit
snfr	sɛnɛfɛr
šmꜥyt	ʃɛmɑːiːt
ḥtm	ħɛtɛm
ꜥš	ɑːʃ
ḏsrt	d͡ʒɛsrɛt
wꜣḏ	woːʔətʼ
z	seːw
ꜣbd	ʔəβøtʼʔ
dwꜣt	tʼuːʔa
wrrt	wVɾiɾjVt
jn	in
.fj	ʔɛfi
fnṯ	fincuw
wḏꜥ	waːcʼaʕ
qnyt	kɛniːt
šr	ʃɛr
ḥṯṯt	ħəʔt͡ʃaʔ
rwḏt	ruːd͡ʒɛt
gꜣbt	kʼaʀbat
jt	jaʔtə
ꜥnn	ɑːnɛn
ḏꜣtt	d͡ʒɑtɛt
prj	piːɾiʔ
rmyt	rɛmiːt
mḏw	meːtʼ
bjꜣt	biɑt
mnt	moːnə
rmj	ɾiːmit
nb	naβʔə
gmj	ɡɛmi
qrs	qʼoːʔs
ḥmsj	ħimsiʔ
sdyt	sɛdiːt
hmy	hɛmiː
zpꜣ	zɛpɑ
ḏs.f	d͡ʒɛsʔɛf
jbj	ʔiːβə
ꜥḥꜣw	ɑːħɑuː
jꜥn	jaʕin
nḥḥ	nijħaħ
gnn	ɡɛnɛn
mnty	mənoːtə
ꜣꜣ	ɑʔɑ
tjsw	tisuː
wꜥtj	wɑːti
.j	aj
ysrjꜣr	iːsriɑr
gḥs	kʼəħas
ꜣj	ɑi
ḥr	ħoːɾə
kꜣkꜣ	kɑkɑ
sḫntj	sɛxɛnɛti
mn	moːn
bꜣkw	baʀkaw
nqꜥ	nɛkɑː
mšw	mɛʃuː
qrf	qʼəɾaf
wꜣt	wɑt
sḫpr	sɛxɛpɛr
šꜥy	ʃaːʕVj
nbw	noːβ
ds	dɛs
ḥwꜣ	ħaːwaʀ
ḏbꜣ	d͡ʒɛbɑ
ẖr	çøʔ
msjꜣt	masjaːʀiʔ
gmgm	kʼamkʼam
ḏꜣj	d͡ʒɑi
ꜣḫ	ʀaːχ
ḥfꜣw	ħafʔəʔ
tmꜣ	tɛmɑ
rwt	ruːt
šfyt	ʃɛfiːt
nšmt	nɛʃmɛt
jwtj	iuːti
sꜣgꜣ	sakʼ
šmj	ʃə
nsrt	nasɾat
ḫmnyw	xɛmɛniːuː
dgm	tʼuːkʼVm
.n	ʔɛn
my	miː
ššy	ʃɛʃiː
bꜣstt	bɑstɛt
ḫntj	xɛnti
bs	bɛs
ꜣw	ʔaw
r	ɾaʀ
jptn	iptɛn
qnj	qʼenjə
rnpj	ɾinpit
jtrw	jatɾaw
jmy	imiː
mnyt	mɛniːt
ḫpš	xɛpɛʃ
jrṯt	jVɾaːcat
jꜣꜣt	iɑʔɑt
sḫt	soːχə
wjꜣ	wiɑ
