secretive	sˈiːkɹətˌɪv
pruned	pɹˈuːnd
redeemer	ɹɪdˈiːmɐ
ailments	ˈeɪlmənts
valets	vˈæleɪs
forwarder	fˈɔːwədɐ
hark	hˈɑːk
singalong	sˈɪŋɡɐlˌɒŋ
evident	ˈɛvɪdənt
dings	dˈɪŋz
peccadillos	pˌɛkɐdˈɪləʊz
landlubbers	lˈændlʌbəz
nicola	nˈɪkələ
dogsbody	dˈɒɡsbɒdi
pills	pˈɪlz
reconstructing	ɹˌiːkənstɹˈʌktɪŋ
hours	ˈaʊəz
dusters	dˈʌstəz
chats	tʃˈæts
bedevilled	bɪdˈɛvəld
resistance	ɹɪzˈɪstəns,ɹɪsˈɪstəns
predictably	pɹɪdˈɪktəbli
muzzle	mˈʌzəl
anatomised	ˈænɐtəmˌaɪzd
bluebird	blˈuːbɜːd
knockout	nˈɒkaʊt
thumbed	θˈʌmd
winced	wˈɪnst
flamingo	flɛmˈɪŋɡəʊ
imported	ɪmpˈɔːtɪd
policewomen	pəlˈiːswɪmˌɪn
unassailable	ʌnɐsˈeɪləbəl
parsnips	pˈɑːsnɪps
propagators	pɹˈɒpɐɡˌeɪtəz
cricketing	kɹˈɪkɪtɪŋ
cheerer	tʃˈiəɹɐ
tit	tˈɪt
trumpeting	tɹˈʌmpɪtɪŋ
reap	ɹˈiːp
bedcover	bˈɛdkʌvɐ
inaccuracy	ɪnˈækjʊɹəsi
liturgy	lˈɪtɜːdʒi
destructiveness	dɪstɹˈʌktɪvnəs
humiliate	hjuːmˈɪlɪˌeɪt
retaliation	ɹɪtˌælɪˈeɪʃən
paint	pˈeɪnt
scowling	skˈaʊlɪŋ
shrewder	ʃɹˈuːdɐ
horniest	hˈɔːnɪəst
gunning	ɡˈʌnɪŋ
exiled	ˈɛɡzaɪld
vulgarities	vʌlɡˈæɹɪtiz
emasculating	ɪmˈæskjʊlˌeɪtɪŋ
revamped	ɹɪvˈæmpt
subpoena	suːpˈiːnɐ
motorists	mˈəʊtəɹˌɪsts
chelicerae	tʃˈɛlɪsəɹˌiː
she-males	ʃˈiːmˌeɪlz
alignment	əlˈaɪnmənt,ɐlˈaɪnmənt
belting	bˈɛltɪŋ
desperado	dɪspəɹˈɑːdəʊ
blackguards	blˈækɡɑːdz
digit	dˈɪdʒɪt
rebelled	ɹɪbˈɛld
considered	kənsˈɪdəd
cutthroats	kˈʌtθɹəʊts
enveloping	ɛnvˈɛləpɪŋ
prev	pɹˈɛv
priesthoods	pɹˈiːsthʊdz
agriculturists	ˈæɡɹɪkˌʌltʃəɹˌɪsts
actives	ˈæktɪvz
gap	ɡˈæp,gˈæp
ischaemia	ɪskˈiːmiə
disturbs	dɪstˈɜːbz
farandoles	fˈæɹɐndˌəʊlz
enthusiastically	ɛnθjˌuːzɪˈæstɪkli
napoleons	næpˈəʊlɪənz
centromere	sˈɛntɹəʊmɐ
preseason	pɹɪsˈiːzən
all	ˈɔːl
nosy	nˈəʊzi
waxing	wˈæksɪŋ
untrue	ʌntɹˈuː,ɐntɹˈuː
brigadiers	bɹˌɪɡɐdˈiəz
statistically	stətˈɪstɪkli,stɐtˈɪstɪkli
negotiates	nɪɡˈəʊʃɪˌeɪts
whitish	wˈaɪtɪʃ
latke	lˈætk
preposterously	pɹɪpˈɒstəɹəsli
beguiled	bɪɡˈaɪld
excel	ɛksˈɛl,ɪksˈɛl
quintillion	kwɪntˈɪliən
frigidarium	fɹˌɪdʒɪdˈeəɹiəm
dispirited	dɪspˈɪɹɪtɪd
dividend	dˈɪvɪdənd,dˈɪvɪdˌɛnd
lectern	lˈɛktən
nova	nˈəʊvɐ,nˈəʊvə
discrete	dɪskɹˈiːt
finalise	fˈaɪnəlˌaɪz
reprove	ɹɪpɹˈuːv
assuage	ɐswˈeɪdʒ
wangling	wˈænɡəlɪŋ
unsealed	ʌnsˈiːld
barnstormer	bˈɑːnstɔːmɐ
primo	pɹˈiːməʊ
windbag	wˈɪndbæɡ
emigrant	ˈɛmɪɡɹənt
unnaturally	ʌnnˈætʃəɹəli
integer	ˈɪntɪdʒə,ˈɪntɪdʒɐ
slighter	slˈaɪtɐ
fates	fˈeɪts
discloses	dɪsklˈəʊzɪz
flashes	flˈæʃɪz
squiggle	skwˈɪɡəl
cetaceans	sɛtˈeɪʃənz
milo	mˈaɪləʊ
drawers	dɹˈɔːəz
breadwinner	bɹˈɛdwɪnɐ
kinetics	kɪnˈɛtɪks
erases	ɪɹˈeɪzɪz
overdrew	ˌəʊvədɹˈuː
formality	fɔːmˈælɪti
winner	wˈɪnə,wˈɪnɐ
vacillated	vˈæsɪlˌeɪtɪd
stars	stˈɑːz
steadier	stˈɛdɪɐ
perturbation	pətəbˈeɪʃən
twittery	twˈɪtəɹi
cognacs	kˈɒnjæks
shigella	ʃaɪdʒˈɛlɐ
abstention	ɐbstˈɛnʃən
creaking	kɹˈiːkɪŋ
muscular	mˈʌskjʊlɐ
executives	ɪgzˈɛkjʊtɪvz,ɛɡzˈɛkjuːtˌɪvz
fishermen	fˈɪʃəmən,fˈɪʃəmˌɛn
semirigid	sˌɛmɪɹˈɪdʒɪd
pelham	pˈɛləm
clubby	klˈʌbi
cults	kˈʌlts
overexert	ˌəʊvəɹɛɡzˈɜːt
stoma	stˈəʊmɐ
midship	mˈɪdʃɪp
hornets	hˈɔːnɪts
briars	bɹˈaɪəz
birdman	bˈɜːdmən
coliseum	kˌɒləsˈiːəm
mustachioed	mˈʌstɐʃɪˌəʊd
paralysing	pˈæɹəlˌaɪzɪŋ
frying	fɹˈaɪɪŋ
slice	slˈaɪs
dismissible	dɪsmˈɪsəbəl
golf	ɡˈɒlf,gˈɒlf
swells	swˈɛlz
deme	dˈiːm
shakily	ʃˈeɪkɪli
awn	ˈɔːn
corpus	kˈɔːpəs
accepts	ɐksˈɛpts,əksˈɛpts
chiggers	tʃˈɪɡəz
disastrously	dˌɪsˈæstɹəsli
cutting	kˈɐtɪŋ,kˈʌtɪŋ
overindulging	ˌəʊvəɹɪndˈʌldʒɪŋ
winkles	wˈɪŋkəlz
quartermasters	kwˈɔːtəmˌɑːstəz
pariahs	pəɹˈaɪəz
bonier	bˈəʊnɪɐ
untenable	ʌntˈɛnəbəl
cheekbone	tʃˈiːkbəʊn
deliberates	dɪlˈɪbəɹəts
peacekeepers	pˈiːskiːpəz
crashed	kɹˈæʃt
club	klˈɐb,klˈʌb
duple	djˈuːpəl
doorstepping	dˈɔːstɛpɪŋ
