miyako	ˈmiˌəˌkoʊ
godspeed	ˈɡɑdspid
decision-maker	dɪˈsɪʒənˌmeɪkɝ
elijah	iˈɫaɪdʒə,ɛˈɫaɪdʒə
edinburgh	ˈɛdənbɝoʊ
capote	kəˈpoʊt
skating	ˈskeɪtɪŋ
everton	ˈɛvɝtən
snoddy	ˈsnɑdi
fortson	ˈfɔɹtsən
chandler	ˈtʃændɫɝ
weddings	ˈwɛdɪŋz
mazzeo	ˈmæzioʊ
derecktor	dɝˈɛktɝ
provenance	ˈpɹɑvənəns
misheard	ˌmɪsˈhɝd
puller	ˈpʊɫɝ
ream	ˈɹim
avolio	əˈvoʊɫioʊ
sevick	ˈsɛvɪk
inhofe	ˈɪnˌhoʊf,ˈɪnˌhɑf
boomtown	ˈbumˌtaʊn
beauvais	boʊˈveɪ
homuth	ˈhɑmuθ
croak	ˈkɹoʊk
duplications	ˌdupɫɪˈkeɪʃənz
skycap	ˈskaɪˌkæp
gautier	ˈɡaʊtiɝ
hiebert	ˈhibɝt
airlines'	ˈɛɹˌɫaɪnz
funtime	ˈfənˌtaɪm
bingham	ˈbɪŋəm
oberst	ˈoʊbɝst
kamstra	ˈkæmstɹə
carkhuff	ˈkɑɹkhəf
mystifies	ˈmɪstəˌfaɪz
charnock	ˈtʃɑɹnək
restitute	ˈɹɛstɪˌtut
woodie	ˈwʊdi
spitale	spiˈtɑɫi
finches	ˈfɪntʃɪz
arizmendi	ɑɹizˈmɛndi
incumbent	ˌɪnˈkəmbənt
myanmar's	ˈmjɑnˈmɑɹz
snowbound	ˈsnoʊˌbaʊnd
cudgel	ˈkədʒəɫ
barstad	ˈbɑɹstəd
phase	ˈfeɪz
shenandoah	ˌʃɛnənˈdoʊə
dials	ˈdaɪəɫz,ˈdaɪɫz
populate	ˈpɑpjəˌɫeɪt
auditing	ˈɑdətɪŋ
broc	ˈbɹɑk
chaired	ˈtʃɛɹd
battersea	ˈbætɝˌsi
abled	ˈeɪbəɫd
aesop's	ˈiˌsɑps
linn	ˈɫɪn
emption	ˈɛmpʃən
chengdu	ˌtʃɛŋˈdu
grown-up	ˈɡɹoʊˌnəp
cwiklinski	kwɪˈkɫɪnski
w.	ˈdəbəɫju
aultman	ˈɔɫtmən
redfern	ˈɹɛdˌfɝn
bernsteins	ˈbɝnstaɪnz,ˈbɝnstinz
borenstein	ˈbɔɹənˌstaɪn,ˈbɔɹənˌstin
sakharov	ˈsɑkɝɑv
recapitalizing	ˌɹiˈkæpɪtəˌɫaɪzɪŋ
asselstine	ˈæsəɫˌstaɪn
lovallo	ɫoʊˈvɑɫoʊ
kepner	ˈkɛpnɝ
euclea	ˈjukɫiə
riter	ˈɹaɪtɝ
aspersion	əˈspɝʒən
safir	ˈsæfɝ
wishing	ˈwɪʃɪŋ
goulding	ˈɡuɫdɪŋ
lumet	ˈɫumət
blackmun's	ˈbɫækmənz
radzik	ˈɹædzɪk
decently	ˈdisəntɫi
nastier	ˈnæstiɝ
sticka	ˈstɪkə
systran	ˈsaɪˌstɹæn,ˈsɪsˌtɹæn
thoreson	ˈθɔɹɪsən
fail-safe	feɪɫˈsæf
pero	ˈpɝoʊ
sipp	ˈsɪp
guiliani	ˌɡiɫiˈɑni
trombonist	ˌtɹɑmˈboʊnɪst
arlene's	ˈɑɹˌɫinz
gilbertson	ˈɡɪɫbɝtsən
encinias	ɪnsiˈniəz
yeagle	ˈjiɡəɫ
dudgeon	ˈdədʒən
sarlo	ˈsɑɹɫoʊ
ronald	ˈɹɑnəɫd
guzman	ˈɡəzmən,ˈɡuzˌmɑn
patrimonial	ˈpætɹəˌmoʊniəɫ,ˈpætɹəˌmoʊnjəɫ
harbory	ˈhɑɹbəɹi
holstein	ˈhoʊɫˌstin
koruna	kɔˈɹuˌnɑ
natividad	ˌnətɪvɪˈdɑd
mechanics	məˈkænɪks
codesa	koʊˈdɛsə
bria	ˈbɹiə
enumerate	ɪˈnumɝˌeɪt
capitano	kɑpiˈtɑnoʊ
wixon	ˈwɪksən
trippett	ˈtɹɪpɪt
reined	ˈɹeɪnd
trepidation	ˌtɹɛpɪˈdeɪʃən
