vertuous	vɛrtiu̯us
yvel	ivələ
champioun	tʃampjuːn
imperial	impɛriaːl
game	ɡamən
bord	bɔːrd
byndyng	bindunɡ
aker	aːkər
whale	xʍaːl
couchen	kuːtʃən
baytynge	bɛi̯tinɡ
hood	hoːd
dewynge	dɛu̯inɡ
harneys	harnɛi̯s
delityng	deːliːtinɡ
warenne	warɛnə
towayle	twɛi̯lə
materialy	maːtɛriaːliː
jewery	dʒiu̯əriːə
awinnen	awinən
isykle	iːzikəl
merveilously	mɛrvələsliː
merily	miriliː
þei	θɛi̯
anteme	antɛvənə
alabastre	aləbastər
speche	spɛːk
defferent	dɛfɛrɛnt
matrone	maːtruːnə
rerynge	reːrinɡ
songly	sɔːnɡliːtʃ
lewidhed	lɛu̯idhɛːd
gome	ɡoːmə
nought	nau̯xt
frost	fɔrst
theater	tɛːaːtər
botnen	boːtənən
develiche	deːvəliːtʃ
selly	sɛleː
glasier	ɡlaːzjərə
folen	foːlən
rother	roːdər
cristien	kristjan
college	kɔlɛdʒə
potful	pɔtful
abenche	abɛntʃə
suren	siu̯rən
tape	taːpə
swathe	swaθ
wath	waθ
schanke	ʃankə
citeseyn	sitisɛi̯n
quaylen	kwɛːlən
deyen	dɛiən
wrotynge	wroːtinɡ
colt	kɔːlt
frounter	fruntɛːr
glew	ɡliu̯
snowisshe	snɔu̯iʃ
frost	frɔst
daunce	dau̯nsə
lawely	lau̯əliːtʃ
hameren	haːmərən
baptisen	baptiːzən
letheren	lɛðərən
brekefast	brɛkfast
hatel	hɛːtəl
hyen	hɛi̯ən
werreour	wɛriur
gauger	ɡau̯dʒuːr
alienyng	aːliɛninɡ
rewthfully	riu̯θfuliː
horlynge	hɔrəlinɡ
boryng	bɔːrinɡ
argh	arɔu̯
seli	seːliː
freen	freːn
vice	viːsə
gravey	ɡraːveː
towayle	tuːɛlə
collegiate	kɔlɛːdʒiaːtə
clepen	kleːpən
febly	feːbəliːtʃə
waynscot	wɛːnʃɔt
reuþe	ruːθ
yow	uː
nombre	nuːmər
ythe	uːθ
revelacioun	rɛvɛlaːsjun
douȝty	duxtiː
locuste	lɔːkusta
nyce	niːsə
heronsewe	hɛːrənsɛu̯
werren	wɛːrən
instrumental	instriu̯mɛntaːl
divisioun	divizjuːn
clovere	klɔːvər
brigge	briɡ
hatere	haːtərə
lawe	lau̯ə
angwissh	anɡwisə
capoun	kaːpən
elnen	ɛlnən
patynmaker	patinmaːkərə
cloudy	kluːdiː
cloystrer	klɔːstərər
frogge	frɔɡə
houselynge	huːzəlinɡ
gracious	ɡraːsiuːs
þeires	θɛi̯ris
redemptoure	rɛdɛmptuːr
sevenefold	sɛːvənfɔːld
camel	tʃamɛi̯l
langage	lanɡwaːd͡ʒə
segge	sɛːdʒ
brere	breːr
venyse	vɛnɛːsja
botew	butɛu̯
flawme	flambə
stingen	stindʒən
horenesse	hɑːrnɛs
amorette	amɔrɛtə
laurer	lau̯rər
wryngen	wrinɡən
termagaunt	tɛrmaɡau̯nt
breeth	brɛːθ
manered	maːnərid
sovereynte	sɔvərinəteː
jueler	dʒiu̯ələr
cromen	krumən
rofen	roːfən
sercher	sɛrtʃeːr
tablet	tabələtə
tusshe	tuʃ
sisours	sizuːrs
bridegome	briːdɡumə
cleyed	iklɛi̯id
swarmen	swarmən
juel	dʒuːəl
ote	ɑːtə
trone	trɔnə
rode	rɔd
bayte	bɛi̯tə
mercurie	markiu̯riːə
flien	fliːən
tosten	tɔːstən
tracen	traːsən
her	hɛːr
bitwixe	bitwiks
quest	kwɛstə
raysyn	rɛːzən
mysterie	mistɛːriːə
hondwerk	hɔndwərk
lynet	linətə
omissioun	ɔːmisjuːn
perilous	pɛriluːs
is	iːs
mysty	mistiː
ook	ɑːk
blowyng	blɔu̯inɡ
brewe	brɛu̯
germanie	dʒɛrmaniːə
gunne	ɡunə
seignurie	sɛi̯nuriːə
þes	ðeːs
mageste	madʒɛsteː
hight	hixt
perilously	parəluːsiː
baptizyng	bapteːzinɡ
heed	hɛːd
umbelappen	ymbelɑppen
odour	ɔːdər
grove	ɡrɔːvə
schaver	ʃaːvərə
trippen	tripən
morter	mɔrteːr
drem	drɛːm
ancle	ankleː
sotschipe	sɔtʃipə
tresounen	trɛːzunən
prisoner	prizoːnər
aken	ɛːkən
pome	pɔːmə
botemles	bɔtəmlɛːs
pere	peːr
ymne	imp
gravestone	ɡraːvstɔːn
inderly	inərəliː
odour	ɔduːr
tart	tart
temese	tamzə
rosee	rɔzeː
hethenli	hɛːðənliː
pattener	patənə
dragoun	draɡɔn
nyȝtly	nixtliː
ȝerde	jiːrd
shirreve	ʃireːvə
bern	bɛːrn
everwik	ɛvərwiːtʃ
unde	undə
mousepese	muːspɛzə
gnawynge	ɡnau̯inɡ
whelp	xʍɛlp
obligatorie	ɔbliɡaːtɔːriːə
crepel	krupəl
surete	sɛu̯rəteː
shire	ʃiːr
moder	moːðər
original	ɔriːɡinal
wrongful	wrɔnɡful
gesten	dʒɛstən
pirie	pɛriːə
grayned	ɡrɛi̯nɛd
prophecie	prɔfɛsiːə
morwe	mɔrɔu̯ən
seventene	sɛvənteːnə
worm	wurm
pathyng	paθinɡ
geaunt	dʒɛːau̯nt
moder	moːdər
vyner	viːnɛːr
swete	swɛːt
vertuous	vɛrtuːs
yit	jɛt
ketel	kɛtəl
assise	asiːzə
surnoun	surnun
junyper	dʒɛnipir
mastyf	mastif
yvelnes	ivəlnɛs
groynynge	ɡrui̯ninɡ
hatel	haːtəl
encens	ɛnsɛns
orpedliche	ɔrpədliːtʃə
suffren	sufrən
teren	tɛːrən
drerily	dreːriliː
serven	sɛrvən
royal	rɔi̯al
manered	maːnərd
legement	lidʒəmɛnt
parisshe	parisə
honysokel	huniːsuːkəl
ȝarowe	jarɔu̯ə
song	sɔːnɡ
everwik	œvərwiːk
manrede	manrɛːdən
cofre	kɔfrə
asker	askərə
almaunden	almau̯ndən
selden	seːldən
reren	reːrən
elleven	ɛlløːvən
mars	mars
rewme	rɛu̯mə
surete	siu̯rəteː
norischaunt	nuriʃau̯nt
pisse	pisə
grece	ɡrɛːsə
abstractly	abstraktliːtʃə
graciousnesse	ɡraːsjuːsnəs
tost	tɔːst
rowen	rɔu̯ən
prophete	prɔfɛːtə
wathely	wɑːðəliː
chaunten	tʃantən
dome	doːm
fiftene	fiːfteːnə
wayn	wɛːn
cirurgical	sirurdʒikal
vyntener	vintnər
pyke	pik
wasp	wasp
bireven	bɛrɛːvən
surgien	surdʒiɛn
lycorys	likurəs
tridel	tridəl
toþen	toːθən
tool	toːl
corner	kɔrnərə
cane	kaːnə
eternally	ɛːtɛrnaliː
bi	biː
glasen	ɡlasən
cheri	tʃiriː
schilder	ʃeːldər
materas	matəras
hires	hiris
gris	ɡriːs
animal	animaːl
fesaunt	fɛzau̯nt
yarne	jarn
germanie	dʒɛrmaːniːə
brewyng	briu̯inɡ
sheep	ʃɛːp
lyme	liːm
dyamaunt	diːamant
erle	ɛːrl
naken	nakən
imposicioun	impɔzisjun
crabbe	krabə
dogh	dɔx
asshy	askiː
pacquet	pakɛt
raymen	rɛi̯mən
bousen	buːzən
sachel	satʃɛl
udder	udər
junyper	dʒiu̯nipər
bargain	barɡənə
galyngale	ɡalənɡaːl
oure	uːr
universally	iu̯nivɛrsaliːtʃə
dale	dɛːl
aide	ɛi̯də
chibolle	tʃibɔlə
douȝtines	duxtinɛs
chalengen	kalɛndʒə
injurious	indʒiu̯riuːs
dale	daːl
blak	blaːk
thyckfolde	θikfɔːld
gerle	ɡirlə
mister	mistɛːr
nayler	nɛi̯lərə
flewme	flɛːmə
middelerthe	midəlɛrθə
mysterie	mistəriːə
mounten	muntən
hasel	hɛːzəl
sute	sui̯tə
coronal	kɔrunal
storien	stɔriːən
carvi	karviː
seging	seːdʒinɡ
stingen	stinɡən
welken	wɛlkən
blowen	blɑu̯ən
cataract	katəraktə
malencolie	mɛlənkɔːliːə
turmeryte	turməritə
chalk	tʃalk
gost	ɡɔːst
clappe	klapə
ladder	ladər
nyghtyngale	nixtinɡaːlə
horsen	hɔrsən
coroner	kuruːneːr
unfrendly	unfrɛndliː
auctour	au̯ktuːr
dane	daːnə
moneyles	munɛi̯lɛːs
lege	liːdʒə
caunterbury	kau̯ntərburiː
clethe	klɛːθ
squirel	skwirələ
venymen	vɛnimən
raunsonen	ransuːnən
yong	junɡ
foreyn	furrɛi̯n
cassen	kasən
fanon	fanuːn
panter	panteːrə
reuþe	riu̯θ
erldom	ɛrldɔm
nicholas	nikɔlau̯s
spilen	speːlən
bark	bark
smythier	smiðiərə
felaweshipe	fɛləʃipə
forsweren	fɔrswɛːriən
hore	hɔːrwə
knoppen	knɔpən
merines	miriːnɛs
columpne	kɔlumnə
fenkel	fɛnkəl
aprill	aːpril
modilich	moːdiːliːtʃə
surgerie	surdʒɛriːə
spicerie	spiːsəriːə
mery	miriːə
rind	riːnd
organic	ɔrɡaniːs
gonner	ɡunər
grace	ɡraːsə
prune	priu̯nə
surveyen	survɛi̯ən
ampte	antə
hertles	hɛrtlɛs
cheveteyn	tʃeːvəntɛi̯nə
youres	juːris
sixtene	sɛksteːnə
whale	ʍal
flodegate	floːdjɛt
seventene	sɛːvənteːnə
anfald	aːnfaːld
tilier	tiljərə
po	pɛː
botere	bɔːtərə
schamel	ʃambəl
waith	waːθ
yrchoun	hurtʃun
lorþeine	lɔːrðɛi̯n
stynken	stinkən
wæstm	wastəm
balfulli	baːlfuliː
ynche	untʃə
wheler	ʍɛːlər
bapteme	baptɛzəm
blasfemyng	blasfɛːminɡ
venyse	vɛniːsə
grippe	ɡripə
hosyer	hɔːzərə
garde	ɡaːrdə
blasfeme	blasfɛːmə
aungel	au̯ndʒəl
swetnesse	sweːtnɛs
historie	ɛstɔriːə
nynthe	niːndə
mon	man
ynke	ɛnkə
narwe	narɔu̯
tofore	toːfɔːrən
quene	kwɛːnə
waynen	wɛi̯nən
muet	miu̯ɛt
chevese	tʃivəsə
rebellyng	ribɛlinɡ
egged	ɛdʒid
hordom	hoːrədoːm
glewen	ɡliu̯jən
overriden	ɔːvərriːdən
venemosite	vɛnəmusteː
kembestere	keːmbəstər
forcoveren	fɔrkɔvərən
hit	it
money	munɛi̯ə
sleighly	slɛi̯liː
game	ɡɛːmən
narwen	narwən
aserchen	asɛːrtʃən
cristenyng	kriːstəninɡ
borden	bɔrdən
boryn	bɔːrən
probleme	prɔblɛmə
þe	teː
venemously	vɛnəmusliːtʃə
aline	aliːnə
asshen	aksən
hostiler	hɔstɛːlər
bildyng	bildinɡ
caunterbury	kantərburiː
werrely	warliː
yelpinge	jɛlpinɡ
tryppingly	tripinɡliː
serchen	sɛːrtʃən
forswerer	fɔrswɛːrərə
dirige	diridʒə
foman	fɔːman
gre	ɡreː
shelden	ʃeːldən
scheryng	ʃɛːrinɡ
thresshyng	θrɛʃinɡ
governaile	ɡuvərnɛl
song	sɔnɡ
webben	wɛbən
cruelly	kriu̯ɛliːtʃə
savegard	saːvəɡardə
crepel	kripəl
sixtene	siksteːnə
mewe	miu̯ə
roialme	rɔi̯au̯m
arȝen	arxjən
sodeyn	sɔdɛi̯n
foreyn	fɔrin
strawen	strau̯ən
webbe	wɛbə
germanie	dʒɛrmɛi̯nə
halter	hɛltər
trewe	trøːwə
inker	inkər
songly	sɔnɡliː
straunge	strau̯ndʒə
smethyng	smeːðinɡ
axel	ɛksəl
sere	seːrə
gardein	ɡardɛn
thred	θrɛːd
cope	kɔːpə
norischen	nurʃən
verveyne	vɛrvɛi̯nə
poisoun	puizɔn
fraudulent	frau̯diu̯lɛnt
straunge	straːndʒə
pleye	plɛi̯ə
ender	ɛːndərə
wel	wɛl
duracioun	diu̯raːsjun
jargoun	dʒarɡun
merily	mɛriliː
spreden	sprɛːdən
halyday	hɔlidɛi̯
gaugen	ɡau̯dʒən
burnet	burnɛːt
tre	trøː
canner	kanərə
thurven	θurvən
garlek	ɡarlɛk
feblischen	feːbliʃən
greceles	ɡrɛslɛːs
viniterie	vintɛːriːə
glorious	ɡlɔːrjuːs
harneysen	harnəʃən
mountant	muːntant
arghnes	arwənɛs
enchaunteresse	ɛntʃantərɛsə
tode	tɔːdə
knotted	knɔtəd
douth	duːθ
mewynge	miu̯inɡ
trone	trɔːnə
originali	ɔriɡinaːli
ele	ɛːl
sho	ʃoː
steire	stɛi̯ər
naperon	naːpəroːn
chaf	kaf
hading	hɑːdinɡ
vesselment	vɛsɛləmɛnt
submissioun	submisjuːn
surname	sirnaːmə
trouthe	triu̯θ
lah	lɑːx
fiftene	fifteːnə
gounde	ɡuːnd
viciously	visiuːsliː
folisch	foːliʃ
quiver	kwivər
defte	daftə
megre	mɛːɡrə
laughter	laxtər
his	his
vertual	vɛrtiu̯al
desert	dɛzɛrt
þestren	θeːstrən
manerly	manɛːrliːtʃə
recoveryng	rɛkuvərinɡ
dialog	diːalɔːɡə
shirrevehod	ʃəreːvəhɔːd
original	ɔriɡinaːl
jafeth	dʒaːfɛt
synamome	sinəmun
fremde	frɛmədə
perche	pərtʃə
wys	wiːs
feldefare	feːldəfaːrə
threschen	θraʃən
wrid	wriːd
staken	staːkən
materialy	matɛːrialiːtʃə
roget	rudʒɛt
sire	sirə
lorfadyr	lɔːrfadər
caraway	karwiː
endely	ɛːndəliː
werreour	wɛriuːr
translatyng	translaːtinɡ
wekely	weːkəliː
whete	xwɛːtə
cite	siteː
knight	knixt
puls	puls
store	stɔːr
grome	ɡrɔːmə
bole	buːlə
kerne	kɛrn
venymoushede	vɛniməshɛːd
narowly	narwəliː
thorp	θrɔp
viciousnesse	visjusnɛs
geson	ɡɛːzun
theft	θɛft
termagaunt	tɛrvaɡau̯nt
nyne	neːən
baleful	balful
bastard	bastaːrd
oule	uːlə
gronen	ɡrɔːnən
ymaginacioun	imaːdʒinaːsjuːn
aghlich	aɣəliːtʃ
narwen	narɔu̯ən
swopen	swoːpən
wroten	wroːtən
slynesse	slɛi̯nɛs
pauncher	pau̯ntʃeːrə
pown	pau̯n
felten	fɛltən
lond	laːnd
ministracion	ministraːtjuːn
crowe	krɑu̯ə
