metodaro	metodaro
fotogrametrio	fotogrametrio
ĝihado	d͡ʒihado
ciklometria funkcio	t͡siklometriafunkt͡sio
sieĝi	sied͡ʒi
metio	metio
kamerunio	kamerunio
centimetro	t͡sentimetro
tegilo	tegilo
montrilo	montrilo
temi	temi
tvisto	tvisto
senartifika	senartifika
definitiva	definitiva
duobla implico	duoblaimplit͡so
senlabora	senlabora
ministraro	ministraro
bonveni	bonveni
frazrolo	frazrolo
ĉagreni	t͡ʃagreni
pleŭronektoformaj	pleuronektoformai
virto	virto
ventrokuŝe	ventrokuʃe
paŭti	pauti
pangeo	pangeo
furiero	furiero
frakaso	frakaso
litovio	litovio
krusto	krusto
grogo	grogo
mirho	mirho
lado	lado
galiumo	galiumo
indukti	indukti
iluziisto	iluziisto
marcialo	mart͡sialo
areno	areno
logistiko	logistiko
tukano	tukano
pispoto	pispoto
eksalti	eksalti
cerezino	t͡serezino
rubiacoj	rubiat͡soi
paledo	paledo
animkonflikto	animkonflikto
azteka	azteka
neglektinda	neglektinda
ĉefpulso	t͡ʃefpulso
represo	represo
malzomi	malzomi
adiaŭ	adiau
rigli	rigli
velfadeno	velfadeno
koloida	koloida
aŭtografo	autografo
plako	plako
galero	galero
indonezio	indonezio
kaperanto	kaperanto
neŭtrino	neutrino
harligo	harligo
poto	poto
novriĉulo	novrit͡ʃulo
opio	opio
neptunio	neptunio
ciklopo	t͡siklopo
impresario	impresario
kalktofo	kalktofo
malvarmumo	malvarmumo
pseŭdonimo	pseudonimo
cirko	t͡sirko
topo	topo
dekadenco	dekadent͡so
silkraŭpo	silkraupo
hierarkio	hierarkio
akvario	akvario
transcendi	transt͡sendi
ununombra	ununombra
trompiĝo	trompid͡ʒo
rekta krampo	rektakrampo
regna	regna
samlatera	samlatera
ĥorejo	xoreio
komisiono	komisiono
odoraĉi	odorat͡ʃi
voduo	voduo
interfera	interfera
vaĝrajana	vad͡ʒraiana
glua rizo	gluarizo
kadrateto	kadrateto
nirvano	nirvano
multescia	multest͡sia
grajlo	grailo
ŝarĝaŭtisto	ʃard͡ʒautisto
angeliko	angeliko
malinstalilo	malinstalilo
katastro	katastro
pli fajna	plifaina
boleto	boleto
kanonizi 	kanonizi
episkoparo	episkoparo
starhimno	starhimno
vojimposto	voiimposto
pluvo	pluvo
glikozo	glikozo
avii	avii
tabuleto	tabuleto
antecedento	antet͡sedento
placeto	plat͡seto
urtikacoj	urtikat͡soi
gelato	gelato
fotografaĵo	fotografaʒo
gelatenaĵo	gelatenaʒo
karobujo	karobuio
solidara	solidara
kukumo	kukumo
iniciati	init͡siati
trunketo	trunketo
difuzi	difuzi
aviadisto	aviadisto
tanino	tanino
kalcitri	kalt͡sitri
insulti	insulti
bruero	bruero
akcipitro	akt͡sipitro
profana	profana
enspezimposto	enspezimposto
blanka libro	blankalibro
ŝelko	ʃelko
uniato	uniato
norde de	nordede
gimnastilo	gimnastilo
kluĉstango	klut͡ʃstango
gurdo	gurdo
flamiĝema	flamid͡ʒema
persekuti	persekuti
logika	logika
monolito	monolito
arbetaro	arbetaro
kvarteto	kvarteto
legala	legala
renato	renato
pasloĝanto	paslod͡ʒanto
delegato	delegato
palpebro	palpebro
liceano	lit͡seano
kontakto	kontakto
finia vico	finiavit͡so
polinomringo	polinomringo
afonio	afonio
platigi	platigi
informejo	informeio
fiziokratismo	fiziokratismo
adheraĵo	adheraʒo
astronomiisto	astronomiisto
kinematografejo	kinematografeio
korvo	korvo
raspilo	raspilo
artiko	artiko
militi	militi
silicio	silit͡sio
dispersa angulo	dispersaangulo
inko	inko
pseŭdoskorpioj	pseudoskorpioi
manĝilo	mand͡ʒilo
movbildo	movbildo
kuniri	kuniri
tria	tria
motorboato	motorboato
meĥaniko	mexaniko
enkapigi	enkapigi
pozidono	pozidono
retroderivaĵo	retroderivaʒo
repudio	repudio
trovo	trovo
mejloŝtono	meiloʃtono
korno	korno
ŝraŭbi	ʃraubi
kronologio	kronologio
oblikva velo	oblikvavelo
vjelo	vjelo
gloramo	gloramo
hiperikacoj	hiperikat͡soi
dorno	dorno
kornuso	kornuso
provinda	provinda
babilono	babilono
urĝigi	urd͡ʒigi
polusa stelo	polusastelo
kriplaĵo	kriplaʒo
strida	strida
ĉirkaŭflari	t͡ʃirkauflari
detruado	detruado
maksimumejo	maksimumeio
plumbofadeno	plumbofadeno
injekti	injekti
staplo	staplo
slabo	slabo
veo	veo
trono	trono
bugenvilo	bugenvilo
sankta	sankta
trapuŝi	trapuʃi
kvaredro	kvaredro
broki	broki
kontraŭkoloniismo	kontraukoloniismo
postmanĝaĵo	postmand͡ʒaʒo
esperanglaĵo	esperanglaʒo
moligi	moligi
okupado	okupado
ŝutro	ʃutro
hemoglobino	hemoglobino
ŝraŭbpaŝo	ʃraubpaʃo
o-vorto	ovorto
homeopatiisto	homeopatiisto
kune kun	kunekun
dieti	dieti
edzino	ed͡zino
alteriĝi	alterid͡ʒi
stampi	stampi
gute	gute
benefico	benefit͡so
espereble	espereble
malvasta	malvasta
ĝemplori	d͡ʒemplori
terakoto	terakoto
glaŭcio	glaut͡sio
arnoldo	arnoldo
elfosado	elfosado
plagiati	plagiati
spekulanto 	spekulanto
kamilo	kamilo
alklimatiĝi	alklimatid͡ʒi
transverso	transverso
rivalo	rivalo
kalandrao	kalandrao
polekso	polekso
pejzaĝisto	peizad͡ʒisto
brokantaĵo	brokantaʒo
fortreso	fortreso
malpezigi	malpezigi
malnova	malnova
blindeco	blindet͡so
embuski	embuski
serajlo	serailo
forlasi	forlasi
rezultato	rezultato
ŝati	ʃati
bukla	bukla
hufo	hufo
dekstrano	dekstrano
susuro	susuro
kekso	kekso
krakeno	krakeno
internacia	internat͡sia
estonio	estonio
egalismo	egalismo
aŭtokrato	autokrato
klare	klare
kuntara	kuntara
sistematiko	sistematiko
nikeli	nikeli
ĉiuhore	t͡ʃiuhore
emerito	emerito
pedagogia	pedagogia
orfejo	orfeio
garantii	garantii
fleksiĝi	fleksid͡ʒi
detranĉi	detrant͡ʃi
aritmetika	aritmetika
ravi	ravi
ĥolero	xolero
pimpinelo	pimpinelo
dogo	dogo
subakviĝo	subakvid͡ʒo
cinika	t͡sinika
atlaso	atlaso
frenezi	frenezi
ruleto	ruleto
rotacizo	rotat͡sizo
venuso	venuso
komunikiĝo	komunikid͡ʒo
aluno	aluno
ofteco	oftet͡so
miregi	miregi
panteismo	panteismo
devo	devo
neŭtra genro	neutragenro
duuma	duuma
pandiono	pandiono
komploto	komploto
konspiri	konspiri
sukuranto	sukuranto
livreo	livreo
karakoli	karakoli
numeralo	numeralo
debeto	debeto
nomkarto	nomkarto
librotenisto	librotenisto
kreaĵo	kreaʒo
ĉirkaŭskribita	t͡ʃirkauskribita
esprimaĵo	esprimaʒo
senambiguigi	senambiguigi
anihilacio	anihilat͡sio
alaĵo	alaʒo
tempismo	tempismo
elmeti	elmeti
tranco	trant͡so
kuŝi	kuʃi
lignoskarabo	lignoskarabo
mafiulo	mafiulo
bistro	bistro
cirkumcidi	t͡sirkumt͡sidi
paŝtelo	paʃtelo
sarino	sarino
elstreki	elstreki
oro	oro
sep	sep
vivteni	vivteni
revolucio	revolut͡sio
fraji	fraii
sudĉina maro	sudt͡ʃinamaro
aglomero	aglomero
tinko	tinko
kurioza	kurioza
logo	logo
komprenpovo	komprenpovo
koste de	kostede
ekosistemo	ekosistemo
amortizi	amortizi
endigigi	endigigi
insiste	insiste
ordinara logaritmo	ordinaralogaritmo
slangaĵo	slangaʒo
vidvino	vidvino
terarmeo	terarmeo
biciklo	bit͡siklo
imagemo	imagemo
mistikismo	mistikismo
nenies	nenies
mentoro	mentoro
stilfiguro	stilfiguro
spongeca	sponget͡sa
eventualo	eventualo
komunisto	komunisto
mezurilo	mezurilo
lieno	lieno
