guztientzako	ɡus̻tˈient͡s̻akˌo
bihurtzean	biˈuɾt͡s̻eˌan
hodeian	oðˈe͡ɪˌan
hegoalderantz	eɣˈoalðeɾˌant͡s̻
Kanpoan	kanpˈoˌan
aldatzera	alðˈat͡s̻eɾˌa
botereak	botˈeɾeˌak
eko	ˌeko
itxiko	it͡ʃˈikˌo
apaizek	apˈa͡ɪs̻ˌek
Potter	pocˈeɾ
uztaren	us̻tˈaɾˌen
Dama	dˈama
bihotzak	biˈot͡s̻ˌak
terminoa	teɾmˈiɲoˌa
itsasten	it͡s̺ˈas̺tˌen
formekin	foɾmˈekˌin
bihotzera	biˈot͡s̻eɾˌa
kofradia	kofɾˈaðiˌa
Real	reˈal
handiagoen	andˈiaɣoˌen
anezka	anˈes̻kˌa
gunearen	ɡunˈeaɾˌen
egitekoak	eɣˈitekoˌak
ionikoak	iˈonikoˌak
aparkatzeko	apˈaɾkat͡s̻ekˌo
honez	onˈes̻
trebetasunak	tɾeβˈetas̺unˌak
historiako	is̺tˈoɾiakˌo
nonbait	nonbˈa͡ɪt
Carroll	karˈoʎ
pistola	pis̺tˈolˌa
urdaila	uɾðˈa͡ɪʎˌa
jainkosa	ɟa͡ɪnkˈos̺ˌa
Ligako	liɣˈakˌo
magalean	maɣˈaleˌan
tenpluan	tenplˈuˌan
Lurreko	lurˈekˌo
zigun	s̻iɣˈun
moldatu	molðˈatˌu
antzezten	ant͡s̻ˈes̻tˌen
atzematea	at͡s̻ˈemateˌa
egoeratan	eɣˈoeɾatˌan
Peio	pˈe͡ɪo
behartuak	beˈaɾtuˌak
independentista	indˈependentis̺tˌa
arraro	arˈaɾˌo
normalki	noɾmˈalkˌi
publikorako	puβlˈikoɾakˌo
erne	ˈeɾne
eskualdeko	es̺kˈualðekˌo
Highland	iɣlˈand
erdiak	eɾðˈiˌak
abangoardia	aβˈanɡoaɾðiˌa
Aurkitu	a͡ʊɾkˈitˌu
aleman	alˈemˌan
baimenik	ba͡ɪmˈenˌik
prototipo	pɾotˈotipˌo
elkarteari	elkˈaɾteaɾˌi
larrialdi	larˈialðˌi
oskola	os̺kˈolˌa
lerrotan	lerˈotˌan
baliatu	balˈiatˌu
monumentua	monˈumentuˌa
Tolosan	tolˈos̺ˌan
indartsuaren	indˈaɾt͡s̺uaɾˌen
jarduerarik	ɟaɾðˈueɾaɾˌik
oihu	ˈo͡ɪu
lehiaketako	le͡ɪˈaketakˌo
itzulitakoan	it͡s̻ˈulitakoˌan
gales	ɡalˈes̺
ikastolako	ikˈas̺tolakˌo
Tutmosis	tutmˈos̺ˌis̺
Xede	ʃˈeðe
horietariko	oɾˈietaɾikˌo
Sozialen	s̺os̻ˈialˌen
gizartetik	ɡis̻ˈaɾtetˌik
zeramatzaten	s̻eɾˈamat͡s̻atˌen
generoari	ɡenˈeɾoaɾˌi
zaldunekin	s̻alðˈunekˌin
City	θˈitjj
kolonialak	kolˈonialˌak
egoteko	eɣˈotekˌo
Jesus	ɟes̺ˈus̺
dagoen	daɣˈoˌen
Linux	liɲˈuʃ
iragarri	iɾˈaɣarˌi
momentu	momˈentˌu
Maitasunaren	ma͡ɪtˈas̺unaɾˌen
kolpearen	kolpˈeaɾˌen
Animaliak	anˈimaliˌak
poliziak	polˈis̻iˌak
ospetsuenak	os̺pˈet͡s̺uenˌak
tradizioko	tɾaðˈis̻iokˌo
Garapen	ɡaɾˈapˌen
Abdul	abðˈul
hiztunek	is̻tˈunˌek
konfigurazio	konfˈiɣuɾas̻iˌo
Taula	tˈa͡ʊla
Birus	biɾˈus̺
diferenteak	difˈeɾenteˌak
astunak	as̺tˈunˌak
transmisio	tɾans̺mˈis̺iˌo
jakinduria	ɟakˈinduɾiˌa
metodologia	metˈoðoloɣiˌa
Pico	pˈiko
ordezkatzeko	oɾðˈes̻kat͡s̻ekˌo
ikuspuntutik	ikˈus̺puntutˌik
magnitude	maɡnˈituðˌe
itsasgizon	it͡s̺ˈas̺ɣis̻ˌon
benetakoa	benˈetakoˌa
motatakoa	motˈatakoˌa
erreakzionatzen	erˈeaks̻ionat͡s̻ˌen
Reinhold	re͡ɪnˈold
sinboloa	s̺inbˈoloˌa
urrunduz	urˈundˌus̻
mahatsa	maˈat͡s̺ˌa
dezala	des̻ˈalˌa
inbasioa	inbˈas̺ioˌa
mailako	ma͡ɪʎˈakˌo
hurbilduko	uɾβˈilðukˌo
alabei	alˈaβˌe͡ɪ
Soul	s̺oˈul
zentralak	s̻entɾˈalˌak
pilotari	piʎˈotaɾˌi
bateraezina	batˈeɾaes̻iɲˌa
erdibitu	eɾðˈiβitˌu
optimizatzeko	optˈimis̻at͡s̻ekˌo
Arrazoi	arˈas̻ˌo͡ɪ
aldekoek	alðˈekoˌek
harentzat	aɾˈent͡s̻ˌat
lera	lˈeɾa
Herrira	erˈiɾˌa
Jim	ɟˈim
moldatutako	molðˈatutakˌo
Dublingo	duβlˈinɡˌo
eraikitzean	eɾˈa͡ɪkit͡s̻eˌan
emanaldia	emˈanalðiˌa
Hidrogeno	iðɾˈoɣenˌo
espainiarren	es̺pˈa͡ɪɲiarˌen
kromosomen	kɾomˈos̺omˌen
abesteko	aβˈes̺tekˌo
Errenteria	erˈenteɾiˌa
hartzearen	aɾt͡s̻ˈeaɾˌen
Martian	maɾtˈiˌan
hondamendiak	ondˈamendiˌak
gaixotasunen	ɡa͡ɪʃˈotas̺unˌen
aldakortasun	alðˈakoɾtas̺ˌun
delta	dˈelta
fusilatu	fus̺ˈiʎatˌu
haraindiko	aɾˈa͡ɪndikˌo
antolatuta	antˈolatutˌa
Aipaturiko	a͡ɪpˈatuɾikˌo
handiagatik	andˈiaɣatˌik
indusketak	indˈus̺ketˌak
ordezkaritzarik	oɾðˈes̻kaɾit͡s̻aɾˌik
koalizioan	koˈalis̻ioˌan
zihoala	s̻ixˈoalˌa
hobetsi	oβˈet͡s̺ˌi
Bulegoak	bulˈeɣoˌak
motari	motˈaɾˌi
Protesta	pɾotˈes̺tˌa
bota	bˈota
emateari	emˈateaɾˌi
Errusian	erˈus̺iˌan
odola	oðˈolˌa
toles	tolˈes̺
Irratiko	irˈatikˌo
basoek	bas̺ˈoˌek
bestalde	bes̺tˈalðˌe
kaletik	kalˈetˌik
Hiritik	iɾˈitˌik
organismo	oɾɣˈanis̺mˌo
sabelaldean	s̺aβˈelalðeˌan
akorde	akˈoɾðˌe
biguna	biɣˈunˌa
emozioen	emˈos̻ioˌen
Errusiarrek	erˈus̺iarˌek
Lurraldean	lurˈalðeˌan
diagonal	diˈaɣonˌal
borondatea	boɾˈondateˌa
koloniak	kolˈoniˌak
pazientea	pas̻ˈienteˌa
n	ˈene
paraleloak	paɾˈaleloˌak
neurriek	ne͡ʊrˈiˌek
gose	ɡˈos̺e
ehunetan	eˈunetˌan
zigorra	s̻iɣˈorˌa
Areto	aɾˈetˌo
Irudia	iɾˈuðiˌa
Negu	nˈeɣu
aldiari	alðˈiaɾˌi
iturrietatik	itˈurietatˌik
elektroia	elˈektɾo͡ɪˌa
bertutea	beɾtˈuteˌa
institutuan	ins̺tˈitutuˌan
dantzak	dant͡s̻ˈak
eraturik	eɾˈatuɾˌik
Nebulosa	neβˈulos̺ˌa
Teorian	teˈoɾiˌan
line	lˈiɲe
atomikoak	atˈomikoˌak
Larrialdi	larˈialðˌi
kalkulatzen	kalkˈulat͡s̻ˌen
Barrio	barˈiˌo
koordinatu	koˈoɾðiɲatˌu
ezkero	es̻kˈeɾˌo
faltsuak	falt͡s̺ˈuˌak
informaziorik	infˈoɾmas̻ioɾˌik
Katedral	katˈeðɾˌal
Trinitate	tɾiɲˈitatˌe
aginduetara	aɣˈinduetaɾˌa
ordenatu	oɾðˈenatˌu
usain	us̺ˈa͡ɪn
ukan	ukˈan
prezipitazioak	pɾes̻ˈipitas̻ioˌak
bidal	biðˈal
aldapatsua	alðˈapat͡s̺uˌa
Laborategian	laβˈoɾateɣiˌan
urduri	uɾðˈuɾˌi
gure	ɡˈuɾe
aldaketek	alðˈaketˌek
ohia	oˈiˌa
Galdakaoko	ɡalðˈakaokˌo
irmo	ˈiɾmo
konpainiak	konpˈa͡ɪɲiˌak
Gu	ɡˈu
honenbestez	onˈenbes̺tˌes̻
askatasunez	as̺kˈatas̺unˌes̻
espainiarrean	es̺pˈa͡ɪɲiareˌan
karreran	karˈeɾˌan
usadio	us̺ˈaðiˌo
Jatorria	ɟatˈoriˌa
kapitulu	kapˈitulˌu
Murillo	muɾˈiʎˌo
politikoa	polˈitikoˌa
koa	kˌoa
bizkaitarrak	bis̻kˈa͡ɪtarˌak
aurreztu	a͡ʊrˈes̻tˌu
orbitatzen	oɾβˈitat͡s̻ˌen
laburra	laβˈurˌa
Maite	mˈa͡ɪte
arratsaldeko	arˈat͡s̺alðekˌo
bidaia	biðˈa͡ɪˌa
beregana	beɾˈeɣanˌa
salbatu	s̺alβˈatˌu
hedapena	eðˈapenˌa
garbiena	ɡaɾβˈienˌa
loturak	lotˈuɾˌak
tenisean	tenˈis̺eˌan
mantuan	mantˈuˌan
urria	urˈiˌa
eredua	eɾˈeðuˌa
batasunean	batˈas̺uneˌan
laukote	la͡ʊkˈotˌe
argudioak	aɾɣˈuðioˌak
handikien	andˈikiˌen
nekropolia	nekɾˈopoliˌa
erpinak	eɾpˈiɲˌak
zitzaketen	s̻it͡s̻ˈaketˌen
operadore	opˈeɾaðoɾˌe
erreketan	erˈeketˌan
dantzari	dant͡s̻ˈaɾˌi
salmenten	s̺almˈentˌen
neurrian	ne͡ʊrˈiˌan
jardunaldian	ɟaɾðˈunalðiˌan
arazoaren	aɾˈas̻oaɾˌen
hiztegia	is̻tˈeɣiˌa
orrialdeetan	orˈialðeetˌan
sakea	s̺akˈeˌa
italiera	itˈalieɾˌa
Adolfo	aðˈolfˌo
Eman	emˈan
fidagarriak	fiðˈaɣariˌak
alferrikako	alfˈerikakˌo
alderatzen	alðˈeɾat͡s̻ˌen
inportatu	inpˈoɾtatˌu
eskumena	es̺kˈumenˌa
Estrategia	es̺tɾˈateɣiˌa
desnibela	des̺nˈiβelˌa
bobina	boβˈiɲˌa
modernitatearen	moðˈeɾnitateaɾˌen
Errenta	erˈentˌa
zenik	s̻enˈik
CH	s̻ˌeˈat͡ʃe
informatikari	infˈoɾmatikaɾˌi
hilabeteak	iʎˈaβeteˌak
eraman	eɾˈamˌan
puntuazioa	puntˈuas̻ioˌa
Sozialistako	s̺os̻ˈialis̺takˌo
paisaien	pa͡ɪs̺ˈa͡ɪˌen
unibertsitateak	unˈiβeɾt͡s̺itateˌak
Armarria	aɾmˈariˌa
guztietako	ɡus̻tˈietakˌo
Fase	fˈas̺e
Pacific	paθˈifˌik
zelaiko	s̻elˈa͡ɪkˌo
fidatzen	fiðˈat͡s̻ˌen
birusaren	biɾˈus̺aɾˌen
gertakaria	ɡeɾtˈakaɾiˌa
defentsan	defˈent͡s̺ˌan
burutua	buɾˈutuˌa
erabakitzeko	eɾˈaβakit͡s̻ekˌo
Moko	mˈoko
Lantzen	lant͡s̻ˈen
ugariz	uɣˈaɾˌis̻
laurak	la͡ʊɾˈak
atzerritarrek	at͡s̻ˈeritarˌek
filmetako	filmˈetakˌo
Mike	mˈike
DNAren	dˌeˈeneaɾˌen
handienean	andˈieneˌan
Marianne	maɾˈiannˌe
herrikoi	erˈikˌo͡ɪ
indarren	indˈarˌen
