spesialisointi	ˈspesiˌɑliˌsointi
kuntorekki	ˈkuntoˌrekki
aseistakieltäytyjä	ˈɑseistɑˌkieltæyˌtyjæ
äitikulta	ˈæitiˌkultɑ
hallusinatorinen	ˈhɑlluˌsinɑˌtorinen
timjami	ˈtimjɑmi
asteikko	ˈɑsteikko
energiansiirto	ˈenergiˌɑnsiirto
irtaimistohuutokauppa	ˈirtɑiˌmistoˌhuutokɑˌuppɑ
lapsekkaasti	ˈlɑpsekˌkɑɑsti
hallintalaite	ˈhɑllintɑˌlɑite
runkosuunnitelma	ˈrunkoˌsuunniˌtelmɑ
sepelimurska	ˈsepeliˌmurskɑ
epäoikeutettu	ˈepæˌoikeuˌtettu
hauenkutu	ˈhɑuenˌkutu
personoida	ˈpersoˌnoidɑ
ikävystyttävä	ˈikæˌvystytˌtævæ
mielenilmaus	ˈmieleˌnilmɑus
aikailu	ˈɑikɑilu
nostosilta	ˈnostoˌsiltɑ
nuhraantuneisuus	ˈnuhrɑɑntuˌneisuus
päänvaiva	ˈpæænvɑivɑ
postmodernismi	ˈpostmoˌdernismi
kohokohta	ˈkohoˌkohtɑ
lirkuttaa	ˈlirkuttɑɑ
ruudinkäry	ˈruudinˌkæry
kesakkoinen	ˈkesɑkˌkoinen
kolmiulotteinen	ˈkolmiulotˌteinen
kehitysjoukko	ˈkehiˌtysjoˌukko
sonnimullikka	ˈsonniˌmullikkɑ
istuvilleen	ˈistuˌvilleen
hallintoteitse	ˈhɑllintoˌteitse
yksisäikeinen	ˈyksiˌsæikeinen
pulikka	ˈpulikkɑ
todesti	ˈtodesti
systeeminen	ˈsysteeˌminen
vahvuus	ˈvɑhvuus
tuulenpuuska	ˈtuulenˌpuuskɑ
itkettynyt	ˈitketˌtynyt
viihdyttäjä	ˈviihdytˌtæjæ
tytinä	ˈtytinæ
seisauspaikka	ˈseisɑusˌpɑikkɑ
porapistiäinen	ˈporɑˌpistiˌæinen
tulkinnanvaraisuus	ˈtulkinˌnɑnvɑˌrɑisuus
raitisilmaventtiili	ˈrɑitiˌsilmɑventˌtiili
mollata	ˈmollɑtɑ
audiovisuaalinen	ˈɑudiˌovisuˌɑɑlinen
tuberkuloottinen	ˈtuberkuˌloottinen
tuki	ˈtuki
levyttää	ˈlevyttææ
maanviljelystyö	ˈmɑɑnviljeˌlystyø
kiukustua	ˈkiukusˌtuɑ
liettuan kieli	ˈliettuɑnˈkieli
perustustyö	ˈperusˌtustyø
ravitsevuus	ˈrɑvitˌsevuus
kiviesine	ˈkivieˌsine
hopeointi	ˈhopeˌointi
hutsu	ˈhutsu
virtuoosinen	ˈvirtuˌoosinen
epäluonnollinen	ˈepæˌluonnolˌlinen
ainejakoinen	ˈɑinejɑˌkoinen
meuhkata	ˈmeuhˌkɑtɑ
kuutiojalka	ˈkuutioˌjɑlkɑ
pätkiä	ˈpætkiæ
turbulenttinen	ˈturbuˌlenttinen
rottasota	ˈrottɑˌsotɑ
uimasillaan	ˈuimɑˌsillɑɑn
biopsianäyte	ˈbiopˌsiɑˌnæyte
suopeus	ˈsuopeus
hämäränäkö	ˈhæmæˌrænækø
pitkäaikaissairas	ˈpitkæˌɑikɑisˌsɑirɑs
sivuluku	ˈsivuˌluku
korvasärky	ˈkorvɑˌsærky
kiihkopäinen	ˈkiihkoˌpæinen
rommiviina	ˈrommiˌviinɑ
kansallisuusperiaate	ˈkɑnsɑlliˌsuusperiˌɑɑte
kakkahätä	ˈkɑkkɑˌhætæ
lounaissuomalainen	ˈlounɑisˌsuomɑˌlɑinen
hongisto	ˈhongisto
hirvensarvensuola	ˈhirvenˌsɑrvenˌsuolɑ
tiesuola	ˈtiesuolɑ
suhdetoiminta	ˈsuhdeˌtoimintɑ
litistyksissä	ˈlitisˌtyksissæ
asetella	ˈɑseˌtellɑ
tempus	ˈtempus
kinkkusalaatti	ˈkinkkusɑˌlɑɑtti
kristillissiveellinen	ˈkristilˌlissiˌveellinen
kielitieteellinen	ˈkieliˌtieteelˌlinen
pyreneittenkoira	ˈpyreˌneittenˌkoirɑ
ateljeetyö	ˈɑtelˌjeetyø
isänkoti	ˈisænˌkoti
kovistaa	ˈkovistɑɑ
kierteissumu	ˈkierteisˌsumu
bitter	ˈbitter
mistelinoksa	ˈmisteliˌnoksɑ
friseesalaatti	ˈfriseesɑˌlɑɑtti
motivoida	ˈmotiˌvoidɑ
puukenkä	ˈpuukenkæ
