აღმოუფხვრელი	ɑɣmɔupʰxvrɛli
ემიგრაცია	ɛmiɡrɑt͡siɑ
ყადაღა	qʼɑdɑɣɑ
აპენდიქსი	ɑpʼɛndikʰsi
შესაბამისი	ʃɛsɑbɑmisi
მეისრე	mɛisrɛ
კოდეინი	kʼɔdɛini
მოფერება	mɔpʰɛrɛbɑ
ფიზიკური	pʰizikʼuri
მონიტორი	mɔnitʼɔri
კათოდი	kʼɑtʰɔdi
პროვინციად	pʼrɔvint͡siɑd
გიტარა	ɡitʼɑrɑ
ძაბრი	d͡zɑbri
უხეიროდ	uxɛirɔd
ჰარმონიული	hɑrmɔniuli
დამღა	dɑmɣɑ
არაზუსტად	ɑrɑzustʼɑd
ქურდული	kʰurduli
იორი	iɔri
დინები	dinɛbi
შემაჩერებელი	ʃɛmɑt͡ʃɛrɛbɛli
ახმაურებს	ɑxmɑurɛbs
თუ	tʰu
ახოვანი	ɑxɔvɑni
სისხლი	sisxli
დამოკიდებულება	dɑmɔkʼidɛbulɛbɑ
სახელის	sɑxɛlis
პრემია	pʼrɛmiɑ
მესიგნალე	mɛsiɡnɑlɛ
ჯოგურობა	d͡ʒɔɡurɔbɑ
ზეიმი	zɛimi
პაემანთ	pʼɑɛmɑntʰ
ფართე	pʰɑrtʰɛ
მონუმენტური	mɔnumɛntʼuri
დაახველა	dɑɑxvɛlɑ
ჯაბახანა	d͡ʒɑbɑxɑnɑ
ზედ	zɛd
გულისრევამდე	ɡulisrɛvɑmdɛ
არაჯანსაღი	ɑrɑd͡ʒɑnsɑɣi
რიტმული	ritʼmuli
პალატალური	pʼɑlɑtʼɑluri
ჯეელი	d͡ʒɛɛli
ჭივჭავი	t͡ʃʼivt͡ʃʼɑvi
პროფესორი	pʼrɔpʰɛsɔri
რაოდენობითი	rɑɔdɛnɔbitʰi
მთით	mtʰitʰ
შიზოფრენია	ʃizɔpʰrɛniɑ
თამამად	tʰɑmɑmɑd
გაბაშვილი	ɡɑbɑʃvili
ადრე	ɑdrɛ
ყაისნაღი	qʼɑisnɑɣi
ცხელი	t͡sxɛli
ქამარი	kʰɑmɑri
კენჭისყრა	kʼɛnt͡ʃʼisqʼrɑ
დანგრეული	dɑnɡrɛuli
დონეს	dɔnɛs
უცქერს	ut͡skʰɛrs
სამნიშნა	sɑmniʃnɑ
ბრიტანეთმა	britʼɑnɛtʰmɑ
ეპოქა	ɛpʼɔkʰɑ
უსიტყვოდ	usitʼqʼvɔd
მარსელი	mɑrsɛli
მაჯაღვერი	mɑd͡ʒɑɣvɛri
შიგნეულობა	ʃiɡnɛulɔbɑ
აფხაზეთს	ɑpʰxɑzɛtʰs
პერისკოპი	pʼɛriskʼɔpʼi
მჭლედ	mt͡ʃʼlɛd
მთა	mtʰɑ
აკურატული	ɑkʼurɑtʼuli
უპირატესობა	upʼirɑtʼɛsɔbɑ
ხუჭუჭი	xut͡ʃʼut͡ʃʼi
პროზაიკული	pʼrɔzɑikʼuli
უშველის	uʃvɛlis
სტომაქი	stʼɔmɑkʰi
შეიყვანეთ	ʃɛiqʼvɑnɛtʰ
აგენტად	ɑɡɛntʼɑd
მალავს	mɑlɑvs
აცხადებს	ɑt͡sxɑdɛbs
ყანწი	qʼɑnt͡sʼi
რუდიმენტი	rudimɛntʼi
ძირს	d͡zirs
დაჟინებულად	dɑʒinɛbulɑd
ტყვეობა	tʼqʼvɛɔbɑ
დაკნინებული	dɑkʼninɛbuli
ჰიგიენა	hiɡiɛnɑ
ამულეტი	ɑmulɛtʼi
ბრიტანეთით	britʼɑnɛtʰitʰ
ნაღვლიანი	nɑɣvliɑni
ფერავს	pʰɛrɑvs
ხელოვნებას	xɛlɔvnɛbɑs
საბაღო	sɑbɑɣɔ
ტიპურად	tʼipʼurɑd
პირბადე	pʼirbɑdɛ
პატრონტაში	pʼɑtʼrɔntʼɑʃi
პარავს	pʼɑrɑvs
მშრალად	mʃrɑlɑd
ბაძგი	bɑd͡zɡi
ზებუნებრივი	zɛbunɛbrivi
შერიგდება	ʃɛriɡdɛbɑ
თანაც	tʰɑnɑt͡s
კაცისებრ	kʼɑt͡sisɛbr
მიზანსცენა	mizɑnst͡sɛnɑ
მორგი	mɔrɡi
პალანტინი	pʼɑlɑntʼini
დეფიციტი	dɛpʰit͡sitʼi
აბელიანი	ɑbɛliɑni
მაკომპრომეტირებლად	mɑkʼɔmpʼrɔmɛtʼirɛblɑd
მდინარე	mdinɑrɛ
ლაჟვარდოვანი	lɑʒvɑrdɔvɑni
მარადიული	mɑrɑdiuli
ელექტროდი	ɛlɛkʰtʼrɔdi
რწევა	rt͡sʼɛvɑ
ნისია	nisiɑ
მოძღვარი	mɔd͡zɣvɑri
არაგულწრფელად	ɑrɑɡult͡sʼrpʰɛlɑd
დაბებკილად	dɑbɛbkʼilɑd
საიმედო	sɑimɛdɔ
ტუჩებმა	tʼut͡ʃɛbmɑ
მაზეგ	mɑzɛɡ
წიწმატი	t͡sʼit͡sʼmɑtʼi
ლითიუმი	litʰiumi
უგვიანესი	uɡviɑnɛsi
ულაზათობა	ulɑzɑtʰɔbɑ
ბეტონი	bɛtʼɔni
ფიფია	pʰipʰiɑ
კიტელი	kʼitʼɛli
უპატიოსნობა	upʼɑtʼiɔsnɔbɑ
მეწვრილმანე	mɛt͡sʼvrilmɑnɛ
ემულსია	ɛmulsiɑ
გულქვა	ɡulkʰvɑ
ზარბაზანი	zɑrbɑzɑni
რამოდენი	rɑmɔdɛni
ფსიქიატრი	pʰsikʰiɑtʼri
სიმხდალე	simxdɑlɛ
ტირე	tʼirɛ
აწეწილი	ɑt͡sʼɛt͡sʼili
ელფი	ɛlpʰi
კილომეტრი	kʼilɔmɛtʼri
მეტეოროლოგია	mɛtʼɛɔrɔlɔɡiɑ
მწვანილი	mt͡sʼvɑnili
შეერთდება	ʃɛɛrtʰdɛbɑ
ჭინკა	t͡ʃʼinkʼɑ
წეწავს	t͡sʼɛt͡sʼɑvs
ჯმუხად	d͡ʒmuxɑd
ხელგაშლილად	xɛlɡɑʃlilɑd
პოლ	pʼɔl
საოლავი	sɑɔlɑvi
სიახლე	siɑxlɛ
მომაღლო	mɔmɑɣlɔ
მომგებიანი	mɔmɡɛbiɑni
მოკვლა	mɔkʼvlɑ
ვეტერინალური	vɛtʼɛrinɑluri
მოუხერხებლად	mɔuxɛrxɛblɑd
ტვინებით	tʼvinɛbitʰ
თავად	tʰɑvɑd
სამოცდასამი	sɑmɔt͡sdɑsɑmi
თავნებად	tʰɑvnɛbɑd
მერე	mɛrɛ
დაღლილად	dɑɣlilɑd
ხათაბალა	xɑtʰɑbɑlɑ
დავითაშვილი	dɑvitʰɑʃvili
ბანდიტიზმი	bɑnditʼizmi
რაოდენობა	rɑɔdɛnɔbɑ
დააკვალიანებს	dɑɑkʼvɑliɑnɛbs
უწონობა	ut͡sʼɔnɔbɑ
საინტერესოდ	sɑintʼɛrɛsɔd
უკეთ	ukʼɛtʰ
დიალოგი	diɑlɔɡi
გემრიელი	ɡɛmriɛli
ლიტავრა	litʼɑvrɑ
სერვერი	sɛrvɛri
ორე	ɔrɛ
ედმუნდი	ɛdmundi
ზმნიზედური	zmnizɛduri
ცეცხლფარეში	t͡sɛt͡sxlpʰɑrɛʃi
სადღეღამისო	sɑdɣɛɣɑmisɔ
არშიყობა	ɑrʃiqʼɔbɑ
მიცემითი	mit͡sɛmitʰi
სამშობიარო	sɑmʃɔbiɑrɔ
ტოლჩა	tʼɔlt͡ʃɑ
კლდე	kʼldɛ
დემეტრე	dɛmɛtʼrɛ
იღბალი	iɣbɑli
პოლითეიზმი	pʼɔlitʰɛizmi
ანოტაცია	ɑnɔtʼɑt͡siɑ
თოხლო	tʰɔxlɔ
ბუდობა	budɔbɑ
მორჩი	mɔrt͡ʃi
ტყაპანი	tʼqʼɑpʼɑni
თანამოსაუბრე	tʰɑnɑmɔsɑubrɛ
ქვემდგომი	kʰvɛmdɡɔmi
აპოკალიფსური	ɑpʼɔkʼɑlipʰsuri
შილინგი	ʃilinɡi
აგვირგვინებს	ɑɡvirɡvinɛbs
კუშტი	kʼuʃtʼi
ტევრი	tʼɛvri
ინტრიგა	intʼriɡɑ
შაბათი	ʃɑbɑtʰi
წინკარი	t͡sʼinkʼɑri
გამალებულად	ɡɑmɑlɛbulɑd
განმეორებით	ɡɑnmɛɔrɛbitʰ
სისხლჩაქცევა	sisxlt͡ʃɑkʰt͡sɛvɑ
სასმო	sɑsmɔ
ლპობა	lpʼɔbɑ
დედააზრი	dɛdɑɑzri
ენდემური	ɛndɛmuri
უწყლო	ut͡sʼqʼlɔ
სისაძაგლე	sisɑd͡zɑɡlɛ
ფორტიფიკაცია	pʰɔrtʼipʰikʼɑt͡siɑ
გოგომ	ɡɔɡɔm
ჭაღი	t͡ʃʼɑɣi
ჩაფი	t͡ʃɑpʰi
ტაძარმა	tʼɑd͡zɑrmɑ
კორპორაციული	kʼɔrpʼɔrɑt͡siuli
მონარქიზმი	mɔnɑrkʰizmi
მეტამორფოზა	mɛtʼɑmɔrpʰɔzɑ
ღონემიხდილი	ɣɔnɛmixdili
გარემოება	ɡɑrɛmɔɛbɑ
ამობურცული	ɑmɔburt͡suli
ლოგარითმი	lɔɡɑritʰmi
უშნო	uʃnɔ
ქირურგიულად	kʰirurɡiulɑd
გავრცელებული	ɡɑvrt͡sɛlɛbuli
აპრილი	ɑpʼrili
აგენტი	ɑɡɛntʼi
სალამურა	sɑlɑmurɑ
პოლიტიკურად	pʼɔlitʼikʼurɑd
ნისლი	nisli
რეციდივისტი	rɛt͡sidivistʼi
ალფა	ɑlpʰɑ
ამ	ɑm
კატასტროფული	kʼɑtʼɑstʼrɔpʰuli
ნაგაზი	nɑɡɑzi
მეექვსე	mɛɛkʰvsɛ
დათმობს	dɑtʰmɔbs
იაკი	iɑkʼi
ჯადოქარი	d͡ʒɑdɔkʰɑri
უადგილო	uɑdɡilɔ
ჭარბწარმოება	t͡ʃʼɑrbt͡sʼɑrmɔɛbɑ
რონალდი	rɔnɑldi
კაპიკი	kʼɑpʼikʼi
აირი	ɑiri
ჰიკორი	hikʼɔri
დისკრეტული	diskʼrɛtʼuli
ფილმი	pʰilmi
შებრუნებული	ʃɛbrunɛbuli
ჰომეოპათი	hɔmɛɔpʼɑtʰi
ჭირვეულად	t͡ʃʼirvɛulɑd
აგენტით	ɑɡɛntʼitʰ
ანტრესოლი	ɑntʼrɛsɔli
დროით	drɔitʰ
დღვებს	dɣvɛbs
ქრომოსომა	kʰrɔmɔsɔmɑ
