ἀγγελικόσ	aŋɡɛlikos
μεγαρίσ	meɣaris
ἐποιεῖτο	ɛpyito
ὑμνωιδία	hymnodia
ἀγγελθῆισ	aŋɡeltʰɛ̂ːi̯s
παιδευθεῖεν	pɛdeʍtʰiɛn
ἀγαλλιῶισθε	aɡalliostʰɛ
κάκ	kák
ῥιφόνοσ	r̥ipʰónos
ἰλάρχησ	ilarçis
ὑπογεγραμμένον	hypoɡeɡramménon
ἠγαπηκοίησ	iɣapikyis
ἀκτήν	akten
ὅλοσ	olos
μετετράπην	metetrápɛːn
ἀγγαρεύωμαι	aŋɡareβomɛ
ξύμμαχοι	ksimaçi
ἀλφαβήτοισ	alfavitys
λαΐσ	laːís
κέκασμαι	cekazme
τάχει	taçi
ἀτρύγετοσ	atryɡɛtos
ἀργείοισι	arɣiysi
ἀγγελοῦ	aŋɡɛlu
φιδηνάτησ	ɸiðinatis
κοπροθήκη	koproθiki
λετρῖνοι	letrini
ὀπίσσω	opisso
χαίτησ	çetis
κύβοσ	cyvos
ἠγγέλετον	ɛːŋɡéleton
κατασκευάζω	kataskewazo
διαλελυμένηι	dialɛlymɛne
ἄνευ	áneu̯
τίθησ	titʰes
δαιμόνιε	dai̯mónie
λανθάνω	lantʰano
παιδευσομένη	pai̯deu̯soménɛː
συνήφθησαν	synepʰtʰesan
πέπυσμαι	pepyzmɛ
οἵδε	yðe
ἰορδάνησ	iordánɛːs
σάκκοσ	sákkos
ὀνοματοποιία	onomatopyia
θρόμβωσισ	θrombosis
ὀδμή	oðmi
ὑπερδιαθήκη	iperðiaθici
κατεσχηκότοσ	katesxikotos
ξιφία	ksifia
χωρέω	kʰɔːréɔː
ὑπερῶιον	iperoon
βιβλίου	biblíoː
ἠγερία	iɣeria
ἠμαθόεισ	ematʰois
ληθαργίαι	lɛːtʰarɡíai̯
ἠγαπήκοιτε	ɛːɡapɛ̌ːkoi̯te
ἠχή	içi
σκευή	skeu̯ɛ̌ː
θυμέ	θime
δρομαῖοσ	ðromeos
ἀθηναία	atʰenɛa
τραπεζοφόροσ	trapɛzopʰoros
κερκυραῖοσ	kɛrkyrɛos
καταβολή	katavoli
ταχύ	takʰý
βουκόλοσ	bukolos
ἀείρω	airo
ἀγαλλιάοιντο	aɣaliaindo
ἀγαπηθησοίμεθα	aɣapiθisimeθa
ἀγείρω	aɡiro
λιμένα	liména
θρηνωιδία	θrinoðia
σπέσσι	spéssi
παίω	pǎi̯ɔː
θέμεροσ	θemeros
ὁράματα	horǎːmata
μνημονικόσ	mnemonikos
βέλτιστοσ	bɛltistos
δειδώ	ðiðo
μεγάροισ	meɣarys
παρελθούσησ	parɛltʰuses
ἀκινησίασ	akiːnɛːsíaːs
ὄλβοσ	olbos
ἑρμηνεύσ	ermineɸs
νέω	néɔː
ἴδηι	ǐːdɛːi̯
ἀτρέοσ	atrɛos
λέγων	lɛɡon
ἠγείρατο	iɣirato
ἀγαθοποιέομαι	aɣaθopyeome
ἀττικῆσ	attikis
σαμβύκη	sambici
βαρύγαζα	varyɣaza
καπιτώλιον	kapitɔ̌ːlion
ἀνθεμοῦσ	anθemus
ἑξακονταμοιρία	eksakontamyria
οἱ	hoi̯
κατάφαρκτοσ	katápʰarktos
αὐθέντησ	afθentis
τάλαντον	talanton
ποίησαν	pǒi̯ɛːsan
ἀχρεῖοσ	axrios
δημοκλείδησ	ðimokliðis
κελεύθου	kelěu̯tʰoː
ἑώρων	eoron
ἀξιόχρεωσ	aksiokʰrɛos
σεβαστοκράτωρ	sevastokrator
μαστίχινοσ	mastiçinos
φίννοσ	finnos
ἀντίσχουσαν	antisxusan
βράσμα	brázma
πέμπεισ	pɛmpis
ἀνακρούομαι	anakruome
ἀποστάτησ	apostátɛːs
τοῦδε	tuðe
παιδοτρίβησ	pɛðotriβis
ἐνιαυτοῖσ	eniaftys
ὑπολήνιον	hypolenion
ἀγαλλιῶι	aɣallio
ὄρνυμι	órnyːmi
πραινεστῖνοσ	prɛnestinos
φωνήσαντεσ	ɸonisantes
ὠτόσ	ɔːtós
ἀκοή	akoɛ̌ː
δῖοι	diy
λευκανία	leʍkania
τέσσαρα	tɛssara
ἐκινδύνευε	ekindy̌ːneu̯e
μάρτυρ	martyr
θεράποντα	tʰɛraponta
ἐσχατιῆι	ɛskʰatie
