σκορδόψωμα	skoɾðopsoma
σκυλί	scili
περισπωμένη	perispomeni
μπέρδεψα	beɾðepsa
κονέκτικατ	konektikat
κληρονομούμε	kliɾonomume
πεισμένη	pizmeni
ελπίζουμε	elpizume
χαλασμένε	xalazmene
τζερτζελέσ	dzeɾdzeles
καθορίζομαι	kaθoɾizome
ματόκλαδο	matoklaðo
ανιψούλη	anipsuli
κουρασμένη	kurazmeni
πλειστόκαινοσ	plistocenos
γκουγκλάρω	ɡuɡlaɾo
απελπισμένου	apelpizmenu
μολογιέμαι	moloʝeme
δεκέμβρηδεσ	ðeceɱvɾiðes
ζωηρόσ	zoiros
σπασμένησ	spazmenis
μαυροπουλιού	mavropuʎu
πειθόμενεσ	piθomenes
τουρκοκρατία	tuɾkokɾatia
νικημένων	nicimenon
αντεύχομαι	andefxome
αναμαλλιασμένα	anamaʎazmena
αηδιασμένουσ	aiðiazmenus
κόκκινησ	kocinis
αμπαλάρομαι	ambalaɾome
πουδριέρα	puðɾʝeɾa
μεσημβρία	mesimvria
αρκούμε	aɾkume
αποταμιεύτηκα	apotamieftika
θήβεσ	θives
επιτρέπομαι	epitɾepome
πειθόμενα	piθomena
βρετανία	vretania
αποδείχθηκαν	apoðixθikan
ακροάζομαι	akroazome
λύνε	line
δυχατέρα	ðuxatera
ήπιε	ipie
παρακλήθηκα	parakliθika
κουτσομπολεύτηκα	kutsoboleftika
τέλεια	telia
ακόνισα	akonisa
γκαστρωμένα	ɡastromena
κολωνία	kolonia
παρεκτράπηκα	paɾektɾapika
μυκόνου	mikonu
βυθισμένου	viθizmenu
ειλημμένοσ	ilimenos
αγκομαχώ	aŋɡomaxo
ιούνη	iuni
ποδόσφαιρων	poðosferon
φρεσκάρισε	fɾeskaɾise
βασιλεύω	vasilevo
προσκεκλημένοσ	pɾosceklimenos
εγκατεστημένοσ	eŋɡatestimenos
σκύλα	scila
λικέρ	liceɾ
παρεισέφρησα	parisefrisa
λουτράκι	lutɾaci
αραχνούλα	aɾaxnula
κόβομαι	kovome
μπονατσάριζε	bonatsaɾize
ξαναγράφω	ksanaɣɾafo
κοινοβιάτησ	cinoviatis
λατρεύω	latɾevo
εγγράφηκα	eŋɣrafika
αιματοβαμμένησ	ematovamenis
εφεύρα	efevɾa
συγκρουόμενου	siŋɡruomenu
εξέλεξα	ekseleksa
φτάνω	ftano
αποκαλύφθηκα	apokalifθika
ξεριζώνω	kseɾizono
ολόφωτε	olofote
βοηθούμε	voiθume
διασκεδάζω	ði̯asceðazo
απολογητικούσ	apoloʝitikus
ερχόμενεσ	erxomenes
επιδοκιμάζομε	epiðocimazome
αξέχαστοσ	aksexastos
βράζω	vrazo
ημέρευε	imeɾeve
φρενάρω	frenaro
αποδέχτηκα	apoðextika
μουνότρυπα	munotɾipa
απαγόρευση	apaɣorefsi
μπιντέσ	bides
ψάχτηκα	psaxtika
πολωνέζικα	polonezika
αντικλεπτικό	andikleptiko
ευημερούσα	evimeɾusa
παρελθόν	parelθon
συγγενήσ	siŋɟenis
αδικώ	aðiko
φημίζομαι	fimizome
μυταράσ	mitaɾas
επαρκώ	epaɾko
περιστράφηκα	peɾistɾafika
αναβράζω	anavrazo
δαγκάνω	ðaŋɡano
χάλυβασ	xalivas
οδήγησα	oðiʝisa
κριθαρόψωμων	kriθaropsomon
συμφυρμούσ	siɱfirmius
αγγελοκρουσμένοσ	aŋɟelokɾuzmenos
τηλεφωνήθηκα	tilefoniθika
λόφοσ	lofos
αναβαλλόμενοι	anavalomeni
πάμμαυρων	pamavɾon
σελίνι	selini
βάλλεται	valete
πεθαμένα	peθamena
αγιασμένοσ	aʝiazmenos
άγιοσ	aʝios
επιδρώ	epiðɾo
παίζομε	pezome
σουβενίρ	suvenir
κακοποιούμαι	kakopiume
διαφωνώ	ði̯afono
βρούμε	vɾume
διπλανή	ðiplani
αλήθεια	aliθça
έβοσκα	evoska
στυμμένε	stimene
αγορεύω	aɣorevo
κριθαρόψωμου	kriθaropsomu
πηδώ	piðo
προσγράφομε	pɾozɣrafome
αναλίσκομαι	analiskome
αποδείχθηκε	apoðixθice
ανατραπήκαν	anatɾapikan
ενθύμιο	enθimio
ορίζουμε	oɾizume
ποντάριζα	pondaɾiza
εντύπωση	endiposi
χορέψτε	xoɾepste
απασχολούμε	apasxolume
απηρχαιωμένου	apirçeomenu
πεθαμένησ	peθamenis
πάγκρεασ	paŋɡɾeas
διέπρεψα	ðiepɾepsa
απορροφήθηκα	apoɾofiθika
καταιγίδων	kateʝiðon
μετείχα	metixa
βαστώ	vasto
υποθηκεύομαι	ipoθicevome
λύσανε	lisane
άθαφτοσ	aθaftos
διαλογίστηκα	ðialoʝistika
εξήρθην	eksirθin
απέσταξα	apestaksa
αναθεματισμένοι	anaθematizmeni
θλιμμένεσ	θlimenes
λάδι	laði
όμικρον	omikron
τσίτσασ	tsitsas
ιούνηδων	iuniðon
αμύγδαλο	amiɣðalo
συναναστράφηκα	sinanastɾafika
ασκήθηκα	asciθika
διαβάζομαι	ðʝavazome
περιέκλεισα	perieklisa
ανθεστήρια	anθestiɾia
απομονωμένεσ	apomonomenes
φυτικούσ	fitikus
αναθεματισμένα	anaθematizmena
μοιράστηκα	miɾastika
διεξάγω	ðieksaɣo
ευγηρία	evʝiɾia
βαθιού	vaθçu
ανέτρεψα	anetɾepsa
υπέροχοσ	ipeɾoxos
γκρίζοι	ɡɾizi
στενοχωρημένοι	stenoxorimeni
γιατρεύομαι	ʝatɾevome
επιγράφομε	epiɣrafome
κανονικόσ	kanonikos
υποβοηθούμενεσ	ipovoiθumenes
καταξοδεύομαι	kataksoðevome
υποσκάφηκα	iposkafika
ωχριώ	oxɾio
αναστρέφω	anastɾefo
εκκόλαψα	ekolapsa
ιρλανδία	iɾlanðia
αξιωματικόσ	aksiomatikos
αιματώνομαι	ematonome
καφεμαντεία	kafemandia
σκατούλα	skatula
γκαέτα	ɡaeta
αλυσοδεμένων	alisoðemenon
αξιολογούμε	aksioloɣume
σπάρτο	spaɾto
δαμάσκηνο	ðamascino
χρονολογήσεωσ	xronoloʝiseos
φάνηκα	fanika
βαθμολογημένου	vaθmoloʝimenu
αποκατάστησα	apokatastisa
πειθαναγκάζομε	piθanaŋɡazome
κωσταντίνοσ	kostandinos
ασπάσθηκα	aspasθika
παρότρυνα	paɾotɾina
γλυκίσματοσ	ɣlicizmatos
στάζουμε	stazume
θέροσ	θeros
ου	u
αντιγράφηκα	andiɣrafika
αναδεικνύω	anaðiknio
ρώτησα	ɾotisa
κορασίδα	koɾasiða
εορτάζουμε	eoɾtazume
ομοφυλοφίλουσ	omofilofilus
σοφότεροσ	sofoteɾos
κληρονομήθηκα	kliɾonomiθika
άμπωτη	amboti
αναφέρουμε	anafeɾume
διαμορφώνομαι	ði̯amoɾfonome
πιλοτάρομαι	pilotaɾome
κατερίνη	kateɾini
ψιτ	psit
αποφάσεωσ	apofaseos
υπαγορεύτηκα	ipaɣoɾeftika
αγενήσ	aʝenis
στραγγίζομαι	stɾaŋɡizome
κόμησ	komis
περιοδεύων	peɾioðevon
καταναγκάζομε	katanaŋɡazome
πλατεία	platia
αγανακτισμένο	aɣanaktizmeno
βουτυρωμένο	vutiromeno
οποίου	opiu
κανακέψτε	kanacepste
αλιεύθηκα	aliefθika
αντιστρέφομε	andistɾefome
προϊών	pɾoion
ανασκάφτηκα	anaskaftika
απομονωμένε	apomonomene
αυγούστουσ	avɣustus
συνοριοφυλάκων	sinoriofilakon
στραβώνομαι	stɾavonome
βαθμολογημένων	vaθmoloʝimenon
τραβώ	tɾavo
υποσκάφθηκα	iposkafθika
παραγγέλλω	paraŋɟelo
τηλεθεατήσ	tileθeatis
καλούμαι	kalume
χριστόψωμων	xristopsomon
εμπιστοσύνη	embistosini
αναστατώνω	anastatono
ἀττικίζων	aticizon
λυνόμαστε	linomaste
γεια	ʝa
απασχολημένεσ	apasxolimenes
δολοφονήθηκα	ðolofoniθika
πίνομαι	pinome
περιοδικών	perioðikon
φιλιών	fiʎon
εγκλείω	eŋɡlio
δήμοσ	ðimos
συζητήθηκα	sizitiθika
στέφουμε	stefume
ασεβέστερα	asevestera
ανακρίνομαι	anakɾinome
κάλμαρε	kalmaɾe
έβαψα	evapsa
σοφίεσ	sofies
σκασμένη	skazmeni
ταπεινώνομαι	tapinonome
διαπνέομε	ðiapneome
γοήτεψα	ɣoitepsa
κένταυροσ	cendavɾos
αποσείομαι	aposiome
νάνου	nanu
ανίδρυσα	aniðrisa
βρεγμένοσ	vɾeɣmenos
σεπτέμβριοσ	septeɱvɾios
φάροσ	faros
άσεβη	asevi
προμηθέα	promiθea
παραβάλλομαι	paɾavalome
σπασμένεσ	spazmenes
κουρασμένουσ	kurazmenus
αγγουριά	aŋɡuɾʝa
πασαπόρτι	pasapoɾti
βιβλιοπωλεία	vivliopolia
διαπληκτίστηκα	ðiapliktistika
έλειψα	elipsa
αμπελοχώραφα	ambeloxoɾafa
σύκο	siko
μισθωτήσ	misθotis
βαν	van
χαράζει	xaɾazi
αγαπημένουσ	aɣapimenus
εφευρίσκομαι	efevɾiskome
τσεκάρισα	tsekaɾisa
κορόιδο	koɾoi̯ðo
διατυπώνω	ðʝatipono
ψηφοφορία	psifofoɾia
καταγράφτηκα	kataɣraftika
αντιστράφηκα	andistɾafika
ροδάκινων	roðacinon
βαθμολογημένοι	vaθmoloʝimeni
αναθεματισμένου	anaθematizmenu
ανιψούληδων	anipsuliðon
φαντάζω	fandazo
περνιέμαι	peɾɲeme
αγιασματάρι	aʝazmatari
αλφάβητο	alfavito
απασχολημένα	apasxolimena
κραγμένη	kraɣmeni
πομφόλυγασ	poɱfoliɣas
μπούρδασ	buɾðas
αναδημιουργημένων	anaðimiurʝimenon
διάνυσα	ðianisa
σημαδιού	simaðʝu
κορακίστικα	koɾacistika
σκασμένα	skazmena
γκουγκλίζω	ɡuɡlizo
πασπατεύτηκα	paspateftika
έτοσ	etos
τρεχούμενο	tɾexumeno
αγναντεύω	aɣnandevo
εγχύνομαι	eŋçinome
ανέπαλλα	anepala
τόπι	topi
κίνδυνοσ	cinðinos
περικλείουμε	perikliume
αναφέρομε	anafeɾome
ανδρείωσα	anðɾiosa
ασπάστηκα	aspastika
λιγότερησ	liɣoteris
ανανήψεισ	ananipsis
