астрономија	astronǒmija
тегобан	têɡoːban
кајмак	kǎjmak
предвидјети	prědʋidjeti
неоспорно	nêospoːrno
избатинати	izbatǐnati
судбоносно	sudbǒnosno
кључ	kʎûːt͡ʃ
приговарати	priɡoʋǎːrati
каолинит	kaolǐniːt
хвала	xʋǎːla
радо	râdo
реџеп	rěd͡ʒep
зауставити	zaǔstaʋiti
апрецијација	apret͡sijǎːt͡sija
скровит	skrǒʋit
испрљати	ispřːʎati
влажити	ʋlâʒiti
треперити	trepěriti
крчкати	kr̂t͡ʃkati
ходочашће	xôdot͡ʃaʃt͡ɕe
кракелура	krakelǔːra
стагнирати	staɡnǐːrati
антологија	antolǒɡija
надјев	nǎːdjeʋ
просјачић	prosjǎt͡ʃit͡ɕ
кострва	kǒstrʋa
подригивати	podriɡǐːʋati
монизам	monǐzam
тупоглаво	tupǒɡlaʋo
судар	sûdaːr
обални	ôbaːlniː
фумар	fǔmaːr
пахуља	pǎxuʎa
гдјегдје	ɡdjěɡdje
шизма	ʃîzma
равно	râːʋno
знатижељан	znâtiʒeːʎan
планер	plǎneːr
плашити	plâʃiti
двосложан	dʋǒsloʒan
милијун	milǐjuːn
прес	prês
вјешалица	ʋjêʃalit͡sa
стидљиво	stǐdʎiʋo
карипски	kǎripskiː
љубак	ʎûbak
изрезбарити	izrezbǎːriti
лед	lêːd
секирати	sekǐrati
тоталитаран	tôtalitaːran
начинити	nat͡ʃǐniti
прорађивати	prorad͡ʑǐːʋati
криптичан	krǐptit͡ʃan
љепило	ʎěpilo
арабијски	arǎːbiːjskiː
цинички	tsǐnitʃki
дрскост	dr̂skoːst
предводити	predʋǒditi
опрезан	ôpreːzan
ждријеб	ʒdrijêːb
побуњеница	pobuɲěnit͡sa
пагода	pǎɡoda
светковина	sʋětkoʋina
линолеум	linolěum
имунолошки	imunǒloʃkiː
снизивати	snizǐːʋati
мењачница	měɲaːt͡ʃnit͡sa
швеђанин	ʃʋěːd͡ʑanin
кукумар	kǔkumaːr
пудлица	pǔdlit͡sa
проћутети	prot͡ɕǔːteti
главетина	ɡlaʋětina
либерал	liběraːl
егзистирати	eɡzistǐːrati
мост	môːst
проплакати	prǒplakati
беланце	belǎːnt͡se
најамни	nǎːjamniː
дадаист	dadǎist
вентилирати	ʋentilǐːrati
бојовник	bǒjoːʋniːk
пањ	pâːɲ
овисан	ǒʋisan
локва	lôkʋa
сабљичица	sâbʎit͡ʃit͡sa
ласица	lǎsit͡sa
земљопосједник	zemʎopǒːsjedniːk
најурити	najǔːriti
интерни	înteːrniː
беспосличити	běsposlit͡ʃiti
пољски	pôʎski
сјести	sjêsti
органски	ǒrɡaːnskiː
реакција	reǎkt͡sija
прихватилиште	prixʋǎtiliːʃte
намјењивати	namjeɲǐːʋati
методолошки	metodǒloʃki
аварски	ǎʋaːrskiː
издалека	izdalěka
замјењив	zamjěɲiʋ
надопунити	nadǒpuniti
устав	ûstaːʋ
неконвенционалан	nêkonʋent͡sionaːlan
фантастичан	fantǎstit͡ʃan
јадан	jâdan
аустроугарски	austroǔɡarski
узети	ǔzeːti
харати	xǎːrati
константно	konstǎntno
уротник	ǔrotniːk
пословођа	pôsloʋod͡ʑa
поштедети	poʃtěːdeti
прси	pr̂si
бехандлати	bexǎndlati
улов	ǔːloʋ
термопауза	termopâuza
приврженост	prǐʋrʒenoːst
чланица	t͡ʃlǎnit͡sa
школа	ʃkôːla
штекрагн	ʃtêːkraːɡn
рачунар	rat͡ʃǔnaːr
предоџба	prědod͡ʒba
врањ	ʋrâːɲ
привредник	prîʋredniːk
харпун	xǎrpuːn
шлифер	ʃlǐfer
таблица	tǎblit͡sa
слабашан	slâbaːʃan
обожавати	oboʒǎːʋati
штрајфати	ʃtrâjfati
брбљивост	břbʎiʋoːst
безглавост	bězɡlaʋoːst
кондензатор	konděnzaːtor
подстицати	pǒdstit͡sati
узбуркати	ǔzburkati
потомство	pǒtoːmstʋo
пливање	plîʋaːɲe
грађанка	ɡrâd͡ʑaːnka
новогрчки	nôʋoɡrt͡ʃkiː
мора	mǒːra
платински	plâtinskiː
правовременост	prâʋoʋremenoːst
камоли	kâmoli
иконостас	ikonǒstas
сепса	sêpsa
подшпрајцати	pǒdʃprajt͡sati
плавоок	plaʋǒok
исказница	ǐskaznit͡sa
тједни	tjêdniː
цилиндричан	t͡silǐndrit͡ʃan
киме	kǐːme
кирија	kǐrija
племенски	plêmenskiː
беспријекоран	besprjěːkoːran
крета	krěːta
бестијалан	bêstijaːlan
прогризати	proɡrǐːzati
цјелина	t͡sjelǐna
носић	nǒsit͡ɕ
карика	kǎrika
малоуман	mâlouːman
сеизмограф	seizmǒɡraf
пјенез	pjěnez
неуобичајено	neuobǐt͡ʃaːjeno
афектирати	afektǐːrati
нервирати	nerʋǐːrati
јадно	jâdno
забалити	zǎbaliti
бродски	brǒdskiː
тренутачан	trênutaːt͡ʃan
мач	mât͡ʃ
исплативост	isplǎtiʋoːst
базати	bǎːzati
берлин	běrliːn
шпијунка	ʃpǐjuːnka
исмејавати	ismejǎːʋati
штатут	ʃtǎtuːt
сагибати	saɡǐːbati
усисивач	usisǐʋaːt͡ʃ
гибати	ɡǐːbati
беба	běːba
уротити	urǒtiti
антикомунистички	antikomunǐstit͡ʃki
лијеност	lijěːnoːst
посада	pôsada
касаба	kasǎba
беспринципијелно	bêsprint͡sipijeːlno
незналица	něznalit͡sa
корбач	kǒrbaːt͡ʃ
курдски	kûrdskiː
мутан	mǔːtan
лајпцишки	lǎjpt͡siʃkiː
шпањолска	ʃpǎɲoːlskaː
продајни	prôdaːjniː
пучки	pûːtʃkiː
лудети	lǔːdeti
лицитација	lit͡sitǎːt͡sija
лакомисленост	lakǒmislenoːst
