gibraltarski	ɡǐbraltarskiː
niz	nîz
objedinjavati	objediɲǎːʋati
turban	tǔrbaːn
izborni	ǐzboːrniː
češki	t͡ʃêʃkiː
pušač	pǔʃaːt͡ʃ
odabrati	odǎbrati
osifikacija	osifikǎːt͡sija
bijel	bjêːl
magnetni	mǎɡnetniː
uzastopan	ûzastopan
zavet	zǎːʋet
svestan	sʋêstan
svrsishodnost	sʋr̂sisxodnoːst
rukovodeći	rukoʋǒdeːt͡ɕiː
suši	sûʃi
relativno	rêlatiːʋno
nezaboravljiv	nezaborǎʋʎiʋ
projicirati	projit͡sǐːrati
trgovina	trɡǒʋina
andžar	ǎnd͡ʒaːr
navečer	nâʋet͡ʃeːr
esperanto	esperǎnto
ugušivati	uɡuʃǐːʋati
rječoslovje	rjet͡ʃoslovje
neotesanac	neotesǎːnat͡s
podičiti	pǒdit͡ʃiti
božanstven	boʒǎnstʋen
veprina	ʋěprina
impregnirati	impreɡnǐːrati
sadržan	sâdrʒaːn
pik	pîk
satnica	sâtnit͡sa
pluralni	plûraːlniː
korist	kôriːst
zadaviti	zadǎːʋiti
inkvizitorski	inkʋǐziːtorskiː
sigurnost	siɡǔːrnoːst
turkinja	tûrkiɲa
kroatocentričnost	kroatot͡sěntrit͡ʃnoːst
muzika	mǔzika
udovičin	udǒʋit͡ʃin
gravitirati	ɡraʋitǐːrati
potres	pǒtres
kvalitativan	kʋâlitatiːʋan
jež	jêːʒ
trpeza	třpeza
snizivati	snizǐːʋati
šija	ʃîja
pristupiti	pristǔːpiti
smještajni	smjêʃtaːjniː
odozdo	odǒzdoː
italijanski	italǐjaːnskiː
kratkodometni	kratkodǒːmetniː
kotoriba	kotǒriba
karizmatičnost	karizmǎtit͡ʃnoːst
posuđivati	posud͡ʑǐːʋati
česmina	t͡ʃěsmina
profesionalizam	profesionalǐzam
surađivati	surad͡ʑǐːʋati
konvencija	konʋěnt͡sija
besan	běːsan
nekoristan	nêkoristan
suspenzija	suspěnzija
znoj	znôːj
presenetiti	preseněːtiti
akreditiv	akredǐtiːʋ
nekroza	nekrǒːza
pristranost	prǐstranoːst
pre	prê
oživjeti	oʒǐːʋjeti
maštovito	maʃtǒʋito
verifikator	ʋerifǐkaːtor
kama	kâːma
bezvremenost	bězʋremenoːst
krstovnik	kr̂stoʋnik
retorično	retǒrit͡ʃno
svrhovitost	sʋrxǒʋitoːst
kupler	kǔpler
buco	bǔːt͡so
argat	ǎrɡat
alergološki	alerɡǒloʃkiː
česno	t͡ʃěsno
cimet	t͡sǐmet
atraktivan	âtraktiːʋan
ekscentrično	ekst͡sěntrit͡ʃno
istinoljubivost	istinoʎǔbiʋoːst
ljubakati	ʎubǎkati
ugrušati	uɡrǔʃati
držati	dřʒati
potkrepljivati	potkrepʎǐːʋati
tuđ	tûd͡ʑ
ejakulacija	ejakulǎːt͡sija
njurgalo	ɲûrɡalo
titoistički	titoǐstit͡ʃkiː
osnovati	osnǒʋati
sekstant	sěkstant
spartanac	spartǎːnat͡s
antilogaritam	antiloɡarǐtam
okončati	okǒnt͡ʃati
smisleno	smîsleno
svečano	sʋět͡ʃano
dedukcija	dedǔkt͡sija
lingvistički	linɡʋǐstitʃkiː
privredni	prîʋredniː
različit	rǎːzlit͡ʃit
oponašati	oponǎːʃati
profesionalan	prôfesionaːlan
plodonosan	plodǒnosan
ogledalo	oɡlědalo
angola	anɡôːla
samouništenje	samouniʃtěːɲe
komforno	kômfoːrno
vatikan	ʋâtikaːn
likvida	lǐkʋida
grčki	ɡr̂tʃkiː
rob	rôb
vernost	ʋěːrnoːst
vlažnost	ʋlâʒnoːst
futuristkinja	futǔristkiɲa
izolacija	izolǎːt͡sija
nismo	nǐːsmo
sazrijevati	sazrjěːʋati
svoditi	sʋǒditi
odolevati	odolěːʋati
deseti	dêseti
fizioterapijski	fizioterǎpiːjskiː
bangladeš	bǎnɡladeʃ
friz	frîːz
vjerski	ʋjěrskiː
predgovor	prêdɡoʋoːr
bazen	bǎzeːn
petica	pěːtit͡sa
paranoja	paranǒːja
šprahfeler	ʃprâːxfeler
pohlepan	pôxleːpan
upad	ǔpad
prilagodljivost	prilaɡǒdʎiʋoːst
filolog	filǒloɡ
izgnati	ǐzɡnati
pakistanski	pâkistaːnskiː
sred	srêd
livada	lǐʋada
odzvuk	ôdzʋuːk
astrološki	astrǒloʃkiː
obadati	obǎdati
šiba	ʃîba
štrample	ʃtrǎmple
eksplodirati	eksplodǐːrati
samopouzdan	samopǒuzdaːn
taljige	tǎʎiɡe
istrošen	ǐstroʃen
transcendirati	transt͡sendǐːrati
dvoranin	dʋǒranin
obeštećivati	obeʃtet͡ɕǐːʋati
vezivati	ʋezǐːʋati
skutriti	skûtriti
fascinacija	fast͡sinǎːt͡sija
fosilni	fǒsiːlniː
njihati	ɲǐːxati
činjenica	t͡ʃîɲenit͡sa
razvesti	rǎzʋesti
povrijediti	poʋrjěːditi
zagrijati	zǎɡrijati
romantizam	romantǐzam
bučno	bût͡ʃno
žulj	ʒûːʎ
poremećaj	pôremet͡ɕaːj
pljuvati	pʎûʋati
anabolik	anabǒlik
naručje	nǎːruːt͡ʃje
duhati	dǔːxati
ceh	tsêx
pričiniti	prit͡ʃǐniti
topljiv	tǒpʎiʋ
alžir	ǎlʒiːr
zlotvor	zlôtʋor
bespravan	bêspraːʋan
kovčežina	kǒʋt͡ʃeʒina
mračan	mrǎːt͡ʃan
pola	pǒːla
rubrika	rǔbrika
šimfarija	ʃimfǎrija
taktičan	tǎktit͡ʃan
naredba	nǎːredba
zakonodavstvo	zakonodǎːʋstʋo
više	ʋîʃe
triftong	trǐftonɡ
smrdljiv	smřdʎiʋ
pričati	prǐːt͡ʃati
lajati	lâjati
ćilimar	t͡ɕilǐmaːr
napraviti	nǎpraʋiti
lukavac	lûkaʋat͡s
nepismen	něpismen
općenit	opt͡ɕěnit
isijecati	isijěːt͡sati
rajčica	rǎjt͡ʃit͡sa
kome	kǒme
metabolizam	metabolǐzam
šličuha	ʃlǐt͡ʃuxa
ormar	ǒrmaːr
izba	ǐzba
kompromisan	komprǒmisan
c	t͡s
zacakliti	zat͡sǎkliti
situacija	situǎːt͡sija
vladajući	ʋlǎːdajuːt͡ɕiː
sežanj	sêʒaɲ
dodavanje	dodǎːʋaːɲe
hapsiti	xâpsiti
austrijski	ǎustriːjski
zinuti	zînuti
puh	pûx
istovetan	istǒʋetan
buk	bûːk
podsmeh	pôdsmeːx
proleter	prolěteːr
ponos	pǒnos
ugrizati	uɡrǐːzati
udahnuti	udǎxnuti
ventilator	ʋentǐlaːtor
tronožan	trǒnoʒan
magnetizam	maɡnetǐzam
bajan	bâːjan
kongenijalan	kônɡenijaːlan
metropola	metrǒpola
rezistencija	rezistěnt͡sija
