जलसा	d͡ʒəl̪s̪äː
छूना	t͡ʃʰuːn̪äː
फ़तवा	pʰət̪wäː
हमला	ɦə̃ml̪äː
सहस्रमान	s̪ɛɦɛs̪ɾəmä̃ːn̪
खाली	kʰäːl̪iː
इलाज	ɪl̪äːd͡ʒ
संयोग	s̪ə̃joːɡ
आइज़ोल	äːɪzoːl̪
धर्मस्थलों	d̪ʱəɾməs̪t̪ʰəl̪õː
फ़ीस	pʰiːs̪
गुलज़ार	ɡʊl̪zäːɾ
संक्रामक	s̪ə̃ŋkɾäːmək
मज़लूम	məd͡ʒl̪ũːm
शुक्रगुज़ार	ʃʊkɾəɡʊzäːɾ
चूल्हा	t͡ʃuːl̪ɦäː
देखना	d̪eːkʰn̪äː
ख़ुशनसीब	kʰʊʃn̪əs̪iːb
बछड़ा	bət͡ʃʰɽäː
संबंध	s̪ə̃mbə̃n̪d̪ʱ
अव्यवस्था	əʋjəʋəs̪t̪ʰäː
ऋणायन	ɾɪɳäːjə̃n̪
कम्पन	kə̃mpə̃n̪
समायोजित	s̪əmäːjoːd͡ʒɪt̪
अलबत्ता	əl̪bət̪̚t̪äː
अर्थशास्त्री	əɾt̪ʰəʃäːs̪t̪ɾiː
सूक्ष्माणु	s̪uːkʃmäːɳuː
छितराना	t͡ʃʰɪt̪ɾäːn̪äː
कानून	käːn̪ũːn̪
वाचिक	ʋäːt͡ʃɪk
ल्हासा	l̪ɦäːs̪äː
धोना	d̪ʱoːn̪äː
फैसला	fɛːs̪l̪äː
अर्धसरकारी	əɾd̪ʱs̪əɾkäːɾiː
मधुशाला	məd̪ʱʊʃäːl̪äː
अविचल	əʋɪt͡ʃəl̪
सेनेगल	s̪eːn̪eːɡəl̪
तख़्तापलट	t̪əxt̪äːpəl̪əʈ
विश्वासघात	ʋɪʃʋäːs̪ɡʱäːt̪
भड़काऊ	bʱəɽkäːuː
तजुर्बा	t̪əd͡ʒʊɾbäː
ज़ुकाम	zʊkä̃ːm
उत्पीठिका	ʊt̪piːʈʰɪkäː
टलना	ʈəl̪n̪äː
उनका	ʊ̃n̪käː
अंत्येष्टि	ə̃n̪t̪jeːʃʈiː
लोकाचार	l̪oːkäːt͡ʃäːɾ
भूल	bʱuːl̪
आकर्षक	äːkəɾʃək
ताम्र	t̪ä̃ːmɾᵊ
वाक़ई	ʋäːkəiː
डायनोसोर	ɖäːjn̪oːs̪oːɾ
कमीना	kəmiːn̪äː
योग्यकार्ता	joːɡjəkäːɾt̪äː
अनुवांशिकी	ən̪ʊʋä̃ːn̪ʃɪkiː
सेंटीमीटर	s̪ẽːɳʈiːmiːʈəɾ
दिहाड़ी	d̪ɪɦäːɽiː
धनुर्विद्या	d̪ʱən̪ʊɾʋɪd̪jäː
प्राचल	pɾäːt͡ʃəl̪
कडपा	kəɖpäː
बिजली	bɪd͡ʒl̪iː
पटकना	pəʈəkn̪äː
पराठा	pəɾäːʈʰäː
केंद्र	kẽːn̪d̪ɾᵊ
मख़मल	məxməl̪
हंस	ɦə̃n̪s̪
फ़्रान्सीसी	pʰɾä̃ːn̪s̪iːs̪iː
बिजलीघर	bɪd͡ʒl̪iːɡʱəɾ
म्यान्मा	mjä̃ːn̪mäː
आया	äːjäː
भुगतना	bʱʊɡət̪̚n̪äː
वेबकॅम	ʋeːbkæ̃m
साक्षी	s̪äːkʃiː
अनाथालय	ən̪äːt̪ʰäːl̪əj
छोला	t͡ʃʰoːl̪äː
आग	äːɡ
तेरा	t̪eːɾäː
रस्म	ɾəs̪ə̃m
एकतरफ़ा	eːkt̪əɾfäː
मुहावरा	mʊɦäːʋɾäː
कार्ड	käːɾɖ
आकृष्ट	äːkɾɪʂʈ
स्वाभाविक	s̪ʋäːbʱäːʋɪk
वायुमंडलीय	ʋäːjʊmə̃ɳɖl̪iːjᵊ
बेज़बान	beːzbä̃ːn̪
माशूक़	mäːʃuːq
आप्रवास	äːpɾəʋäːs̪
बहलना	bɛɦɛl̪n̪äː
मैंने	mɛ̃ːn̪eː
थकान	t̪ʰəkä̃ːn̪
बल	bəl̪
हुक्मरान	ɦʊkmɾä̃ːn̪
बलगतिकी	bəl̪ɡət̪ɪkiː
आशिक़मिज़ाज	äːʃɪqmɪzäːd͡ʒ
अध्यापक	əd̪ʱjäːpək
कष्टसाध्य	kəʂʈs̪äːd̪ʱjᵊ
हिंदी	ɦɪ̃n̪d̪iː
लखन	l̪əkʰə̃n̪
भाषाविद्	bʱäːʃäːʋɪd̪
महबूबा	mɛɦbuːbäː
कोष्ठक	koːʃʈʰək
चुम्मा	t͡ʃʊ̃mmäː
शिवालय	ʃɪʋäːl̪əj
चाँद	t͡ʃä̃ːn̪d̪
घुसड़ना	ɡʱʊs̪əɽn̪äː
बहिर्वेशन	bəɦɪɾʋeːʃə̃n̪
नामकरण	n̪ä̃ːmkəɾə̃ɳ
विस्तार	ʋɪs̪t̪äːɾ
फालतू	fäːl̪t̪uː
शख़्सियत	ʃəxs̪ijət̪
गाउँ	ɡäːũː
आकार	äːkäːɾ
ब्यान	bjä̃ːn̪
पहरा	pɛɦɾäː
लुग़त	l̪ʊɡət̪
महत्वपूर्ण	mɛɦɛt̪wəpuːɾɳ
आयातक	äːjäːt̪ək
दराज़	d̪əɾäːz
टेलिविजन	ʈeːl̪ɪʋɪd͡ʒə̃n̪
वापस	ʋäːpəs̪
रचनावली	ɾət͡ʃn̪äːʋəl̪iː
उलूक	ʊl̪uːk
बलिदान	bəl̪ɪd̪ä̃ːn̪
समावेश	s̪əmäːʋeːʃ
फ़ाख़्ता	fäːxt̪äː
झोली	d͡ʒʱoːl̪iː
संगोष्ठी	s̪ə̃ŋɡoːʃʈʰiː
एकाएक	eːkäːeːk
ख़ुशनसीब	xʊʃn̪əs̪iːb
लज्जित	l̪əd̚d͡ʒɪt̪
क़िस्सा	qɪs̪s̪äː
पहला	pɛɦl̪äː
अंग्रेजी	ə̃ŋɡɾeːziː
मसूर	məs̪uːɾ
आफ़त	äːpʰət̪
अचंभा	ət͡ʃə̃mbʱäː
खंड	kʰə̃ɳɖ
पगडंडी	pəɡɖə̃ɳɖiː
दौलतमंद	d̪ɔːl̪ət̪mə̃n̪d̪
पुतली	pʊt̪l̪iː
माँग	mä̃ːŋɡ
अहं	ɛɦɛ̃
चटकारा	t͡ʃəʈkäːɾäː
बेदख़ल	beːd̪əkʰl̪ᵊ
हथ्यार	ɦət̪ʰjäːɾ
जलपान	d͡ʒəl̪pä̃ːn̪
शैंपू	ʃɛ̃ːmpuː
सुरक्षा	s̪ʊɾəkʃäː
फटफटिया	pʰəʈpʰəʈijäː
गुल्लक	ɡʊl̪l̪ək
जाहिल	d͡ʒäːɦɪl̪
गिरफ़्तार	ɡɪɾəpʰt̪äːɾ
वालिदैन	ʋäːl̪ɪd̪ɛ̃ːn̪
ज़मानत	zəmäːn̪ət̪
रंजन	ɾə̃n̪d͡ʒə̃n̪
प्रासंगिक	pɾäːs̪ə̃ŋɡɪk
आकाशी	äːkäːʃiː
सुनना	s̪ʊ̃n̪n̪äː
समोसा	s̪əmoːs̪äː
रंजित	ɾə̃n̪d͡ʒɪt̪
हुस्न	ɦʊs̪n̪
ऋषिकेश	ɾɪʃɪkeːʃ
खच्चर	kʰət̚t͡ʃəɾ
आरज़ू	äːɾd͡ʒuː
बिचौलिया	bɪt͡ʃɔːl̪ijäː
अपराधी	əpɾäːd̪ʱiː
असम	əs̪ə̃m
आजादी	äːd͡ʒäːd̪iː
सैकड़ा	s̪ɛːkɽäː
इस्म	ɪs̪m
बचना	bət͡ʃn̪äː
सलामत	s̪əl̪äːmət̪
माफ़	mäːpʰ
आ	äː
संग्राम	s̪ə̃ŋɡɾä̃ːm
कैरम	kɛːɾə̃m
असमान	əs̪əmä̃ːn̪
बंदीघर	bə̃n̪d̪iːɡʱəɾ
सुसंगत	s̪ʊs̪ə̃ŋɡət̪
सेल्फ़ी	s̪eːl̪pʰiː
असमंजस	əs̪əmə̃n̪d͡ʒəs̪
गुंडागर्दी	ɡʊ̃ɳɖäːɡəɾd̪iː
सम्मति	s̪ə̃mmət̪iː
श्रीलंका	ʃɾiːl̪ə̃ŋkäː
सब्र	s̪əbɾ
बुड्ढा	bʊɖ̚ɖʱäː
ग़ायब	ɣäːjb
चलाना	t͡ʃəl̪äːn̪äː
रिवाज़	ɾɪʋäːd͡ʒ
घराना	ɡʱəɾäːn̪äː
प्रतिक्रियावादी	pɾət̪ɪkɾijäːʋäːd̪iː
संप्रति	s̪ə̃mpɾət̪iː
हिम	ɦɪ̃m
