berendezés	bɛrɛndɛzeːʃ
látásunk	laːtaːʃuŋk
önismeret	øniʃmɛrɛt
magda	mɒɡdɒ
adóban	ɒdoːbɒn
képzéstől	keːbzeːʃtøːl
semlegesség	ʃɛmlɛɡɛʃːeːɡ
lá	laː
érsekek	eːrʃɛkɛk
vénül	veːnyl
hervad	hɛrvɒd
paklijaid	pɒklijɒjid
álnokok	aːlnokok
központosított	køspontoʃiːtotː
homsz	homs
harminckettes	hɒrmint͡skɛtːɛʃ
szár	saːr
lámpafény	laːmpɒfeːɲ
válnék	vaːlneːk
bitje	bicːɛ
bikáik	bikaːjik
semmivé	ʃɛmːiveː
érjetek	eːrjɛtɛk
elcsábul	ɛlt͡ʃaːbul
aláírta	ɒlaːjiːrtɒ
ablakpárkányaink	ɒblɒkpaːrkaːɲɒjiŋk
lizin	lizin
namíbiaiak	nɒmiːbijɒjijɒk
hibridizációk	hibridizaːt͡sijoːk
hanggal	hɒŋɡɒl
egyenrangú	ɛɟɛnrɒŋɡuː
szubjektív	subjɛktiːv
életébe	eːlɛteːbɛ
járőrözik	jaːrøːrøzik
csontkollekciók	t͡ʃontkolːɛkt͡sijoːk
fórumba	foːrumbɒ
lehunyja	lɛɦuɲːɒ
várható	vaːrɦɒtoː
zaklatott	zɒklɒtotː
folyószámla	fojoːsaːmlɒ
atyai	ɒcɒji
ehetetlen	ɛhɛtɛtlɛn
izz	izː
teszik	tɛsik
zárnátok	zaːrnaːtok
megjelenésével	mɛɡjɛlɛneːʃeːvɛl
legeslegmelegebb	lɛɡɛʃlɛɡmɛlɛɡɛbː
cipészek	t͡sipeːsɛk
mindenségét	mindɛnʃeːɡeːt
neologizmus	nɛoloɡizmuʃ
történetet	tørteːnɛtɛt
egymásban	ɛɟmaːʒbɒn
hableány	hɒblɛaːɲ
időkre	idøːkrɛ
agyoncsap	ɒɟont͡ʃɒp
kártyajátékok	kaːrcɒjaːteːkok
szórakozni	soːrɒkozni
készlet	keːslɛt
mimiattunk	mimijɒtːuŋk
inda	indɒ
blanka	blɒŋkɒ
hónapokon	hoːnɒpokon
kelljen	kɛjːɛn
nyakszirti	ɲɒksirti
bőrt	bøːrt
élesztőbb	eːlɛstøːbː
jellegét	jɛlːɛɡeːt
lyukaitok	jukɒjitok
boros	boroʃ
erkélyek	ɛrkeːjɛk
állítható	aːlːiːthɒtoː
forgatókönyvek	forɡɒtoːkøɲvɛk
várók	vaːroːk
joguk	joɡuk
tüntetés	tyntɛteːʃ
böglyük	bøɡjyk
olyanokra	ojɒnokrɒ
bombarobbanás	bombɒrobːɒnaːʃ
zacskó	zɒt͡ʃkoː
dobozos	dobozoʃ
látott	laːtotː
következtetésre	køvɛtkɛstɛteːʃrɛ
merjétek	mɛrjeːtɛk
kinyit	kiɲit
tessek	tɛʃːɛk
csetresek	t͡ʃɛtrɛʃɛk
varjatok	vɒrjɒtok
indokol	indokol
játszótéren	jaːt͡sːoːteːrɛn
tornász	tornaːs
biciklista	bit͡siɡliʃtɒ
kattan	kɒtːɒn
dzsé	d͡ʒeː
thaitól	taːjtoːl
telkeken	tɛlkɛkɛn
háziorvos	haːzijorvoʃ
éberség	eːbɛrʃeːɡ
verned	vɛrnɛd
nyenyecek	ɲɛɲɛt͡sɛk
madártávlat	mɒdaːrtaːvlɒt
diófátok	dijoːfaːtok
vinnünk	vinːyŋk
szánthat	saːnthɒt
megvalósításának	mɛɡvɒloːʃiːtaːʃaːnɒk
exporttilalom	ɛksportilɒlom
titkolózz	titkoloːzː
lap	lɒp
velőben	vɛløːbɛn
elasztikus	ɛlɒstikuʃ
borsok	borʃok
folyamatokra	fojɒmɒtokrɒ
kitépked	kiteːpkɛd
ütés	yteːʃ
ülnétek	ylneːtɛk
csirke	t͡ʃirkɛ
bodzák	bod͡zːaːk
területeket	tɛrylɛtɛkɛt
hittérítők	hitːeːriːtøːk
hagyományokká	hɒɟomaːɲokːaː
nádak	naːdɒk
iszom	isom
feltételezés	fɛlteːtɛlɛzeːʃ
krémek	kreːmɛk
részeim	reːsɛjim
költ	kølt
vérfertőzés	veːrfɛrtøːzeːʃ
érintés	eːrinteːʃ
határozatokat	hɒtaːrozɒtokɒt
hűtőszekrény	hyːtøːsɛkreːɲ
érdeklődtek	eːrdɛkløːtːɛk
essen	ɛʃːɛn
almafáik	ɒlmɒfaːjik
hőmérséklet	høːmeːrʃeːklɛt
hidrolízisek	hidroliːziʃɛk
teelébed	tɛɛleːbɛd
rühtől	ryxtøːl
gésa	ɡeːʃɒ
erejű	ɛrɛjyː
manchester	mɛnt͡ʃɛstɛr
panaszkönyvekig	pɒnɒskøɲvɛkiɡ
jellel	jɛlːɛl
ideálisak	idɛaːliʃɒk
elemet	ɛlɛmɛt
igazságosságok	iɡɒʃːaːɡoʃːaːɡok
tolvaj	tolvɒj
halljad	hɒjːɒd
sérelem	ʃeːrɛlɛm
bohóc	boɦoːt͡s
jelenlétében	jɛlɛnleːteːbɛn
hidak	hidɒk
ítéletidő	iːteːlɛtidøː
zsenijeim	ʒɛnijɛjim
életeink	eːlɛtɛjiŋk
korinthoszi	korintosi
fajtája	fɒjtaːjɒ
mohamedán	moɦɒmɛdaːn
bütüz	bytyz
agamemnón	ɒɡɒmɛmnoːn
dohányok	doɦaːɲok
hiúbb	hijuːbː
úszóhártyák	uːsoːɦaːrcaːk
terrorizmus	tɛrːorizmuʃ
tűzszünet	tyːsːynɛt
alattomos	ɒlɒtːomoʃ
teljeseknél	tɛjːɛʃɛkneːl
zárnotok	zaːrnotok
szabálytalanabb	sɒbaːjtɒlɒnɒbː
eper	ɛpɛr
menetrendek	mɛnɛtrɛndɛk
nyomnátok	ɲomnaːtok
kuglófok	kuɡloːfok
mégsem	meːkʃɛm
hatvanegyedik	hɒtvɒnɛɟːɛdik
jelentéstartalom	jɛlɛnteːʃtɒrtɒlom
arachnofóbia	ɒrɒknofoːbijɒ
körzetekhez	kørzɛtɛkhɛz
kéregetés	keːrɛɡɛteːʃ
fülkagylók	fylkɒɟloːk
fejteni	fɛjtɛni
gyorsítótár	ɟorʃiːtoːtaːr
ügyeitek	yɟɛjitɛk
lítium	liːtijum
zárol	zaːrol
azonos	ɒzonoʃ
késtünk	keːʃtyŋk
versed	vɛrʃɛd
cicáitok	t͡sit͡saːjitok
vagyok	vɒɟok
felkelek	fɛlkɛlɛk
kacsa	kɒt͡ʃɒ
lássák	laːʃːaːk
sajátokért	ʃɒjaːtokeːrt
hercegnőt	hɛrt͡sɛɡnøːt
többrészes	tøbreːsɛʃ
stresszevés	ʃtrɛsːɛveːʃ
erősebb	ɛrøːʃɛbː
hajóban	hɒjoːbɒn
alakhoz	ɒlɒkhoz
hadat	hɒdɒt
kormok	kormok
világokra	vilaːɡokrɒ
hagynod	hɒɟnod
főzzük	føːzːyk
alpáribb	ɒlpaːribː
elvár	ɛlvaːr
szárra	saːrːɒ
másokkal	maːʃokːɒl
légkör	leːkːør
ugrálóvárak	uɡraːloːvaːrɒk
uralhat	urɒlɦɒt
nyugdíjaz	ɲuɡdiːjɒz
káró	kaːroː
nemben	nɛmbɛn
egyikig	ɛɟːikiɡ
településekről	tɛlɛpyleːʃɛkrøːl
mákony	maːkoɲ
termesz	tɛrmɛs
tanítanod	tɒniːtɒnod
csákók	t͡ʃaːkoːk
legteljesebben	lɛktɛjːɛʃɛbːɛn
kijön	kijøn
kiközösít	kikøzøʃiːt
váltatok	vaːltɒtok
múmia	muːmijɒ
sugallsz	ʃuɡɒls
zsúrt	ʒuːrt
evés	ɛveːʃ
állú	aːlːuː
dolgom	dolɡom
csodálatosan	t͡ʃodaːlɒtoʃɒn
szomáli	somaːli
zsarolás	ʒɒrolaːʃ
lehetnének	lɛhɛtneːnɛk
alánk	ɒlaːŋk
oldaltól	oldɒltoːl
merem	mɛrɛm
országok	orsaːɡok
vegyél	vɛɟeːl
számítástudomány	saːmiːtaːʃtudomaːɲ
némelyik	neːmɛjik
rendszertálca	rɛntsɛrtaːlt͡sɒ
füleknél	fylɛkneːl
győzelemben	ɟøːzɛlɛmbɛn
énbennem	eːmbɛnːɛm
csuklóért	t͡ʃukloːjeːrt
használhatók	hɒsnaːlɦɒtoːk
export	ɛksport
achát	ɒɦaːt
patronázs	pɒtronaːʒ
legmagányosabb	lɛɡmɒɡaːɲoʃɒbː
halotti	hɒlotːi
megtalálta	mɛktɒlaːltɒ
dobostorta	doboʃtortɒ
lázasok	laːzɒʃok
fanyarabb	fɒɲɒrɒbː
pszichika	psihikɒ
képviselő	keːpviʃɛløː
alijázik	ɒlijaːzik
társadalom	taːrʃɒdɒlom
tagságok	tɒkʃaːɡok
miniszoknya	minisokɲɒ
fojtott	fojtotː
címén	t͡siːmeːn
allomorf	ɒlːomorf
agglegény	ɒɡlɛɡeːɲ
őmiattuk	øːmijɒtːuk
hozzászokik	hozːaːsokik
tapsviharral	tɒpʃviɦɒrːɒl
orvosokat	orvoʃokɒt
tanulmányozás	tɒnulmaːɲozaːʃ
asszisztensek	ɒsːistɛnʃɛk
ká	kaː
patisszon	pɒtisːon
pszi	psi
hitték	hitːeːk
csillagtérkép	t͡ʃilːɒkteːrkeːp
ellenző	ɛlːɛnzøː
hátrább	haːtraːbː
ajándékozások	ɒjaːndeːkozaːʃok
almafája	ɒlmɒfaːjɒ
autógumik	ɒutoːɡumik
legalaposabban	lɛɡɒlɒpoʃɒbːɒn
fedjenek	fɛɟːɛnɛk
támadást	taːmɒdaːʃt
szennyeződések	sɛɲːɛzøːdeːʃɛk
álltok	aːltok
gyakorlatig	ɟɒkorlɒtiɡ
racionális	rɒt͡sijonaːliʃ
lámpás	laːmpaːʃ
íztelen	iːstɛlɛn
képlékennyé	keːpleːkɛɲːeː
legelőnytelenebb	lɛɡɛløːɲtɛlɛnɛbː
böglyökről	bøɡjøkrøːl
babban	bɒbːɒn
rántsd	raːnd͡ʒd
kígyó	kiːɟoː
földszinten	følt͡sintɛn
dolgokig	dolɡokiɡ
valóságnak	vɒloːʃaːɡnɒk
ügyfélkör	ycfeːlkør
orrkagyló	orkɒɟloː
álmosan	aːlmoʃɒn
sziklák	siklaːk
elégedett	ɛleːɡɛdɛtː
bridzstől	brit͡ʃtøːl
puttony	putːoɲ
berendez	bɛrɛndɛz
adattal	ɒdɒtːɒl
fogamzásgátlók	foɡɒmzaːʒɡaːtloːk
variáns	vɒrijaːnʃ
huliganizmus	huliɡɒnizmuʃ
aranyér	ɒrɒɲeːr
sisakja	ʃiʃɒkjɒ
címre	t͡siːmrɛ
indiszkréció	indiskreːt͡sijoː
társasága	taːrʃɒʃaːɡɒ
témával	teːmaːvɒl
vetnetek	vɛtnɛtɛk
hátát	haːtaːt
szarvashús	sɒrvɒʃhuːʃ
xenotranszplantáció	ksɛnotrɒnsplɒntaːt͡sijoː
kürttől	kyrtøːl
ű	yː
feljebbi	fɛjːɛbːi
korcs	kort͡ʃ
indexen	indɛksɛn
legszórakoztatóbb	lɛksoːrɒkostɒtoːbː
internet	intɛrnɛt
sóvárog	ʃoːvaːroɡ
földes	føldɛʃ
megfogalmazni	mɛkfoɡɒlmɒzni
panoráma	pɒnoraːmɒ
élnem	eːlnɛm
népességrobbanás	neːpɛʃːeːɡrobːɒnaːʃ
siettek	ʃijɛtːɛk
szükségesből	sykʃeːɡɛʒbøːl
grúziában	ɡruːzijaːbɒn
eszményibb	ɛsmeːɲibː
linken	liŋkɛn
bégum	beːɡum
példánya	peːldaːɲɒ
zsugáitok	ʒuɡaːjitok
regruta	rɛɡrutɒ
kati	kɒti
béretek	beːrɛtɛk
elősegítése	ɛløːʃɛɡiːteːʃɛ
állkapocscsontok	aːlkɒpot͡ʃːontok
beken	bɛkɛn
ajkad	ɒjkɒd
legmenőbb	lɛɡmɛnøːbː
körzetekké	kørzɛtɛkːeː
lődd	løːdː
étteremnél	eːtːɛrɛmneːl
sérv	ʃeːrv
humán	humaːn
svájcisapkák	ʃvaːjt͡siʃɒpkaːk
nemesek	nɛmɛʃɛk
elpárolog	ɛlpaːroloɡ
észszerűen	eːsːɛryːɛn
előző	ɛløːzøː
kettős	kɛtːøːʃ
locsolókannák	lot͡ʃoloːkɒnːaːk
ejtőernyő	ɛjtøːɛrɲøː
földrajz	føldrɒjz
napnyugták	nɒpɲuktaːk
letteket	lɛtːɛkɛt
másikba	maːʃiɡbɒ
ölük	ølyk
hagyományoknál	hɒɟomaːɲoknaːl
vízhólyagok	viːshoːjɒɡok
tiltakozások	tiltɒkozaːʃok
díja	diːjɒ
hajlamos	hɒjlɒmoʃ
kalapjuk	kɒlɒpjuk
dolgozók	dolɡozoːk
helyettesít	hɛjɛtːɛʃiːt
kapilláris	kɒpilːaːriʃ
juhként	juxkeːnt
mindörökké	mindørøkːeː
penészes	pɛneːsɛʃ
adatokat	ɒdɒtokɒt
hodály	hodaːj
védekezés	veːdɛkɛzeːʃ
tanfolyam	tɒɱfojɒm
kamarazene	kɒmɒrɒzɛnɛ
egyikünk	ɛɟːikyŋk
mindegyik	mindɛɟːik
kutas	kutɒʃ
morálisan	moraːliʃɒn
előnyökkel	ɛløːɲøkːɛl
kombináltabb	kombinaːltɒbː
származtatott	saːrmɒstɒtotː
máktól	maːktoːl
benyomás	bɛɲomaːʃ
takácsok	tɒkaːt͡ʃok
vészterhes	veːstɛrɦɛʃ
pizza	pid͡zːɒ
dolmányaid	dolmaːɲɒjid
szót	soːt
gitár	ɡitaːr
vámosgyörk	vaːmoʒɟørk
hírlapok	hiːrlɒpok
vacsoráitok	vɒt͡ʃoraːjitok
adottként	ɒdotkeːnt
időről	idøːrøːl
teca	tɛt͡sɒ
geológia	ɡɛoloːɡijɒ
ezeknek	ɛzɛknɛk
bajuszai	bɒjusɒji
hinták	hintaːk
mikrofonláz	mikrofonlaːz
panaszkönyveknél	pɒnɒskøɲvɛkneːl
mosógépek	moʃoːɡeːpɛk
fahéjra	fɒɦeːjrɒ
sajáton	ʃɒjaːton
hidrolízis	hidroliːziʃ
súlyosság	ʃuːjoʃːaːɡ
sarokcsontok	ʃɒrokt͡ʃontok
szavahihetőségek	sɒvɒɦihɛtøːʃeːɡɛk
sötétkamrák	ʃøteːtkɒmraːk
alapjaink	ɒlɒpjɒjiŋk
reformációk	rɛformaːt͡sijoːk
dobó	doboː
mondta	montɒ
bélnél	beːlneːl
hidrosztatikus	hidrostɒtikuʃ
létezés	leːtɛzeːʃ
fával	faːvɒl
istenünk	iʃtɛnyŋk
hetedike	hɛtɛdikɛ
mindenféleképpen	mindɛɱfeːlɛkeːpːɛn
piszka	piskɒ
íreim	iːrɛjim
szállni	saːlni
malmai	mɒlmɒji
mellbőség	mɛlbøːʃeːɡ
rá	raː
rúgások	ruːɡaːʃok
többhöz	tøphøz
perdita	pɛrditɒ
disznózsír	disnoːʒiːr
fúr	fuːr
legharsányabb	lɛkhɒrʃaːɲɒbː
értünk	eːrtyŋk
közte	køstɛ
zarándoklatok	zɒraːndoklɒtok
augusztusban	ɒuɡustuʒbɒn
csekkeket	t͡ʃɛkːɛkɛt
kézápolás	keːzaːpolaːʃ
karú	kɒruː
hibás	hibaːʃ
ijed	ijɛd
fegyver	fɛɟvɛr
szenegáliak	sɛnɛɡaːlijɒk
gyűszű	ɟyːsyː
csecsenföld	t͡ʃɛt͡ʃɛɱføld
fejekként	fɛjɛkːeːnt
akarnám	ɒkɒrnaːm
csörög	t͡ʃørøɡ
többnyelvű	tøbɲɛlvyː
aduknál	ɒduknaːl
felkészülés	fɛlkeːsyleːʃ
gyantájuk	ɟɒntaːjuk
helyként	hɛjkeːnt
üstökön	yʃtøkøn
ficsúr	fit͡ʃuːr
bolívia	boliːvijɒ
miénk	mijeːŋk
érméink	eːrmeːjiŋk
szándékszik	saːndeːksik
tárgyalás	taːrɟɒlaːʃ
kétségbeesést	keːt͡ʃːeːɡbɛɛʃeːʃt
helyesebb	hɛjɛʃɛbː
lelkeket	lɛlkɛkɛt
akvarellek	ɒkvɒrɛlːɛk
legendásabb	lɛɡɛndaːʃɒbː
rozsdák	roʒdaːk
vakulások	vɒkulaːʃok
magunkként	mɒɡuŋkeːnt
csobogás	t͡ʃoboɡaːʃ
iskolák	iʃkolaːk
szükségesben	sykʃeːɡɛʒbɛn
kapunk	kɒpuŋk
megkent	mɛkːɛnt
bálvány	baːlvaːɲ
veszniük	vɛsnijyk
sertésinfluenza	ʃɛrteːʃiɱfluɛnzɒ
förmedvény	førmɛdveːɲ
hasznosítás	hɒsnoʃiːtaːʃ
alakod	ɒlɒkod
kirakatper	kirɒkɒtpɛr
háromszögállás	haːromsøɡaːlːaːʃ
eredménnyel	ɛrɛdmeːɲːɛl
százharminckilenc	hɒrmint͡skilɛnt͡s
konvertál	koɱvɛrtaːl
lomb	lomb
rhône	roːn
húslé	huːʃleː
villákig	vilːaːkiɡ
ágazik	aːɡɒzik
