ajornor	ad͡ʒornɔr
equilibrati	ekvilibrati
manjar	manʒaɾ
yuro	juro
vehilo	vɛhilo
citanta	t͡sitanta
puero	pu̯ero
cesiginti	t͡sesiɡinti
bakate	bakate
konsequo	konsekvo
vortoludo	vortoludo
koquanta	kokwanta
molekulo	molekulo
saturar	saturar
placi	plat͡si
botanizanta	botanizanta
teraso	teraso
kolibrio	kolibri̯o
predicite	predit͡site
orkestrala	orkestrala
lor	lor
alejis	aled͡ʒis
hauo	hau̯o
substanco	substant͡so
supresar	supɾesaɾ
adjektivi	add͡ʒektivi
organizite	orɡanizite
datumari	datumari
cis	t͡sis
bolius	boli̯us
oficiis	ofit͡siis
mento	mento
kromosomo	kromosomo
augmentor	au̯ɡmentɔr
triumfar	triumfar
depozas	depozas
koram	koram
citato	t͡sitato
evolucionas	evolut͡si̯onas
komandar	komandar
akompanonte	akompanonte
helpite	helpite
anjeli	anʒeli
refraktir	refraktir
tormentar	tormentar
humuro	humuro
skribanti	skribanti
odiata	odi̯ata
permisor	permisɔr
abandononte	abandononte
rezumite	rezumite
abatinto	abatinto
informez	informɛz
festininte	festininte
pupo	pupo
abatanto	abatanto
universo	univɛɾsɔ
favoroti	favoroti
spleno	spleno
desorganizar	desorɡanizar
kulturi	kulturi
seglo	seɡlo
pedfingro	pedfinɡro
aplikos	aplikɔs
indulgema	indulɡema
universitati	universitati
bolios	boli̯ɔs
urso	urso
akordo	akordo
plumostroki	plumostroki
abatonta	abatonta
aceptonti	at͡septonti
certena	t͡sertena
granda	ɡranda
lexiko	leksiko
lauditi	lau̯diti
vadis	vadis
akuzita	akuzita
numeralo	numeralo
armei	armei
adpozez	adpozɛs
esante	esante
quakero	ku̯akero
fortigote	fortiɡote
aceptiti	at͡septiti
vadanti	vadanti
votar	votar
avantajo	avantad͡ʒo
fresha	freʃa
equilibror	ekvilibrɔr
bielorusia	biɛlɔɾusia
origani	oriɡani
gluagar	ɡluaɡar
restaurato	restau̯rato
elefanti	elefanti
floro	floro
perturbez	perturbɛz
likos	likɔs
koquinto	kokwinto
koquus	kokvus
atingante	atinɡante
spanielo	spani̯elo
akuzinta	akuzinta
skreno	skreno
jupeto	d͡ʒupeto
bandajizoti	bandad͡ʒizoti
sisez	sisɛs
kantonta	kantonta
ek	ɛk
vintro	vintro
koquir	kokvir
helpez	helpɛs
frigorizilo	friɡorizilo
piono	piono
koquanti	kokwanti
pozeso	pozeso
akompananta	akompananta
tormentas	tormentas
agnoskonte	aɡnoskonte
oraklo	oraklo
kuratar	kuratar
botanizonta	botanizonta
poke	poke
fraponta	fraponta
rospo	ɾospo
gracio	ɡrat͡sio
skikuronti	skikuronti
havar	havar
atentir	atentir
gravito	ɡravito
adoptonti	adoptonti
pekunioza	pekunioza
gravitor	ɡravitɔr
sulfo	sulfo
oficiinti	ofit͡siinti
enkorpigate	enkorpiɡate
akompanas	akompanas
sorgito	sorɡito
dicati	dit͡sati
enswichar	enswit͡ʃar
infama	infama
se	sɛ
atentato	atentato
sublimate	sublimate
striki	striki
lageto	laɡeto
frontiero	fronti̯ero
fotografanto	fotoɡrafanto
gimnazio	ɡimnazio
bramo	bramo
borgezi	borɡezi
kuntara	kuntara
grucho	ɡrut͡ʃo
cilindro	t͡silindrɔ
suno	suno
deputor	deputɔr
foso	foso
demonstrez	demonstrɛs
cavespere	t͡savespere
dormetanti	dormetanti
loklo	loklo
oktano	oktano
oranjo	orand͡ʒo
ezoko	ezoko
sisus	sisus
frakasar	frakasar
subisar	subisar
explikir	eksplikir
akuzati	akuzati
jaspo	d͡ʒaspo
perturbata	perturbata
rasponti	rasponti
difuzar	difuzar
laborar	laborar
abatonte	abatonte
abatati	abatati
generala	ɡenerala
je	ʒe
akuzoto	akuzoto
fricionar	frit͡sjonar
chanjas	t͡ʃand͡ʒas
ilua	ilua
incendiate	int͡sendi̯ate
kristnasko	kristnasko
agnoskez	aɡnoskɛz
dissolvar	dissolvar
organizanti	orɡanizanti
venez	venɛz
chanjar	t͡ʃand͡ʒar
ekliptiko	ekliptiko
exasperonto	eɡzasperonto
kontributar	kontributar
brizoza	brizoza
atentanti	atentanti
trahizinto	trahizinto
chereskez	t͡ʃereskɛs
yes	jes
indikativo	indikativo
insultata	insultata
enterigeyo	enteriɡejo
judikero	ʒudikero
incendior	int͡sendi̯ɔr
soldato	soldato
amorar	amorar
iracigar	irat͡siɡar
sarko	sarko
momento	momento
apta	apta
exkuzo	ekskuzo
lingoti	linɡoti
adjektivo	adʒektivo
skikuris	skikuris
esanto	esanto
videbla	videbla
rezumanta	rezumanta
quantesi	kvantesi
filtranto	filtranto
skarsa	skarsa
qua	kwa
exekuti	eɡzekuti
equilibranta	eku̯ilibranta
skribas	skribas
vadez	vadɛs
merkuro	merkuro
abatir	abatir
recepcionas	ret͡sept͡si̯onas
forjetar	forʒetar
imaginanti	imaɡinanti
favorez	favorɛs
akompano	akompano
exekutebla	eksekutebla
kruro	kruro
puerala	pwerala
bandajizate	bandad͡ʒizate
bela	bela
ledro	ledro
demonstrar	demonstrar
decimalo	det͡simalo
sorganta	sorɡanta
admirar	admirar
sisir	sisir
adio	adiɔ
japoniano	d͡ʒaponi̯ano
bakanta	bakanta
kafeerio	kafeerio
fero	fero
charmanto	t͡ʃarmanto
olda	olda
enkorpiganti	enkorpiɡanti
bigama	biɡama
balzamo	balzamo
orgenisto	orɡenisto
forteso	forteso
akuzanto	akuzanto
prurito	prurito
adoptito	adoptito
novembro	novembro
saturota	saturota
litigiti	litiɡiti
citote	t͡sitote
dissolvas	dissolvas
sorginta	sorɡinta
centriolo	t͡sentri̯olo
amoroti	amoroti
laxigir	laksiɡir
silko	silko
saturita	saturita
studios	studi̯ɔs
filtrite	filtrite
turkia	turki̯a
cilio	t͡sili̯o
medikala	medikala
exasperota	eksasperota
frapata	frapata
konsolo	konsolo
utensilo	utensilo
atingata	atinɡata
stroko	strɔkɔ
labiobarbo	labi̯obarbo
trahizis	trahizis
litigoto	litiɡoto
origino	oriɡino
fantomo	fantomo
koldeskar	koldeskar
lugar	luɡar
probez	probɛz
decidigar	det͡sidiɡar
defensato	defensato
persequar	pɛrsɛkwar
stufiti	stufiti
deziregar	dezireɡar
diftongo	diftonɡo
citonta	t͡sitonta
raspito	raspito
atinganti	atinɡanti
dami	dami
saveskar	saveskar
nervo	nervo
refraktis	refraktis
agnoskanta	aɡnoskanta
