recipe	ret͡sˈipe
Achille	at͡ʃˈile
preparar	prˌeparˈar
predecessores	prˌedet͡sesˈores
superviventia	sˌupervivˈentja
typic	tˈipik
inducite	ˌindut͡sˈite
muros	mˈuros
Fame	fˈame
interne	intˈerne
exilio	eksˈiljo
fluvio	flˈuvjo
the	tˈe
verbal	verbˈal
visitate	vˌisitˈate
signate	siɡnˈate
revolutionari	rˌevolˌutjonˈari
essite	esˈite
SIDA	sˈida
Region	reɡjˈon
laboratores	lˌaboratˈores
Adjectivos	ˌadʒektˈivos
duceva	dut͡sˈeva
sentimentos	sˌentimˈentos
breve	brˈeve
uncias	ˈunt͡sjas
interior	ˌinterjˈor
Anque	ˈanke
secunda	sekˈunda
politica	polˈitika
humanos	humˈanos
asiatic	asjˈatik
separation	sˌeparatjˈon
habilitates	hˌabilitˈates
sia	sˈia
universitates	ˌunivˌersitˈates
moneta	monˈeta
dialogo	djˈaloɡo
sape	sˈape
Europa	e͡ʊrˈopa
lucta	lˈukta
provincia	provˈint͡sja
principato	prˌint͡sipˈato
Achilles	akˈiles
Margareta	mˌarɡarˈeta
basse	bˈase
judee	ʒudˈee
Membros	mˈembros
guerra	ɡwˈera
discographic	dˌiskoɡrˈafik
initialmente	ˌinitjalmˈente
Jam	ʒˈam
medical	mˌedikˈal
britannic	britˈannik
estima	estˈima
chefes	t͡ʃˈefes
Aires	ˈa͡ɪres
quarte	kwˈarte
Frequentemente	frˌekwentemˈente
varietate	vˌarjetˈate
zona	zˈona
supra	sˈupra
nervos	nˈervos
Casa	kˈasa
precoce	prekˈot͡se
Atlantico	atlˈantiko
explication	ˌeksplikatjˈon
regula	rˈeɡula
interviews	ˈinterviws
mineral	mˌinerˈal
periculose	pˌerikulˈose
Recerca	ret͡sˈerka
standard	stˈandard
psychologia	psˌikoloɡˈia
Francisco	frant͡sˈisko
excludite	ˌekskludˈite
sicut	sˈikut
objectivo	ˌobʒektˈivo
Nigre	nˈiɡre
cliente	kljˈente
Martin	martˈin
exploration	ˌeksploratjˈon
commentarios	kˌomentˈarjos
telescopio	tˌeleskˈopjo
statua	stˈatwa
cessa	t͡sˈesa
prediction	prˌediktjˈon
puncta	pˈunkta
monasterio	mˌonastˈerjo
ceremonia	t͡sˌeremonˈia
alora	alˈora
adjectivos	ˌadʒektˈivos
vicinitate	vˌit͡sinitˈate
Carlos	kˈarlos
motto	mˈoto
attributos	ˌatribˈutos
facilitar	fˌat͡silitˈar
reger	reɡˈer
petroleo	pˌetrolˈeo
honor	honˈor
novemente	nˌovemˈente
Priamo	prjˈamo
particula	partˈikula
arrivava	ˌarivˈava
exposition	ˌekspositjˈon
carta	kˈarta
secunde	sekˈunde
temperate	tˌemperˈate
milliardos	miljˈardos
capites	kˈapites
exprime	eksprˈime
blues	blwˈes
foco	fˈoko
functiones	funktjˈones
musulmanes	mˌusulmˈanes
insenia	insˈenja
ligamines	lˈiɡamˌines
mytho	mˈito
Comocunque	kˌomokˈuŋkwe
arrivate	ˌarivˈate
litterari	lˌiterˈari
transformate	trˌansformˈate
dura	dˈura
decembre	det͡sˈembre
trova	trˈova
applicationes	ˌaplikatjˈones
UMI	ˈumi
saper	sapˈer
sole	sˈole
contextos	kontˈekstos
tubos	tˈubos
Herodoto	hˌerodˈoto
univa	unˈiva
nam	nˈam
superava	sˌuperˈava
ample	ˈample
grados	ɡrˈados
uno	ˈuno
viagiava	vjaɡjˈava
Alcun	ˈalkun
