heilum	heiːlʏm
teddi	tʰɛtɪ
sjötugur	sjœːtʏɣʏr
misþyrma	mɪːsθɪrma
tækifærin	tʰaiːcɪfaiːrɪn
egilsson	eiːjɪlsɔːn
loftur	lɔftʏr
diskótek	tɪskoutɛːk
skriðuklaustri	skrɪːðʏklœistrɪ
keðjurnar	cʰɛðjʏtnar
nákvæmar	nauːkvaimar
töldust	tʰœltʏst
ásvallagötu	auːsvatl̥akœːtʏ
þakskegg	θaːkscɛk
bandaríkjamaðurinn	pantaricamaːðʏrɪn
tómu	tʰouːmʏ
hliðstæður	l̥ɪðstaiðʏr
ágætum	auːcaitʏm
tindrandi	tʰɪntrantɪ
holdleg	hɔltlɛɣ
nutum	nʏːtʏm
skónum	skouːnʏm
engan	eiŋkan
vísbendingum	viːspɛntiŋkʏm
árbak	aurpaːk
matvörur	maːtvœrʏr
vangann	vauŋkan
vörin	vœːrɪn
huganum	hʏːɣanʏm
hosur	hɔːsʏr
fækkað	faihkað
fjalllendi	fjatlɛntɪ
þróunina	θrouːʏnɪna
innanhússarkitekt	ɪnanhusar̥cɪtʰɛxt
tilgreint	tʰɪlkrein̥t
kastað	kʰastað
frávik	frauːvɪk
hjörðinni	çœrðɪnɪ
flugur	flʏːɣʏr
barnaheilla	patnaheitla
blóðinu	plouːðɪnʏ
mennirnir	mɛnɪtnɪr
krían	kʰriːan
veigamikil	veiːɣamɪːcɪl
seilist	seiːlɪst
sjálfboðaliðum	sjaulvpɔðalɪːðʏm
beinvernd	pɛjnvɛnt
hláturinn	l̥auːtʏrɪn
slóð	stlouːð
kláraði	kʰlauːraðɪ
mesti	mɛstɪ
gerð	cɛrð
væntanlegt	vain̥tanlɛxt
þurrflugur	θʏrflʏɣʏr
eiðistorgi	eiːðɪstɔrcɪ
ísraelsku	iːsraɛlskʏ
fjölskylduboðum	fjœlscɪltʏpɔːðʏm
snerpu	stnɛr̥pʏ
blaðanna	plaːðana
þjófarnir	θjouːvatnɪr
útheimtir	uːtheim̥tɪr
meistaradeildarinnar	mɛjstaratɛjltarɪnar
nýliðarnir	niːlɪːðatnɪr
leirhnjúkur	lɛjr̥n̥jukʏr
víkverja	viːkvɛrja
varðveitti	varðveihtɪ
yfirstíga	ɪːvɪrstiːɣa
afgreiði	avkreiðɪ
pakkhúsið	pʰahkhusɪð
þorsteins	θɔ0rsteins
fjárhúsi	fjauːrhusɪ
baðar	paːðar
meðferðin	mɛðfɛrðɪn
stjarna	stjartna
leigubíllinn	leiːɣʏpitlɪn
biðin	pɪːðɪn
uppfyllt	ʏhpfɪl̥t
styðji	stɪðjɪ
endurmenntunarstofnunar	ɛntʏrmɛn̥tʏnarstɔpnʏnar
árangursríkum	aːurauŋkʏr̥sriːkʏm
tap	tʰaːp
meti	mɛːtɪ
settist	sɛhtɪst
faghópum	faːɣhoupʏm
vaxtarsprota	vakstar̥sprɔːta
tvöfaldaðist	tʰvœːfaltaðɪst
heimir	heiːmɪr
happdrætta	hahptrajhta
