артуына	ˈɑɾtwənɑ
Ұжым	ˈʊʒəm
Реал	ɾeˈɑɫ
жіберіліп	ʒɪbeɾɪlˈɪp
жылдармен	ʒəɫdɑɾmen
навигациялық	nˈɑvəjɡɑtsəjjaɫəq
кірудің	kɪɾwdˈɪŋ
Тастанды	tɑstˈɑndə
руларының	ɾwɫˈɑɾənəŋ
материалына	mɑtˈeɾəjɑɫənɑ
Сочи	sˈot͡ʃəj
әлемімен	ælemɪmˈen
вор	vˈoɾ
үзінділер	uzɪndɪlˈeɾ
қырағылықты	qəɾɑʀəɫəqtə
Тұрғанқұлов	tʊɾʀɑnqʊɫˈov
Орыстілді	ˈoɾəstɪɫdɪ
тырыстық	təɾəstəq
тартпаймын	tɑɾtpˈɑjmən
журналын	ʒwɾnˈɑɫən
Ізтұрған	ɪztʊɾʀˈɑn
нәрсе	næɾsˈe
Жанын	ʒˈɑnən
ұяда	ʊjadˈɑ
жүз	ʒˈuz
пайдаланатын	pɑjdɑɫɑnˈɑtən
іздеудегі	ɪzdewdeɡˈɪ
хабарлайды	xɑbɑɾɫˈɑjdə
экологиялық	ekoɫˈoɡəjjaɫəq
электорат	elektoɾˈɑt
реформаны	ɾefoɾmˈɑnə
қызметтерден	qəzmetteɾden
етсең	etsˈeŋ
қамтыды	qˈɑmtədə
зиратында	zəjɾɑtəndɑ
Ескерткіш	eskeɾtkˈɪʃ
қасірет	qɑsɪɾˈet
әншілерді	ænʃɪleɾdˈɪ
көзімізбен	kɵzɪmɪzbˈen
базардағы	bɑzɑɾdˈɑʀə
компанияларын	kompˈɑnəjjaɫɑɾən
Астаховтың	ɑstɑxˈovtəŋ
Каталонияның	kɑtɑɫˈonəjjanəŋ
Мырзабаева	məɾzɑbɑevɑ
сапта	sɑptˈɑ
парақорлық	pɑɾɑqˈoɾɫəq
тақырыптан	tˈɑqəɾəptɑn
сандарды	sɑndˈɑɾdə
жарықшақ	ʒˈɑɾəqʃɑq
байқадыңыз	bɑjqˈɑdəŋəz
сыйлыққа	səjɫəqqɑ
араласуы	ɑɾɑɫˈɑswə
ұшақтағы	ʊʃɑqtˈɑʀə
кикбоксингтен	kəjkboksəjnɡten
Тойда	tojdˈɑ
Блейер	blejˈeɾ
қамшысын	qˈɑmʃəsən
мойындау	mˈojəndɑw
шығармай	ʃəʀɑɾmɑj
өнімдер	ɵnɪmdˈeɾ
қабылдасын	qˈɑbəɫdɑsən
шақтысы	ʃˈɑqtəsə
Әрқайсысының	æɾqˈɑjsəsənəŋ
тәрбиеленушісі	tˈæɾbəjelenwʃɪsɪ
жайлаған	ʒɑjɫɑʀˈɑn
Нострадамус	nostɾɑdˈɑmws
Чонтей	t͡ʃontˈej
Апаттың	ɑpˈɑttəŋ
батырлары	bˈɑtəɾɫɑɾə
өлкесіне	ɵɫkesɪnˈe
сыңар	səŋɑɾ
Отандық	otˈɑndəq
Ахметовпен	ɑxmetovpˈen
тартылады	tˈɑɾtəɫɑdə
ойлағаны	ojɫɑʀˈɑnə
Мүслім	muslˈɪm
кандидаты	kˈɑndəjdɑtə
Рымбаева	ɾəmbɑevɑ
бекеттерінің	beketteɾɪnˈɪŋ
енгізуіңізді	enɡɪzwɪŋɪzdˈɪ
қарауынсыз	qɑɾˈɑwənsəz
қынжылып	qənʒəɫəp
балықшы	bˈɑɫəqʃə
Ешкім	eʃkˈɪm
пайғамбарға	pɑjʀɑmbɑɾʀˈɑ
Яап	jaˈɑp
тастаса	tɑstɑsˈɑ
Адамдарды	ɑdɑmdˈɑɾdə
мазмұны	mɑzmˈʊnə
Кандидаттардың	kˈɑndəjdɑttɑɾdəŋ
компаниясындағы	kompˈɑnəjjasəndɑʀə
скрипкашы	səkɾəjpkɑʃə
пікірімізді	pɪkɪɾɪmɪzdˈɪ
стадион	stˈɑdəjon
тұқымы	tˈʊqəmə
жауынгерлерімен	ʒˈɑwənɡeɾleɾɪmen
қоғамдары	qoʀɑmdˈɑɾə
пайдаланады	pɑjdɑɫɑnˈɑdə
тергеушінің	teɾɡewʃɪnˈɪŋ
Штаттарында	ʃtɑttˈɑɾəndɑ
небәрі	nebæɾˈɪ
арнап	ɑɾnˈɑp
сыныптардағы	sənəptɑɾdɑʀə
көлі	kɵlˈɪ
кесуге	keswɡˈe
әшкерелей	æʃkeɾelˈej
Әбіқаевтың	æbɪqɑˈevtəŋ
қауымынан	qˈɑwəmənɑn
салаларда	sɑɫɑɫɑɾdˈɑ
Кублинский	kwbɫəjnskəjj
украинша	wkɾˈɑəjnʃɑ
ұстауға	ʊstɑwʀˈɑ
өлтірмейтін	ɵɫtɪɾmejtˈɪn
біріндегі	bɪɾɪndeɡˈɪ
сендіреді	sendɪɾedˈɪ
өкімімен	ɵkɪmɪmˈen
аруақты	ɑɾwˈɑqtə
Ғұмыр	ʀˈʊməɾ
жұртшылыққа	ʒˈʊɾtʃəɫəqqɑ
бәсекесіне	bæsekesɪnˈe
мінезді	mɪnezdˈɪ
жуады	ʒwˈɑdə
құрбандарының	qʊɾbɑndˈɑɾənəŋ
Ермегияев	eɾmˈeɡəjjaev
жазып	ʒˈɑzəp
жүрісті	ʒuɾɪstˈɪ
Ғалия	ʀˈɑɫəjja
Үйінде	ujɪndˈe
гранттарды	ɡɾɑnttˈɑɾdə
құрылымдардың	qˈʊɾəɫəmdɑɾdəŋ
нәтижесімен	nˈætəjʒesɪmen
Уолкер	woɫkˈeɾ
қорқатын	qoɾqˈɑtən
көрсеткішпен	kɵɾsetkɪʃpˈen
Козловска	kozɫovskˈɑ
каналын	kɑnˈɑɫən
тілге	tɪɫɡˈe
Большевиктер	boɫʔʃˈevəjkteɾ
көрсеткендер	kɵɾsetkendˈeɾ
бөлімшелері	bɵlɪmʃeleɾˈɪ
мақсаттар	mɑqsɑttˈɑɾ
арақатынасы	ɑɾɑqˈɑtənɑsə
Темірболат	temɪɾboɫˈɑt
судьясы	swdʔjˈasə
әкімдеріне	ækɪmdeɾɪnˈe
жұлдыздардың	ʒˈʊɫdəzdɑɾdəŋ
компанияларына	kompˈɑnəjjaɫɑɾənɑ
қосақ	qosˈɑq
Аппарат	ɑppɑɾˈɑt
Расын	ɾˈɑsən
жазушы	ʒˈɑzwʃə
юаны	juˈɑnə
ғой	ʀˈoj
діннен	dɪnnˈen
