높으락낮으락하다	no̞pʰɯɾa̠ŋna̠d͡ʑɯɾa̠kʰa̠da̠
까르륵거리다	k͈a̠ɾɯɾɯk̚k͈ʌ̹ɾida̠
구성주의	kusʰʌ̹ŋd͡ʑuɰi
뮤지컬	mjud͡ʑikʰʌ̹ɭ
방광염	pa̠ŋɡwa̠ŋjʌ̹m
반사파	pa̠nsʰa̠pʰa̠
법옹사	pʌ̹bo̞ŋsʰa̠
잔루	t͡ɕa̠ɭɭu
무안타	mua̠ntʰa̠
큰불	kxɯnbuɭ
틈	tʰɯm
무데뽀	mude̞p͈o̞
안짝	a̠nt͡ɕ͈a̠k̚
얼맞다	ʌ̹ɭma̠t̚t͈a̠
과잉투자	kwa̠iŋtʰud͡ʑa̠
공군	ko̞ŋɡun
돌보다	to̞ɭbo̞da̠
허언	hʌ̹ʌ̹n
승격하다	sʰɯŋɡjʌ̹kʰa̠da̠
배당소득	pɛ̝da̠ŋsʰo̞dɯk̚
덜컹이다	tʌ̹ɭkʰʌ̹ŋida̠
수료자	sʰuɾjod͡ʑa̠
오동포동하다	o̞do̞ŋpʰo̞do̞ŋɦa̠da̠
지주계급	t͡ɕid͡ʑuɡje̞ɡɯp̚,t͡ɕid͡ʑuɡe̞ɡɯp̚
로고스	ɾo̞ɡo̞sʰɯ
파병	pʰa̠bjʌ̹ŋ
지체하다	t͡ɕit͡ɕʰe̞ɦa̠da̠
스러지다	sʰɯɾʌ̹d͡ʑida̠
콱	kʰwa̠k̚
미루적거리다	miɾud͡ʑʌ̹k̚k͈ʌ̹ɾida̠
선수촌	sʰʌ̹nsʰut͡ɕʰo̞n
반칙하다	pa̠nt͡ɕʰikʰa̠da̠
난리	na̠ɭʎi
원초적	wʌ̹nt͡ɕʰo̞d͡ʑʌ̹k̚
대비책	tɛ̝bit͡ɕʰɛ̝k̚
약소	ja̠ks͈o̞
순애보	sʰunɛ̝bo̞
광합성	kwa̠ŋɦa̠ps͈ʌ̹ŋ
멸공	mjʌ̹ɭɡo̞ŋ
끊기다	k͈ɯnkçida̠
버스럭거리다	pʌ̹sʰɯɾʌ̹k̚k͈ʌ̹ɾida̠
저탄장	t͡ɕʌ̹tʰa̠nd͡ʑa̠ŋ
천수관음	t͡ɕʰʌ̹nsʰuɡwa̠nɯm
가새지르다	ka̠sʰɛ̝d͡ʑiɾɯda̠
복분자	po̞k̚p͈und͡ʑa̠
선발하다	sʰʌ̹nba̠ɾɦa̠da̠
명상록	mjʌ̹ŋsʰa̠ŋno̞k̚
가뜩가뜩히	ka̠t͈ɯk̚k͈a̠t͈ɯkçi
반원형	pa̠nwʌ̹nʝjʌ̹ŋ
포만감	pʰo̞ma̠nɡa̠m
오차율	o̞t͡ɕʰa̠juɭ
노무	no̞mu
잠재우다	t͡ɕa̠md͡ʑɛ̝uda̠
잡식	t͡ɕa̠pɕ͈ik̚
전공탑	t͡ɕʌ̹nɡo̞ŋtʰa̠p̚
향기롭다	çja̠ŋɡiɾo̞p̚t͈a̠
공통점	ˈko̞ːŋtʰo̞ŋt͡ɕ͈ʌ̹m
역단층	jʌ̹k̚t͈a̠nt͡ɕʰɯŋ
분립되다	puɭʎip̚t͈ø̞da̠,puɭʎip̚t͈we̞da̠
극악	kɯɡa̠k̚
순조롭다	ˈsʰuːnd͡ʑo̞ɾo̞p̚t͈a̠
앗다	a̠t̚t͈a̠
감푸르잡잡하다	ka̠mpʰuɾɯd͡ʑa̠p̚t͡ɕ͈a̠pʰa̠da̠
자연 현상	t͡ɕa̠jʌ̹nçjʌ̹nsʰa̠ŋ
바이우	pa̠iu
잡직	t͡ɕa̠p̚t͡ɕ͈ik̚
화르륵화르륵	ɸwa̠ɾɯɾɯkʰwa̠ɾɯɾɯk̚
가감지인	ˈka̠ːɡa̠md͡ʑiin
민설	minsʰʌ̹ɭ
화락	ɸwa̠ɾa̠k̚
신탁	ɕʰintʰa̠k̚
너불너불	nʌ̹buɭɭʌ̹buɭ
힙합	çipʰa̠p̚
하락	ha̠ɾa̠k̚
씨글거리다	ɕ͈iɡɯɭɡʌ̹ɾida̠
천자	t͡ɕʰʌ̹nd͡ʑa̠
다산	ta̠sʰa̠n
지하가스화	t͡ɕiɦa̠ɡa̠sʰɯβwa̠
이혼가족	iβo̞nɡa̠d͡ʑo̞k̚
덩더꿍덩더꿍하다	tʌ̹ŋdʌ̹k͈uŋdʌ̹ŋdʌ̹k͈uŋɦa̠da̠
뜸뜨다	t͈ɯmt͈ɯda̠
짤카당짤카당하다	t͡ɕ͈a̠ɭkʰa̠da̠ŋt͡ɕ͈a̠ɭkʰa̠da̠ŋɦa̠da̠
모내기	mo̞nɛ̝ɡi
삼혁오인	sʰa̠mʝjʌ̹ɡo̞in
숙맥	sʰuŋmɛ̝k̚
커튼	kʰʌ̹tʰɯn
전기력	t͡ɕʌ̹nɡiɾjʌ̹k̚
오무락대다	o̞muɾa̠k̚t͈ɛ̝da̠
개감스럽다	kɛ̝ɡa̠msʰɯɾʌ̹p̚t͈a̠
교대제	kjodɛ̝d͡ʑe̞
신세	ɕʰinsʰe̞
흘레	xɯɭɭe̞
세르게이	sʰe̞ɾɯɡe̞i
영특하다	jʌ̹ŋtʰɯkʰa̠da̠
억조	ʌ̹k̚t͡ɕ͈o̞
깔때기 구름	k͈a̠ɭt͈ɛ̝ɡikuɾɯm
혁명가	çjʌ̹ŋmjʌ̹ŋɡa̠
대기안정도	tɛ̝ɡia̠nd͡ʑʌ̹ŋdo̞
반명함판	pa̠nmjʌ̹ŋɦa̠mpʰa̠n
기후시스템	kiβuɕʰisʰɯtʰe̞m
현관	çjʌ̹nɡwa̠n
수도자	sʰudo̞d͡ʑa̠
삼계제천	sʰa̠mɡje̞d͡ʑe̞t͡ɕʰʌ̹n,sʰa̠mɡe̞d͡ʑe̞t͡ɕʰʌ̹n
모방	mo̞ba̠ŋ
여성공포증	jʌ̹sʰʌ̹ŋɡo̞ŋpʰo̞d͡ʑɯŋ
무직업	mud͡ʑiɡʌ̹p̚
저릿저릿	t͡ɕʌ̹ɾit̚t͡ɕ͈ʌ̹ɾit̚
조모	t͡ɕo̞mo̞
신해	ɕʰinɦɛ̝
쌍점	s͈a̠ŋd͡ʑʌ̹m
짤랑대다	t͡ɕ͈a̠ɭɭa̠ŋdɛ̝da̠
면류관	mjʌ̹ɭʎjuɡwa̠n
대강당	tɛ̝ɡa̠ŋda̠ŋ
검사	kʌ̹msʰa̠
초현대적	t͡ɕʰo̞ʝjʌ̹ndɛ̝d͡ʑʌ̹k̚
라침반	ɾa̠t͡ɕʰimba̠n
유술	jusʰuɭ
아이콘	a̠ikʰo̞n
각광	ka̠k̚k͈wa̠ŋ
반주그레하다	pa̠nd͡ʑuɡɯɾe̞ɦa̠da̠
끼들대다	k͈idɯɭdɛ̝da̠
겅정하다	kʌ̹ŋd͡ʑʌ̹ŋɦa̠da̠
즉살	t͡ɕɯks͈a̠ɭ
스르르	sʰɯɾɯɾɯ
터덜터덜	tʰʌ̹dʌ̹ɭtʰʌ̹dʌ̹ɭ
빙정안개	piŋd͡ʑʌ̹ŋa̠nɡɛ̝
서명하다	sʰʌ̹mjʌ̹ŋɦa̠da̠
찰싹거리다	t͡ɕʰa̠ɭs͈a̠k̚k͈ʌ̹ɾida̠
고불딱	ko̞buɭt͈a̠k̚
포식하다	pʰo̞ɕʰikʰa̠da̠
채눈종이	t͡ɕʰɛ̝nund͡ʑo̞ŋi
곡해	ko̞kʰɛ̝
꽹창대다	k͈wɛ̝ŋt͡ɕʰa̠ŋdɛ̝da̠
까뜰막거리다	k͈a̠t͈ɯɭma̠k̚k͈ʌ̹ɾida̠
선언적	sʰʌ̹nʌ̹nd͡ʑʌ̹k̚
어버이날	ʌ̹bʌ̹ina̠ɭ
이따	it͈a̠
별항	pjʌ̹ɾɦa̠ŋ
사분음표	sʰa̠bunɯmpʰjo
빠삭	p͈a̠sʰa̠k̚
기웃거리다	kiut̚k͈ʌ̹ɾida̠
두음 법칙	tuɯmpʌ̹p̚t͡ɕʰik̚
조잡들다	t͡ɕo̞d͡ʑa̠p̚t͈ɯɭda̠
건망증	kʌ̹nma̠ŋd͡ʑɯŋ
꾸무럭꾸무럭	k͈umuɾʌ̹k̚k͈umuɾʌ̹k̚
후고구려국	ˈɸʷuːɡo̞ɡuɾjʌ̹ɡuk̚
걱석거리다	kʌ̹ks͈ʌ̹k̚k͈ʌ̹ɾida̠
인사관리	insʰa̠ɡwa̠ɭʎi
가스건조제	ka̠sʰɯɡʌ̹nd͡ʑo̞d͡ʑe̞
산악국	sʰa̠na̠k̚k͈uk̚
선도적	sʰʌ̹ndo̞d͡ʑʌ̹k̚
극기후	kɯk̚k͈iβu
당싯거리다	ta̠ŋɕʰit̚k͈ʌ̹ɾida̠
조롱하다	t͡ɕo̞ɾo̞ŋɦa̠da̠
이쪽저쪽	it͡ɕ͈o̞k̚t͡ɕ͈ʌ̹t͡ɕ͈o̞k̚
짐승	t͡ɕimsʰɯŋ
풀쩍대다	pʰuɭt͡ɕ͈ʌ̹k̚t͈ɛ̝da̠
승리	sʰɯŋni
사라수	sʰa̠ɾa̠sʰu
성탄절	ˈsʰɘːŋtʰa̠nd͡ʑʌ̹ɭ
펭귄	pʰe̞ŋɡɥin,pʰe̞ŋɡyn
역저	jʌ̹k̚t͡ɕ͈ʌ̹
정	t͡ɕʌ̹ŋ
왁작왁작	wa̠k̚t͡ɕ͈a̠ɡwa̠k̚t͡ɕ͈a̠k̚
까르르거리다	k͈a̠ɾɯɾɯɡʌ̹ɾida̠
야트막	ja̠tʰɯma̠k̚
격정	kjʌ̹k̚t͡ɕ͈ʌ̹ŋ
죄다	t͡ɕø̞da̠,t͡ɕwe̞da̠
신유	ɕʰiɲju
전폭기	t͡ɕʌ̹npʰo̞k̚k͈i
스르륵하다	sʰɯɾɯɾɯkʰa̠da̠
곧다	ko̞t̚t͈a̠
수난사	sʰuna̠nsʰa̠
거머우리	kʌ̹mʌ̹uɾi
삼창	sʰa̠mt͡ɕʰa̠ŋ
거나	kʌ̹na̠
안개	a̠nɡɛ̝
꾸붓하다	k͈ubutʰa̠da̠
너분적너분적하다	nʌ̹bund͡ʑʌ̹ŋnʌ̹bund͡ʑʌ̹kʰa̠da̠
구민	kumin
푸들쩍푸들쩍	pʰudɯɭt͡ɕ͈ʌ̹k̚pʰudɯɭt͡ɕ͈ʌ̹k̚
콘도	kʰo̞ndo̞
센터	sʰe̞ntʰʌ̹
쌀강	s͈a̠ɭɡa̠ŋ
곤마	ko̞nma̠
탐	tʰa̠m
매상고	mɛ̝sʰa̠ŋɡo̞
편당	pʰjʌ̹nda̠ŋ
드럼	tɯɾʌ̹m
기온편차	kio̞npʰjʌ̹nt͡ɕʰa̠
파월	pʰa̠wʌ̹ɭ
망설	ma̠ŋsʰʌ̹ɭ
송하인	sʰo̞ŋɦa̠in
짤쏙거리다	t͡ɕ͈a̠ɭs͈o̞k̚k͈ʌ̹ɾida̠
자유형	t͡ɕa̠juʝjʌ̹ŋ
까들랑까들랑	k͈a̠dɯɭɭa̠ŋk͈a̠dɯɭɭa̠ŋ
더블린	tʌ̹bɯɭʎin
것	kʌ̹t̚
하중	ha̠d͡ʑuŋ
섭생	sʰʌ̹ps͈ɛ̝ŋ
사르다	sʰa̠ɾɯda̠
적개심	t͡ɕʌ̹k̚k͈ɛ̝ɕʰim
뽀얘지다	p͈o̞jɛ̝d͡ʑida̠
몽기작대다	mo̞ŋɡid͡ʑa̠k̚t͈ɛ̝da̠
지명투표	t͡ɕimjʌ̹ŋtʰupʰjo
앍둑앍둑하다	a̠k̚t͈uɡa̠k̚t͈ukʰa̠da̠
고분고분히	ko̞bunɡo̞bunʝi
링거	ɾiŋɡʌ̹
지점	t͡ɕid͡ʑʌ̹m
