بچووک	.bi.çûk
باوەڕ	.ba.weř
سەرکەوتووەکانی	.ser.kew.tu.we.ka.nî
خوێندوویانە	.xwên.dû.ya.ne
کۆبوونەوەگەلێک	.ko.bû.ne.we.ge.lêk
بەخێرایی	.be.xê.ra.yî
هاشمی	.ha.şi.mî
لەکۆتایی	.le.ko.ta.yî
فکری	.fik.rî
پێشووی	.pê.şûy
چاپخانەی	.çap.xa.ney
دیاربەکردا	.dyar.be.kir.da
کەمبوونەوەی	.kem.bû.ne.wey
هێشتا	.hêş.ta
ئەرک	.ʔerk
کچان	.ki.çan
وشک	.wişk
ئیلهام	.ʔîl.ham
رەچاونەگرتنی	.re.çaw.ne.gir.ti.nî
بهێنرێت	.bi.hên.rêt
خاوەنەکانیان	.xa.we.ne.kan.yan
شان	.şan
بنووسین	.bi.nû.sîn
بارودۆخێکدا	.ba.ru.do.xêk.da
ناسێندرابوون	.na.sên.di.ra.bûn
پێداویستیگەلە	.pê.da.wîs.tî.ge.le
هەڵبژارد	.heł.bi.jard
ببات	.bi.bat
ناردنی	.nar.di.nî
هاوسەرەکەی	.haw.se.re.key
سەرکەوتنی	.ser.kew.ti.nî
یەکێتی	.ye.kê.tî
هیچت	.hî.çit
بیروبۆچوونی	.bî.ru.bo.çû.nî
گورجییەکان	.gur.cî.ye.kan
پەسەندکردنی	.pe.send.kir.di.nî,.pe.send.kird.nî
لەوێوە	.le.wê.we
پشتیوانی	.piş.tî.wa.nî
بەردەست	.ber.dest
چاوی	.ça.wî
پۆستە	.pos.te
خوێنەرە	.xwê.ne.re
کۆمەڵایەتییەکان	.ko.me.ła.ye.tî.ye.kan
خۆتێوەردانی	.xo.tê.wer.da.nî
رەچاو	.re.çaw
پرسیارکردن	.pirs.yar.kir.din
بووبێت	.bû.bêt
رۆژاواش	.ro.ja.waş
مۆلیەر	.mol.yer
دادئەستێنیی	.dad.ʔes.tê.nîy
کۆمەڵکوژی	.ko.meł.ku.jî
بگاتە	.bi.ga.te
قازانجەکە	.qa.zan.ce.ke
هەرگیز	.her.gîz
کتێبانەن	.ki.tê.ba.nen
گۆڕینی	.go.řî.nî
توانیان	.twan.yan
منداڵەکانیان	.min.da.łe.kan.yan
هەڵگرت	.heł.girt
پێداچوونەوەکانی	.pê.da.çû.ne.we.ka.nî
هەڵگوێزانی	.heł.gwê.za.nî
خولەکە	.xu.le.ke
بردبوو	.bir.di.bû
کۆچی	.ko.çî
کورتە	.kur.te
وەردەگیرا	.wer.de.gî.ra
مۆبایل	.mo.bayl
بران	.bi.ran
بێزار	.bê.zar
داشکانێکی	.da.şi.ka.nê.kî
شیان	.şyan
فەرهەنگی	.fer.hen.gî
بەوەدا	.be.we.da
دان	.dan
دەمهەوێ	.dem.he.wê
چەشنێکی	.çeş.nê.kî
بابەتێکی	.ba.be.tê.kî
دەسەڵاتێکی	.de.se.ła.tê.kî
ماڵپەڕیان	.mał.peř.yan
بیروبۆچوونەکانی	.bî.ru.bo.çû.ne.ka.nî
ئیتر	.ʔî.tir
دەیگوت	.dey.gut
چ	.çi
بازرگانانە	.ba.zir.ga.na.ne
گوتەی	.gu.tey
تشرینی	.tiş.rî.nî
رێیپێدەدرێ	.rêy.pê.de.di.rê
پەیامنێر	.pe.yam.nêr
ئاقارەدا	.ʔa.qa.re.da
پێوە	.pê.we
چەپ	.çep
دەربڕینی	.der.bi.řî.nî
جوانتان	.cwan.tan
نامۆ	.na.mo
کەمی	.ke.mî
بەڕێوەدەبران	.be.řê.we.de.bi.ran
بەدواوە	.be.dwa.we
سمایل	.si.mayl
مەیلی	.mey.lî
ناڕاست	.na.řast
دابێت	.da.bêt
وەردەگرێ	.wer.de.gi.rê
پشتگریان	.pişt.gir.yan
مێردین	.mêr.dîn
دەڤەرە	.de.ve.re
لەهەرێمی	.le.he.rê.mî
نوێنەران	.nwê.ne.ran
دووەم	.du.wem
کڕیوە	.ki.řî.we
گرنگتر	.gi.ring.tir
یاسایی کردنی	.ya.sa.yî.kir.di.nî
هەندێکیان	.hen.dêk.yan
یاریزانە	.ya.rî.za.ne
پێکهاتەی	.pêk.ha.tey
ئێن	.ʔên
نووسرابوون	.nûs.ra.bûn
بەرپرسیارێتی	.ber.pirs.ya.rê.tî
مایەوە	.ma.ye.we
پیاوێکی	.pya.wê.kî
دەشتوانێ	.deş.twa.nê
کلۆبی	.ki.lo.bî
لەگەڵە	.le.ge.łe
دەیانگوت	.de.yan.gut
پارێزگای	.pa.rêz.gay
دواتر	.dwa.tir
جێگە	.cê.ge
تونس	.tu.nis
تەمەنیان	.te.men.yan
سەرمایەی	.ser.ma.yey
سیستەمە	.sîs.te.me
مرۆڤێک	.mi.ro.vêk
رۆژێک	.ro.jêk
چوونە	.çû.ne
کارە	.ka.re
ئەلعەرەب	.ʔel.ƹe.reb
رێکبخەن	.rêk.bi.xen
لەو	.lew
ڕەهەندی	.ře.hen.dî
مەبەستەش	.me.bes.teş
رستەکانی	.ris.te.ka.nî
ساڵانەی	.sa.ła.ney
زازاییش	.za.za.yîş
موحسین	.muḧ.sîn
پشتگری	.pişt.gi.rî
ئەمڕۆی	.ʔem.řoy
نیگەران	.nî.ge.ran
نووسەرانەدا	.nû.se.ra.ne.da
پەراوێز	.pe.ra.wêz
کۆمەڵناس	.ko.meł.nas
ڕاستییەکان	.řas.tî.ye.kan
لێکرا	.lê.ki.ra
نێوبراوەکاندا	.nêw.bi.ra.we.kan.da
عەتا	.ƹe.ta
خودی	.xu.dî
کتێبفرۆشییەکانیان	.ki.têb.fi.ro.şî.ye.kan.yan
بێبەش	.bê.beş
جیاوازی	.cya.wa.zî
تاقی	.ta.qî
زانیارە	.zan.ya.re
بەڕێوەبەران	.be.řê.we.be.ran
دەخەنە	.de.xe.ne
ئەنیستیتووی	.ʔe.nîs.tî.tûy
ئەوسا	.ʔew.sa
ئینتەرنەتیش	.ʔîn.ter.ne.tîş
ڕەها	.ře.ha
ببینێت	.bi.bî.nêt
درێژایی	.di.rê.ja.yî
وشیار	.wiş.yar
هوونەرا	.hû.ne.ra
چاپکردن	.çap.kir.din
بوونەوەیەکی	.bû.ne.we.ye.kî
تۆمارکردنی	.to.mar.kir.di.nî
دەپەرمنە	.de.per.mi.ne
ناوداری	.naw.da.rî
دامرکاودا	.da.mir.kaw.da
خۆتانەوە	.xo.ta.ne.we
پێیدابڕۆنەوە	.pêy.da.bi.řo.ne.we
ڕێزلێنان	.řêz.lê.nan
حەسیچە	.ḧe.sî.çe
نەخۆشیی	.ne.xo.şîy
پێکهاتەکانی	.pêk.ha.te.ka.nî
کردەوەی	.kir.de.wey
کتێبفرۆشییەکە	.ki.têb.fi.ro.şî.ye.ke
زوو	.zû
بگەیەنن	.bi.ge.ye.nin
سەرۆکایەتیی	.se.ro.ka.ye.tîy
ویستی	.wîs.tî
خرا	.xi.ra
سزادانی	.si.za.da.nî
سێکس	.sêks
ستۆکهۆڵمەوە	.si.tok.hoł.me.we
کاتدا	.kat.da
چەمکی	.çem.kî
زادە	.za.de
کورتەچیرۆکەکانی	.kur.te.çî.ro.ke.ka.nî
نەتەوەییدا	.ne.te.we.yî.da
کتێبفرۆشییەکانی	.ki.têb.fi.ro.şî.ye.ka.nî
پارەیەکی	.pa.re.ye.kî
خاوەنەکەش	.xa.we.ne.keş
نەوەی	.ne.wey
بەرگەکانی	.ber.ge.ka.nî
هۆنراوەکانی	.hon.ra.we.ka.nî
