sanjuanēnsis	s̠anjʊanẽːs̠ɪs̠
adōrantō	ad̪oːɾan̪t̪oː
natrīx	nat̪riːks̠
praenotō	pɾae̯nɔt̪oː
statōrius	s̠t̪at̪oːɾiʊs̠
fulminō	fʊɫ̪mɪnoː
rullus	rʊl̠l̠ʊs̠
rubrīcātus	rʊbɾiːkaːt̪ʊs̠
nōmen	noːmɛn
plagiā	pɫ̪aɡiaː
dīmicō	d̪iːmɪkoː
vectam	wɛkt̪ãˑ
manifolium	manɪfɔl̪iʊ̃ˑ
crāticulus	kɾaːt̪ɪkʊɫ̪ʊs̠
perspectō	pɛrs̠pɛkt̪oː
platē	pɫ̪at̪eː
pēnsātī	pẽːs̠aːt̪iː
erēmīticus	ɛɾeːmiːt̪ɪkʊs̠
tomarus	t̪ɔmaɾʊs̠
scītor	s̠kiːt̪ɔr
līmitēs	l̪iːmɪt̪eːs̠
cordubēnsis	kɔrd̪ʊbẽːs̠ɪs̠
zygia	zʏɡia
deicīda	d̪eɪkiːd̪a
ferōciō	fɛɾoːkioː
cocus	kɔkʊs̠
plūtarche	pɫ̪uːt̪arkʰɛ
michaēlium	mɪkʰaeːl̪iʊ̃ˑ
annamēnsis	annamẽːs̠ɪs̠
lacerātrīx	ɫ̪akɛɾaːt̪ɾiːks̠
prīmigenus	pɾiːmɪɡɛnʊs̠
bullō	bʊl̠l̠oː
hērēditō	heːɾeːd̪ɪt̪oː
subligō	s̠ʊbl̪ɪɡoː
aborsa	abɔrs̠aː
coresē	kɔɾɛs̠eː
salicīna	s̠al̪ɪkiːna
pulpus	pʊɫ̪pʊs̠
veterētum	wɛt̪ɛɾeːt̪ʊ̃ˑ
dēgredior	d̪eːɡrɛd̪iɔr
scrīpseritis	s̠kɾiːps̠ɛɾiːt̪ɪs̠
orbita	ɔrbɪt̪a
ērudītiō	eːɾʊd̪iːt̪ioː
egilius	ɛɡɪl̪iʊs̠
pallaca	pal̠l̠aka
connōnius	kɔnnoːniʊs̠
clūsius	kɫ̪ʊs̠iʊs̠
salor	s̠aɫ̪ɔr
complōdō	kɔmpɫ̪oːd̪oː
conimbrīga	kɔnɪmbɾiːɡa
lopadūsa	ɫ̪ɔpad̪uːs̠a
inhūmānās	ɪnuːmaːnaːs̠
myrtillus	mʏrt̪ɪl̠l̠ʊs̠
pudendus	pʊd̪ɛn̪d̪ʊs̠
copernicium	kɔpɛrnɪkiʊ̃ˑ
pittsburgum	pɪt̪s̠bʊrɡʊ̃ˑ
dēiugō	d̪eːjʊɡoː
ēmigrārēs	eːmɪɡraːɾeːs̠
ēgregius	eːɡrɛɡiʊs̠
collūceō	kɔl̠l̠uːkeoː
reāte	reaːt̪ɛ
albius	aɫ̪biʊs̠
centūplus	kɛn̪t̪uːpɫ̪ʊs̠
mā̆trona	mat̪ɾɔna
polygamus	pɔl̪ʏɡamʊs̠
passibilis	pas̠s̠ɪbɪl̪ɪs̠
vēdīus	weːd̪iːʊs̠
caryae	kaɾyae̯
anteeō	an̪t̪eeoː
bergomum	bɛrɡɔmʊ̃ˑ
rādīcula	raːd̪iːkʊɫ̪a
victor	wɪkt̪ɔr
resolūbilis	rɛs̠ɔɫ̪uːbɪl̪ɪs̠
magnirōstris	maŋnɪɾoːs̠t̪ɾɪs̠
stannum	s̠t̪annʊ̃ˑ
absinthītārum	aps̠ɪn̪t̪ʰɪt̪aɾʊ̃ˑ
bipēs	bɪpeːs̠
ēmercor	eːmɛrkɔr
dēbeō	d̪eːbeoː
circumfluō	kɪrkũːfɫ̪ʊoː
fugāx	fʊɡaːks̠
longipēs	ɫ̪ɔŋɡɪpeːs̠
nērēis	neːɾeːɪs̠
brūta	bɾuːt̪a
mercēnārius	mɛrkeːnaːɾiʊs̠
canātim	kanaːt̪ɪ̃ˑ
faeculentus	fae̯kʊɫ̪ɛn̪t̪ʊs̠
crātēr	kɾaːt̪eːr
aerārium	ae̯raːɾiʊ̃ˑ
saturātī	s̠at̪ʊɾaːt̪iː
attractiō	at̪t̪ɾakt̪ioː
suificō	s̠ʊɪfɪkoː
fīnitimus	fiːnɪt̪ɪmʊs̠
dīdūn	d̪iːd̪uːn
adspergō	at̪s̠pɛrɡoː
strīdere	s̠t̪ɾiːd̪ɛɾɛ
taludaeī	t̪aɫ̪ʊd̪ae̯iː
pulvis	pʊɫ̪wɪs̠
scrōfulae	s̠kɾoːfʊɫ̪ae̯
secus	s̠ɛkʊs̠
homosexuālis	hɔmɔs̠ɛks̠ʊaːl̪ɪs̠
acontizō	akɔn̪t̪ɪzzoː
digitōrum	d̪ɪɡɪt̪oːɾʊ̃ˑ
encyclopaedīa	ɛŋkʏkɫ̪ɔpae̯d̪iːa
hydrophobus	hʏd̪ɾɔpʰɔbʊs̠
fīcāriās	fiːkaːɾiaːs̠
pharetriger	pʰaɾɛt̪ɾɪɡɛr
mascās	mas̠kaːs̠
mellītula	mɛl̠l̠iːt̪ʊɫ̪a
hederōsus	hɛd̪ɛɾoːs̠ʊs̠
pugillor	pʊɡɪl̠l̠ɔr
perendinus	pɛɾɛn̪d̪ɪnʊs̠
dēlicātulus	d̪eːl̪ɪkaːt̪ʊɫ̪ʊs̠
patriarchēs	pat̪ɾiarkʰeːs̠
dijovis	d̪ɪjjɔwɪs̠
nigricostus	nɪɡrɪkɔs̠t̪ʊs̠
amoenifer	amoe̯nɪfɛr
dīvānae	d̪iːwaːnae̯
dījūdicō	d̪iːjuːd̪ɪkoː
statīvus	s̠t̪at̪iːwʊs̠
īnfāmātis	ĩːfaːmaːt̪ɪs̠
īnspectō	ĩːs̠pɛkt̪oː
menoncalenī	mɛnɔŋkaɫ̪ɛniː
vectae	wɛkt̪ae̯
aunios	au̯niɔs̠
mutilitās	mʊt̪ɪl̪ɪt̪aːs̠
lumbosacrālis	ɫ̪ʊmbɔs̠akɾaːl̪ɪs̠
lītigiōsus	l̪iːt̪ɪɡioːs̠ʊs̠
cerebrālis	kɛɾɛbɾaːl̪ɪs̠
nictāverimus	nɪkt̪aːwɛɾiːmʊs̠
aegidēs	ae̯ɡɪd̪eːs̠
eōꝶ	eoːɾʊ̃ˑ
inalbeō	ɪnaɫ̪beoː
vir	wɪr
dictāta	d̪ɪkt̪aːt̪a
ūtopia	uːt̪ɔpia
scamōnea	s̠kamoːnea
proseda	pɾɔs̠ɛd̪a
