pamīsus	pamiːzus
fīcāria	fikaːria
atomus	aːt̪ɔmus
decibilissimus	d̪ɛt͡ʃibilissimus
lūdiō	luːd̪iɔ
latibulum	lat̪iːbulum
incaelātus	in̠ʲt͡ʃɛlaːt̪us
āleātōrium	alɛat̪ɔːrium
vehiculum	vɛiːkulum
sternūmentum	st̪ɛrnumɛn̪t̪um
indignābundus	in̪d̪iɲɲabun̪d̪us
dēiungō	d̪ɛjuŋɡɔ
meās	mɛːas
exasperāta	ɛksaspɛraːt̪a
praealtus	prɛal̪t̪us
lūdicrus	luːd̪ikrus
nūnciātōrius	nun̠ʲt͡ʃiat̪ɔːrius
praerogō	prɛːrɔɡɔ
obstringō	ɔpst̪riŋɡɔ
percōlō	pɛrkɔːlɔ
abstrūdō	apst̪ruːd̪ɔ
presentēs	prɛzɛn̪t̪ɛs
pertrānsitūrus	pɛrt̪ransit̪uːrus
dēcīsōria	d̪ɛt͡ʃizɔːria
sagis	saːd͡ʒis
ferrūmen	fɛrruːmɛn
frūctificō	frukt̪iːfikɔ
tēcum	t̪ɛːkum
drosolithus	d̪rɔzɔːlit̪us
pīleus	piːlɛus
litterālis	lit̪t̪ɛraːlis
sīcīlis	sit͡ʃiːlis
quotīdiānōs	kwɔt̪id̪iaːnɔs
citer	t͡ʃiːt̪ɛr
spōnsa	spɔnsa
trāns	t̪rans
asteris	ast̪ɛris
cōnfūsus	kɔnfuːzus
lyrnessus	lirnɛssus
palmētum	palmɛːt̪um
cūnae	kuːnɛ
farīna	fariːna
peticus	pɛːt̪ikus
pharī̆saeus	farizɛːus
crassitarsis	krassit̪arsis
zacōnus	d͡zakɔːnus
friderīcum	frid̪ɛriːkum
ambulātilis	ambulaːt̪ilis
metaphora	mɛt̪aːfɔra
surrumpō	surrumpɔ
metallicus	mɛt̪allikus
hecatombē	ɛkat̪ɔmbɛ
parrhasia	parraːzia
interdiū	in̪t̪ɛrd̪iu
honōrātīs	ɔnɔraːt̪is
melkiticus	mɛl̠ʲt͡ʃiːt̪ikus
glūbere	ɡluːbɛrɛ
aphya	aːfia
refectōriārum	rɛfɛkt̪ɔriaːrum
albōs	albɔs
ēvolverās	ɛvɔlvɛras
inquinō	iŋkwinɔ
laniāverimus	laniavɛːrimus
ūmectus	umɛkt̪us
significāns	siɲɲiːfikans
cōnsermōnor	kɔnsɛrmɔːnɔr
scrūta	skruːt̪a
crībrōsus	kribrɔːzus
andocidēs	an̪d̪ɔːt͡ʃid̪ɛs
vīsum	viːzum
pauperō	pau̯pɛrɔ
affodiō	affɔːd̪iɔ
pestilentiālis	pɛst̪ilɛnt͡siaːlis
contextus	kɔn̪t̪ɛkst̪us
animadvertō	animad̪vɛrt̪ɔ
campē	kampɛ
oryx	ɔːriks
illīmis	illiːmis
cōnstituent	kɔnst̪iːt̪uɛn̪t̪
acētābulāris	at͡ʃɛt̪abulaːris
būphagium	bufaːd͡ʒium
phoenīcius	fɛniːt͡ʃius
redūcō	rɛd̪uːkɔ
adaequātus	ad̪ɛkwaːt̪us
acinacifolius	at͡ʃinat͡ʃifɔːlius
sēbācis	sɛbaːt͡ʃis
sēmianimis	sɛmiaːnimis
megasthenēs	mɛɡast̪ɛnɛs
flōrius	flɔːrius
nitrofigilis	nit̪rɔfiːd͡ʒilis
dōnō	d̪ɔːnɔ
salōnīnus	salɔniːnus
trānsportō	t̪ranspɔrt̪ɔ
vasconicus	vaskɔːnikus
caristānius	karist̪aːnius
pappō	pappɔ
vervēx	vɛrvɛks
sināpīs	sinaːpis
ēstōte	ɛst̪ɔːt̪ɛ
ellīpticus	ɛllipt̪ikus
retrōgradiēbāmur	rɛt̪rɔɡrad̪iɛːbamur
bisignātus	biziɲɲaːt̪us
fūfidius	fufiːd̪ius
perdīves	pɛrd̪iːvɛs
paeminōsus	pɛminɔːzus
nārrāverimus	narravɛriːmus
dulciloquus	d̪ul̠ʲt͡ʃiːlɔkwus
displiceō	d̪ispliːt͡ʃɛɔ
langarus	laŋɡarus
crassificō	krassiːfikɔ
tribulō	t̪riːbulɔ
arreptīcius	arrɛpt̪iːt͡ʃius
alcēs	al̠ʲt͡ʃɛs
āvius	aːvius
migrātīs	miɡraːt̪is
dēlīberātīvus	d̪ɛlibɛrat̪iːvus
paratuberculosis	parat̪ubɛrkuːlɔzis
raptor	rapt̪ɔr
augeō	au̯d͡ʒɛɔ
dēpōnō	d̪ɛpɔːnɔ
dīrēxerimus	d̪irɛksɛːrimus
arpīnum	arpiːnum
prōmulgārēs	prɔmulɡaːrɛs
ibērīs	ibɛːris
ter	t̪ɛr
paraguayānus	paraɡwajaːnus
opticus	ɔpt̪ikus
reveniō	rɛvɛːniɔ
branca	braŋka
īphigenīa	ifid͡ʒɛniːa
nūbigena	nubiːd͡ʒɛna
arvernī	arvɛrni
hērōdis	ɛrɔːd̪is
hahae	aːɛ
carē	kaːrɛ
tegmentum	t̪ɛɡmɛn̪t̪um
lūdō	luːd̪ɔ
scamōnia	skamɔniːa
uruguaia	uruːɡwaja
tribūtor	t̪ribuːt̪ɔr
īnsinuātiō	insinuaːt͡siɔ
iactābundus	jakt̪abun̪d̪us
īnsultante	insul̪t̪an̪t̪ɛ
planīnum	planiːnum
lītigāveritis	lit̪iɡavɛːrit̪is
tēlescopium	t̪ɛlɛskɔːpium
apozema	apɔdd͡zɛma
exolētus	ɛksɔlɛːt̪us
cūnctātum	kuŋkt̪aːt̪um
decibilior	d̪ɛt͡ʃibiːliɔr
silarus	siːlarus
pernecessārius	pɛrnɛt͡ʃɛssaːrius
sorofagēs	sɔrɔːfad͡ʒɛs
flōribundus	flɔribun̪d̪us
pigmentōsus	piɡmɛn̪t̪ɔːzus
indicātīs	in̪d̪ikaːt̪is
alāzone	aladd͡zɔnɛ
dyspontium	d̪ispɔnt͡sium
interscindō	in̪t̪ɛrʃin̪d̪ɔ
dioecēsis	d̪iɛt͡ʃɛːzis
ēsāiānus	ɛzaiaːnus
occursātor	ɔkkursaːt̪ɔr
hīlum	iːlum
pālātiō	palaːt͡siɔ
centrāliter	t͡ʃɛn̪t̪raːlit̪ɛr
sahāricus	saaːrikus
īsāiās	izajas
dipondius	d̪ipɔn̪d̪ius
ferrūgō	fɛrruːɡɔ
revēnerimus	rɛvɛnɛːrimus
flocēs	flɔːt͡ʃɛs
pālam	paːlam
saetiger	sɛːt̪id͡ʒɛr
casuaga	kazuːaɡa
