atiduodančiosioms	ɐtʲɪduɔdɐnʲtʲʃʲosʲoms
rezultatus	ɾʲɛzʊltɐtʊs
gilius	ɡʲɪlʲʊs
seksas	sɛksɐs
kompiuterius	komʲpʲʊtʲɛrʲʊs
tvarkingesnėje	tʋɐɾʲkʲɪnʲɡʲɛsʲnʲeːjɛ
orgiškesniais	orʲɡʲɪʃʲkʲɛsʲnʲɛjs
algoritmai	ɐlɡorʲɪtmɐj
iškalbiausioje	ɪʃkɐlbʲæːʊsʲojɛ
kompiuterių	komʲpʲʊtʲɛrʲuː
švelnesni	ʃʲʋʲɛlnʲɛsʲnʲɪ
blogojoje	bloɡoːjojɛ
tėvas	tʲeːvɐs
žmoniškesnėje	ʒmonʲɪʃʲkʲɛsʲnʲeːjɛ
saugiosioms	sɐʊɡʲoːsʲoms
armėniškosios	ɐrʲmʲeːnʲɪʃkosʲos
vilkais	ʋʲɪlkɐjs
latviškosioms	laːtʲʋʲɪʃkosʲoms
bulgariškąją	bʊlɡaːrʲɪʃkaːjæː
duodavusios	duɔdɐʋʊsʲos
įduosiančiame	iːduɔsʲɛnʲtʲʃʲɛmʲɛ
airiškoji	ɐjrʲɪʃkojɪ
atiduodančiąją	ɐtʲɪduɔdɐnʲtʲʃʲæːjæː
bedieviškąją	bʲɛdʲjɛʋʲɪʃkaːjæː
archyvams	ɐrʲxʲiːʋɐms
įnagininkas	iːnɐɡʲɪnʲɪnkɐs
prostitucijai	prosʲtʲɪtʊtʲsʲɪjɛj
netvarkingiausiam	nʲɛtʋɐɾʲkʲɪnʲɡʲæːʊsʲɛm
gėlėmis	ɡʲeːlʲeːmʲɪs
haliucinuosiančia	hɐlʲʊtʲsʲɪnuosʲɛnʲtʲʃʲɛ
keliaujančiajai	kʲɛlʲæʊjɛnʲtʲʃʲɛjɛj
žiūrinčiu	ʒʲuːrʲɪnʲtʲʃʲʊ
tvarkingesnių	tʋɐɾʲkʲɪnʲɡʲɛsʲnʲuː
aukštaitiškąjį	ɐʊkʃtɐjtʲɪʃkaːjiː
pjaustote	pʲjæustotʲɛ
prancūziškus	prɐntsuːzʲɪʃkʊs
rusiškose	rʊsʲɪʃkosʲɛ
abejingą	ɐbʲɛjɪnɡaː
keliaujančiuosiuose	kʲɛlʲæʊjɛnʲtʲʃʲʊosʲʊosʲɛ
plaukas	pɫä̂ˑʊ̯kɐs̪
vokiškasis	ʋoːkʲɪʃkɐsʲɪs
mylinčiuosiuose	mʲiːlʲɪnʲtʲʃʲʊosʲʊosʲɛ
davusio	daːʋʊsʲo
netvarkomis	nʲɛtʋɐɾkomʲɪs
proporcionalaus	prɔpɔrt̪͡s̪ɪjoːnɐlɐus
žvaigždiniu	ʒʋɐjɡʲʒʲdʲɪnʲʊ
įtarimo	iːtɐɾʲɪmo
mažiems	mɐʒʲjɛms
estiškuosiuose	ɛsʲtʲɪʃkʊosʲʊosʲɛ
gatvių	ɡaːtʲʋʲuː
vaizdingesnei	ʋɐjzʲdʲɪnʲɡʲɛsʲnʲɛj
mylinčiajam	mʲiːlʲɪnʲtʲʃʲɛjɛm
apipjaustyčiau	ɐpʲɪpʲjæusʲtʲitʲʃʲɛʊ
džiaugsmas	d͡ʒɛʊɡʲsʲmɐs
galinčiosiose	ɡaːlʲɪnʲtʲʃʲosʲosʲɛ
rankoms	ɾɐŋkoːms
pusbroliu	pʊsbrolʲʊ
mįslingai	mʲiːsʲlʲɪnɡɐj
paslaptingiausiai	pɐslɐptʲɪnʲɡʲæːʊsʲɛj
saugiuosiuose	sɐʊɡʲʊoːsʲʊosʲɛ
bučiuosiančioms	bʊtʲʃʲuɔsʲɛnʲtʲʃʲoms
pusbrolį	pʊsbrolʲiː
klaidingajai	klɐjdʲɪnɡɐjɛj
lapės	laːpʲeːs
bedieviškiausiajai	bʲɛdʲjɛʋʲɪʃʲkʲæːʊsʲɛjɛj
nutarimų	nʊtɐɾʲɪmuː
šokate	ʃoːkɐtʲɛ
pusseserė	pʊsʲɛsʲɛrʲeː
žvaigždiškesniajame	ʒʋɐjɡʲʒʲdʲɪʃʲkʲɛsʲnʲæːjɛmʲɛ
