турбуленција	turbulɛnt͡sija
подзамрзне	pɔdzamr̩znɛ
гуштер	ɡuʃtɛr
непобитност	nɛpɔbitnɔst
противуставен	prɔtivustavɛn
лисица	lisit͡sa
џиџе	d͡ʒid͡ʒɛ
гулапче	ɡuɫapt͡ʃɛ
опитомува	ɔpitɔmuva
именува	imɛnuva
ѕвони	d͡zvɔni
велингтонски	vɛliŋktɔnski
воздржаност	vɔzdr̩ʒanɔst
тужителка	tuʒitɛɫka
сребрест	srɛbrɛst
катедрала	katɛdraɫa
километарски	kiɫɔmɛtarski
раскитува	raskituva
ајдутство	ajdutstvɔ
ребро	rɛbrɔ
жила	ʒiɫa
јагуар	jaɡuar
оман	ɔman
справедливост	spravɛdlivɔst
знак	znak
паунче	paunt͡ʃɛ
тикве	tikvɛ
брош	brɔʃ
полемика	pɔlɛmika
воодушевеност	vɔɔduʃɛvɛnɔst
доуредува	dɔurɛduva
педерче	pɛdɛrt͡ʃɛ
асиметрија	asimɛtrija
прегазува	prɛɡazuva
грб	ɡr̩p
неуредност	nɛuɾɛdnɔst
комарци	kɔmart͡si
маршира	marʃiɾa
подосвежи	pɔdɔsvɛʒi
тежок	tɛʒɔk
пешкирче	pɛʃkirt͡ʃɛ
суетност	suɛtnɔst
папочен	papɔt͡ʃɛn
сразмерност	srazmɛrnɔst
испокраде	ispɔkradɛ
корен	kɔɾɛn
провев	prɔvɛf
гневност	ɡnɛvnɔst
бидејќи	bidɛjci
надзборува	nadzbɔɾuva
необоен	nɛɔbɔɛn
наш	naʃ
книга	kniɡa
изведувачки	izvɛduvat͡ʃki
криумчар	krijumt͡ʃar
иследи	islɛdi
неискреност	nɛiskrɛnɔst
шуми	ʃumi
оформува	ɔfɔrmuva
цвеќарство	t͡svɛcarstvɔ
компјутер	kɔmpjutɛr
рочиште	rɔt͡ʃiʃtɛ
самоубиец	samɔubijɛt͡s
аман	aman
дури	duɾi
протокол	prɔtɔkɔɫ
ктиторски	ktitɔrski
катанче	katant͡ʃɛ
темноцрвен	tɛmnɔt͡sr̩vɛn
витези	vitɛzi
живинарство	ʒivinarstvɔ
погинува	pɔɡinuva
густ	ɡust
игривост	iɡrivɔst
дење	dɛɲɛ
шанец	ʃanɛt͡s
гломазност	ɡɫɔmaznɔst
овчарство	ɔft͡ʃarstvɔ
ситуациски	situat͡siski
чамче	t͡ʃamt͡ʃɛ
берлин	bɛrlin
молитва	mɔlitva
препече	prɛpɛt͡ʃɛ
како	kakɔ
скулпторски	skuɫptɔrski
бесчесност	bɛʃt͡ʃɛsnɔst
одлежи	ɔdlɛʒi
издвојува	izdvɔjuva
прачка	prat͡ʃka
ангел	aŋɡɛɫ
немилосрдност	nɛmiɫɔsr̩dnɔst
накалемува	nakalɛmuva
крајпатен	krajpatɛn
куќарка	kucarka
будала	budaɫa
угодник	uɡɔdnik
грд	ɡr̩t
јорганче	jɔrɡant͡ʃɛ
ксенофобија	ksɛnɔfɔbija
стадиум	stadijum
