porowini	pˌɔrɔwˈini
tohea	tɔhˈea
Tīreni	tiːrˈeni
wehe	wˈehe
mārena	maːrˈena
Hāmoa	haːmˈɔa
rokohanga	rˌɔkɔhˈaŋa
pononga	pɔnˈɔŋa
koikoi	kˈo͡ɪko͡ɪ
moemoehia	mwˌemwehˈia
kakara	kakˈara
Martin	mˈartin
arorangi	ˌarɔrˈaŋi
Titiro	titˈirɔ
auaha	ˌau"ˈaha
Anō	ˈanɔː
pōtitanga	pˌɔːtitˈaŋa
Patāriana	pˌataːriˈana
werohanga	wˌerɔhˈaŋa
Horowhenua	hˌɔrɔfenˈu"a
whiriwhirihia	fˌirifˌirihˈia
whakatokia	fˌakatɔkˈia
Riki	rˈiki
Maungapohatu	mˌau"ŋˌapɔhˈatu"
tāruaruatia	tˌaːru"ˌaru"atˈia
Kimi	kˈimi
tuawha	tu"ˈafa
ngaku	ŋˈaku"
whanatu	fanˈatu"
II	ˈii
mumura	mu"mˈu"ra
whakahe	fakˈahe
Nōna	nˈɔːna
Tirohanga	tˌirɔhˈaŋa
Patapātai	pˌatapˈaːta͡ɪ
matauranga	mˌatau"rˈaŋa
ei	ˈei
Nā	nˈaː
ekenga	ekˈeŋa
riri	rˈiri
neherā	nehˈeraː
mātinitini	mˌaːtinitˈini
Ako	ˈakɔ
Tokotoru	tˌɔkɔtˈɔru"
poutama	pˌou"tˈama
minita	minˈita
pekapeka	pˌekapˈeka
ihi	ˈihi
nama	nˈama
moata	mɔˈata
Perohuka	pˌerɔhˈu"ka
kohuke	kɔhˈu"ke
Meri	mˈeri
tio	tˈiɔ
taurite	tˌau"rˈite
Ruataupare	rˌu"atˌau"pˈare
Poutūterangi	pˌou"tˌu"ːterˈaŋi
whakawehi	fˌakawˈehi
pipiri	pipˈiri
Pera	pˈera
nehe	nˈehe
puare	pu"ˈare
Wāhine	waːhˈine
Waikare	wa͡ɪkˈare
Waru	wˈaru"
Kīia	kiːˈia
hungawai	hu"ŋˈawa͡ɪ
āniwaniwa	ˌaːniwanˈiwa
koropupū	kˌɔrɔpˈu"pu"ː
Tawhito	tafˈitɔ
hīkoi	hˈiːko͡ɪ
Tekapo	tekˈapɔ
Ngoingoi	ŋˈo͡ɪŋo͡ɪ
whakaupoko	fˌakau"pˈɔkɔ
whakaohooho	fˌaka͡ʊhɔˈɔhɔ
tuaiwa	tu"ˈa͡ɪwa
arahi	arˈahi
hākinakina	hˌaːkinakˈina
Kōpae	kˈɔːpa͡ɪ
Hīkoi	hˈiːko͡ɪ
whakaurunga	fˌakau"rˈu"ŋa
pihikete	pˌihikˈete
peia	peˈia
Toa	tˈɔa
Kōwae	kˈɔːwa͡ɪ
Pewhairangi	pˌefa͡ɪrˈaŋi
tanumia	tˌanu"mˈia
Akuhata	ˌaku"hˈata
Māku	mˈaːku"
riu	rˈiu"
whariki	farˈiki
kōmiti	kɔːmˈiti
tūrangawaewae	tˌu"ːraŋawˈa͡ɪwa͡ɪ
Himiona	hˌimiˈɔna
Hato	hˈatɔ
kotia	kɔtˈia
korakora	kˌɔrakˈɔra
haukoti	hˌau"kˈɔti
whakawhitia	fˌakafitˈia
mirimiri	mˌirimˈiri
runga	rˈu"ŋa
maoa	mˈa͡ʊa
Kīhai	kˈiːha͡ɪ
pōro	pˈɔːrɔ
Murihiku	mˌu"rihˈiku"
tukua	tu"kˈu"a
nekehanga	nˌekehˈaŋa
