麶	tʰi⁴⁴
勸導	kʰuan²¹⁻⁵³to²²
串門	t͡sʰuan²¹⁻⁵³mŋ̍²⁴
位	ui²²
冷凍	liɪŋ⁵³⁻⁴⁴tɔŋ²¹
國曆	kɔk̚³²⁻⁴liɪk̚⁴
彪	piaʊ⁴⁴
敦厚	tun⁴⁴⁻²²hɔ²²
成算	ɕiɪŋ²⁴⁻²²suan²¹
灇浴	t͡ɕiaŋ²⁴⁻²²iɪk̚⁴
結膜	kiɛt̚³²⁻⁴mɔ̃ʔ⁴
防線	hɔŋ²⁴⁻²²suã²¹
班長	pan⁴⁴⁻²²tiũ⁵³
脆	t͡sʰe²¹
𤆬	t͡sʰua²²
綠洲	liɪk̚⁴⁻³²t͡ɕiu⁴⁴
銅貨	taŋ²⁴⁻²²he²¹
就	tioʔ⁴
使目色	saɪ⁵³⁻⁴⁴bak̚⁴⁻³²ɕiɪk̚³²
筆芯	pit̚³²⁻⁴ɕim⁴⁴
揲	tiap̚⁴
濫刑	lam²²⁻²¹hiɪŋ²⁴
哮喘	haʊ²¹⁻⁵³t͡sʰuan⁵³
船桅	t͡sun²⁴⁻²²ɡui²⁴
黑海	hiɪk̚³²⁻⁴haɪ⁵³
干預	kan⁴⁴⁻²²u²²
洋	iũ²⁴
偉業	ui⁵³⁻⁴⁴ɡiap̚⁴
蛀蟲	t͡ɕiu²¹⁻⁵³tʰaŋ²⁴
過	kua⁴⁴
好說	ho⁵³⁻⁴⁴seʔ³²
謹慎	kin⁵³⁻⁴⁴ɕin²²
失腳	ɕit̚³²⁻⁴kʰa⁴⁴
暑	su⁵³
儕	t͡sʰaɪ²⁴
瀌	pʰiaʊ⁴⁴
破費	pʰo²¹⁻⁵³hui²¹
眉山	bi²⁴⁻²²san⁴⁴
憐恤	lin²⁴⁻²²sut̚³²
影集	iã⁵³⁻⁴⁴t͡ɕip̚⁴
貿	bɔ²²
伴奏	pʰuã²²⁻²¹t͡saʊ²¹
墓仔	bɔŋ²²⁻²¹a⁵³
閩東	ban²⁴⁻²²taŋ⁴⁴
匪徒	hui⁵³⁻⁴⁴tɔ²⁴
軍營	kun⁴⁴⁻²²iã²⁴
羅馬數字	lo²⁴⁻²²mã⁵³⁻⁴⁴sɔ²¹⁻⁵³li²²
飼蠓	t͡ɕʰi²²⁻²¹baŋ⁵³
格	kiɪk̚³²
猾	kut̚⁴
病變	pĩ²²⁻²¹piɛn²¹
試探	t͡ɕʰi²¹⁻⁵³tʰam²¹
耐	nãɪ²²
碡	tak̚⁴
嶄新	t͡sam⁵³⁻⁴⁴ɕin⁴⁴
淫	tam²⁴
此時	t͡sʰu⁵³⁻⁴⁴ɕi²⁴
喙花	t͡sʰui²¹⁻⁵³hue⁴⁴
阿娘	a⁴⁴⁻²²niũ²⁴
漁	ɡu²⁴
做聲	t͡sue²¹⁻⁵³ɕiã⁴⁴
無條件	bo²⁴⁻²²tiaʊ²⁴⁻²²kiã²²
推展	tʰui⁴⁴⁻²²tiɛn⁵³
個案	ko²¹⁻⁵³an²¹
剩	ɕin²²
幺	io⁴⁴
目珠	bak̚⁴⁻³²t͡ɕiu⁴⁴
揭頭	kiaʔ⁴⁻²¹tʰaʊ²⁴
收件	ɕiu⁴⁴⁻²²kiã²²
除以	tu²⁴⁻²²i⁵³
鋏仔	kiap̚³²⁻⁴a⁵³
入骨丹	lip̚⁴⁻³²kut̚³²⁻⁴tan⁴⁴
船民	t͡sun²⁴⁻²²bin²⁴
進度	t͡ɕin²¹⁻⁵³tɔ²²
代數	taɪ²²⁻²¹sɔ²¹
雪	suat̚³²
褥仔勘	liɔk̚⁴⁻³²a⁵³⁻⁴⁴kʰam²¹
本著	pun⁵³⁻⁴⁴tioʔ⁴
風火	hɔŋ⁴⁴⁻²²hɔ̃⁵³
尻	kʰo⁴⁴
弄筆墨	laŋ²²⁻²¹pit̚³²⁻⁴bak̚⁴
溪	kʰue⁴⁴
鑒賞	kam²¹⁻⁵³ɕiɔŋ⁵³
綱	kɔŋ⁴⁴
星火	ɕiɪŋ⁴⁴⁻²²he⁵³
粒	liap̚⁴
直到	tit̚⁴⁻³²to²¹
忠厚	tiɔŋ⁴⁴⁻²²hɔ²²
工頭	kaŋ⁴⁴⁻²²tʰaʊ²⁴
和歌	ho²⁴⁻²²kua⁴⁴
進發	t͡ɕin²¹⁻⁵³huat̚³²
銃雞	t͡ɕʰiɪŋ²¹⁻⁵³kue⁴⁴
稈	kan⁵³
常用詞	ɕiɔŋ²⁴⁻²²iɔŋ²²⁻²¹su²⁴
霉	muĩ²⁴
轉車	t͡suan⁵³⁻⁴⁴t͡ɕʰia⁴⁴
八月節	pueʔ³²⁻⁵³ɡeʔ⁴⁻²¹t͡sueʔ³²
邽	kui⁴⁴
度日	tɔ²²⁻²¹d͡ʑit̚⁴
囡仔工	kin⁵³⁻⁴⁴a⁵³⁻⁴⁴kaŋ⁴⁴
等人	tan⁵³⁻⁴⁴laŋ²⁴
護牆	hɔ²²⁻²¹t͡ɕʰiũ²⁴
轎車	kio²²⁻²¹t͡ɕʰia⁴⁴
文本	bun²⁴⁻²²pun⁵³
製糖	t͡se²¹⁻⁵³tʰŋ̍²⁴
請帖	t͡ɕʰiã⁵³⁻⁴⁴tʰiap̚³²
撫今追昔	hu⁵³⁻⁴⁴kim⁴⁴⁻²²tui⁴⁴⁻²²ɕiɪk̚³²
門房	mŋ̍²⁴⁻²²paŋ²⁴
選擇	suan⁵³⁻⁴⁴tiɪk̚⁴
叫做	kio²¹⁻⁵³t͡sue²¹
防	hɔŋ²⁴
消涼	ɕiaʊ⁴⁴⁻²²liaŋ²⁴
半禮爿	puan²¹⁻⁵³le⁵³⁻⁴⁴piɪŋ²⁴
滅	biɛt̚⁴
制勝	t͡se²¹⁻⁵³ɕiɪŋ²¹
晰	ɕiɪk̚³²
胎兒	tʰaɪ⁴⁴⁻²²li²⁴
且	t͡ɕʰiã⁵³
鼻屎膏	pʰĩ²²⁻²¹saɪ⁵³⁻⁴⁴ko⁴⁴
孫新婦	sun⁴⁴⁻²²ɕim⁴⁴⁻²²pu²²
頒獎	pan⁴⁴⁻²²t͡ɕiɔŋ⁵³
落雷	loʔ⁴⁻²¹lui²⁴
端陽	tuan⁴⁴⁻²²iɔŋ²⁴
辦桌	pan²²⁻²¹toʔ³²
遺棄	i²⁴⁻²²kʰi²¹
懇切	kʰun⁵³⁻⁴⁴t͡ɕʰiɛt̚³²
暗空	am²¹⁻⁵³kʰaŋ⁴⁴
蕗蕎	lɔ²²⁻²¹kio²²
丙寅	piɪŋ⁵³⁻⁴⁴in²⁴
氣息	kʰi²¹⁻⁵³ɕiɪk̚³²
賞賜	ɕiũ⁵³⁻⁴⁴su²¹
壞	huai²²
週	t͡ɕiu⁴⁴
悲壯	pi⁴⁴⁻²²t͡sɔŋ²¹
發聲	huat̚³²⁻⁴ɕiã⁴⁴
油鋪	iu²⁴⁻²²pʰɔ²²
等	tan⁵³
惡魔	ɔk̚³²⁻⁴mɔ̃²⁴
得益	tiɪk̚³²⁻⁴iɪk̚³²
尾隨	be⁵³⁻⁴⁴sui²⁴
取款機	t͡sʰu⁵³⁻⁴⁴kʰuan⁵³⁻⁴⁴ki⁴⁴
袒護	tʰan⁵³⁻⁴⁴hɔ²²
澆	kiaʊ⁴⁴
風扇	hɔŋ⁴⁴⁻²²ɕĩ²¹
牆圍	t͡ɕʰiũ²⁴⁻²²ui²⁴
泊	pɔk̚³²
巴庫	pa⁴⁴⁻²²kʰɔ²¹
直流	tit̚⁴⁻³²liu²⁴
