aktsom	ˈɑktsɔm
arbeidsledigst	ˈɑɾbæɪdsleːdɪkst
dekadent	dəkɑˈdɛnt
cirka	ˈsɪɾkɑ
landsby	ˈlɑnsbyː
livsviktigst	ˈlɪfsʋɪktɪkst
vannkanne	ʋɑnkɑnə
sykepleier	ˈsyːkəplæɪəɾ
vers	ʋæʂ
surre	ˈsʉɾə
stillferdige	stɪlˈfæɖɪə
flokete	ˈfluːkətə
haste	ˈhɑstə
er	æːɾ
selvisk	ˈsɛlʋɪsk
sannsynligste	sɑnˈsyːnlɪkstə
forderve	fɔˈɖæɾʋə
lengst	lɛŋst
ømfintligste	œmˈfɪntlɪkstə
avverge	ˈɑːʋæɾgə
gehen	ˈgeːən
tangere	tɑŋˈgeːɾə
provisorisk	pɾʊʋɪˈsuːɾɪsk
knegge	ˈknæɪə
sint	sɪnt
leken	ˈleːkən,ˈleːkn̩
nysgjerrigste	nʏˈʂæɾɪkstə
innkvartere	ˈɪnkʋɑʈeːɾə
nett	nɛt
støy	stœj
spak	spɑːk
materialistisk	mɑtəɾɪɑˈlɪstɪsk
kjedeligste	ˈçeːdəlɪkstə
minneverdige	ˈmɪnəʋæɖɪə
psykiatrisk	sʏkɪˈɑːtɾɪsk,psʏkɪˈɑːtɾɪsk
stusslige	ˈstʉslɪə
kjefte	ˈçɛftə
kolossal	kʊlʊˈsɑːl
ilter	ˈɪltəɾ
lodden	ˈlɔdən
susete	ˈsʉːsətə
skrekkslagen	ˈskɾɛkʂɭɑːgən
utvetydigere	ˈʉːtʋɛtyːdɪɾə
skjær	ʂæːɾ
parallell	pɑɾɑˈlɛl
uforvarende	ˈʉːfɔɾʋɑːɾənə
maskin	mɑˈʂiːn
margarin	mɑɾgɑˈɾiːn
ensligst	ˈeːnʂɭɪkst
mitt	mɪt
uvettig	ʉˈʋɛtɪ
utkjørt	ˈʉːtçøːʈ
sesong	sɛˈsɔŋ
betatt	bəˈtɑt
pakke	ˈpɑkə
berykta	bəˈɾʏktət
bukte	ˈbʊktə
elsker	ˈɛlskəɾ
passeligere	ˈpɑsəlɪɾə
due	ˈdʉːə
lande	ˈlɑnə
jod	jɔd
bue	bʉːə
forkle	ˈfɔɾklə
avsender	ɑːʋsɛnəɾ
henføre	ˈhɛnføːɾə
impulsiv	ˈɪmpʉlsiːʋ
skinn	ʂɪn
gjensidig	jənˈsiːdɪ
verdslige	ˈʋæɖslɪə
brønn	bɾœn
amatørmessigste	ɑmˈtøːɾməsɪkstə
blindeskrift	blɪnəskɾɪft
kvele	ˈkʋeːlə
høytidelig	hœjˈtiːdəlɪ
gusten	ˈgʉstən
besikte	bəˈsɪktə
habil	hɑˈbiːl
bordtennis	buːʈɛnɪs
ukueligere	ʉːˈkʉːəlɪɾə
lagre	ˈlɑːgɾə
usakligere	ʉˈsɑːklɪɾə
triveligst	ˈtɾiːʋəlɪkst
bevitne	bəˈʋɪtnə
menneskeligere	ˈmɛnəskəlɪɾə
resignere	ɾɛsɪgˈneːɾə
floke	ˈfluːkə
selvfølgelig	səlˈfœlgəlɪ
silke	sɪlkə
forbudt	fɔɾˈbʉt
blokk	blɔk
ettertrykkeligste	ɛtəˈʈɾʏkəlɪkstə
arbeidsløs	ˈɑɾbæɪdsløːs
ungdommeligere	ʊŋˈdɔməlɪɾə
foresveve	ˈfoːɾəsʋeːʋə
meg	mæi
lakser	ˈlɑksəɾ
uovervinneligere	ʉoːʋəɾˈʋɪnəlɪɾə
søvnige	ˈsœʋnɪə
lespe	ˈlɛspə
plass	plɑs
prioritere	pɾɪʊɾɪˈteːɾə
presentere	pɾəsɑŋˈteːɾə
rade	ˈɾoːdə
påstand	ˈpoːstɑn
unøyaktigere	ˈʉːnœjɑktɪɾə
farligere	ˈfɑːɭɪɾə
utgjøre	ˈʉːtjøːɾə
underligst	ˈʉnəɭɪkst
sive	ˈsiːʋə
utvise	ˈʉːtʋiːsə
forfalle	fɔɾˈfɑlə
fór	fuːɾ
henlede	ˈhɛnleːdə
verge	ˈʋæɾgə
presse	ˈpɾɛsə
staselige	ˈstɑːsəlɪə
slibrige	ˈʂɭiːbɾɪə
lage mat	lɑːgəˈmɑːt
sykeligste	ˈsyːkəlɪkstə
gry	gɾyː
skole	ˈskuːlə
ligne	ˈlɪŋnə
men	meːn
david	ˈdɑːʋɪd
kjøttdeig	ˈçœtdæɪ
obskur	ɔpˈskʉːɾ
tann	tɑn
smile	ˈsmiːlə
innholdsrik	ˈɪnhɔlsɾiːk
autorisere	æʉtʊɾɪˈseːɾə
kontinuerlig	kʊntɪnʉˈeːɭɪ
glise	ˈgliːsə
jage	ˈjɑːgə
folkeligste	ˈfɔlkəlɪkstə
taue	ˈtæʉə
pryle	ˈpɾyːlə
opprinneligste	ɔpˈɾɪnəlɪkstə
adjektiv	ˈɑdjəktiːʋ
spisesal	spiːsəsɑːl
sport	spɔʈ
vakker	ˈʋɑkəɾ
i morgen tidlig	ɪmoːɳtiːdlɪ
ufravikelig	ʉːfɾɑˈʋiːkəlɪ
trolle	ˈtɾɔlə
lase	ˈlɑːsə
kortslutning	kʊʈʂɭʉtnɪŋ
kontakt	kʊnˈtɑkt
ublu	ˈʉːblʉː
atskilligst	ɑtˈʂɪlɪkst
årlige	ˈoːɭɪə
forfengelige	fɔɾˈfɛŋəlɪə
strigråte	ˈstɾiːgɾoːtə
akselerere	ɑksələˈɾeːɾə
uberørt	ˈʉːbəɾøːʈ
spasertur	spɑˈseːʈʉːɾ
hær	hæːɾ
letne	ˈlɛtnə
glitrende	ˈglɪtɾənə
tålmodige	tɔlˈmuːdɪə
ta bort	tɑˈbʊʈ
mindreverdigere	ˈmɪndɾəʋæɖɪɾə
stadig	ˈstɑːdɪ
mose	ˈmuːsə
avhengige	ˈɑːʋhɛŋɪə
destruktiv	ˈdɛstɾʉktiːʋ
ubarmhjertige	ˈʉːbɑɾmjæʈɪə
overvurdere	ˈoːʋəɾʋʉɖeːɾə
flate	ˈflɑːtə
prosjektere	pɾʊʂɛkˈteːɾə
rombe	ˈɾʊmbə
hvelve	ˈʋɛlʋə
lunde	ˈlʉndə
vær	ʋæːɾ
utåleligste	ʉˈtoːləlɪkstə
hard	hɑːɾ
utpreget	ˈʉːtpɾeːgət
bekrefte	bəˈkɾɛftə
barnehage	ˈbɑːɳəhɑːgə
sannsynligvis	sɑnˈsyːnlɪʋiːs
urettferdige	ˈʉːɾətfæɖɪə
handgripeligst	hɔnˈgɾiːpəlɪkst
forståelige	fɔˈʂtoːəlɪə
inngående	ˈɪngoːənə
påvirke	ˈpoːʋɪɾkə
apokalypse	ɑpʊkɑˈlʏpsə
kaliber	kɑˈliːbɾ
likegyldigere	ˈliːkəjʏldɪɾə
råtne	ˈɾɔtnə
barnebasseng	bɑːɳəbɑsɛŋ
lag	lɑːg
tunge	ˈtʊŋə
oppdatere	ˈɔpdɑteːɾə
verifisere	ʋæɾɪfɪˈseːɾə
tilby	ˈtɪlbyː
mote	muːtə
ugyldigst	ʉˈjʏldɪkst
ulidelig	ʉˈliːdəlɪ
dessverre	dɛsˈʋæɾə
hypermoderne	ˈhyːpəɾmʊdæːɳə
minneverdig	ˈmɪnəʋæɖɪ
forferdelige	fɔɾˈfæɖəlɪə
beleiligst	bəˈlæɪlɪkst
grenseløs	ˈgɾɛnsəløːs
ønskelig	ˈœnskəlɪ
despotisme	dɛspʊˈtɪsmə
innbyrdes	ˈɪnbʏɖəs
uavhengigst	ˈʉːɑːʋhɛŋɪkst
innvendigst	ˈɪnʋɛnɪkst
navngi	ˈnɑʋnjiː
nasjonalitetstegn	nɑʂʊnɑlɪˈteːtstæɪn
avansere	ɑʋɑŋˈseːɾə
jeg	jæɪ
pryde	ˈpɾyːdə
rakke	ˈɾɑkə
utilstrekkeligste	ʉːtɪlˈstɾɛkəlɪkstə
kokebok	kuːkəbuːk
ufortrøden	ˈʉːfɔʈɾøːdən
passé	pɑˈseː
tegn	tæɪn
anarkistisk	ɑnɑɾˈkɪstɪsk
kjærligste	ˈçæːɭɪkstə
mens	mɛns
regne	ˈɾæɪnəɾ,ˈɾæɪnə
tilbøyeligere	tɪlˈbœjəlɪɾə
udelt	ˈʉːdeːlt
vertinne	ʋæˈʈɪnə
statue	ˈstɑːtʉə
usedvanligere	ʉːsɛdˈʋɑːnlɪɾə
gågate	ˈguːgɑːtə
kursiv	kʉˈʂiːʋ
slips	slɪps
uovervinneligst	ʉoːʋəɾˈʋɪnəlɪkst
riste	ˈɾɪstə
hall	hɑl
statsminister	ˈstɑːtsmɪnɪstəɾ
opplevelse	ɔpˈleːʋəlsə
gavl	ˈgɑʋl̩
værelse	ʋæːɾɛlsə
mandig	ˈmɑnɪ
pusse	ˈpʉsə
forstandig	fɔˈʂtɑnɪ
muskel	ˈmʉskəl
unekteligere	ʉˈnɛktəlɪɾə
stromuttak	stɾœmʉtɑːk
fordøye	fɔˈɖœjə
uvurderligere	ʉːʋʉˈɖeːɭɪɾə
utilgiveligste	ʉːtɪlˈjiːʋəlɪkstə
syndigere	ˈsʏnɪɾə
kjennemerke	ˈçɛnəmæɾkə
uutholdeligere	ʉːʉtˈhɔldəlɪɾə
klaske	ˈklɑskə
fane	ˈfɑːnə
hovmodigere	hɔʋˈmuːdɪɾə
tilrådeligste	tɪlˈɾoːdəlɪkstə
summere	sʉˈmeːɾə
luxembourgsk	ˈlʉksəmbʉɾksk
livsfarlig	ˈlɪfsfɑːɭɪ
utslett	ʉːtʂɭɛt
ved hjelp av	ʋɛˈjɛlpɑːʋ
muskuløs	mʉskʉˈløːs
hevngjerrigst	ˈhɛʋnjæɾɪkst
forsikre	fɔˈʂɪkɾə
rømme	ˈɾœmə
ramme	ˈɾɑmə
billett	bɪˈlɛt
hovmodig	hɔʋˈmuːdɪ
sludde	ˈʂɭʉdə
nesten	nɛstən
lille	ˈliːtən
gale	ˈgɑːlə
freidigste	ˈfɾæɪdɪkstə
uforglemmelig	ʉfɔɾˈglɛməlɪ
