vocero	vosˈero
Hospice	hospˈise
enrikece	enrikˈese
expresa	eksprˈesa
victimanan	viktimˈanan
alomenos	alomenˈos
brandweer	brandwˈeːr
Supermarket	supermarkˈet
examennan	eksamˈennan
efectonan	efektˈonan
barconan	barkˈonan
Mama	mˈama
apropia	aprˈopja
Heights	hˈe͡ɪɡhts
all	ˈall
politica	politˈika
ayera	ajˈera
clausura	klausˈura
deshaci	deʃˈasi
prijsnan	prˈe͡ɪsnan
Cinco	sˈinko
UA	wˈa
urna	ˈurna
diferente	diferˈente
pertenece	pertenˈese
Norte	nˈorte
pecho	pˈet͡ʃo
HH	hˌahˈa
deterioro	deterjˈoro
balornan	balˈornan
cambiando	kambjˈando
Hot	hˈot
recauda	rekaˈuda
conose	konˈose
lucrativo	lukratˈivo
delitonan	delitˈonan
Security	sekurˈiti
salvo	sˈalvo
KB	kˌabˈe
Challenge	t͡ʃallˈenxe
Social	sosjˈal
Emanstraat	emanstrˈaːt
Food	fˈoːd
Development	developmˈent
Codigo	kodˈiɡo
Tampoco	tampˈoko
linear	lineˈar
dicidi	disˈidi
vakantie	vakˈantje
mainta	mˈa͡ɪnta
la	lˈa
brabo	brˈabo
Boroncana	boronkˈana
parlamentarionan	parlamentarjˈonan
Sostenible	sostenˈible
celebracionnan	selebrasjˈonnan
Tin	tˈiŋ
percela	persˈela
aglomera	aɡlomˈera
salarial	salarjˈal
cielo	sjˈelo
comunista	komunˈista
impacta	impˈakta
babuca	babˈuka
desafio	desˈafjo
caracteristica	karakteristˈika
ministerio	ministˈerjo
sede	sˈede
equipo	ekwˈipo
schouder	st͡ʃowdˈer
limpieza	limpjˈeza
Saliña	salˈiɲa
lasonan	lasˈonan
determinacion	determinasjˈoŋ
KLM	kˌaˌɛlˈɛm
oportuno	oportˈuno
Respaldo	respˈaldo
director	direktˈor
VO	vˈo
site	sˈite
lokaalnan	lokˈaːlnan
patruyahe	patrujˈahe
diabetes	djabetˈes
aplicable	aplikˈable
completamente	kompletamˈente
ABV	ˈabv
politico	politˈiko
custuma	kustˈuma
aplica	aplˈika
Hecho	hˈet͡ʃo
Gemeente	xemˈeːnte
Paraguana	paraɡwˈana
exacto	eksˈakto
desaroya	desarˈoja
september	septembˈer
reemplasa	reːmplˈasa
luga	lˈuɡa
constelacion	konstelasjˈoŋ
Libertador	libertadˈor
akinan	akˈinan
informando	informˈando
splike	splˈike
dimas	dimˈas
panort	panˈort
panorama	panorˈama
CEA	sˈea
basha	bˈaʃa
machine	mat͡ʃˈine
color	kolˈor
lantando	lantˈando
Golfo	ɡˈolfo
inunda	inˈunda
Quality	kwalˈiti
sorto	sˈorto
Cuanto	kwˈanto
Fast	fˈast
concurso	konkˈurso
animal	animˈal
ensera	ensˈera
acera	asˈera
luznan	lˈuznan
Recien	resjˈeŋ
oportunidad	oportunidˈad
localiza	lokalˈiza
procedente	prosedˈente
lugarnan	luɡˈarnan
medicamento	medikamˈento
hulp	hˈulp
promove	promˈove
asegurado	aseɡurˈado
AM	ˈam
talves	talvˈes
expande	ekspˈande
kizas	kizˈas
excusa	ekskˈusa
freezer	freːzˈer
Slachtofferhulp	slat͡ʃtofferhˈulp
RdA	ˌɛrdˈeˈa
Hoo	hˈoː
destinacion	destinasjˈoŋ
independencia	independˈensja
ley	lˈej
Bosman	bosmˈaŋ
botonan	botˈonan
SIMAR	simˈar
tarea	tarˈea
Schiphol	st͡ʃiphˈol
miseria	misˈerja
raiz	rˈa͡ɪz
ingresonan	inɡresˈonan
secretario	sekretˈarjo
DOW	dˈow
Cruises	krujsˈes
Shark	ʃˈark
asintomatico	asintomatˈiko
