pcion	pt͡ɕɔn
spowiadać	spɔvʲadat͡ɕ
impreza	imprɛza
mokros	mɔkrɔs
dziembor	d͡ʑɛmbɔr
złaź	zwaɕ
rzekomi	ʐɛkɔmʲi
szkolić	ʂkɔlʲit͡ɕ
archiwistom	arxʲivʲistɔm
rżyj	rʐɨj
wpierdol	fpʲɛrdɔl
jesionowy	jɛɕɔnɔvɨ
dwusetnym	dvusɛtnɨm
daktyl	daktɨl
chorobo	xɔrɔbɔ
podałem	pɔdawɛm
strumyk	strumɨk
najdrapieżniejszego	najdrapʲɛʐɲɛjʂɛɡɔ
żeleźce	ʐɛlɛɕt͡sɛ
współlokator	fspuwlɔkatɔr
purpurowo	purpurɔvɔ
mazowiecka	mazɔvʲɛt͡ska
nabizm	nabʲizm
kozera	kɔzɛra
ulg	ulk
pasztet	paʂtɛt
wychodź	vɨxɔt͡ɕ
papeć	papɛt͡ɕ
lodów	lɔduf
jurewicz	jurɛvʲit͡ʂ
obalacie	ɔbalat͡ɕɛ
jesieniami	jɛɕɛɲamʲi
prosem	prɔsɛm
emeryturka	ɛmɛrɨturka
brygida	brɨɡʲida
cnymi	t͡snɨmʲi
małpolud	mawpɔlut
moraw	mɔraf
prosta	prɔsta
kisły	kʲiswɨ
brachowicz	braxɔvʲit͡ʂ
pogorzelisko	pɔɡɔʐɛlʲiskɔ
otaczający	ɔtat͡ʂajɔnt͡sɨ
pheniańskiego	pxɛɲaɲskʲɛɡɔ
lepę	lɛpɛ
obszerniejszy	ɔpʂɛrɲɛjʂɨ
otapowicz	ɔtapɔvʲit͡ʂ
czuchraj	t͡ʂuxraj
fala	fala
czerwonawego	t͡ʂɛrvɔnavɛɡɔ
ranku	ranku
kornwalijskich	kɔrnvalʲijskʲix
chciejcie	xt͡ɕɛjt͡ɕɛ
świadomość	ɕfʲadɔmɔɕt͡ɕ
sugerować	suɡɛrɔvat͡ɕ
trampolina	trampɔlʲina
kunę	kunɛ
renoma	rɛnɔma
sefardyjski	sɛfardɨjskʲi
rozstrzygać	rɔsstʂɨɡat͡ɕ
rzędzie	ʐɛɲd͡ʑɛ
chwacki	xfat͡skʲi
pion	pʲɔn
okręgach	ɔkrɛŋɡax
goli	ɡɔlʲi
powszechnej	pɔfʂɛxnɛj
syndrom	sɨndrɔm
patrzałoby	patʂawɔbɨ
arabsku	arapsku
szczęśliwym	ʂt͡ʂɛ̃ɕlʲivɨm
mienie	mʲɛɲɛ
brój	bruj
paście	paɕt͡ɕɛ
zadro	zadrɔ
husytyzm	xusɨtɨzm
wiedziałybyście	vʲɛd͡ʑawɨbɨɕt͡ɕɛ
kapeluszowy	kapɛluʂɔvɨ
kopytem	kɔpɨtɛm
bośniacka	bɔɕɲat͡ska
maciąg	mat͡ɕɔŋk
sprzątać	spʂɔntat͡ɕ
wygadywać	vɨɡadɨvat͡ɕ
płakała	pwakawa
szyfruje	ʂɨfrujɛ
czciciel	t͡ʂt͡ɕit͡ɕɛl
wietrz	vʲɛtʂ
śladem	ɕladɛm
inhalacja	inxalat͡sja
ulubieni	ulubʲɛɲi
kamea	kamɛa
wchłonąć	fxwɔnɔɲt͡ɕ
łamiącym	wamʲɔnt͡sɨm
widział	vʲid͡ʑaw
ćmię	t͡ɕmʲɛ
żono	ʐɔnɔ
namoknięcie	namɔkɲɛɲt͡ɕɛ
gęganie	ɡɛŋɡaɲɛ
najbystrzejszy	najbɨstʂɛjʂɨ
dławica	dwavʲit͡sa
aptekarskim	aptɛkarskʲim
łużycki	wuʐɨt͡skʲi
baszkirskie	baʂkʲirskʲɛ
świnka	ɕfʲinka
chemiluminescencja	xɛmʲilumʲinɛst͡sɛnt͡sja
semickiego	sɛmʲit͡skʲɛɡɔ
rozjechać	rɔzjɛxat͡ɕ
stasiewicz	staɕɛvʲit͡ʂ
nęcony	nɛnt͡sɔnɨ
farmaceuta	farmat͡sɛwta
zamiara	zamʲara
najbarwniejszy	najbarvɲɛjʂɨ
dolców	dɔlt͡suf
doskonałemu	dɔskɔnawɛmu
norweżka	nɔrvɛʂka
rzeszewicz	ʐɛʂɛvʲit͡ʂ
szansa	ʂaw̃s̪a
węgornica	vɛŋɡɔrɲit͡sa
moroni	mɔrɔɲi
dokładnie	dɔkwadɲɛ
strzępa	stʂɛmpa
oskubywać	ɔskubɨvat͡ɕ
ujemny	ujɛmnɨ
zdrojowi	zdrɔjɔvʲi
aborcjo	abɔrt͡sjɔ
wapniowi	vapɲɔvʲi
kolektywizm	kɔlɛktɨvʲizm
port	pɔrt
zieloną	ʑɛlɔnɔ̃
woszczyk	vɔʂt͡ʂɨk
azerbejdżańscy	azɛrbɛjd͡ʐaɲst͡sɨ
argentyńskim	arɡɛntɨɲskʲim
łacheta	waxɛta
osadowi	ɔsadɔvʲi
śmiejesz	ɕmʲɛjɛʂ
gzom	ɡzɔm
gol	ɡɔl
zatrudniać	zatrudɲat͡ɕ
rowie	rɔvʲɛ
gardłem	ɡardwɛm
cudach	t͡sudax
turbosprężarka	turbɔsprɛ̃ʐarka
bliźnie	blʲiʑɲɛ
bujakowski	bujakɔfskʲi
bochen	bɔxɛn
mozół	mɔzuw
salacha	salaxa
superego	supɛrɛɡɔ
kończynowy	kɔɲt͡ʂɨnɔvɨ
płakano	pwakanɔ
rozeprę	rɔzɛprɛ
tryumf	trɨumf
wątpliwej	vɔntplʲivɛj
trzeciemu	tʂɛt͡ɕɛmu
ule	ulɛ
bogucki	bɔɡut͡skʲi
szył	ʂɨw
uboższy	ubɔʂʂɨ
pionek	pʲɔnɛk
inherentny	inxɛrɛntnɨ
kołtuniewicz	kɔwtuɲɛvʲit͡ʂ
najabsurdalniejszych	najapsurdalɲɛjʂɨx
oś	ɔɕ
wytwornie	vɨtfɔrɲɛ
missisipi	mʲisisipʲi
łba	wba
krop	krɔp
marnowały	marnɔvawɨ
pędów	pɛnduf
szczegielniak	ʂt͡ʂɛɡʲɛlɲak
rybny	rɨbnɨ
kaczce	kat͡ʂt͡sɛ
kopnięcie	kɔpɲɛɲt͡ɕɛ
wstążeczka	fstɔ̃ʐɛt͡ʂka
adresatem	adrɛsatɛm
kościelni	kɔɕt͡ɕɛlɲi
płozie	pwɔʑɛ
łowczyni	wɔft͡ʂɨɲi
palić	palʲit͡ɕ
hektar	xɛktar
australia	awstralʲa
powtórz	pɔftuʂ
piszą	pʲiʂɔ̃
kretowisko	krɛtɔvʲiskɔ
nikaraguańskiego	ɲikaraɡuaɲskʲɛɡɔ
opale	ɔpalɛ
interwałach	intɛrvawax
ukształtować	ukʂtawtɔvat͡ɕ
pieniami	pʲɛɲamʲi
grzeczna	ɡʐɛt͡ʂna
przewinić	pʂɛvʲiɲit͡ɕ
białostocczanie	bʲawɔstɔt͡st͡ʂaɲɛ
pierwszym	pʲɛrfʂɨm
moczarzysko	mɔt͡ʂaʐɨskɔ
pumpernikiel	pumpɛrɲikʲɛl
kubańczyk	kubaɲt͡ʂɨk
wachowiec	vaxɔvʲɛt͡s
gdańskiemu	ɡdaɲskʲɛmu
lotu	lɔtu
ścisłość	ɕt͡ɕiswɔɕt͡ɕ
troski	trɔskʲi
glonie	ɡlɔɲɛ
imponować	impɔnɔvat͡ɕ
służyć	swuʐɨt͡ɕ
borowczak	bɔrɔft͡ʂak
kasjanowicz	kasjanɔvʲit͡ʂ
durakiewicz	durakʲɛvʲit͡ʂ
prenatalny	prɛnatalnɨ
łunę	wunɛ
łaskawy	waskavɨ
jagas	jaɡas
decewicz	dɛt͡sɛvʲit͡ʂ
swoja	sfɔja
latosi	latɔɕi
sworzeń	sfɔʐɛɲ
rozmrozić	rɔzmrɔʑit͡ɕ
pijanica	pʲijaɲit͡sa
kubizm	kubʲizm
paździur	paʑd͡ʑur
wolałem	vɔlawɛm
wietnam	vʲjɛtnam
sowitym	sɔvʲitɨm
zworka	zvɔrka
cynamon	t͡sɨnamɔn
pięciobój	pʲɛɲt͡ɕɔbuj
kasiorkiewicz	kaɕɔrkʲɛvʲit͡ʂ
porównywalny	pɔruvnɨvalnɨ
stopka	stɔpka
śpiew	ɕpʲɛf
lęków	lɛŋkuf
maseczkom	masɛt͡ʂkɔm
absorbowałabyś	apsɔrbɔvawabɨɕ
śmieja	ɕmʲɛja
półotwarty	puwɔtfartɨ
napełnić	napɛwɲit͡ɕ
bezczelną	bɛst͡ʂɛlnɔ̃
poprawny	pɔpravnɨ
grubego	ɡrubɛɡɔ
interlingua	intɛrlʲinɡva
przegródka	pʂɛɡrutka
proletariat	prɔlɛtarʲjat
wiedziecie	vʲɛd͡ʑɛt͡ɕɛ
motana	mɔtana
raduch	radux
truły	truwɨ
babuleńka	babulɛɲka
archiwizująca	arxʲivʲizujɔnt͡sa
eksterminacja	ɛkstɛrmʲinat͡sja
wywioł	vɨvʲɔw
karpiel	karpʲɛl
rozrobienie	rɔzrɔbʲɛɲɛ
rolną	rɔlnɔ̃
tekieli	tɛkʲɛlʲi
żmiją	ʐmʲijɔ̃
podgląd	pɔdɡlɔnt
brojler	brɔjlɛr
planista	plaɲista
doceniała	dɔt͡sɛɲawa
sapieja	sapʲɛja
karcić	kart͡ɕit͡ɕ
czerwcowy	t͡ʂɛrft͡sɔvɨ
dyspozycja	dɨspɔzɨt͡sja
porzuczek	pɔʐut͡ʂɛk
skokami	skɔkamʲi
kożdoń	kɔʐdɔɲ
wędko	vɛntkɔ
kodź	kɔt͡ɕ
pingwinek	pʲinɡvʲinɛk
goły	ɡɔwɨ
pogardzić	pɔɡard͡ʑit͡ɕ
rzuć	ʐut͡ɕ
najnadobniejszy	najnadɔbɲɛjʂɨ
zapierdolić	zapʲɛrdɔlʲit͡ɕ
chatko	xatkɔ
zjednoczony	zjɛdnɔt͡ʂɔnɨ
zamieszczać	zamʲɛʂt͡ʂat͡ɕ
mysia	mɨɕa
konkurując	kɔŋkurujɔnt͡s
pszeniec	pʂɛɲɛt͡s
osiko	ɔɕikɔ
udeczko	udɛt͡ʂkɔ
albinizm	albʲiɲizm
serafiński	sɛrafʲiɲskʲi
sieniec	ɕɛɲɛt͡s
hamburski	xamburskʲi
dziecięca	d͡ʑɛt͡ɕɛnt͡sa
włókiennictwo	vwukʲɛnɲit͡stfɔ
przestraszać	pʂɛstraʂat͡ɕ
kapcewicz	kapt͡sɛvʲit͡ʂ
winimy	vʲiɲimɨ
oczywiści	ɔt͡ʂɨvʲiɕt͡ɕi
długonosy	dwuɡɔnɔsɨ
wilczych	vʲilt͡ʂɨx
widownia	vʲidɔvɲa
poważniejszego	pɔvaʐɲɛjʂɛɡɔ
położę	pɔwɔʐɛ
jajorodności	jajɔrɔdnɔɕt͡ɕi
parociąg	parɔt͡ɕɔŋk
klekot	klɛkɔt
igom	iɡɔm
chwilą	xfʲilɔ̃
plotce	plɔtt͡sɛ
ślimak	ɕlʲimak
prawilny	pravʲilnɨ
kserować	ksɛrɔvat͡ɕ
upraszczanie	upraʂt͡ʂaɲɛ
tundra	tundra
monoteista	mɔnɔtɛista
spada	spada
wlazik	vlaʑik
kapuściane	kapuɕt͡ɕanɛ
octan	ɔt͡stan
krasemu	krasɛmu
okroju	ɔkrɔju
wiej	vʲɛj
nieświec	ɲɛɕfʲɛt͡s
piwom	pʲivɔm
pałach	pawax
bujanie	bujaɲɛ
przeanalizowanym	pʂɛanalʲizɔvanɨm
werbena	vɛrbɛna
jadłom	jadwɔm
komórkowe	kɔmurkɔvɛ
woziłabyś	vɔʑiwabɨɕ
nieskazitelny	ɲɛskaʑitɛlnɨ
padnięty	padɲɛntɨ
wielokulturowość	vʲɛlɔkulturɔvɔɕt͡ɕ
załatw	zawatf
jaworznicki	javɔʐɲit͡skʲi
ciążącego	t͡ɕɔ̃ʐɔnt͡sɛɡɔ
