portbagaj	portbaɡaʒ
compara	kompara
acvilon	akvilon
ahtiat	ahtijat
basist	basist
râurire	rɨurire
zări	zəri
recromat	rekromat
schițat	skʲ̩itsat
alămiu	aləmiiw
mongoloid	monɡoloid
vibratil	vibratil
acarniță	akarnitsə
ultrarafinat	ultrarafinat
fotocopie	fotokopije
nepopulat	nepopulat
crâșmaru	krɨʃmaru
tăinduți	təindutsʲ
comedian	komedijan
încăpăstrat	ɨnkəpəstrat
ideolog	ideoloɡ
hidrometric	hidrometrik
întreține	ɨntretsine
prăjiturică	prəʒiturikə
trâmbițare	trɨmbitsare
împătrire	ɨmpətrire
agerire	adʒerire
explice	eksplitʃe
îndușmănit	ɨnduʃmənit
bandură	bandurə
lombotomie	lombotomije
sfințitură	sfintsiturə
eclozionator	eklozionator
interpretat	interpretat
gogu	ɡoɡu
fotoelectron	fotoelektron
dejeu	deʒew
ploieșteancă	plojeʃtĕankə
ril	ril
sârboaică	sɨrbŏajkə
geamul	dʒ̩amul
sorocovăț	sorokovəts
plenipotențiar	plenipotentsijar
hrăpire	hrəpire
încurajator	ɨnkuraʒator
ghiță	gʲ̩itsə
prisoseală	prisosĕalə
burat	burat
legea	ledʒ̩a
sinaxar	sinaksar
octacord	oktakord
înșine	ɨnʃine
dăduse	dəduse
vituperat	vituperat
mănăstiresc	mənəstiresk
striptis	striptis
pustiire	pustijire
mecanic	mekanik
țevar	tsevar
pigmentat	piɡmentat
cantaridism	kantaridism
mucarer	mukarer
complex	kompleks
strecurase	strekurase
domnesc	domnesk
motan	motan
condiție	konditsije
ciritel	tʃiritel
regenerat	redʒenerat
platinare	platinare
lovită	lovitə
aburcat	aburkat
poloist	poloist
căsătorisem	kəsətorisem
nemetalic	nemetalik
elei	elej
drac	drak
coleric	kolerik
dăhulare	dəhulare
dezrădăcinat	dezrədətʃinat
fructidor	fruktidor
grima	ɡrima
supurare	supurare
public	publik
logodire	loɡodire
contribuim	kontribuim
mistificație	mistifikatsije
dulceag	dultʃ̩aɡ
zilelor	zilelor
revers	revers
piez	piez
mârșăvire	mɨrʃəvire
clujean	kluʒĕan
nemijlocire	nemiʒlotʃire
țircălam	tsirkəlam
proci	pɾot͡ʃʲ
reversor	reversor
fotorezistor	fotorezistor
întroloca	ɨntroloka
dindărătul	dindərətul
metonimic	metonimik
aspic	aspik
triluire	triluire
medelnicer	medelnitʃer
zdrobire	zdrobire
delmadi	delmadi
puroiere	purojere
monodic	monodik
jilăvit	ʒiləvit
pogrebanie	poɡrebanije
întregol	ɨntreɡol
fitoparazit	fitoparazit
învățăm	ɨnvətsəm
isprăvire	isprəvire
hexastihă	heksastihə
planarie	planarije
câtime	kɨtime
abreviativ	abrevijativ
jelitor	ʒelitor
băltoacele	bəltŏatʃele
paharele	paharele
crescuse	kreskuse
antropografie	antropoɡrafije
holeric	holerik
participa	partitʃipa
enterochinază	enterokʲ̩inazə
arăcire	arətʃire
scurge	skurdʒe
contactează	kontaktĕazə
autobuzul	autobuzul
canonizat	kanonizat
privire	privire
refuz	refuz
lenghi	lengʲ̩ʲ
sta	sta
semivocală	semivokalə
cocârjat	kokɨrʒat
frecară	frekarə
socrit	sokrit
aldea	aldĕa
pulpar	pulpar
flămânzică	fləmɨnzikə
viforî	viforɨ
poditură	poditurə
valută	valutə
cleionaj	klejonaʒ
eneolitic	eneolitik
leșială	leʃialə
rectiliniu	rektilinju
răzorit	rəzorit
țările	tsərile
floreanu	florĕanu
violet	violet
poală	pŏalə
scrofulariacee	skrofularijatʃee
sumușoară	sumuʃŏarə
cuscrie	kuskrije
vulpărie	vulpərije
telegrafiere	teleɡrafijere
brichetare	brikʲ̩etare
atașați	ataʃatsʲ
podorojnă	podoroʒnə
escatologie	eskatolodʒije
bradilalie	bradilalije
absolvit	apsolvit
ejector	eʒektor
supur	supur
cromul	kromul
roșiatec	roʃijatek
pârpăriță	pɨrpəritsə
împușcăturilor	ɨmpuʃkəturilor
ochilor	okʲ̩ilor
clorofilian	klorofilijan
ațipise	atsipise
pioree	pioree
lanifer	lanifer
coproprietar	koproprijetar
asmuți	asmutsi
opțiunile	optsiunile
peninsulă	peninsulə
cuaga	kuwaɡa
reânverzire	reɨnverzire
bardou	bardow
sfatul	sfatul
lenticular	lentikular
satulungean	satulundʒ̩an
hipometrie	hipometrije
julire	ʒulire
edulcora	edulkora
faringoscop	farinɡoskop
rădoi	rədoj
situate	situwate
braconajul	brakonaʒul
curmal	kurmal
dăruială	dərujalə
extatic	ekstatik
făptașul	fəptaʃul
inconceptibil	inkontʃeptibil
descalifica	deskalifika
împlinire	ɨmplinire
gherghină	gʲ̩ergʲ̩inə
garnierit	ɡarnijerit
oacheș	ŏakʲ̩eʃ
torpedou	torpedow
inegală	ineɡalə
navomodelist	navomodelist
alegorizare	aleɡorizare
rufele	rufele
tuciuriu	tutʃ̩uriw
velură	velurə
sinele	sinele
dădăceală	dədətʃ̩alə
bătălău	bətələw
consistare	konsistare
podval	podval
apropriere	aproprijere
oricui	orʲkuj
conceptibil	kontʃeptibil
amorsare	amorsare
nanomelie	nanomelije
revocație	revokatsije
mustăcilă	mustətʃilə
balcanolog	balkanoloɡ
universul	universul
contrapapă	kontrapapə
exagerare	eksadʒerare
șutare	ʃutare
ramolisment	ramolisment
opistotonus	opistotonus
dermatolog	dermatoloɡ
fotocopia	fotokopija
constrictor	konstriktor
dramatic	dramatik
aristotelism	aristotelism
ghemotoc	gʲ̩emotok
cosmonautic	kosmonautik
aiud	ajud
citare	tʃitare
combustie	kombustije
solo	solo
apometru	apometru
pirostie	pirostije
supertanc	supertank
matura	matura
neadevărat	neadevərat
emailat	emailat
somaseră	somaserə
drăgușin	drəɡuʃin
porumbacu	porumbaku
caracterologic	karakterolodʒik
ambulanțelor	ambulantselor
însuți	ɨnsutsʲ
damnațiune	damnatsiune
resursele	resursele
melasat	melasat
mortieră	mortierə
jefuit	ʒefuit
deparazita	deparazita
crenela	krenela
amortizabil	amortizabil
macerație	matʃeratsije
ajuta	aʒuta
propășire	propəʃire
tiloză	tilozə
ațintite	atsintite
pătrișor	pətriʃor
electroosmoză	elektroosmozə
disfazie	disfazije
plătească	plətĕaskə
retrăgea	retrədʒ̩a
fumând	fumɨnd
plantări	plantərʲ
corhart	korhart
asfaltare	asfaltare
ridicătură	ridikəturə
promilă	promilə
pupăgioară	pupədʒ̩ŏarə
injurios	inʒurios
botoșel	botoʃel
deconcertant	dekontʃertant
observat	observat
nechezat	nekʲ̩ezat
mastoidian	mastoidijan
decisiv	detʃisiv
mongol	monɡol
înviforare	ɨnviforare
purces	purtʃes
tăioasă	təjŏasə
pneumografie	pneumoɡrafije
frigoterapie	friɡoterapije
neurastenizant	neurastenizant
dinafară	dinafarə
caza	kaza
spectacol	spektakol
inserabil	inserabil
orhiotomie	orhiotomije
habitaclu	habitaklu
macabe	makabe
fer	fer
sfârâială	sfɨrɨjalə
maniat	maniat
răsăriți	rəsəritsʲ
postumitate	postumitate
satisface	satisfatʃe
osatură	osaturə
plopărie	plopərije
orășenesc	orəʃenesk
chelonian	kʲ̩elonijan
termocolare	termokolare
anosmie	anosmije
economat	ekonomat
radovan	radovan
ifos	ifos
conciliatorist	kontʃilijatorist
remorcabil	remorkabil
țelinos	tselinos
săpunire	səpunire
neliniștitor	neliniʃtitor
înjumătățit	ɨnʒumətətsit
