शम्	ɕɐm
लषति	l̪ɐʂɐt̪i
व्याघ्र	ʋjɑːɡʱɾɐ
मेधा	meːd̪ʱɑː
जल	d͡ʑɐl̪ɐ
रन्धयति	ɾɐn̪d̪ʱɐjɐt̪i
द्रायति	d̪ɾɑ́ːjɐt̪i
शरद्	ɕɐɾɐd̪
क्रेता	kɾɐjt̪ɑː
भाजयति	bʱɑːd͡ʑɐjɐt̪i
श्लिष्यन्ति	ɕl̪iʂjɐn̪t̪i
पुरोळाश्	puɾoːɭ̆ɑːɕ
कपोल	kɐpɐwl̪ɐ
शिक्षिकाणाम्	ɕikʂikɑːɳɑːm
बुध्यते	búd̪ʱjɐt̪ɐj
काम	kɑːmɐ
प्रवाचे	pɾɐʋɑːt͡ɕeː
क्लन्द्	kl̪ɐn̪d̪
रैवत	ɾɑjʋɐt̪ɐ
गृणाति	ɡr̩ɳɑːt̪i
अस्थात्	ɐ́s̪t̪ʰɑːt̪
सायम्	s̪ɑːjɐm
क्रम	kɾɐ́mɐ
स्याली	s̪jɑːl̪iː
अङ्गुष्ठ	ɐŋɡuʂʈʰɐ
करोतु	kɐɾoːt̪u
पुस्तक	pus̪t̪ɐkɐ
प्यायित	pjɑːjit̪ɐ
दोषा	d̪oːʂɑː
दम्	d̪ɐ́m
अप्सस्	ɐ́ps̪ɐs̪
आलु	ɑːl̪u
बभ्रु	bɐbʱɾu
गृह	ɡr̩ɦɐ
वायु	ʋɑːju
गुलानाम्	ɡul̪ɑːn̪ɑːm
हस्तत्राण	ɦɐs̪t̪ɐt̪ɾɑːɳɐ
इन्द्र	ín̪d̪ɾɐ
संकल्प	s̪ɐŋkɐl̪pɐ́
पञ्चाशत्	pɐɲt͡ɕɑːɕɐt̪
कम्बल	kɐmbɐl̪ɐ
पीयूष	piːjuːʂɐ
दोमन्	d̪oːmɐn̪
वाष्प	ʋɑːʂpɐ
लाञ्छ्	l̪ɑːɲt͡ɕʰ
ग्ना	ɡn̪ɑː
दम	d̪ɐ́mɐ
सज्जन	s̪ɐdd͡ʑɐn̪ɐ
पसस्	pɐ́s̪ɐs̪
विश्पति	ʋiɕpɐ́t̪i
उष्ट्र	uʂʈɾɐ
ईशान	iːɕɑːn̪ɐ
यस्मिन्	jɐs̪min̪
बर्जह्य	bɐɾd͡ʑɐɦjɐ
प्रज्ञान	pɾɐd͡ʑɲɑ́ːn̪ɐ
उर्वरा	uɾʋɐ́ɾɑː
श्विन्दताम्	ɕʋin̪d̪ɐt̪ɑːm
यौन	jɑːwn̪ɐ
पीन	piːn̪ɐ
शुभ्र	ɕubʱɾɐ
पुरोळाश्	puɾɐwɭ̆ɑ́ːɕ
तेषां	t̪ɐjʂɑːm
मानव	mɑːn̪ɐʋɐ
नश्	n̪ɐɕ
मसिपात्र	mɐs̪ipɑːt̪ɾɐ
अन्धकार	ɐn̪d̪ʱɐkɑːɾɐ
शीर्ष	ɕiːɾʂɐ́
चिकित्सकेन	t͡ɕikit̪s̪ɐkɐjn̪ɐ
अर्क	ɐɾkɐ
प्रपद्यते	pɾɐpɐd̪jɐt̪eː
मधु	mɐd̪ʱu
तुतोर्ति	t̪ut̪oːɾt̪i
दिक्करिन्	d̪ikkɐɾin̪
पुष्यति	púʂjɐt̪i
सरु	s̪ɐɾu
महाभारत	mɐɦɑ́ːbʱɑːɾɐt̪ɐh
अघ्न्या	ɐ́ɡʱn̪jɑː
सिंह	s̪ĩɦɐ
दूर्वा	d̪uːɾʋɑː
निवास	n̪iʋɑːs̪ɐ
वीतिराधस्	ʋiːt̪iɾɑːd̪ʱɐs̪
छिनत्ति	t͡ɕʰin̪ɐ́t̪t̪i
भर्ग	bʱɐ́ɾɡɐ
