egypt	ɛɡipt
klas	kɫas
hašiš	ɦaʃiʃ
malachiáš	maɫaxiaːʃ
spyware	spajvɛːr
schopný	sxɔpniː
justa	justa
telách	cɛɫaːx
eta	ɛta
jahoda	jaɦɔda
hrdlo	ɦr̩dɫɔ
jazero	jazɛrɔ
chudnúť	xʊdnuːc
fruštik	fruʃcik
úzky	uːski
konfirmácia	kɔnfirmaːt͡sia
rozália	rɔzaːlia
mena	mɛna
kamila	kamiɫa
zlatý	zɫatiː
matej	matɛj
fero	fɛrɔ
beh	bɛx
sopka	sɔpka
anna	anna
aktualizovať	aktualizovac
pravdy	pravdi
macedónsko	mat͡sɛdɔːnskɔ
zátvorka	zaːtvɔrka
švédsky	ʃvɛːtski
riad	ri̯at
ruska	ruska
sofoniáš	sɔfɔniaːʃ
tma	tma
bohdana	bɔɦdana
rastislav	rascisɫau̯
pekáreň	pɛkaːrɛɲ
herečka	ɦɛrɛt͡ʃka
bradatý	bradatiː
anamnéza	anamnɛːza
fotografiami	fɔtɔɡrafiami
vratislav	vracisɫau̯
nacionalistka	nat͡siɔnalistka
územie	uːzɛmi̯ɛ
týždeň	tiːʒɟɛɲ
metajazyk	mɛtajazik
medvedice	mɛdvɛɟit͡sɛ
osem	ɔsɛm
akonáhle	akɔnaːɦlɛ
robota	rɔbɔta
hypnos	ɦipnɔs
milica	milit͡sa
koruna	koruna
koláčový	kɔɫaːt͡ʃɔviː
slovinka	sɫɔviŋka
slimák	slimaːk
sen	sɛn
sa	sa
nohavice	nɔɦavit͡sɛ
charakter	xaraktɛr
jazera	jazɛra
motýlí	mɔtiːʎiː
jazerá	jazɛraː
stroncium	strɔnt͡sium
strelec	strɛlɛt͡s
drôt	dru̯ɔt
hrianka	ɦr̩i̯aŋka
kapitalizmus	kapitalizmus
cudzinec	t͡sud͡ziɲɛt͡s
lítium	liːtium
čas	t͡ʃas
olovo	ɔɫɔvɔ
myslieť	misli̯ɛc
strukovina	strukɔvina
stehlík	scɛɦʎiːk
jednou	jednou̯
topánky	tɔpaːŋki
ryba	riba
rožok	rɔʒɔk
íri	iːri
gajdy	ɡajdi
figovník	fiɡɔu̯ɲiːk
prvosienka	pr̩vɔsi̯ɛŋka
biskup	biskup
rus	rus
ado	adɔ
meno	mɛnɔ
tráva	traːva
jednými	jedniːmi
zemiak	zɛmi̯ak
socialistický	sɔt͡sialistit͡skiː
situácia	situaːt͡sia
stretnutie	strɛtnuci̯ɛ
prvý	pr̩viː
devätnásť	ɟɛvætnaːsc
kakao	kakaɔ
prdieť	pr̩ɟi̯ɛc
oto	ɔtɔ
nádražiu	naːdraʒi̯u
dionýz	dioniːs
elektrina	ɛlɛktrina
predať	prɛdac
losos	ɫɔsɔs
genovéva	ɡɛnɔvɛːva
mário	maːriɔ
šťúr	ʃcuːr
tabu	tabu
európy	ɛu̯rɔːpi
damask	damask
danuta	danuta
daňo	daɲɔ
od	ɔd
tomáš	tɔmaːʃ
chlapi	xɫapi
jar	jar
zdraví	zdraviː
ústa	uːsta
faktu	faktu
vincent	vint͡sɛnt
betón	bɛtɔːn
judita	judita
svetoch	svɛtɔx
bratranec	bratranet͡s
škvrna	ʃkvr̩na
mrlí	mr̩liː
zombia	zɔmbia
fön	føn
dej	ɟɛj
ľuda	ʎuda
chmeľ	xmɛʎ
kýl	kiːɫ
škóti	ʃkɔːci
kmeň	kmɛɲ
bohužiaľ	bɔɦuʒi̯aʎ
karí	kariː
žriebäcí	ʒri̯bɛt͡siː
dážď	daːʃc
győr	ɟɛːr
hudba	ɦudba
baht	baːt
tok	tɔk
vziať	vzi̯ac
chudý	xudiː
džungľa	d͡ʒuŋɡʎa
sviečka	svi̯ɛt͡ʃka
rúno	ruːnɔ
škáročka	ʃkaːrɔt͡ʃka
ypsilon	ipsiɫɔn
škál	ʃkaːɫ
sokol	so̞ko̞l
najmenší	najmɛnʃiː
báb	baːp
prípad	priːpat
bojovať	bɔjɔvac
krajinách	krajinaːx
mech	mɛx
hajzel	ɦajzɛɫ
tkáč	tkaːt͡ʃ
slivka	sliu̯ka
dva	dva
miezd	mi̯est
luk	ɫuk
piť	pic
jób	jɔːp
ušnica	uʃɲit͡sa
tlmač	tɫ̩mat͡ʃ
kanton	kantɔn
okuliarnik	ɔkuʎi̯arɲik
jednu	jednu
servus	sɛrvus
morava	mɔrava
puška	puʃka
letisko	lɛciskɔ
olympia	ɔlimpia
aperitív	apɛritiːw
václav	ʋaːt͡sɫaw
róbert	rɔːbɛrt
branislava	braɲislava
pšenice	pʃɛɲit͡sɛ
bombardovať	bɔmbardɔvac
turek	turɛk
šatôčka	ʃatu̯ɔt͡ʃka
figa	fiɡa
pokým	pɔkiːm
držgroš	dr̩ʒɡrɔʃ
monarcha	mɔnarxa
vinš	vinʃ
ch	x
povedať	pɔvɛdac
autobus	au̯tɔbus
jeruzalem	jɛruzalɛm
líška	liːʃka
krajinami	krajinami
jazýček	jaziːt͡ʃɛk
choroba	xɔrɔba
dobroslava	dɔbrɔsɫava
kožušník	kɔʒuʃɲiːk
džez	d͡ʒɛs
kus	kus
cikať	t͡sikac
sodík	sɔɟiːk
berta	bɛrta
aragonit	araɡɔnit
peklo	pɛkɫɔ
zuzana	zuzana
nájsť	naːjsc
erb	ɛrb
úbohý	uːbɔɦiː
pod	pɔt
hrdý	ɦr̩diː
kambodža	kambɔd͡ʒa
film	fiɫm
srdca	sr̩t͡sa
noc	nɔt͡s
štrnásť	ʃtr̩naːsc
oliva	oliva
koreň	kɔrɛɲ
holandčina	ɦɔɫandt͡ʃina
zuzka	zuska
mikroskop	mikrɔskɔp
nízky	ɲiːski
ďakujúci	ɟakujuːt͡si
debna	ɟɛbna
pornografia	pɔrnɔɡrafia
žihľavka	ʒiɦʎau̯ka
hrdinka	ɦr̩ɟiŋka
stanislav	staɲisɫau̯
arménsko	armɛːnskɔ
demeter	dɛmɛtɛr
premávka	prɛmaːu̯ka
hnačka	ɦnat͡ʃka
pravdám	pravdaːm
laco	ɫat͡so
kuchyňa	kuxiɲa
drahoslava	draɦɔsɫava
idiot	idiɔt
vuvuzela	ʋuʋuzeɫa
kubo	kubɔ
stromom	strɔmɔm
králik	kraːʎik
kluž	kluʃ
črieda	t͡ʃri̯ɛda
preteky	prɛcɛki
zubáč	zubaːt͡ʃ
okná	ɔknaː
tlač	tɫat͡ʃ
danica	daɲit͡sa
faktom	faktom
ulicu	uʎit͡su
hebrejčina	ɦɛbrɛjt͡ʃina
čokoláda	t͡ʃɔkɔɫaːda
dudy	dudi
sveta	svɛta
niekto	ɲi̯ɛktɔ
vlastimil	vɫascimiɫ
džem	d͡ʒɛm
meč	mɛt͡ʃ
kocúr	kot͡suːr
láska	ɫaːska
turecko	turɛt͡skɔ
idea	idɛa
celý	t͡sɛliː
izis	izis
nataša	nataʃa
užitočnosť	uʒitɔt͡ʃnɔsc
ä	æ
horčica	ɦɔrt͡ʃit͡sa
slovinec	sɫɔviɲɛt͡s
sujet	syʒɛ
medveď	mɛdvɛc
pretekár	prɛcɛkaːr
drviť	dr̩vic
poloostrov	pɔɫɔɔstrɔu̯
svedomí	svɛdɔmiː
angelika	aŋɡɛlika
mama	mama
jestvovať	jɛstvɔvac
šálka	ʃaːɫka
labuť	ɫabuc
hrať	ɦrac
strach	strax
poznať	pɔznac
beňadik	bɛɲaɟik
otec	ɔcɛt͡s
národný	naːrɔdniː
