pogosto	pɔɡóːstɔ
bober	bɔ̀ːbər
koren	kɔréːn
bajta	báːjta
kategorija	katɛɡɔríːja
smetana	smèːtana
dotakniti	dɔtaknìːti
konkreten	kɔnkréːtən
življenje	ʒiʋljɛ̀ːnjɛ
komet	kɔméːt
molibden	mɔlibdéːn
pljučnica	pljúːt͡ʃnit͡sa
najmanjši	nájmáːnʃi
sedemdeset	sèːdəmdɛsɛt
poldan	pɔ́ːʋdan
odvisen	ɔdʋìːsən
rojstvo	rɔ̀ːjstʋɔ
prga	pə̀rɡa
bolgarščina	bɔlɡáːrʃt͡ʃina
gripa	ɡrìːpa
čipka	t͡ʃíːpka
dragulj	draɡùːl
češka	t͡ʃéːʃka
ponedeljek	pɔnɛdéːljək
stroj	strɔ́j
vpliv	ʋplíːʋ
krompir	krɔmpíːr
pornografski	pɔrnɔɡráːfski
kupovati	kupɔʋàːti
pisati	pisàːti
ločiti	lòːt͡ʃiti
luteranec	lutɛráːnət͡s
sreda	sréːda
luč	lùːt͡ʃ
lepiti	lɛpìːti
kapetanka	kapéːtanka
risba	ríːzba
jelša	jèːʋʃa
mavrica	máːʋrit͡sa
gost	ɡóːst
bivši	bíːʋʃi
usluga	uslúːɡa
očim	òːt͡ʃim
reka	rèːka
učiti	ut͡ʃìːti
adjektiven	adjɛktíːʋən
kelih	kèːlix
ogljik	ɔɡljíːk
leči	lèːt͡ʃi
kadar	kádar
jeremija	jɛrɛmíːja
čutiti	t͡ʃutìːti
krokar	króːkar
aljaska	aljáːska
petelin	pɛtɛ̀ːlin
najdražji	nájdráːʒji
zločin	zlɔt͡ʃíːn
ruvati	rúːʋati
klofuta	klɔfùːta
smodnik	smɔdnìːk
znanje	znáːnjɛ
podlejši	pɔ̀ːdlɛjʃi
grapa	ɡràːpa
orgiastičen	ɔrɡiàːstit͡ʃən
vojna	ʋɔ̀ːjna
oni	ɔ̀ːni
magnezij	maɡnéːzij
oporoka	ɔpɔróːka
grozljivka	ɡrɔzljíːʋka
nadlegovati	nadlɛɡɔʋàːti
perverzija	pɛrʋɛrzíːja
trizob	trizóːp
joga	jóːɡa
pravo	práːʋɔ
takoj	takɔ́j
modo	móːdɔ
ustreznik	ustrèːznik
zelen	zɛlɛ́n
