girtat	kirːtaht
vihtta	vihːta
njeađgat	ɲea̯ðːkaht
ruobbut	ruo̯bːbuːht
nullen	nuːllen
gorri	korːriː
ovdamearka	ovːtamea̯rːka
hávda	haːvːta
bodda	podːda
goaski	koɑ̯sːkiː
čuohcit	t͡ʃuo̯ht͡siːht
ahte	ahte
ruibi	rujːpiː
diggi	tiɡːɡiː
ruoškit	ruo̯ʃːkiːht
sikta	sikːta
oalát	oɑ̯laːht
noga	noka
suodji	suo̯ɟɟiː
dis	tiːs
ruskat	rusːkaht
hávkka	haːvkka
čieža	t͡ʃie̯t͡ʃa
ruossat	ruo̯ssaht
gurdit	kurːtiːht
njávgut	ɲaːvːkuːht
maŋŋidis	maŋɲiːtis
šearfa	ʃea̯rːfa
reavgit	rea̯vːkiːht
mordos	moːrːtos
hirsa	hirːsa
rátnu	raːtnuː
ođđaseamos	oððase̯amos
gelde	keːlːte
lihtter	lihːter
dihkki	tihːkiː
báidnit	paːjːtniːht
čalmmas	t͡ʃalmmas
eatnagat	ea̯tnakaht
čierrut	t͡ʃie̯rruːht
viessu	vie̯ssuː
dálvat	taːlːvaht
lieđđut	lie̯ððuːht
njuolla	ɲuo̯lla
biedju	pie̯ɟɟuː
jávri	jaːvːriː
girku	kirːkuː
eallju	ea̯ʎːʎuː
meardi	mea̯rːtiː
čeahpit	t͡ʃea̯hpiːht
doaivvuhit	toɑ̯jvvuːhiht
dola	tola
rušpi	ruʃːpiː
soahti	soɑ̯htiː
čáhppadeamos	t͡ʃaːhːpate̯amos
váibmu	vaːjːpmuː
borren	porren
rukses	ruːkːses
čavgat	t͡ʃavːkaht
bákŋi	paːtɲiː
suovva	suo̯vva
sáddet	saːdːdeht
leaŋga	lea̯ŋːka
aiddolaš	ajːttolaʃ
alihit	aliːhiht
siida	sijːta
avii	avij
vuoigat	vuo̯jːkaht
nargit	narːkiːht
allet	alleht
iežaska	ie̯t͡ʃaska
dohppa	tohːpa
heavdni	hea̯vːtniː
sakka	sakka
arvvosmit	arvvosmiht
cissat	t͡sisːsaht
bihpar	pihpar
návdi	naːvːtiː
bállu	paːlːluː
idja	iɟɟa
eadnádet	ea̯dːnaːteht
bivaheapme	pivahe̯apme
hevro	hevːro
doarggistit	toɑ̯rːkkiːstiht
amastit	amastiht
allot	alloht
luondu	luo̯nːtuː
breava	prea̯va
muitu	mujːtuː
addalit	adːdaliht
riibat	rijːpaht
bikšut	pikːʃuːht
guostát	kuo̯sːtaːht
báŋku	paːŋːkuː
einnostit	eːjnnostiht
juopmu	juo̯pmuː
sápmi	saːpmiː
roavgu	roɑ̯vːkuː
fihtolaš	fiːhtolaʃ
cuovka	t͡suo̯vːka
boahtin	poɑ̯htiːn
čearret	t͡ʃe̯arreht
gahčat	kaht͡ʃaht
muohtu	muo̯htuː
rivgu	rivːkuː
aiddonassii	ajːttonassij
garvit	karːviːht
lieđbmi	lie̯ðːpmiː
garcut	karːt͡suːht
savvi	savːviː
lohku	lohkuː
amas	amas
vuodjit	vuo̯ɟɟiːht
bohtás	pohtaːs
haŋkit	haŋːkiːht
arvu	arːvuː
fállá	faːlːlaː
broma	proːma
ozan	ot͡san
dál	taːl
anáraš	anaːraʃ
ráfi	raːfiː
basten	pasːten
iras	iras
issorasat	issorasaht
bolde	poːlːte
oliiga	olijka
davvisámegiella	tavviːsaːmekie̯lla
ándaras	aːnːtaras
morde	moːrːte
loaidu	loɑ̯jːtuː
veahkehit	ve̯ahkehiht
doidit	tojːtiːht
oallut	oɑ̯lluːht
besten	peːsːten
čiegus	t͡ʃie̯kuːs
jokŋa	jotɲa
readnját	rea̯dːɲaːht
beana	pea̯na
aiddostahttit	ajːttostahːtiːht
sálga	saːlːka
lutkoseamos	luːtːkose̯amos
njáškát	ɲaːʃːkaːht
luomi	luo̯miː
dološ	toloʃ
alimas	aliːmas
nearrat	nea̯rraht
cuovkaneapmi	t͡suo̯vːkanea̯pmiː
loamši	loɑ̯mːʃiː
jarfát	jarːfaːht
njuorjju	ɲuo̯rjjuː
suovdnji	suo̯vːtɲiː
ollon	ollon
ođas	oðas
ropmi	ropmiː
čalmmehit	t͡ʃalmmehiht
málet	maːleht
almmustit	almmuːstiht
boađus	poɑ̯ðuːs
allon	allon
muollat	muo̯llaht
kruvdno	kruvːtno
veakta	vea̯kːta
dagat	takaht
vuoksa	vuo̯kːsa
gosa	kosa
gávppašit	kaːvppaʃiht
čavggat	t͡ʃavːkkaht
duottar	tuo̯ttar
beaivit	pea̯jːviːht
árrot	aːrroht
girji	kirːjiː
dát	taːht
čeabet	t͡ʃe̯apeht
gaskkas	kaskas
iežan	ie̯t͡ʃan
muinna	mujnna
gállit	kaːlliːht
fuobmát	fuo̯bːmaːht
leimmet	lejmmeht
ruvdet	ruːvːteht
čuovvut	t͡ʃuo̯vvuːht
osten	oːsːten
nuppi	nuppiː
mordet	moːrːteht
čállin	t͡ʃaːlliːn
nuorti	nuo̯rːtiː
áno	aːno
hedjonit	heːɟɟoniht
leaibi	lea̯jːpiː
na	na
ollislaš	olliːslaʃ
duodji	tuo̯ɟɟiː
cáhkkat	t͡saːhːkaht
njuoskat	ɲuo̯sːkaht
bájil	paːjiːl
minguin	miːnːkujn
ealet	e̯aleht
čávgŋi	t͡ʃaːvːtɲiː
mearas	mea̯ras
áiggi	aːjːkkiː
bures	puːres
roahttu	roɑ̯hːtuː
rievdat	rie̯vːtaht
gárbbis	kaːrːppiːs
addi	adːdiː
nearva	nea̯rːva
viellja	vie̯ʎːʎa
beassi	pea̯ssiː
astan	asːtan
ellet	eːlleht
dalle	talle
binná	pinːnaː
ođasmit	oðasmiht
ave	ave
de	te
balat	palaht
vivva	vivva
lossadit	lossatiht
dovde	tovːte
bordon	porːton
deatnu	tea̯tnuː
sadje	saɟɟe
davvenuorti	tavvenuo̯rːtiː
jahtat	jahtaht
máššat	maːʃʃaht
oadju	oɑ̯ɟɟuː
lođa	loða
linnjár	liɲːɲaːr
gádja	kaːɟɟa
imi	imiː
munnuide	munːnujte
álkit	aːlːkiːht
ráhkis	raːhkiːs
geahčastallat	kea̯ht͡ʃastallaht
deadja	tea̯ɟɟa
cummá	t͡sumːmaː
várri	vaːrriː
čorget	t͡ʃorːkeht
áilu	aːjːluː
diktit	tikːtiːht
suhkat	suhkaht
rassat	rassaht
olgeš	olːkeʃ
mielli	mie̯lːliː
dáhtolaš	taːhtolaʃ
iđit	iðiːht
dievvat	tie̯vvaht
buoidi	puo̯jːtiː
buoremus	pu̯oremus
vearru	vea̯rruː
jierbmat	jie̯rːpmaht
deasttaheapme	tea̯stahe̯apme
ii	ij
roakči	roɑ̯kːt͡ʃiː
ostot	oːsːtoht
figgat	fiɡːɡaht
sadden	sadːden
sáhkohit	saˑhkohiht
bircu	pirːt͡suː
namma	namma
mollit	molːliːht
čuorgadeamos	t͡ʃuo̯rːkate̯amos
náitit	naːjːtiːht
bumma	pumːma
leaksu	lea̯kːsuː
manat	manaht
buohcat	puo̯ht͡saht
leahkit	lea̯hkiːht
máidnut	maːjːtnuːht
agás	akaːs
rievdadit	rie̯vːtatiht
leage	le̯ake
njammat	ɲammaht
ole	ole
laman	laman
goaikut	koɑ̯jːkuːht
dáža	taːt͡ʃa
helbmo	helːpmo
gahččat	kahːt͡ʃaht
čižži	t͡ʃidːd͡ʒiː
bumbá	pumːpaː
givlo	kivːlo
bárdnat	paːrːtnaht
molan	molan
mulgut	mulːkuːht
boddu	podːduː
sohpat	sohpaht
dorvvolit	torvvoliht
lutkosit	luːtːkosiht
maŋŋá	maŋɲaː
čihkosit	t͡ʃiːhkosiht
orrut	orruːht
gorde	koːrːte
duolbmat	tuo̯lːpmaht
giđđat	kiððaht
eallisilba	ea̯lːliːsilːpa
ruoktot	ruo̯kːtoht
soavli	soɑ̯vːliː
njáhká	ɲaːhkaː
dolaheapme	tolahe̯apme
mannet	manneht
álki	aːlːkiː
čáhkat	t͡ʃaːhkaht
cieggat	t͡sie̯ɡːɡaht
sáhpán	saːhpaːn
min	miːn
dihkkat	tihːkaht
muhkki	muhːkiː
geaidu	kea̯jːtuː
sieđga	sie̯ðːka
sarvva	sarvva
goardit	koɑ̯rːtiːht
durka	turːka
reavgut	rea̯vːkuːht
bargen	parːken
lapmat	lapmaht
geavahit	kea̯vahiht
guovddi	kuo̯vːttiː
goarrat	koɑ̯rraht
seavvit	sea̯vviːht
kilo	kʰilo
cuohppa	t͡suo̯hːpa
livččen	livtt͡ʃen
mun	mun
botnjat	potɲaht
gulan	kulan
biertna	pie̯rtna
báhkka	paːhːka
mis	miːs
busir	pusiːr
mo	moː
gáibi	kaːjːpiː
daddjot	taɟːɟoht
loktit	lokːtiːht
gálgat	kaːlːkaht
ađđái	aððaːj
buođđut	puo̯ððuːht
aseheapme	asehe̯apme
abmet	abːmeht
aiddo	ajːtto
osku	osːkuː
oide	ojːte
čáhppát	t͡ʃaːhːpaːht
munnos	munːnos
gazza	kadːd͡za
jorbbas	jorːppas
rumaš	rumaʃ
olii	olij
deabbut	tea̯bːbuːht
dearbmi	tea̯rːpmiː
áksil	aːkːsiːl
leahkki	lea̯hːkiː
šerres	ʃeːrːres
ruokŋa	ruo̯tɲa
riidu	rijːtuː
doaivu	toɑ̯jːvuː
játnat	jaːtnaht
dáppe	taːppe
bihttá	pihːtaː
ollugat	olluːkaht
adni	adːniː
guhkki	kuhːkiː
rávkat	raːvːkaht
reašmi	rea̯ʃːmiː
borrat	porraht
illui	illuj
reŋgot	reŋːkoht
lávži	laːvːt͡ʃiː
ándagassii	aːnːtakassij
nie	nie̯
biro	piro
buorránit	puo̯rraːniht
njoazit	ɲoɑ̯t͡siːht
molai	molaj
bráhkka	praːhːka
maŋimus	maɲiːmus
gordos	koːrːtos
boarásit	poɑ̯raːsiht
luomin	luo̯miːn
rihta	rihta
sáttu	saːttuː
geavrát	kea̯vːraːht
miekta	mie̯kːta
njoallut	ɲoɑ̯lluːht
cuvkit	t͡suvːkiːht
njoahcut	ɲoɑ̯ht͡suːht
albmi	alːpmiː
mielga	mie̯lːka
nuollat	nuo̯llaht
rámbut	raːmːpuːht
gurroseamos	kuːrrose̯amos
garjá	karːjaː
dorvvolaš	torvvolaʃ
báhkas	paːhkas
bossu	posːsuː
deaffat	tea̯ffaht
gaskat	kasːkaht
midjiide	miɟɟijte
mearat	mea̯raht
bivvat	pivvaht
bassos	passos
roađđi	roɑ̯ððiː
gullen	kullen
párka	pʰaːrːka
veaddit	vea̯dːdiːht
meara	mea̯ra
ruvvet	ruvːveht
áibat	aːjːpaht
raŧŧi	raθθiː
avvi	avːviː
leaigga	lea̯jːkka
bistit	pisːtiːht
ahccát	ahːt͡saːht
dárbbašit	taːrːppaʃiht
vuohčit	vuo̯ht͡ʃiːht
máisa	maːjːsa
ledjon	leːɟɟon
guokte	ku̯okːte
bielka	pie̯lːka
goalo	ko̯ɑlo
morden	moːrːten
duhkki	tuhːkiː
guovlu	kuo̯vːluː
sáhppes	saːhːpes
lovde	loːvːte
kusta	kʰusːta
juolgat	juo̯lːkaht
rotnu	rotnuː
ođasmahttit	oðasmahːtiːht
sáiti	saːjːtiː
bámbu	paːmːpuː
jorrat	jorraht
rahčat	raht͡ʃaht
