گاڏڙ	ɡaːɖˈʌr.
بازي	bˈaːzi
ھوندو	hˈoːndoː
کائيندڙ	kʰˌaːindˈʌr.
سگهارو	sˌəɡhˈaːroː
ڪرسمس	kˌərəsəmˈʌs
جيوڙا	ɟjˈoːr.aː
ٿنڀا	ʈənˈʌbʰaː
ملائڪ	mˌəlaːˈɪk
پربت	pˌərəbˈʌt̪
وسڪارو	ʋˌəskˈaːroː
فلاسافر	fˌəlaːsaːfˈʌr
آندل	aːndˈʌl
افلاطون	ˌaflaːtˈoːn
نافذ	naːfˈʌz
هندو	hˈɪndoː
پسند	pəsˈʌnd
ڦري	pʰˈʌri
چٽو	cˈʌʈoː
ميرڪ	meːrˈʌk
شاھي	ʃˈaːhi
نرم	nərˈʌm
نديم	nədˈiːm
نوڙت	noːr.ˈʌt̪
ڄاڻندو	ɟaːɳˈʌndoː
ڊيگھ	ɖˈeːɡʰ
ڳالهيون	ɡˌaːlhjˈoːn
دعوت	daːˈoːt̪
مول	mˈoːl
زمانو	zəmˈaːnoː
اصلي	aʂˈʌli
عنصر	ˌanəʂˈʌr
مفلس	mˌəfəlˈʌs
گايتري	ɡˌaːit̪ˈʌri
تاليف	t̪aːlˈiːf
ناٿن	naːʈˈʌn
وحي	ʋˈʌhi
ڌاڳي	dʰˈaːɡi
ڇهه	cʰəhˈʌh
شيرين	ʃeːrˈiːn
ماليڪيول	mˌaːlikjˈoːl
خوبصورت	xˌoːbʂoːrˈʌt̪
مزيدار	mˌəzidˈaːr
وليون	ʋəljˈoːn
محل	məhˈʌl
پري	pˈʌri
اصلاحي	ˌɪʂlˈaːhi
سنڌيت	sɪndhˈiːt̪
اڌ	ˈadʰ
گندي	ɡˈʌndi
رهائشي	rˌəhaːˈɪʃi
شمع	ʃˈʌmaː
وسايو	ʋəsˈaːjoː
ايڪٽ	eːkˈʌʈ
ڳجھارت	ɡˌəɟhaːrˈʌt̪
ويڙهاڪ	ʋˌeːr.hˈaːk
مورخن	mˌoːrəxˈʌn
سوال	sʋˈaːl
منهنجي	mˌənəhənˈʌɟi
سمجهون	sˌəməɟhˈoːn
مان	mˈaːn
ڪنداسين	kˌəndaːsˈiːn
شده	ʃədˈʌh
انٽرنيٽ	ˌanəʈˌərnˈiːʈ
پڌرو	pədʰˈʌroː
ڪنڊ	kˈʌnɖ
قنڌار	qəndʰˈaːr
ڪنب	kˈʌnb
ٿر	ʈˈʌr
سٺو	sˈʌʈʰoː
گهڙين	ɡˌəhər.ˈiːn
حسام	həsˈaːm
مزدورن	mˌəzduːrˈʌn
جرمن	ɟˌərəmˈʌn
انگيز	anɡˈiːz
معمار	maːmˈaːr
هجڻ	hˈʊɟaɳ
ٻي	bˈeː
ٻيون	bjˈoːn
درٻار	dˌərbˈaːr
آفتاب	ˌaːft̪ˈaːb
جين	ɟˈeːn
هنڌان	həndʰˈaːn
وابسته	ʋˌaːbəst̪ˈʌh
ڦٽن	pʰəʈˈʌn
شمس	ʃəmˈʌs
گهٽائي	ɡˌəhəʈˈaːi
مڪان	məkˈaːn
چٽسالي	cˌəʈsˈaːli
هلڻ	həlˈʌɳ
سفرنامن	sˌəfərnaːmˈʌn
ٽنھي	ʈˈʌnhi
لاري	lˈaːri
ستت	sət̪ˈʌt̪
دم	dˈʌm
اندازن	ˌandaːzˈʌn
ڏيڍ	ɖˈeːɖʰ
جيستائين	ɟˌeːst̪aːˈiːn
ڪاڇي	kˈaːcʰi
برهان	bˌərhˈaːn
وال	ʋˈaːl
مني	mˈʌni
لڳڀڳ	lˌəɡəbʰˈʌɡ
آڏو	ˈaːɖoː
ٽالپرن	ʈˌaːləpərˈʌn
افتخار	ˌɪftɪxˈaːr
سيوا	sjʋˈaː
اوزارن	ˌuːzaːrˈʌn
جسڪاڻي	ɟˌəskˈaːɳi
اسٽيٽ	ˌasʈˈiːʈ
پيمائش	pˌeːmaːˈɪʃ
سب	sˈʌb
اسڪيم	ˌaskˈiːm
سودا	sˈoːdaː
سالڪن	sˌaːləkˈʌn
مهاجر	mˌəhaːɟˈʌr
سير	sˈeːr
عنايت	ˌanaːˈiːt̪
وسيلا	ʋəsˈiːlaː
بادشاهه	bˈaːdʃˌaːhəh
رڇ	rˈʌcʰ
آغاز	aːɣˈaːz
ڀائر	bʰaːˈɪr
سڏيائون	sˌəɖjaːˈoːn
جوائنٽ	ɟˈaʋaːˈɪnəʈ
سنگهه	sˌənɡəhˈʌh
حروف	hərˈoːf
سڀيتا	səbʰˈiːt̪aː
سڌي	sˈʌdʰi
اداڪاري	ˌadaːkˈaːri
فنن	fənˈʌn
شدت	ʃədˈʌt̪
سرمد	sˌərəmˈʌd
ڏيئي	ɖˈeːi
تارون	t̪aːrˈoːn
گج	ɡˈʌɟ
ڪٽر	kəʈˈʌr
ربيع	rəbˈiː
پڌري	pədʰˈʌri
ماڻھن	mˈaːɳhʊn
مڇ	mˈʌcʰ
جوڳا	ɟˈoːɡaː
بواسير	bʋˈaːsir
ھڏڪيون	hˌəɖkjˈoːn
بياني	bjˈaːni
فقيرن	fˌəqirˈʌn
سرڪي	sərˈʌki
رائل	raːˈɪl
تھ	t̪ˈʌh
سئي	sˈʌi
يھودين	jˌəhoːdˈiːn
کٽا	kʰˈʌʈaː
دعا	dˈaː
ٽئين	ʈəˈiːn
قيمتي	qeːmˈʌt̪i
آيس	aːˈiːs
بال	bˈaːl
جهڙن	ɟˌəhər.ˈʌn
رپورٽون	rˌəpoːrʈˈoːn
ملهائي	mˌəlhˈaːi
سني	sˈʌni
ڪروموسوم	kˌəroːmoːsˈoːm
سلطانه	sˌəltaːnˈʌh
عرفات	ˌarəfˈaːt
آهيو	ˈaːhjoː
اڄڪلھ	ˌaɟəkəlˈʌh
اهم	ahˈʌm
ڀرائي	bʰərˈaːi
انفيڪشن	ˌanfˌiːkəʃˈʌn
بھار	bəhˈaːr
هليون	həljˈoːn
ڄاڻائين	ɟˌaːɳaːˈiːn
ڪرتب	kˌərət̪ˈʌb
دهشتگرد	dˌəhəʃt̪əɡˈʌrd
لڳايل	ləɡˈaːjal
تقرير	t̪ˌəqrˈiːr
مسيح	mˈʌsih
هماليه	hˌəmaːlˈiːh
ٽکڙ	ʈəkʰˈʌr.
بلڪي	bəlˈʌki
دفعو	dəfˈaːoː
جاگيردار	ɟˌaːɡirdˈaːr
ڳالھين	ɡˌaːlhˈiːn
قفقاز	qˌəfqˈaːz
پيڙهي	peːr.ˈʌhi
جهرڪن	ɟˌəhərəkˈʌn
