lidiaba	lidiaba
especialísima	ɛspɛsialisima
partes	partɛs
precomercialización	prɛkomɛrsialisasion
sentimentalismo	sɛntimɛntalismo
domiciliado	domisiliado
deseen	dɛsɛɛn
fritada	fritada
mel	mɛl
alargar	alargar
cuidaron	kwidaron
conquisto	konkisto
mallawi	maʎawi
seís	sɛis
aumentamos	aumɛntamos
rural	ɾural
ignorara	ignorara
explicativas	ɛksplikatibas
desenmascarados	dɛsɛnmaskarados
zoroastro	soroastro
cibona	sibona
galopando	galopando
rayito	ɾajito
triunfadoras	triunfadoras
eludirlos	ɛludirlos
indentificó	indɛntifiko
problemitas	problɛmitas
ocupara	okupara
democracia	dɛmokrasia
transmisibles	transmisiblɛs
blanco	blanko
tesorero	tɛsorɛro
lacio	lasio
expansivo	ɛkspansibo
suman	suman
auditados	auditados
chelín	ʧɛlin
pactaría	paktaria
neutra	nɛutra
mantenerle	mantɛnɛrlɛ
asesinos	asɛsinos
diáfana	diafana
eslogan	ɛslogan
factoría	faktoria
arribado	aɾibado
intranquilos	intrankilos
militarizados	militarisados
archiva	arʧiba
vamsa	bamsa
extrañados	ɛkstraɲados
impugnaba	impugnaba
progenitor	proxɛnitor
cobijados	kobixados
avocaron	abokaron
huerta	wɛrta
cateogíras	katɛoxiras
cuneiforme	kunɛiformɛ
cutáneo	kutanɛo
carneiro	karnɛiro
posesionarse	posɛsionarsɛ
salen	salɛn
saciedad	sasiɛdad
penaliza	pɛnalisa
recobrarlo	ɾɛkobrarlo
optó	opto
haselman	asɛlman
angoleños	angolɛɲos
presidencialismo	prɛsidɛnsialismo
rugir	ɾuxir
atrapará	atrapara
dijéramos	dixɛramos
radiológico	ɾadioloxiko
cientoa	siɛntoa
manco	manko
arbitro	arbitro
destinó	dɛstino
actución	aktusion
varitas	baritas
remplace	ɾɛmplasɛ
cable	kablɛ
doblar	doblar
extrafutbolísticos	ɛkstrafutbolistikos
arman	arman
tranque	trankɛ
advirtiéndoles	adbirtiɛndolɛs
cambiarias	kambiarias
referiré	ɾɛfɛrirɛ
tímidamente	timidamɛntɛ
bajen	baxɛn
bebía	bɛbia
amad	amad
dispondremos	dispondrɛmos
recorren	ɾɛkoɾɛn
separados	sɛparados
curiosas	kuriosas
mareco	marɛko
escuchados	ɛskuʧados
deteriorará	dɛtɛriorara
chulden	ʧuldɛn
derribándolo	dɛɾibandolo
releves	ɾɛlɛbɛs
auriazules	auriasulɛs
toreé	torɛɛ
fabiani	fabiani
postrado	postrado
mutis	mutis
buceadores	busɛadorɛs
transforme	transformɛ
contraste	kontrastɛ
paz	pas
torrejón	toɾɛxon
sacrifica	sakrifika
desafuero	dɛsafwɛro
ajena	axɛna
ofrendas	ofrɛndas
arquitectónicas	arkitɛktonikas
ocultaron	okultaron
ejecutaban	ɛxɛkutaban
antideportivo	antidɛportibo
hostigaban	ostigaban
vueltos	bwɛltos
padecería	padɛsɛria
expandiéndose	ɛkspandiɛndosɛ
actuaremos	aktwarɛmos
puntiagudos	puntiagudos
cobos	kobos
empacada	ɛmpakada
metálicos	mɛtalikos
silueta	silwɛta
toez	toɛs
atendiendo	atɛndiɛndo
muecas	mwɛkas
desafiamos	dɛsafiamos
hispanidad	ispanidad
acura	akura
canceladas	kansɛladas
salgueda	salgɛda
exiguos	ɛksigwos
negros	nɛgros
reclinatorios	ɾɛklinatorios
subempleados	subɛmplɛados
cepillo	sɛpiʎo
reconstitución	ɾɛkonstitusion
insaciable	insasiablɛ
instalándose	instalandosɛ
martinez	martinɛs
barbecho	barbɛʧo
ahroa	aroa
desapercibidas	dɛsapɛrsibidas
luxación	luksasion
hierva	iɛrba
yerra	jɛɾa
pisco	pisko
clausuren	klausurɛn
leoes	lɛoɛs
sobretodo	sobrɛtodo
impugna	impugna
materia	matɛria
lloraba	ʎoraba
americanización	amɛrikanisasion
haga	aga
entrañablemente	ɛntraɲablɛmɛntɛ
capitale	kapitalɛ
stanislav	stanislab
cosmos	kosmos
decidamos	dɛsidamos
candidatas	kandidatas
explosionaron	ɛksplosionaron
sotienen	sotiɛnɛn
resultarán	ɾɛsultaran
quejido	kɛxido
cicatrizado	sikatrisado
característica	karaktɛristika
prevaricato	prɛbarikato
rita	ɾita
facilitarles	fasilitarlɛs
legalizan	lɛgalisan
mampara	mampara
medite	mɛditɛ
baste	bastɛ
tutelares	tutɛlarɛs
llevarlo	ʎɛbarlo
postergarán	postɛrgaran
debilitarla	dɛbilitarla
recopilados	ɾɛkopilados
ultimaron	ultimaron
dela	dɛla
ántrax	antraks
estrechado	ɛstrɛʧado
superlativa	supɛrlatiba
resuelta	ɾɛswɛlta
albóndigas	albondigas
trabaja	trabaxa
abstenía	abstɛnia
registran	ɾɛxistran
agobia	agobia
acreditándose	akrɛditandosɛ
huachinango	waʧinango
indetectables	indɛtɛktablɛs
indique	indikɛ
terrorismo	tɛɾorismo
chueco	ʧwɛko
garanta	garanta
multirresistente	multiɾɛsistɛntɛ
soprano	soprano
alienar	aliɛnar
junto	xunto
grado	grado
hospedados	ospɛdados
sanguijuelas	sangixwɛlas
revalorar	ɾɛbalorar
excomunista	ɛkskomunista
eróticos	ɛrotikos
socieda	sosiɛda
buzón	buson
masai	masai
dominara	dominara
incautaron	inkautaron
corbata	korbata
padua	padwa
exhaustas	ɛksaustas
exacerbando	ɛksasɛrbando
despacho	dɛspaʧo
bayonetas	bajonɛtas
sobrevivientes	sobrɛbibiɛntɛs
cisterna	sistɛrna
liberarlos	libɛrarlos
sutil	sutil
atarlo	atarlo
espinaca	ɛspinaka
interparlamentaria	intɛrparlamɛntaria
gran	gran
afianzadoras	afiansadoras
amenazamos	amɛnasamos
quehaceres	kɛasɛrɛs
mañanana	maɲanana
apretadita	aprɛtadita
birmania	birmania
repartían	ɾɛpartian
acaparará	akaparara
pudieran	pudiɛran
aumentarla	aumɛntarla
favores	faborɛs
reconocida	ɾɛkonosida
reprobado	ɾɛprobado
sedujo	sɛduxo
multilaterales	multilatɛralɛs
aguardarán	agwardaran
pontificios	pontifisios
guero	gɛro
dayal	dajal
subcomandantes	subkomandantɛs
guapísimo	gwapisimo
determinante	dɛtɛrminantɛ
castigaría	kastigaria
malintencionada	malintɛnsionada
treta	trɛta
islamización	islamisasion
adecúe	adɛkuɛ
entierran	ɛntiɛɾan
cinética	sinɛtika
atacado	atakado
antibombas	antibombas
expedida	ɛkspɛdida
inclemencia	inklɛmɛnsia
aldea	aldɛa
nefasta	nɛfasta
disminuyo	disminujo
blanes	blanɛs
aplicable	aplikablɛ
reformistas	ɾɛformistas
amur	amur
acortarlo	akortarlo
tándem	tandɛm
acogen	akoxɛn
volvio	bolbio
mantilla	mantiʎa
cohetería	koɛtɛria
riesgos	ɾiɛsgos
renunciante	ɾɛnunsiantɛ
urbanistas	urbanistas
combatientes	kombatiɛntɛs
reformarlo	ɾɛformarlo
dulcero	dulsɛro
hasa	asa
transparentemente	transparɛntɛmɛntɛ
destilada	dɛstilada
deterioradas	dɛtɛrioradas
eliminó	ɛlimino
permanezcamos	pɛrmanɛskamos
garcía	garsia
cucaracha	kukaraʧa
terroríficas	tɛɾorifikas
estrenará	ɛstrɛnara
cojines	koxinɛs
sudamericanos	sudamɛrikanos
presidentas	prɛsidɛntas
pantani	pantani
pulvirenti	pulbirɛnti
acarreaba	akaɾɛaba
bordeado	bordɛado
chiquilla	ʧikiʎa
diáfano	diafano
plantamos	plantamos
replegándose	ɾɛplɛgandosɛ
impronta	impronta
valentino	balɛntino
paneuropeo	panɛuropɛo
unipartidista	unipartidista
reeditarán	ɾɛɛditaran
catastróficas	katastrofikas
reflejantes	ɾɛflɛxantɛs
artículos	artikulos
revertir	ɾɛbɛrtir
interferidas	intɛrfɛridas
azerbaiyanos	asɛrbaijanos
millonésimas	miʎonɛsimas
encomiable	ɛnkomiablɛ
ultimas	ultimas
saturnino	saturnino
guardando	gwardando
traviesos	trabiɛsos
decían	dɛsian
coquetea	kokɛtɛa
epidemiólogo	ɛpidɛmiologo
estomacales	ɛstomakalɛs
iqbal	ikbal
portillos	portiʎos
implanta	implanta
remataba	ɾɛmataba
permanezcan	pɛrmanɛskan
anfetaminas	anfɛtaminas
ampliando	ampliando
vernáculas	bɛrnakulas
remar	ɾɛmar
pitayo	pitajo
equivocar	ɛkibokar
atraerlo	atraɛrlo
anatoliana	anatoliana
diversas	dibɛrsas
serás	sɛras
rabinovich	ɾabinobiʧ
cachiporra	kaʧipoɾa
genes	xɛnɛs
montalbán	montalban
sacerdote	sasɛrdotɛ
exiga	ɛksiga
ejemplificando	ɛxɛmplifikando
insulten	insultɛn
intercedan	intɛrsɛdan
ahorcados	aorkados
servia	sɛrbia
fusiles	fusilɛs
tumbo	tumbo
quad	kad
seguna	sɛguna
dirigidas	dirixidas
falseados	falsɛados
excanciller	ɛkskansiʎɛr
egolatría	ɛgolatria
progresistas	progrɛsistas
láseres	lasɛrɛs
duma	duma
transmitirlo	transmitirlo
obtuviera	obtubiɛra
basificación	basifikasion
oficialidad	ofisialidad
desmarcó	dɛsmarko
prepárate	prɛparatɛ
ogea	oxɛa
particulamente	partikulamɛntɛ
crispian	krispian
expedirán	ɛkspɛdiran
neuromuscular	nɛuromuskular
toleraba	tolɛraba
clausulas	klausulas
emprendieran	ɛmprɛndiɛran
reactivados	ɾɛaktibados
auditivas	auditibas
devastados	dɛbastados
concedemos	konsɛdɛmos
vasallo	basaʎo
vito	bito
refrende	ɾɛfrɛndɛ
alturas	alturas
argentino	arxɛntino
cepas	sɛpas
arreglaran	aɾɛglaran
desenvolverse	dɛsɛnbolbɛrsɛ
pertierra	pɛrtiɛɾa
acallado	akaʎado
planchando	planʧando
remplaza	ɾɛmplasa
culto	kulto
reconocer	ɾɛkonosɛr
reposará	ɾɛposara
compartir	kompartir
agraviada	agrabiada
kasuga	kasuga
infundio	infundio
diciendo	disiɛndo
benes	bɛnɛs
vado	bado
entrampados	ɛntrampados
gradas	gradas
harás	aras
conquistar	konkistar
ilesa	ilɛsa
mortalidad	mortalidad
neumonías	nɛumonias
trabajó	trabaxo
raras	ɾaras
concebidos	konsɛbidos
cardiológico	kardioloxiko
surcoreana	surkorɛana
keniana	kɛniana
recopilaron	ɾɛkopilaron
glosas	glosas
cone	konɛ
linear	linɛar
salvatore	salbatorɛ
programadora	programadora
anacrónica	anakronika
entrelazando	ɛntrɛlasando
atacando	atakando
inusuales	inuswalɛs
rusos	ɾusos
añejos	aɲɛxos
remitentes	ɾɛmitɛntɛs
charcas	ʧarkas
completaremos	komplɛtarɛmos
fuerza	fwɛrsa
achicado	aʧikado
desembarcado	dɛsɛmbarkado
organizadoras	organisadoras
auditivo	auditibo
megalómano	mɛgalomano
devoran	dɛboran
vacante	bakantɛ
condecoran	kondɛkoran
prostitutos	prostitutos
protegerlo	protɛxɛrlo
apaciguando	apasigwando
torio	torio
fruticultores	frutikultorɛs
repetitivo	ɾɛpɛtitibo
manejado	manɛxado
practicaron	praktikaron
anglicismos	anglisismos
divo	dibo
atraviesen	atrabiɛsɛn
sempiternos	sɛmpitɛrnos
venados	bɛnados
fetiche	fɛtiʧɛ
melódicos	mɛlodikos
coparticipar	kopartisipar
alterarán	altɛraran
saratoga	saratoga
dependa	dɛpɛnda
sobrevolar	sobrɛbolar
oficina	ofisina
sabotearlo	sabotɛarlo
skoda	skoda
tributos	tributos
burlesca	burlɛska
tecnología	tɛknoloxia
aseguro	asɛguro
celle	sɛʎɛ
retiradas	ɾɛtiradas
ascoli	askoli
cromadas	kromadas
depositarse	dɛpositarsɛ
chevy	ʧɛbi
extienden	ɛkstiɛndɛn
eliézer	ɛliɛsɛr
imeca	imɛka
salvi	salbi
ganaré	ganarɛ
vociferante	bosifɛrantɛ
distinguirlo	distingirlo
basilio	basilio
geométrico	xɛomɛtriko
conceptuado	konsɛptwado
claudel	klaudɛl
descentralizará	dɛssɛntralisara
complacerá	komplasɛra
viajeros	biaxɛros
aglomeraban	aglomɛraban
sagasti	sagasti
socrático	sokratiko
combatirán	kombatiran
balladur	baʎadur
reglamentarias	ɾɛglamɛntarias
autonomia	autonomia
femenino	fɛmɛnino
arrojara	aɾoxara
estancará	ɛstankara
identificar	idɛntifikar
unicameral	unikamɛral
accentue	aksɛntwɛ
remozando	ɾɛmosando
achique	aʧikɛ
confundan	konfundan
adiestrada	adiɛstrada
repetiré	ɾɛpɛtirɛ
subterráneo	subtɛɾanɛo
figurativamente	figuratibamɛntɛ
primacía	primasia
aseveraba	asɛbɛraba
señalándole	sɛɲalandolɛ
hunda	unda
empalman	ɛmpalman
paquetes	pakɛtɛs
objetaba	obxɛtaba
macdonald	makdonald
debatirse	dɛbatirsɛ
repartirá	ɾɛpartira
imaginaban	imaxinaban
ventilación	bɛntilasion
condujeron	konduxɛron
jaibas	xaibas
categórico	katɛgoriko
coliseo	kolisɛo
relevista	ɾɛlɛbista
induciría	indusiria
inflamable	inflamablɛ
antidemocrática	antidɛmokratika
recordaran	ɾɛkordaran
nutrirá	nutrira
vivito	bibito
lahera	laɛra
trabajadora	trabaxadora
katerina	katɛrina
chapellín	ʧapɛʎin
pensarán	pɛnsaran
contactan	kontaktan
avivadas	abibadas
elogiosas	ɛloxiosas
sobreponerse	sobrɛponɛrsɛ
nazi	nasi
nungún	nungun
ensamblando	ɛnsamblando
prostático	prostatiko
paraplégico	paraplɛxiko
tucumano	tukumano
tormente	tormɛntɛ
coautores	koautorɛs
simas	simas
constitutional	konstitutional
beilin	bɛilin
elija	ɛlixa
cifrarse	sifrarsɛ
envie	ɛnbiɛ
adoptamos	adoptamos
temería	tɛmɛria
vencedoras	bɛnsɛdoras
ucrania	ukrania
coleta	kolɛta
dejada	dɛxada
rocosas	ɾokosas
despilfarraron	dɛspilfaɾaron
propiciaban	propisiaban
saro	saro
fijación	fixasion
peperina	pɛpɛrina
abrigo	abrigo
quotidien	kotidiɛn
conectarle	konɛktarlɛ
moliere	moliɛrɛ
intuiciones	intwisionɛs
arrestarle	aɾɛstarlɛ
importando	importando
ignacio	ignasio
claudicado	klaudikado
cumplimento	kumplimɛnto
tavárez	tabarɛs
yaluk	jaluk
aduanales	adwanalɛs
traditional	traditional
miríadas	miriadas
graven	grabɛn
entrenará	ɛntrɛnara
cachalote	kaʧalotɛ
palpado	palpado
comprada	komprada
ceramiche	sɛramiʧɛ
desestabilizarlo	dɛsɛstabilisarlo
narcocultivos	narkokultibos
comenz	komɛns
ennegrecida	ɛnnɛgrɛsida
náuticas	nautikas
impropiamente	impropiamɛntɛ
conocen	konosɛn
investigarlos	inbɛstigarlos
nodriza	nodrisa
canas	kanas
santi	santi
caracteres	karaktɛrɛs
evangélica	ɛbanxɛlika
inquirir	inkirir
punterías	puntɛrias
hienas	iɛnas
foráneas	foranɛas
tratando	tratando
pertenecientes	pɛrtɛnɛsiɛntɛs
lamarca	lamarka
supiéramos	supiɛramos
futuras	futuras
combatida	kombatida
esperando	ɛspɛrando
parecían	parɛsian
sesión	sɛsion
pasajes	pasaxɛs
celada	sɛlada
microeconómica	mikroɛkonomika
empeoran	ɛmpɛoran
yuliya	julija
confirmarles	konfirmarlɛs
estaremos	ɛstarɛmos
concentradas	konsɛntradas
solían	solian
cosenza	kosɛnsa
ofrecería	ofrɛsɛria
turistico	turistiko
castelazo	kastɛlaso
civilizadas	sibilisadas
lebed	lɛbɛd
convenzan	konbɛnsan
reclutaba	ɾɛklutaba
luciendo	lusiɛndo
tartán	tartan
lucirse	lusirsɛ
turbogeneradores	turboxɛnɛradorɛs
orazio	orasio
abastecidas	abastɛsidas
obsequiados	obsɛkiados
pioneros	pionɛros
ambiguo	ambigwo
significantes	signifikantɛs
golpearlos	golpɛarlos
tempore	tɛmporɛ
clips	klips
viceprocurador	bisɛprokurador
promediada	promɛdiada
combo	kombo
racionamientos	ɾasionamiɛntos
perjudicar	pɛrxudikar
imboden	imbodɛn
lindas	lindas
pelícanos	pɛlikanos
presentables	prɛsɛntablɛs
yohei	joɛi
parándose	parandosɛ
reprobaron	ɾɛprobaron
regirían	ɾɛxirian
yucatecos	jukatɛkos
encontronazo	ɛnkontronaso
sacrifican	sakrifikan
moner	monɛr
pleno	plɛno
