Зенги	zˈɛŋɡɪ
погон	pˈoɡon
туризму	tˈurɪzmʊ
Енглеском	ˈɛŋɡlɛskom
Брејди	brˈejdɪ
провали	prˈovɐlɪ
поднет	pˈodnɛt
Адамс	ˈadɐms
раздаљини	rˈazdɐʎˌɪnɪ
такозваног	tˈakozvˌɐnoɡ
чешћим	t͡ʃˈɛʃt͡ɕɪm
теренском	tˈɛrɛnskom
неопходности	nˈɛophˌodnostɪ
реконструишу	rˈɛkonstrˌʊɪʃʊ
комплекси	kˈomplɛksɪ
превезао	prˈɛvɛzˌɐo
Омана	ˈomɐnɐ
прикупили	prˈikʊpˌɪlɪ
барела	bˈɑrɛlɐ
Изненадни	ˈiznɛnˌɐdnɪ
празна	prˈaznɐ
суботу	sˈubotʊ
распоређене	rˈasporˌɛd͡ʑɛnɛ
сперматозоида	spˈɛrmɐtˌozoˌɪdɐ
прекривеног	prˈɛkrɪvˌɛnoɡ
Шака	ʃˈakɐ
ђубрива	d͡ʑˈubrɪvɐ
Академски	ˈakɐdˌɛmskɪ
секретаријату	sˈɛkrɛtˌɑrɪjˌɐtʊ
лезије	lˈɛzɪje
India	ˈindɪɐ
Пећкој	pˈɛt͡ɕkoj
преокрене	prˈɛokrˌɛnɛ
забаве	zˈabɐvɛ
најдужим	nˈɑjdʊʒɪm
месној	mˈɛsnoj
северозапад	sˈɛvɛrˌozɐpɐd
школи	ʃkˈolɪ
Шестом	ʃˈɛstom
заљуби	zˈaʎʊbɪ
алфабет	ˈalfɐbɛt
обучено	ˈobʊt͡ʃˌɛno
Учинак	ˈut͡ʃɪnɐk
бурно	bˈurno
остварити	ˈostvɑrˌɪtɪ
индекса	ˈindɛksɐ
интензивна	ˈintɛnzˌɪvnɐ
мастоцита	mˈastot͡sˌɪtɐ
војних	vˈojnɪh
гастроинтестинални	ɡˈastroˌɪntɛstˌɪnɐlnɪ
капије	kˈapɪje
Ворлд	vˈorld
брендова	brˈɛndovɐ
библијско	bˈiblɪjsko
сведок	svˈɛdok
створеним	stvˈorɛnɪm
снабдео	snˈabdɛo
Оркови	ˈorkovɪ
побунило	pˈobʊnˌɪlo
пријављене	prˈijɐvljˌenɛ
перипетија	pˈɛrɪpˌɛtɪjɐ
издатке	ˈizdɐtkɛ
задржавао	zˈadrʒɐvˌɐo
пјесме	pjˈesmɛ
извршна	ˈizvrʃnɐ
пробу	prˈobʊ
убраја	ˈubrɑjɐ
постигнутих	pˈostɪɡnˌʊtɪh
репрезентативне	rˈɛprɛzˌɛntɐtˌɪvnɛ
вероисповедна	vˈɛroˌɪspovˌɛdnɐ
Златну	zlˈatnʊ
Еразмо	ˈɛrɐzmo
Џои	d͡ʒˈoɪ
Вилијам	vˈilɪjɐm
делегацијом	dˈɛlɛɡˌɐt͡sɪjom
аустроугарски	ˈaʊstrˌo͡ʊɡɑrskɪ
активније	ˈaktɪvnˌɪje
Сунчево	sˈunt͡ʃɛvo
надвишена	nˈadvɪʃˌɛnɐ
Флориди	flˈorɪdɪ
Двадесетак	dvˈadɛsˌɛtɐk
Многи	mnˈoɡɪ
одрицање	ˈodrɪt͡sˌɐɲe
Челсију	t͡ʃˈɛlsɪjʊ
фибуле	fˈibʊlɛ
прослеђивање	prˈoslɛd͡ʑˌɪvɐɲe
Залагањем	zˈalɐɡˌɐɲem
киселини	kˈisɛlˌɪnɪ
доделила	dˈodɛlˌɪlɐ
отпором	ˈotporom
плесним	plˈɛsnɪm
заосталих	zˈaostˌɐlɪh
удвостручен	ˈudvostrˌʊt͡ʃɛn
опрезан	ˈoprɛzɐn
претрес	prˈɛtrɛs
угарским	ˈuɡɑrskɪm
Београђанин	bˈɛoɡrˌɐd͡ʑɐnɪn
Уместо	ˈumɛsto
Еуклид	ˈɛʊklɪd
резервате	rˈɛzɛrvˌɐtɛ
емиграната	ˈɛmɪɡrˌɐnɐtɐ
Станић	stˈanɪt͡ɕ
забрана	zˈabrɐnɐ
административним	ˈadmɪnˌɪstrɐtˌɪvnɪm
понављајућих	pˈonɐvljˌɑjʊt͡ɕɪh
Васи	vˈasɪ
освета	ˈosvɛtɐ
црквишта	t͡srkvˈiʃtɐ
валидне	vˈalɪdnɛ
уговорила	ˈuɡovˌorɪlɐ
клаузе	klˈaʊzɛ
дневну	dnˈɛvnʊ
племиће	plˈɛmɪt͡ɕɛ
деведестих	dˈɛvɛdˌɛstɪh
Прстен	prstˈɛn
Јужноафричкој	jˈuʒnoˌɐfrɪt͡ʃkoj
тобџије	tˈobd͡ʒɪje
растојањима	rˈastojˌɐɲɪmɐ
гарнизоне	ɡˈɑrnɪzˌonɛ
магната	mˈaɡnɐtɐ
бекству	bˈɛkstvʊ
РС	rˈəsˌə
грли	ɡrlˈi
пролазио	prˈolɐzˌɪo
оборити	ˈoborˌɪtɪ
заштићен	zˈaʃtɪt͡ɕɛn
уредби	ˈurɛdbɪ
поручили	pˈorʊt͡ʃˌɪlɪ
Атар	ˈatɑr
сасанидску	sˈasɐnˌɪtskʊ
почасним	pˈot͡ʃɐsnɪm
Отуд	ˈotʊd
средишњих	srˈɛdɪʃɲɪh
изворној	ˈizvornoj
ратног	rˈatnoɡ
понестало	pˈonɛstˌɐlo
VI	rˈimskoʃˈɛst
дебло	dˈɛblo
БПЛ	bˈəpˌəlˌə
козје	kˈozje
Надморске	nˈadmorskɛ
Гнежђење	ɡnˈɛʒd͡ʑɛɲe
Спенсер	spˈɛnsɛr
Алп	ˈalp
Тича	tˈit͡ʃɐ
Сребрну	srˈɛbrnʊ
Повреда	pˈovrɛdɐ
оправке	ˈoprɐfkɛ
преврће	prˈɛvrt͡ɕɛ
Нићифора	nˈit͡ɕɪfˌorɐ
Приказује	prˈikɐzˌʊje
намером	nˈamɛrom
кампањи	kˈampɐɲɪ
Сесилија	sˈɛsɪlˌɪjɐ
сведочити	svˈɛdot͡ʃˌɪtɪ
достојно	dˈostojno
деловали	dˈɛlovˌɐlɪ
Заштитни	zˈaʃtɪtnɪ
Јапанско	jˈapɐnsko
девојчице	dˈɛvojt͡ʃˌɪt͡sɛ
Амр	ˈamr
подређених	pˈodrɛd͡ʑˌɛnɪh
Анга	ˈaŋɡɐ
руптуре	rˈuptʊrɛ
верио	vˈɛrɪo
сребрног	srˈɛbrnoɡ
Големом	ɡˈolɛmom
тачкицама	tˈat͡ʃkɪt͡sˌɐmɐ
Филаделфије	fˈilɐdˌɛlfɪje
продуктивност	prˈodʊktˌɪvnost
воланом	vˈolɐnom
карате	kˈɑrɐtɛ
обновила	ˈobnovˌɪlɐ
размажена	rˈazmɐʒˌɛnɐ
Андрића	ˈandrɪt͡ɕɐ
Верди	vˈɛrdɪ
Економска	ˈɛkonˌomskɐ
узвикивали	ˈuzvɪkˌɪvɐlɪ
искуствима	ˈiskʊstvˌɪmɐ
обучавала	ˈobʊt͡ʃˌɐvɐlɐ
истоветан	ˈistovˌɛtɐn
равногорског	rˈavnoɡˌorskoɡ
совјетском	sˈovjetskom
раскидају	rˈaskɪdˌɑjʊ
Школу	ʃkˈolʊ
Пељешац	pˈɛʎeʃɐt͡s
Рајха	rˈɑjhɐ
