uchinjo	utʃiⁿɗʒo
ilivyotumiw	ilivjotumiw
ng'wenya	ŋweɲa
vilenge	vileᵑge
mkosefu	mkosefu
taipu	taipu
wewe	wewe
ka	ka
wasisikie	wasisikie
iliyokunjwa	ilijokuⁿɗʒwa
kipaza	kipaza
inayoitwa	inajoitwa
ulimwapia	ulimwapia
viunguza	viuᵑguza
lilielea	lilielea
bwekwa	ɓwekwa
ujamu	uʄamu
kuipokea	kuipokea
ubwana	uɓwana
makaroni	makaɾoni
kiitikadi	kiitikaɗi
wanaohusian	wanaohusian
mwanamgambo	mwanamɠaᵐɓo
anayeheshimi	anajeheʃimi
uliyoyaumba	ulijojauᵐɓa
inayoenda	inajoeⁿɗa
ukatoweka	ukatoweka
humrudishia	humɾuɗiʃia
ilivyoripotiwa	ilivjoɾipotiwa
akapona	akapona
vitimbi	vitiᵐɓi
bizari	ɓizaɾi
ukizo	ukizo
ubatilifu	uɓatilifu
iliyojiotea	ilijoʄiotea
niliwaonya	niliwaoɲa
mgwaru	mɠwaɾu
mtetaji	mtetaʄi
mwala	mwala
nilipojitet	nilipoʄitet
yungiyungi	juᵑgijuᵑgi
wanawatangaz	wanawataᵑgaz
waliungana	waliuᵑgana
unajua	unaʄua
alivyonunua	alivjonunua
unaoelekea	unaoelekea
wanalalamik	wanalalamik
dharauliwa	ɗhaɾauliwa
wavae	wavae
bucha	ɓutʃa
kilichowaelem	kilitʃowaelem
kutiatia	kutiatia
alivyofanya	alivjofaɲa
pemba	Peᵐɓa
wakiishi	wakiiʃi
nimwambie	nimwaᵐɓie
gandamana	ɠaⁿɗamana
abedari	aɓeɗaɾi
wamenizingi	wameniziᵑgi
wazalishaji	wazaliʃaʄi
tenganika	teᵑganika
linalotiliwa	linalotiliwa
msimamia	msimamia
zilisikika	zilisikika
mkawalete	mkawalete
walau	walau
uhawara	uhawaɾa
mikunjo	mikuⁿɗʒo
ulihukumiwa	ulihukumiwa
huuletea	huuletea
hastaili	hastaili
kuifunika	kuifunika
likakauka	likakauka
viliumbwa	viliuᵐɓwa
gaagaa	ɠaaɠaa
tandabui	taⁿɗaɓui
kukuchukulia	kukutʃukulia
hangahanga	haᵑgahaᵑga
maponea	maponea
kihisishi	kihisiʃi
hatujakusah	hatuʄakusah
