ܚܠܘܠܐ	ħəlulɑʔ
ܦܝܠܘܣܘܦܬܐ	pilosofɑθɑʔ
ܥܘܠܘܬܐ	ʕulləwɑθɑʔ
ܟܐܢ	keʔn
ܝܘܪܩܐ	yurrɑqɑʔ
ܫܚܢܐ	ʃɛħnɑʔ
ܪܛܢܐ	rɛtˤno
ܙܘܝܚܐ	zujjɑħeʔ
ܫܝܫܐ	ʃiːʃɑʔ
ܫܬܩܐ	ʃɛθqɑʔ
ܚܪܓܠܐ	ħarɡəlɑʔ
ܙܒܢܐ	zavneʔ
ܠܫܢܐ	lɛʃʃɑnɑ
ܟܪܦܣܐ	kərɛfsɑ
ܫܘܪܐ	ʃawrɑʔ
ܨܐܬܐ	sˤɑʔθeʔ
ܝܚܡܘܪܐ	jaħmureʔ
ܣܩܠܐ	saqqɑlɑʔ
ܪܘܡܐ	rawmeʔ
ܒܘܚܪܢܐ	buħrono
ܝܫܛܐ	jaʃtˤɑ
ܠܓܝܢܐ	ləɣineʔ
ܐܦܝܐ	ʔappɑjɑʔ
ܡܝܬ	miθ
ܓܕܡܐ	ɡəðɑmɑ
ܣܡܡܢܐ	samməmɑneʔ
ܥܠܡܐ	ʕɑlmeʔ
ܚܒܨܐ	ħəvɑsˤɑʔ
ܓܘܢܢܐ	ɡawnɑneʔ
ܐܡܫܐ	ʔamʃeʔ
ܬܕܟܝܬܐ	taðkiθɑ
ܡܘܛܐ	mawtˤɑʔ
ܠܚܡܐ	ləħɑmɑʔ
ܕܪܕܪܐ	dardəreʔ
ܥܪܒܬܐ	ʕrɑwto
ܓܘܫܡܐ	ɡuʃmɑ
ܦܪܕܬܐ	pərɛdtɑʔ
ܫܒܛܐ	ʃavtˤeʔ
ܫܒܘܥܐ	ʃɑvoʕɑʔ
ܟܫܛܐ	kaʃʃɑtˤɑʔ
ܡܠܩܛܐ	malqətˤeʔ
ܢܪܓܐ	narɡe
ܡܣܐܬܐ	massaʔθɑʔ
ܓܠܩܐ	ɡalqeʔ
ܕܪܥܐ	dərɑʕɑʔ
ܕܩܠܐ	dɛqlɑʔ
ܣܕܘܡ	səðom
ܩܢܘܡܐ	qnomɑ
ܢܥܐ	nɑʕeʔ
ܨܘܡܪܐ	sˤumreʔ
ܡܘܙܐ	muzeʔ
ܥܠܘܐ	ʕalweʔ
ܪܚܡܐ	rɑħmɑʔ
ܝܪܝܥܬܘܢܝܬܐ	jɑriʕəθonjɑθɑʔ
ܪܥܠܐ	rɛʕlɑʔ
ܝܒܠܐ	jəvɑlɑʔ
ܦܥܪܐ	paʕrɑʔ
ܒܚܪܐ	baħreʔ
ܬܐܢܬܐ	teʔtːɑ
ܣܥܪܬܐ	səʕɑrɑθɑ
ܬܘܪܬܐ	tawrɑθɑʔ
ܩܒܪܐ	qabbɑrɑ
ܓܘܢܘܬܐ	ɡonawwɑθɑʔ
ܡܢܝܢܐ	manninɑʔ
ܡܩܠܥܢܐ	maqləʕɑneʔ
ܫܘܢܝܐ	ʃunnɑje
ܐܕܪܐ	ʔɛddərɑʔ
ܢܘܪܒܐ	norbɑʔ
ܦܝܠܐ	pilɑ
ܢܡܠܐ	nammɑle
ܡܛܘܚܬܐ	matˤtˤoħtɑʔ
ܡܘܩܐ	muqɑʔ
ܫܘܬܦܐ	ʃawtɑfɑʔ
ܝܥܝܬܐ	jɑʕjɑθɑʔ
ܛܠܪܐ	tˤɛllɑreʔ
ܕܡܟ	dəmɑx
ܟܫܟܘܠ	kaʃkul
ܐܘܓܐ	ʔawɡɑ
ܥܪܦܠܐ	ʕarpɛlleʔ
ܐܘܪܙܓܐ	ʔurzɑɣɑʔ
ܬܝܢܐ	təjɑneʔ
ܫܡܥܘܢ	ʃɛmʕon
ܦܙܐ	pɛzzɑʔ
ܥܦܪܐ	ʕafrɑʔ
ܟܣܐ	kɑse
ܐܡܘܬܣܛܘܣ	ʔammuθsətˤos
ܡܪܫܐ	marʃɑ
ܦܥܠܬܐ	pɑʕləθɑʔ
ܫܘܡܬܐ	ʃumtɑʔ
ܐܪܝܘܬܐ	ʔarjoθɑ
ܒܪܩܐ	borqo
ܫܡܫܐ	ʃɑmoʃo
ܦܠܐܬܐ	pɛlʔɑθɑʔ
ܫܩܝܦܐ	ʃəqifɑʔ
ܟܪܬܬܐ	karrɑθɑθɑʔ
ܐܟܣܢܝܐ	ʔaksɛnjɑʔ
ܕܒܘܪܐ	dɑvoreʔ
ܪܥܝܢܐ	rɛʕjɑneʔ
ܫܝܦܘܪܐ	ʃipporeʔ
ܚܘܠܦܐ	ħullɑfɑʔ
ܡܫܒܐ	maʃʃəveʔ
ܦܩܥܬܐ	pəqaʕtɑʔ
ܗܠܟܐ	halkɑʔ
ܛܟܣܐ	tˤaxseʔ
ܟܡܘܢܐ	kammunɑʔ
ܬܒܢܐ	tɛvnɑʔ
ܬܘܬܐ	tuθe
ܕܫܬܐ	daʃteʔ
ܚܢܩܐ	ħənɑqɑ
ܝܕܝܕܐ	jaddiðe
ܪܚܝܐ	rəħawwɑθɑʔ
ܪܝܡܐ	rajmɑʔ
ܨܦܪܐ	sˤɛppəreʔ
ܐܦܝܣܩܘܦܐ	ʔɛppisqoppeʔ
ܚܢܩܐ	ħənɑqe
ܟܥܒܬܐ	kaʕbəθɑʔ
ܩܪܢܐ	qərɑneʔ
ܓܝܗܢܐ	ɡejhannɑ
ܩܛܪܩܐ	qɑtˤerqɑʔ
ܚܠܐ	ħɑleʔ
ܐܣܝܬܐ	ʔɑsiθɑ
ܙܗܪܐ	zahreʔ
ܡܕܝܢܬܐ	məðine
ܐܘܓܐ	ʔawɡe
ܩܬܪܝܢܐ	qaθrinɑʔ
ܝܘܡܐ	jawmeʔ
ܚܡܫܒܫܒܐ	ħammɛʃbəʃabbe
ܒܗܬܬܐ	bɛhtəθɑ
ܫܩܡܐ	ʃɛqme
ܕܪܓܐ	drɑɣɑ
ܡܘܡܬܐ	mawməθɑʔ
ܥܨܒܐ	ʕəsˤɑveʔ
ܥܙܪܘܪܐ	ʕazrureʔ
ܫܒܝܫܬܐ	ʃəvejʃteʔ
ܨܘܡܪܬܐ	sˤumrɑθɑʔ
ܬܚܘܡܐ	təħumɑʔ
ܬܐܒܝܠ	teve̝l
ܩܠܬܐ	qaltɑʔ
ܐܣܬܐ	ʔăsɛttɑʔ
ܩܡܪܐ	qamrɑʔ
ܢܕܪܐ	nəðɑreʔ
ܙܟܘܬܐ	zɑxuθɑʔ
ܫܘܫܡܐ	ʃuʃʃəmɑʔ
ܡܕܒܚܐ	maðbəħɑ
ܢܒܝܐ	nəvijeʔ
ܩܘܪܠܐ	qurleʔ
ܫܪܝܢܐ	ʃɪrjɑnɑ
ܕܘܠܐ	dawlɑʔ
ܣܪܢܐ	sarneʔ
ܩܫܬܐ	qɛʃʃɑθɑ
ܥܘܡܩܐ	ʕummɑqeʔ
ܩܪܝܢܐ	qɛrjɑneʔ
