மாங்காய்	mɑːŋɡɑːj
சிற	sɨra
உயிர்	ʔɯjɨɾ̪
அங்ஙனம்	ʔʌŋːʌnʌm
திதி	t̪ɨd̪i
வழிச்செலவு	ʋʌɻɨsːel̪ʌʋɯ
சீடை	siːɖʌɪ̯
கொழுப்பு	koɻɯpːɯ
தரூடம்	t̪ʌɾ̪uːɖʌm
ஜந்து	d͡ʑʌn̪d̪ɯ
ஔ	ʔʌʊ̯
விழுதி	ʋɨɻɯd̪i
கலுழ்ச்சி	kʌl̪ɯɻsːi
இருள்	ʔɨɾ̪ɯɭ
பன்றி	pʌnri
உளவு	ʔɯɭʌʋɯ
போனகம்	poːnʌɡʌm
உயிரியல்	ʔɯjɨɾ̪ɨjʌl̪
உள்	ʔɯɭ
சரிவு	sʌɾ̪ɨʋɯ
சாளம்	sɑːɭʌm
நீராவி	n̪iːɾ̪ɑːʋi
மாமிசம்	mɑːmɨsʌm
நீத்து	n̪iːt̪ːɯ
மழைக்காலம்	mʌɻʌɪ̯kːɑːl̪ʌm
ருத்திரசடை	ɾ̪ɯt̪ːɨɾ̪ʌsʌɖʌɪ̯
அக்கினிச்சுவாலை	ʔʌkːɨnɨsːɯʋɑːl̪ʌɪ̯
ச	sa
குலை	kɯl̪ʌɪ̯
குட்டி	kɯʈːi
வாராவதி	ʋɑːɾ̪ɑːʋʌd̪i
குரங்கு	kɯɾ̪ʌŋɡɯ
விதை	ʋɨd̪ʌɪ̯
தேவையான	t̪eːʋʌɪ̯jɑːna
உழவு	ʔɯɻʌʋɯ
வாக்களிப்பு	ʋɑːkːʌɭɨpːɯ
வேலைவளர்	ʋeːl̪ʌɪ̯ʋʌɭʌɾ̪
நகரப்பதி	n̪ʌɡʌɾ̪ʌpːʌd̪i
நெசவு	n̪esʌʋɯ
உதடு	ʔɯd̪ʌɖɯ
மிக	mɨɡa
பாயசம்	pɑːjʌsʌm
வியாழன்	ʋɨjɑːɻʌn
ஸாயகம்	sɑːjʌɡʌm
குள்ளம்	kɯɭːʌm
கல்வெட்டியல்	kʌl̪ʋeʈːɨjʌl̪
கோயில்	koːjɨl̪
நீளிப்பு	n̪iːɭɨpːɯ
உண்மை	ʔɯɳmʌɪ̯
நிறம்	n̪ɨrʌm
இலக்கணம்	ʔɨl̪ʌkːʌɳʌm
யாவரும்	jɑːʋʌɾ̪ɯm
சாவல்	sɑːʋʌl̪
இயல்புகணம்	ʔɨjʌl̪pɯɡʌɳʌm
கடை	kʌɖʌɪ̯
முதலீடு	mɯd̪ʌl̪iːɖɯ
நன்றி	n̪ʌnri
இல்லை	ʔɨl̪ːʌɪ̯
வெளியீடு	ʋeɭɨjiːɖɯ
சொற்பொழிவு	sorpoɻɨʋɯ
கரும்பு	kʌɾ̪ɯmbɯ
பின்	pɨn
உரிமை	ʔɯɾ̪ɨmʌɪ̯
கடுங்கோபம்	kʌɖɯŋɡoːbʌm
இவள்	ʔɨʋʌɭ
முஸ்லீம்	mɯsl̪iːm
வீட்டுக்காரி	ʋiːʈːɯkːɑːɾ̪i
உன்	ʔɯn
துறை	t̪ɯrʌɪ̯
தமிழ்	t̪ʌmɨɻ
அடிகேயா	ʔʌɖɨɡeːjɑː
விருஷ்டி	ʋɨɾ̪ɯʂʈi
மகிழ்ச்சி	mʌɡɨɻsːi
அரைநெல்லி	ʔʌɾ̪ʌɪ̯n̪el̪ːi
பன்றிக்குட்டி	pʌnrɨkːɯʈːi
பிறிதுசாபம்	pɨrɨd̪ɯsɑːbʌm
இங்கே	ʔɨŋɡeː
கலைச்சொல்	kʌl̪ʌɪ̯sːol̪
செய்	sej
உடல்	ʔɯɖʌl̪
இலக்கியம்	ʔɨl̪ʌkːɨjʌm
ஐயம்	ʔʌɪ̯jʌm
கிறிஸ்து	kɨrɨst̪ɯ
பாலூட்டி	pɑːl̪uːʈːi
அசர்த்து	ʔʌsʌɾ̪t̪ːɯ
வண்டு	ʋʌɳɖɯ
தாகெஸ்தான்	t̪ɑːɡest̪ɑːn
பட்டு	pʌʈːɯ
பரிவு	pʌɾ̪ɨʋɯ
இறைச்சி	ʔɨrʌɪ̯sːi
தில்லம்	t̪ɨl̪ːʌm
அறிப்பு	ʔʌrɨpːɯ
